restaurant;address1;address2
Ravagh;1237 1st Ave;At 67th St
Ravagh;11 E 30th St;Btwn 5th & Madison Ave
Ravagh11 E;30th St;
Ravagh123;7 1st Ave;
Raw Soul;348 W 145th St;Btwn St Nicholas & Edgecombe Ave
Ray Bari Pizza;1330 3rd Ave;At 76th St
Ray Bari Pizza;930 3rd Ave;At 56th St
Ray's;27 Prince St;Btwn Mott & Elizabeth St
Ray's Pizza;2345 Broadway;Btwn 85th & 86th St
Rayuela;165 Allen St;Btwn Rivington & Stanton St
Rayuela16;5 Allen St;
Re Sette;7 W 45th St;Btwn 5th & 6th Ave
Reach House Restaurant;88 Division St;Btwn Allen & Eldridge St
Reade Street Pub & Kitchen;135 Reade St;Btwn Hudson & Greenwich St
Ready To Eat;525 Hudson St;At W 10th St
Real Pizza;3522 Broadway;At 144th St
Real Thai;1069 1st Ave;Btwn 58th & 59th St
Reboot;37 Avenue A;Btwn 2nd & 3rd St
Recharge;1452 2nd Ave;Btwn 75th & 76th St
Rectangles;1431 1st Ave;Btwn 74th & 75th St
Red;19 Fulton St;Btwn Front & Water St
Red Bamboo;140 W 4th St;Btwn 6th Ave & MacDougal St
Red Curry;339 Lexington Ave;Btwn 39th & 40th
Red Egg;202 Centre St;At Howard St
Red Egg20;2 Centre St;
Red Lion;151 Bleecker St;At Thompson St
Red Mango;688 6th Ave;Btwn 21st & 22nd St
Red Mango;182 Bleecker St;Btwn MacDougal & Sullivan St
Red Mango;507A 3rd Ave;At 35th St
Red Mango;723 8th Ave;Btwn 45th & 46th St
Red Mango;63 W 14th St;Btwn 5th & 6th Ave
Red Star;2529 Adam Clayton;Btwn 146th & 147th St
Red Star;2060 Adam Clayton Blvd;At 123rd St
Redemption;1003 2nd Ave;At 53rd St
Redeye Grill;890 7th Ave;At 56th St
Redstone Pizzeria;500 Lexington Ave;Btwn 47th & 48th St
Regate;198 Orchard St;Btwn Stanton & Houston St
Regional Thai Sa-Woy;1479 1st Ave;At 77th St
Regional Thai Taste;208 7th Ave;At 22nd St
Relish Caterers;676 A 9th Ave;Btwn 46th & 47th St
Reme;4021 Broadway;At 169th St
Remedy Diner;245 E Houston St;At Norfolk St
Remi;145 W 53rd St;Btwn 6th & 7th Ave
Remi145 W;53rd St;
Renaissance Diner;776 9th Ave;Btwn 51st & 52nd St
Republic;37 Union Sq W;Btwn 16th & 17th St
Reservoir;70 University Pl;Btwn 10th & 11th St
Restaurant;735 10th Ave;Btwn 50th & 51st St
Restaurant Charlotte;145 W 44th St;Btwn Bway & 6th Ave
Restaurant Forte Baden Baden;28 W 32nd St;Btwn Bway & 5th Ave
Restaurant Nippon;155 E 52nd St;Btwn Lexington & 3rd Ave
Restaurant ON;1026 2nd Ave;Btwn 54th & 55th St
Restaurant SEO;249 E 49th St;Btwn 2nd & 3rd Ave
Restaurante Ecuatoriano GNS II;511 W 181st St;At Amsterdam Ave
Restaurante El Mismo;1726 Amsterdam Ave;bwtn 145th & 146th St
Restivo Ristorante;209 7th Ave;At 22nd St
Resto;111 E 29th St;At Park & Lex Ave
Resto Leon;351 E 12th St;Btwn 1st & 2nd Ave
Resto111 E;29th St;
Revel;10 Little W 12th St;Btwn 9th Ave & Washington St
Revival;2367 8th Ave;At 127th St
Revival23;67 8th Ave;
Rheon Cafe;189 Spring St;Btwn Sullivan & Thompson St
Rhong-Tiam;541 La Guardia Pl;Btwn Bleecker & W 3rd St
Rhong-Tiam Express;239 E 5th St;At 2nd Ave
Ricardo Steak House;2145 2nd Ave;Btwn 110th & 111th St
Rice;292 Elizabeth St;Btwn Houston & Bleecker st
Rice;115 Lexington Ave;At 28th St
Rice 'n' Beans;744 9th Ave;Btwn 50th & 51st St
Rice to Riches;37 Spring St;Btwn Mott & Mulberry St
Rick's Cabaret & Steakhouse;50 W 33rd St;Btwn 5th & 6th Ave
Rickshaw Dumpling Bar;53 E 8th St;Btwn University Pl & Bway
Rickshaw Dumpling Bar;61 W 23rd St;Btwn 5th & 6th Ave
Rickshaw Dumpling Bar (CLOSED);53 E 8th St;
Rigoletto Pizza & Pasta;208 Columbus Ave;Btwn 69th & 70th St
Riingo;205 E 45th St;Btwn 2nd & 3rd Ave
Riingo205 E;45th St;
Riki;141 E 45th St;Btwn Lexington & 3rd Ave
Riki141 E;45th St;
Rink BarRockefeller Center;;5th Ave Btwn 49th & 50th St
Rink BarRockefeller Center;0 5th Ave Btwn 49th & 50th St;
Rino Trattoria;877 8th Ave;Btwn 52nd & 53rd St
Rio & You;328 W 45th St;Btwn 8th & 9th Ave
Rios Churrascaria;360 Park Ave S;At 26th St
Riposo;7250 W 72nd St;Btwn Columbus Ave & Central Park W
Riposo;46667 9th Ave;At 46th St
Riposo 46;667 9th Ave;
Riposo 72;50 W 72nd St;
Rise Bar;2 West St;At 1st Pl
Rising Dragon;316 W 36th St;At 8th Ave
Risotteria;270 Bleecker St;Btwn 6th & 7th Ave
Ristorante DeGrezia;231 E 50th St;Btwn 2nd & 3rd Ave
Ristorante Grifone;244 E 46th St;Btwn 2nd & 3rd Ave
Ristorante La Grolla;413 Amsterdam Ave;Btwn 79th & 80th St
Ristorante Primavera;1578 1st Ave;At 82nd St
Ristorante San Pietro;18 E 54th St;Btwn Madison & 5th Ave
Ritz Diner;1133 1st Ave;Btwn 62nd & 63rd St
Rive Gauche;336 E 86th St;Btwn 1st & 2nd Ave
Rivers;10 Murray St;Btwn Bway & Church St
Riviera Cafe & Sports Bar;225 W 4th St;At 7th Ave S
Rivoli Pizza;176 7th Ave S;At 11th St
Rivoli Pizza II;502 Hudson St;At Christopher St
Robert Emmett's;694 8th Ave;At 44th St
Robert's Steakhouse;603 W 45th St;At 11th Ave
Roberto Passon;741 9th Ave;At 50th St
Robongi Sushi;152 7th Ave S;Btwn Perry & Charles St
Roc;190A Duane St;At Greenwich St
Rocco Ristorante;181 Thompson St;Btwn Houston & Bleecker St
Rocco's;243 Bleecker St;Btwn Carmine & Cornelia St
Rocco's Pizza Joint;162 7th Ave;Btwn 19th & 20th St
Rocco's24;3 Bleecker St;
Rock Center Cafe;20 W 50th St;Btwn 5th & 6th Ave
Rock-n-Sake;138 W 25th St;Btwn 6th & 7th Ave
Rocket Joe's East;61 Delancey St;Btwn Allen & Eldridge St
Rocking Horse Cafe;182 8th Ave;At 19th St
Rockwell's;105 Broad St;At Water St
Rocky's Italian Restaurant;45 Spring St;Btwn Mott & Mulberry St
Rocky's Number II;607 2nd Ave;Btwn 33rd & 34th St
Rodeo Bar;375 3rd Ave;At 27th St
Rogue;757 6th Ave;Btwn 25th & 26th
Rogue757;6th Ave;
Rohm;27 E 20th St;Btwn Bway & Park Ave S
Rohm27 E;20th St;
Roma's Pizza;1568 3rd Ave;At 88th St
Roni-Sue's Chocolates;120 Essex St;At Delancey St
Ronnybrook Milk Bar;75 9th Ave;At 16th St
Room;1818 Spring St;Btwn Elizabeth & Mott St
Room Service;166 8th Ave;Btwn 18th & 19th St
Roomali;97 Lexington Ave;At 27th St
Roosevelt Gourmet Deli;460 W 57th St;At 10th Ave
Roots & Vines;409 Grand St;At Clinton St
Roppongi;434 Amsterdam Ave;At 81st St
Roppongi (CLOSED);434 Amsterdam Ave;At 81st St
Rosa Mexicano;61 Columbus Ave;At 62nd St
Rosa Mexicano;1063 1st Ave;At 58th St
Rosa Mexicano;9 E 18th St;Btwn 5th Ave & Bway
Rosa's;1 Penn Plaza;Btwn 7th & 8th Ave
Rosa's Pizza;126 W 32nd St;Btwn 6th & 7th Ave
Rosa's Pizza;629 2nd Ave;Btwn 34th & 35th St
Rosa's Pizzeria;37 E 28th St;Btwn Madison & Park Ave
Rosanjin;141 Duane St;Btwn Church St & W Bway
Rosario's Kitchen;227 W Broadway;At White St
Rosario's Pizza;173 Orchard St;At Stanton St
Rose Bar;2 Lexington Ave;At 21st St
Rose Restaurant;357 1st Ave;Btwn 20th & 21st St
Rose of Bombay;326 E 6th St;Btwn 1st & 2nd Ave
Rosella's Pizzeria;164 William St;Btwn Beekman & Ann St
Rosen's Delicatessen;23 E 51st St;Btwn 5th & Madison Ave
Rosie & Ting;85 4th Ave;At 11th St
Rosie O'Grady's;800 7th Ave;At 52nd St
Rosie O'Grady's;149 W 46th St;Btwn 6th & 7th Ave
Rossetti's Pizza;114 6th Ave;At Sullivan St
Rossini's;108 E 38th St;Btwn Park & Lexington Ave
Roth's Westside Steakhouse;680 Columbus Ave;At 93rd St
Rothmann's Steakhouse & Grill;3 E 54th St;At 5th Ave
Roti Roll Bombay Frankie;994 Amsterdam Ave;At 109th St
Rouge Tomate;10 E 60th St;Btwn 5th & Madison Ave
Round Table Room;1at the Algonquin Hotel59 W 44th St 1 Btwn 5th & 6th Ave;
Round Table Room at the Algonquin Hotel;59 W 44th St;Btwn 5th & 6th Ave
Route;66 Cafe858 9th Ave;Btwn 55th & 56th St
Route 66 Cafe;858 9th Ave;
Roxy Coffee Shop;20 John St;Btwn Bway & Nassau St
Roxy Delicatessen;1565 Broadway;Btwn 46th & 47th St
Roy's New York;130 Washington St;At Albany St
Roy's New York (CLOSED);130 Washington St;
Royal Bangladesh;93 1st Ave;Btwn E 5th & 6th St
Royal Deli;817 9th Ave;At 54th St
Royal Kabab & Curry;2701 Broadway;At 103rd St
Royal Pizza;592 3rd Ave;Btwn 38th & 39th St
Royal Siam;240 8th Ave;Btwn 22nd & 23rd St
Royal Thai Cuisine II;318 W 36th St;Btwn 8th & 9th Ave
Royale;157 Avenue C;Btwn 9th & 10th St
Royale Cafe & Pastry;461 6th Ave;
Ruben's Empanadas;505 Broome St;At Watts St
Ruben's Empanadas;149 Church St;Btwn Chambers & Warren St
Ruben's Empanadas;64 Fulton St;Btwn Cliff & Gold St
Ruben's Empanadas;76 Nassau St;Btwn Fulton & John St
Ruby Foo's;1626 Broadway;At 49th St
Ruby Foo's;2182 Broadway;Btwn 77th & 78th St
Ruby Foo's (CLOSED);2182 Broadway;Btwn 77th & 78th St
Ruby et Violette;457 W 50th St;Btwn 9th & 10th Ave
Ruby's;219 Mulberry St;Btwn Prince & Spring St
Ruby's;259 1st Ave;
Ruby's259;1st Ave;
Rudy Pizza;174 Hester St;At Mott St
Rue;5760 W 57th St;At 6th Ave
Rue 5760 W;57th St;
Rue-B;188 Avenue B;Btwn 11th & 12th St
Rughetta Ristorante;347 E 85th St;Btwn 1st & 2nd Ave
Rush Hour;134 Ludlow St;Btwn Rivington & Stanton St
Russ & Daughters;179 E Houston St;Btwn Allen & Orchard St
Russian Samovar;256 W 52nd St;Btwn Bway & 8th Ave
Russian Vodka Room;265 W 52nd St;Btwn 8th Ave & Bway
Russo's Steak & Pasta;790 7th Ave;At 51st St
Ruth's Chris Steak House;148 W 51st St;Btwn 6th & 7th Ave
Ruthy's Bakery & Cafe;75 9th Ave;At 15th St
Ruthy's Bakery & CafePier;62;At 21st St
Ryan Maguire's Ale House;28 Cliff St;Btwn Fulton & John St
S'Mac;345 E 12th St;Btwn 1st & 2nd Ave
S'Mac345 E;12th St;
S. Dynasty;511 Lexington Ave;At 48th St
S.O.B.'s;200 Varick St;Btwn Houston & King St
SALONTEA TeaBar;501 E 75th St;
SB;333 Avenue B;At 3rd St
SIP;998 Amsterdam Ave # 2;Btwn 109th & 110th St
SOY;102 Suffolk St;Btwn Delancey & Rivington St
STK;26 Little West 12th St;Btwn Washington St & 9th Ave
SUteiShi;24 Peck Slip;Btwn Front & Water St
Sabaa Deli;572 9th Ave;Btwn 42st & 43rd St
Sable's;1489 2nd Ave;Btwn 77th & 78th St
Sable's14;89 2nd Ave;
Sabor A Mexico;1744 1st Ave;Btwn 90th & 91st St
Sabor A Mexico II;233 E 77th St;Btwn 2nd & 3rd Ave
Saburi;168 Lexington Ave;Btwn 30th & 31st St
Sacco Pizza;819 9th Ave;At 54th St
Sachi;1350 Madison Ave;Btwn 94th & 95th Sts
Sachiko's on Clinton;25 Clinton St;Btwn Houston & Stanton St
Sacred Chow;227 Sullivan St;Btwn Bleecker & W 3rd St
Saffee Sandwich Bar & Deli;330 W 58th St;Btwn 8th & 9th Ave
Safran;88 7th Ave;Btwn 15th & 16th St
Safran88;7th Ave;
Saga Grill;1268 Amsterdam Ave;Btwn 122nd & 123rd St
Saha Thai Cuisine;227 Centre St;Btwn Grand & Broome St
Sahara East;184 1st Ave;Btwn 11th & 12th St
Sahara Grill;558 7th Ave;At 40th St
Sahara Grill (CLOSED);558 7th Ave;At 40th St
Sahara's;513 2nd Ave;Btwn 28th & 29th St
Saigon;48234 W 48th St;Btwn 8th Ave & Bway
Saigon 48;234 W 48th St;
Saigon Grill;91 University Pl;Btwn 11th & 12th St
Saigon Grill;620 Amsterdam Ave;At 90th St
Saint's Alp Teahouse;39 3rd Ave;Btwn 9th & 10th St
Saji's;256 W 109th St;Btwn Bway & Amsterdam Ave
Saji's256 W;109th St;
Saju;120 W 44th St;Btwn 6th Ave & Bway
Saju120 W;44th St;
Sakae Sushi;135 W 3rd St;Btwn Macdougal St & 6th Ave
Sakae Sushi (CLOSED);135 W 3rd St;
Sakagura;211 E 43rd St #B1;Btwn 2nd & 3rd Ave
Sake Bar Decibel;240 E 9th St;
Sake Bar Hagi;152 W 49th St;Btwn 6th & 7th Ave
Sake Bar Satsko;202 E 7th St;Btwn Ave B & Ave C
Sakura;34 Lexington Ave;At E 24th St
Sakura Hana;615 Hudson St;Btwn W 12th & Jane St
Sakura Sushi;273 Mott St;Btwn Houston & Prince St
Sal & Carmine's Pizza;2671 Broadway;Btwn 101st & 102nd St
Sal Anthony's City Gardener;119 E 17th St;Btwn Park Ave S & Irving Pl
Sal Anthony's City Gardener (CLOSED);119 E 17th St;
Sal Anthony's S.P.Q.R.;133 Mulberry St;Btwn Hester & Grand St
Sal Anthony's SPQR;133 Mulberry St;
Sal's;369 Broome St;At Mott St
Sal's;91 Avenue A;Btwn 5th & 6th St
Sal's Pizza;1375 Madison Ave;Btwn 95th & 96th St
Sala;344 Bowery;At Great Jones St
Sala One-Nine;35 W 19th St;Btwn 5th & 6th Ave
Sala Thai;1718 2nd Ave;Btwn 89th & 90th St
Salaam Bombay;319 Greenwich St;Btwn Duane & Reade St
Salam;104 W 13th St;Btwn 6th & 7th Ave
Salam104 W;13th St;
Sale & Pepe;1 Exchange Plz;Btwn Trinity Pl & Bway
SallyD's Party Sandwiches;488 9th Ave;Btwn 37th & 38th St
Salmon River;3 E 40th St;At 5th Ave
Salon de Ning;700 5th Ave;
Salon de Tapas;190 Sullivan St;At Bleecker St
Salsa Y Salsa;206 7th Ave;At 22nd St
Salt;58 MacDougal St;Btwn Prince & Houston St
Salt & Battery;112 Greenwich Ave;
Salt & Pepper;239 1st Ave;At 14th St
Salt & Pepper;139 W 33rd St;Btwn 6th & 7th Ave
Salt Bar;29 Clinton St;Btwn Houston & Stanton St
Salud;142 Beekman St;Btwn Front & South St
Saluggi's;325 Church Street;Btwn Canal & Lispenard St
Salumeria Biellese;378 8th Ave;Btwn 28th & 29th St
Salumeria Rosi;283 Amsterdam Ave;Btwn 73rd & 74th St
Salute!;270 Madison Ave;At 39th St
Salute!27;0 Madison Ave;
Sam's Falafel House;231 Thompson St;Btwn W 3rd & Bleecker St
Sam's House Cafe;36 W 48th St;
Samalita's;1681 1st Ave;At 87th St
Samantha's Cafe;209 E 14th St;Btwn 2nd & 3rd Ave
Samantha's New York;235 S End Ave;Btwn Albany St & Rector Pl
Samba's Deli;201 2nd Ave;Btwn 12th & 13th St
Sambuca;20 W 72nd St;Btwn CPW & Columbus Ave
Sambuca20 W;72nd St;
Sammy's;461 6th Ave;At 11th St
Sammy's Gourmet;1404 Madison Ave;Btwn 97th & 98th St
Sammy's Noodle Shop & Grill;453 6th Ave;At 11th St
Sammy's Roumanian;157 Chrystie St;At Delancey St
Sammy's46;1 6th Ave;
Samurai Sam's Teriyaki Grill;165 Chambers St;Btwn Greenwich St & W Bway
Samurai Sam's Teriyaki Grill (CLOSED);165 Chambers St;Btwn Greenwich St & W Bway
San Francisco de Asis;1779 Lexington Ave;Btwn 110th & 111th St
San Loco Mexico;111 Stanton St;Btwn Essex & Ludlow St
San Loco Mexico;151 Avenue A;Btwn 9th & 10th St
San Loco Mexico;124 2nd Ave;Btwn 7th St & St Marks Pl
San Marino Due;138 Lafayette St;At Howard St
San Martin Restaurant;143 E 49th St;Btwn Lexington & 3rd Ave
San Marzano Brick Oven Pizzeria;71 Clinton St;Btwn Stanton & Rivington St
Sanctuary Tea;337B W Broadway;At Grand St
Sandro's;306 E 81st St;At 2nd Ave
Sandwich House;17 Ann St;Btwn Park Row & Theatre Alley
Sandwich Planet;534 9th Ave;Btwn 39th & 40th St
Sandwich Shoppe;58A Greenwich Ave;Btwn 6th & 7th Ave
Sandwich Shoppe;1553 Lexington Ave;Btwn 99th & 100th St
Sandy;2261 2nd Ave;At 116th St
Sandy2261;2nd Ave;
Sangam;190 Bleecker St;At MacDougal St
Sangria;46338 W 46th St;Btwn 8th & 9th Ave
Sanmaroo;22 W 8th St;Btwn 5th & 6th Ave
Sanpanino;494 Hudson St;At Christopher St
Sant Ambroeus;1000 Madison Ave;Btwn 77th & 78th St
Sant Ambroeus;259 W 4th St;At Perry St
Santa Fe;73 W 71st St;Btwn Columbus Ave & CPW
Sanur;18 Doyers St;At Chatham Square
Sapphire;1845 Broadway;Btwn 60th & 61st St
Sapporo;152 W 49th St;Btwn 6th & 7th Ave
Sapporo15;2 W 49th St;
Sarabeth's;945 Madison Ave;At 75th St
Sarabeth's Bakery;75 9th Ave;At 15th St
Sarabeth's Central Park South;40 Central Park S;Btwn 5th & 6th Ave
Sarabeth's East;1295 Madison Ave;At 92nd St
Sarabeth's West;423 Amsterdam Ave;At 80th St
Saravanaas;81 Lexington Ave;At 26th St
Sardi's;234 W 44th St;Btwn Bway & 8th Ave
Sardi's23;4 W 44th St;
Sarge's;548 3rd Ave;Btwn 36th & 37th St
Sarge's54;8 3rd Ave;
Sariku;174 Lexington Ave;Btwn 30th & 31st St
Sasabune;401 E 73rd St;Bten 73rd & 74th St
Sassy's Sliders;1530 3rd Ave;At 86th St
Sato;1395 2nd Ave;At 73rd St
Sato1395;2nd Ave;
Satsko;245 Eldridge St;Btwn Stanton & E Houston St
Saucy;1409 York Ave;At 75th St
Savann;414 Amsterdam Ave;Btwn 79th & 80th St
Savarona;420 E 59th St;Btwn 1st Ave & Sutton Pl
Savor Catering;544 W 27th St;Btwn 10th & 11th Ave
SavorNY;63 Clinton St;Btwn Rivington & Stanton St
Savore;200 Spring St;At Sullivan St
Savoy;70 Prince St;At Crosby St
Say Cheese;649 9th Ave;Btwn 45th & 46th St
Scaletta;50 W 77th St;Btwn Columbus Ave & CPW
Scalinatella;201 E 61st St;At 3rd Ave
Scalini Fedeli;165 Duane St;Btwn Hudson & Greenwich St
Scarlatto;250 W 47th St;Btwn Bway & 8th Ave
Scarpetta;355 W 14th St;At 9th Ave
Schiller's Liquor Bar;131 Rivington St;At Norfolk St
Schnipper's Quality Kitchen;620 8th Ave;
Scores East Side;333 E 60th St;Btwn 1st & 2nd Ave
Scores West Side;536 W 28th St;Btwn 10th & 11th Ave
Scott's Food Court;28 W 48th St;Btwn 5th & 6th Ave
Scotty's;336 Lexington Ave;Btwn 39th & 40th St
Scuderia;10 Downing St;
Se Ja Meh;114 Greenwich St;At Carlisle St
Sea King;219 E 23rd St;Btwn 2nd & 3rd Ave
Sea Thai Bistro;75 2nd Ave;Btwn 4th & 5th St
Seasonal;132 W 58th St;Btwn 6th & 7th Ave
Seasons Market;146 Allen St;Btwn Rivington & Delancey St
Seats;168 Avenue B;Btwn 10th & 11th St
Seattle Cafe;1411 Madison Ave;Btwn 97th & 98th St
Seattle Cafe;308 W 50th St;
Seattle Cafe;450 W 33rd St;Btwn 9th & 10th Ave
Seattle Cafe;1634 Broadway;At 51st St
Seaworld Restaurant;32 Lexington Ave;Btwn 23rd & 24th St
Secession;30 Hudson St;Btwn Duane & Reade St
Second on Second;27 2nd Ave;Btwn 1st & 2nd St
Seeda Thai II;309 W 50th St;Btwn 8th & 9th Ave
Sel & Poivre;853 Lexington Ave;Btwn 64th & 65th St
Selena;252 W 38th St;Btwn 7th & 8th Ave
Selena252 W;38th St;
Senor Swanky's;513 Columbus Ave;Btwn 84th & 85th St
Seoul Station;81 Saint Marks Pl;At 1st Ave
Seppi's;123 W 56th St;Btwn 6th & 7th Ave
Seppi's12;3 W 56th St;
Sequoia;0south street Seaport Pier 17 0;
SequoiaSouth Street Seaport Pier;17 0;
SequoiaSouth Street Seaport Pier;17;
Serafina Broadway;210 W 55th St;At Broadway
Serafina Fabulous Grill;29 E 61st St;Btwn Madison & Park Ave
Serafina Fabulous Pizza;1022 Madison Ave;At E 79th St
Serafina Lafayette;393 Lafayette St;At 4th St
Serafina Osteria;38 E 58th St;Btwn Madison & Park Ave
Serafina at The Time;224 W 49th St;Btwn 8th Ave & Bway
Serendipity;3225 E 60th St;Btwn 2nd & 3rd Ave
Serge;165 Madison Ave;Btwn 32nd & 33rd St
Sergio Cafe;441 Park Ave S;At 30th St
Session;731359 1st Ave;At 73rd St
Sette Mezzo;969 Lexington Ave;
Settepani;196 Lenox Ave;At 120th St
Seven;350 7th Ave;Btwn 29th & 30th St
Seven's Turkish Grill;158 W 72nd St;Btwn Amsterdam & Columbus Ave
Seven350;7th Ave;
Sevilla;62 Charles St;At W 4th St
Sezz Medi;1260 Amsterdam Ave;At W 122nd St
Sfoglia;1402 Lexington Ave;At 92nd St
Sfoglia14;02 Lexington Ave;
Sha-La Gourmet;1435 Broadway;Btwn 40th & 41st St
Shabu-Shabu;70314 E 70th St;Btwn 1st & 2nd Ave
Shabu-Tatsu;216 E 10th St;Btwn 1st & 2nd Ave
Shaburi;125 E 39th St;Btwn Lexington & Park Ave
Shaburi12;5 E 39th St;
Shades of Green Pub & Restaurant;125 E 15th St;At Irving Pl
Shaffer City;5 W 21st St;Btwn 5th & 6th Ave
Shake Shack;366 Columbus Ave;At 77th St
Shake Shack;0Madison Square Park;At 23rd St & Madison Ave
Shake ShackMadison Square Park;0 At 23rd St & Madison Ave;
Shake ShackMadison Square Park;1 At 23rd St & Madison Ave;
Shalizar;1420 3rd Ave;Btwn 80th & 81st St
Shalom Chai Pizza;357 Grand St;Btwn Ludlow & Essex St
Shamrat;1365 1st Ave;Btwn 73rd & 74th St
Shamrat13;65 1st Ave;
Shang;187 Orchard St;At Stanton St
Shanghai Cafe;100 Mott St;Btwn Canal & Hester St
Shanghai Cuisine;89 Bayard St;At Mulberry St
Shanghai Garden;14 Elizabeth St;Btwn Bayard & Canal St
Shanghai Kitchen;67 Bayard St;
Shanghai Mong;30 W 32nd St;Btwn Bway & 5th Ave
Shanghai Pavilion;1378 3rd Ave;Btwn 78th & 79th St
Shanghai Square;9 E 13th St;Btwn 5th & University Pl
Sharaku;14 Stuyvesant St;At 3rd Ave
Sharaku;288 8th Ave;At 24th St
Sharaku28;8 8th Ave;
Shark Bar Restaurant;307 Amsterdam Ave;Btwn 74th & 75th St
Sharz;435 E 86th St;Btwn 1st & York Ave
Sharz435 E;86th St;
Sheep Meadow;1CafeSheep Meadow, Central Park 1 At W 69th St;
Sheep Meadow Cafe;Sheep Meadow, Central Park;At W 69th St
Sheep Meadow Cafe;0Sheep Meadow, Central Park;At W 69th St
Shelly's Trattoria La Tradizionale;41 W 57th St;Btwn 5th & 6th Ave
Sherman's Barbeque;2507 7th Ave;Btwn 145th & 146th St
Sherwood Fine Foods;684 Lexington Ave;Btwn 56th & 57th St
Shih Lee;311 E 45th St;Btwn 1st & 2nd Ave
Shiki Kitchen;135 1st Ave;Btwn St Marks Pl & 9th St
Shilla;37 W 32nd St;Btwn Bway & 5th Ave
Shilla37 W;32nd St;
Shima;188 2nd Ave;At 12th St
Shima188;2nd Ave;
Shimizu;318 W 51st St;Btwn 8th & 9th Ave
Shimizu31;8 W 51st St;
Shinbashi;7 E 48th St;Btwn Madison & 5th Ave
Shine Deli;922 Broadway;At 21st St
Shining Star;377 Amsterdam Ave;At 78th St
Shinju Sushi;164 Pearl St;Btwn Pine St & Wall St
Ship of Fools;1590 2nd Ave;Btwn 82nd & 83rd Sts
Shish;270 Greenwich St;Btwn Warren & Murray St
Shopsin's;120 Essex St;Btwn Rivington & Delancey St
Shorty's;576 9th Ave;Btwn 41st & 42nd St
Shorty's.;32199 Prince St;Btwn Sullivan & MacDougal St
Shrine Bar Restaurant;2271 7th Ave;Btwn 133rd & 134st St
Shrine Bar Restaurant;2271 7th Ave;Btwn 133rd & 134th St
Shula's Steak House;270 W 43rd St;At 8th Ave
Shun Lee;43 W 65th St;Btwn Columbus Ave & CPW
Shun Lee Palace;155 E 55th St;Btwn Lexington & 3rd Ave
Shutters;433 W 34th St;Btwn 9th & 10th Ave
Siam Grill;592 9th Ave;Btwn 42nd & 43rd St
Siam Inn Too;854 8th Ave;Btwn 51st & 52nd St
SideBAR;118 E 15th St;
SideBAR11;8 E 15th St;
SideBar;120 E 15th St;At Irving Pl
SideWalk;94 Avenue A;At 6th St
Sidecar At P.J. Clarke's;205 E 55th St;At 3rd Ave
Sido;403 Amsterdam Ave;At 79th St
Sido;267 Columbus Ave;Btwn 72nd & 73rd St
Sido Gourmet;849 2nd Ave;
Siena Pizza;274 W 40th St;Btwn 7th & 8th Ave
Sigiri;91 1st Ave;Btwn 5th & 6th St
Sigiri91;1st Ave;
Silk Road Palace;447 Amsterdam Ave;Btwn 81st & 82nd St
Silom Thai;150 8th Ave;Btwn 17th & 18th St
Silver Palace;3438 Broadway;Btwn 139th & 140th St
Silver Palace;1430 St. Nicholas Ave;Btwn 181st & 182nd St
Silver Palace;3846 Broadway;Btwn 160th & 161st St
Silver Spurs;771 Broadway;At 9th St
Silver Spurs;490 Laguardia Pl;At Houston St
Silver Star;1238 2nd Ave;At 65th St
Silver Star Deli;484 3rd Ave;Corner of 33rd St
Silverleaf Tavern;43 E 38th St;At Park Ave S
Sim Cafe;85 Eldridge St;Btwn Grand & Hester St
Simla;304 E 78th St;Btwn 1st & 2nd Ave
Simla304 E;78th St;
Simple Kitchen;361 W 17th St;At 9th Ave
Simply Pasta;120 W 41st St;Btwn Bway & 6th Ave
Sims On Park;7 Park Ave;Corner of 34th St
Sin Sin;85 2nd Ave;At 5th St
Sin Sin85;2nd Ave;
Sing Luck Garden;3470 Broadway;Btwn 141st & 142nd St
Sing Sing Karaoke;81 Avenue A;Btwn 5th & 6th St
Singapore Cafe;69 Mott St;Btwn Bayard & Canal St
Singas Pizza;176 2nd Ave;Btwn 11th & 12th St
Sinigual;150 E 42nd St;Btwn Lexington & 3rd Ave
Sinigual;150 E 42 St;Btwn Lexington & 3rd Ave
Sip Sak;928 2nd Ave;Btwn 49th & 50th St
Sip Sak92;8 2nd Ave;
Sirtaj;36 W 26th St;Btwn Bway & 6th Ave
Sirtaj36 W;26th St;
Sisters;47 E 124th St;Btwn Madison & Park Ave
Sisters47 E;124th St;
Sitar;58 W 56th St;Btwn 5th & 6th Ave
Sitar58 W;56th St;
Six Happiness;1413 2nd Ave;Btwn 73rd & 74th St
Six Happiness;711 2nd Ave;Btwn 38th & 39th St
Six Happy Kitchen;213 E Broadway;Btwn Jefferson & Clinton St
Six-O;58 W 39th St;Btwn 5th & 6th Ave
Six-O58 W;39th St;
Sixth Avenue;761 6th Ave;Btwn 25th & 26th St
Sixth Avenue Cafe;1414 6th Ave;Btwn 57th & 58th St
Skylight Diner;402 W 34th St;At 9th Ave
Skyway Malaysian;11 Allen St;At Canal St
Slainte;304 Bowery;At 1st St
Slainte30;4 Bowery;
Slane;102 MacDougal St;At Bleecker St
Slate Plus;54 W 21st St;Btwn 5th & 6th Ave
Slattery's Midtown Pub;8 E 36th St;Btwn 5th & Madison Ave
Slice of New York;727 8th Ave;
