restaurant;in;address1;address2;address3;neighborhood;phone;type
Ristorante La Grolla;;413 Amsterdam Ave;between 79th and 80th Sts;;Upper West Side;(212-496-0890);Italian
Ristorante Primavera;;1578 First Ave;at 82nd St;;Upper East Side;(212-861-8608);Italian
Ritz Asia;189 Bleecker St;;;;;;
Roasting Plant;;81 Orchard St;between Broome and Grand Sts;;Lower East Side;(212-775-7755);Food or Beverage Shop
Roasting Plant;;75 Greenwich Ave;at Seventh Ave;;Greenwich Village;(212-775-7755);Food or Beverage Shop
Roberto Passon;;741 Ninth Ave;at 50th St;;Midtown West;(212-582-5599);Italian
Robert’s Steakhouse;;603 W 45th St;at Eleventh Ave;;Midtown West;(212-245-0002);Steakhouses
Roc;;190A Duane St;at Greenwich St;;Tribeca;(212-625-3333);Italian
Rock Center Café;;20 W 50th St;between Fifth and Sixth Aves;;Midtown West;(212-332-7620);American
Rock-n-Sake;;138 W 25th St;between Sixth and Seventh Aves;;Chelsea;(212-255-7255);Japanese
Rocking Horse Cafe;;182 Eighth Ave;between 19th and 20th Sts;;Chelsea;(212-463-9511);Mexican
Rodeo Bar & Grill;;375 Third Ave;at 27th St;;Gramercy/Flatiron;(212-683-6500);American Regional
Rolf’s Restaurant;;281 Third Ave;at 22nd St;;Gramercy/Flatiron;(212-473-8718);German
Rolls ’N’ Curry;;101 Lexington Ave;between 27th and 28th Sts;;Gramercy/Flatiron;(212-683-4229);Indian
Roni-Sue’s Chocolates;Essex Street Market;;120 Essex St;at Delancey St;Lower East Side;(212-260-0421);Food or Beverage Shop
Ronnybrook Milk Bar;Chelsea Market;;75 Ninth Ave;at 16th St;Chelsea;(212-741-6455);Food or Beverage Shop
Room 18;;18 Spring St;between Elizabeth and Mott Sts;;Chinatown/Little Italy;(212-219-2592);Asian: Pan-Asian
Room 4 Dessert (CLOSED);;17 Cleveland Pl;between Kenmare and Spring Sts;;Chinatown/Little Italy;(212-941-5405);Cafés & diners
Roomali;;97 Lexington Ave;at 27th St;;Gramercy/Flatiron;(212-679-8900);Indian
Roots & Vines;409 Grand St;;;;;;
Ropa Vieja;;271 E 10th St;between First Ave and Ave A;;East Village;(212-533-5600);Caribbean: Cuban
Rosa Mexicano;;61 Columbus Ave;at 62nd St;;Upper West Side;(212-977-7700);Mexican
Rosa Mexicano;;1063 First Ave;at 58th St;;Midtown East;(212-753-7407);Mexican
Rosa Mexicano;;9 E 18th St;between Broadway and Fifth Ave;;Gramercy/Flatiron;(212-533-3350);Mexican
Rosanjin;;141 Duane St;between Church St and W Broadway;;Tribeca;(212-346-0664);Japanese
Rosarios (CLOSED);;38 Pearl St;between Broad and Whitehall Sts;;Financial District;(212-514-5763);Italian
Rosario’s Pizza;;173 Orchard St;at Stanton St;;Lower East Side;(212-777-9813);Italian: Pizza
Rothmann’s Steakhouse & Grill;;3 E 54th St;between Fifth and Madison Aves;;Midtown East;(212-319-5500);Steakhouses
Roti Plus;;2345 Frederick Douglass Blvd;between 125th and 126th Sts;;Harlem;(212-749-8758);Caribbean
Rouge Tomate;;10 E 60th St;between Fifth and Madison Aves;;Upper East Side;(646-237-8977);Eclectic
Royale;;157 Ave C;between 9th and 10th Sts;;East Village;(212-254-6600);American
Royale Cafe + Pastry;;461 Sixth Ave;at 11th St;;West Village;(212-255-5236);Cafés & diners
Roy’s New York;Marriott Financial Center Hotel;;130 Washington St;at Albany St;Financial District;(212-266-6262);Asian: Pan-Asian
Roy’s New York (CLOSED);Marriott Financial Center Hotel;;;;;;
Ruby Foo’s;;1626 Broadway;at 49th St;;Midtown West;(212-974-1080);Asian: Pan-Asian
Ruby et Violette;;457 W 50th St;between Ninth and Tenth Aves;;Midtown West;(212-582-6720);Cafés
Ruby’s;;219 Mulberry St;between Prince and Spring Sts;;Chinatown/Little Italy;(212-925-5755);Australian & New Zealand
Rue 57;;60 W 57th St;at Sixth Ave;;Midtown West;(212-307-5656);French
Russ & Daughters;;179 E Houston St;between Allen and Orchard Sts;;Lower East Side;(212-475-4880);Food or Beverage Shop
Russian Samovar;;256 W 52nd St;between Broadway and Eighth Ave;;Midtown West;(212-757-0168);Russian
Russian Vodka Room;;265 W 52nd St;between Broadway and Eighth Ave;;Midtown West;(212-307-5835);Russian
S.O.S. Chefs;;104 Ave B;between 6th and 7th Sts;;East Village;(212-505-5813);Food or Beverage Shop
SEA;;75 Second Ave;between 4th and 5th Sts;;East Village;(212-228-5505);Thai
STK;;26 Little W 12th St;between Ninth Ave and Washington St;;Meatpacking District;(646-624-2444);Steakhouses
SUGARCANE;;243 Park Avenue South;between 19th and 20th Sts;;Gramercy/Flatiron;(212-475-9377);Brazilian
SUteiShi;;236 Front St;at Peck Slip;;Financial District;(212-766-2344);Japanese
Sable’s;;1489 Second Ave;between 77th and 78th Sts;;Upper East Side;(212-249-6177);Food or Beverage Shop
Sachiko’s on Clinton;;25 Clinton St;between Houston and Stanton Sts;;Lower East Side;(212-253-2900);Japanese
Sacred Chow;;227 Sullivan St;between Bleecker and W 3rd Sts;;Greenwich Village;(212-337-0863);Vegetarian & Organic
Safran;;88 Seventh Ave;between 15th and 16th Sts;;Chelsea;(212-929-1778);Vietnamese
Sahara East;;184 First Ave;between 11th and 12th Sts;;East Village;(212-353-9000);Middle Eastern
Sahara Grill;;558 7th Ave;at 40th St;;Midtown West;(212-391-6555);Turkish
Saigon 48;;234 W 48th St;between Broadway and Eighth Ave;;Midtown West;(212-247-8669);Vietnamese
Saigon Bánh Mì;;138 Mott St;between Grand and Hester Sts;;Chinatown/Little Italy;(212-941-1541);Thai
Saju;;120 W 44th St;between Sixth Ave and Broadway;;Midtown West;(212-997-7258);Eclectic
Sakae Sushi (CLOSED);;135 W 3rd St;between Sixth Ave and MacDougal St;;West Village;(212-228-9839);Japanese
Sakagura;;211 E 43rd St;between Second and Third Aves;;Midtown East;(212-953-7253);Japanese
Sakaya;;324 E 9th St;between First and Second Aves;;East Village;(212-505-7253);Food or Beverage Shop
Sake Hana;;466 Amsterdam Ave;between 82nd and 83rd Sts;;Upper East Side;(212-327-0582);Japanese
Sakura;;273 Mott St;between Houston and Prince Sts;;Chinatown/Little Italy;(212-941-9888);Japanese
Sala;;344 Bowery;at Great Jones St;;East Village;(212-979-6606);Spanish
Sala One-Nine;;35 W 19th St;at Fifth Ave;;Chelsea;(212-229-2300);Spanish
Salaam Bombay;;317 Greenwich St;between Duane and Reade Sts;;Tribeca;(212-226-9400);Indian
Salam;;104 W 13th St;between Sixth and Seventh Aves;;West Village;(212-741-0277);Middle Eastern
Salmon River;;3 E 40th St;between Fifth and Madison Aves;;Midtown East;(212-481-7887);Seafood
Salsa y Salsa;;206 Seventh Ave;between 21st and 22nd Sts;;Chelsea;(212-929-2678);Mexican
Salt;;58 MacDougal St;between Houston and Prince Sts;;Soho;(212-674-4968);American
Salt Bar;;29A Clinton St;between Houston and Stanton Sts;;Lower East Side;(212-979-8471);American
Salumeria Rosi;;283 Amsterdam Ave;between 73rd and 74th Sts;;Upper West Side;(212-877-4800);Italian
Samba-Le;;23 Avenue A;between Houston and 2nd Sts;;East Village;(212-529-2919);Brazilian
Sammy's Roumanian Steak House;;157 Chrystie St;;;Lower East Side;(212-673-0330);Eastern European
Sammy’s Donut Shop;;453–461 Sixth Ave;at 11th St;;West Village;(212-924-6688);Cafés & diners
San Domenico;Maybe it’s the Central Park South location;;;;;;Italian
San Domenico;;240 Central Park South;between Seventh Ave and Broadway;;Midtown West;(212-265-5959);Italian
San Luigi Italian Kitchen (CLOSED);;311 Amsterdam Ave;at 75th St;;Upper West Side;(212-362-8828);Italian
San Marzano;71 Clinton St;;;;;;
San Pietro;;18 E 54th St;between Fifth and Madison Aves;;Midtown East;(212-753-9015);Italian
Sanctuary T;;337B West Broadway;at Grand St;;Soho;(212-941-7832);Cafés & diners
Sandobe Sushi;;167 First Ave;between 10th and 11th Sts;;East Village;(212-505-3348);Japanese
Sandro’s;;306 E 81st St;between First and Second Aves;;Upper East Side;(212-288-7374);Italian
Sandwich Planet;;534 Ninth Ave;between 39 and 40th Sts;;Midtown West;(212-273-9768);American
Sangam;;190 Bleecker St;between MacDougal St and Sixth Ave;;West Village;(212-228-4648);Indian
Sangria 46;;338 W 46th St;between Eighth and Ninth Aves;;Midtown West;(212-581-8482);Spanish
Sant Ambroeus;;1000 Madison Ave;at 77th St;;Upper East Side;(212-570-2211);Italian
Sant Ambroeus;;259 W 4th St;at Perry St;;West Village;(212-604-9254);Italian
Sanur;;18 Doyers St;between Bowery and Pell St;;Chinatown/Little Italy;(212-267-0088);Asian: Malaysian
Sapa;;43 W 24th St;between Fifth and Sixth Aves;;Chelsea;(212-929-1800);Vietnamese
Sapphire;;1845 Broadway;between 60th and 61st Sts;;Upper West Side;(212-245-4444);Indian
Sapporo;;152 W 49th St;between Sixth and Seventh Aves;;Midtown West;(212-869-8972);Japanese
Sarabeth’s;;423 Amsterdam Ave;between 80th and 81st Sts;;Upper West Side;(212-496-6280);American
Sarabeth’s;;1295 Madison Ave;between 92nd and 93rd Sts;;Upper East Side;(212-410-7335);American
Sarabeth’s;Lord & Taylor;;424 Fifth Ave;at 39th St;fifth and sixth floors;Midtown East;(212-827-5068)
Sarabeth’s;;40 Central Park South;between Fifth and Sixth Aves;;Upper West Side;(212-826-5959);American
Sarabeth’s Bakery;Chelsea Market;;75 Ninth Ave;at 15th St;Chelsea;(212-989-2424);American
Sarabeth’s at the Whitney;Whitney Museum;;945 Madison Ave;at 75th St;Upper East Side;(212-570-3670);American
Sarah’s Bagel Café;;271 Bleecker St;between Sixth and Seventh Aves;;West Village;(212-206-9950);Cafés & diners
Saravanaas;;81 Lexington Ave;at 26th St;;Gramercy/Flatiron;(212-679-0204);Indian
Sardi's;;234 W 44th St;between Broadway and Eighth Ave;;Midtown West;(212-221-8444);American
Sardi’s;;234 W 44th St;between Broadway and Eighth Ave;;Midtown West;(212-221-8440);American
Sarge’s Deli;;548 Third Ave;between 36th and 37th Sts;;Midtown East;(212-679-0442);American
Sasabune NY;;401 E 73rd St;at First Ave;;Upper East Side;(212-249-8583);Japanese
Sassy’s Sliders;;1530 Third Avenue;between 86 and 87th Sts;;Upper East Side;(212-828-6900);American
Satsko;;245 Eldridge St;between Houston and Stanton Sts;;Lower East Side;(212-358-7773);Asian: Pan-Asian
Sauce (CLOSED);;202 Ninth Ave;between 22nd and 23rd Sts;;Chelsea;(212-414-4988);American Creative
Saucy;;1409 York Ave;at 75th St;;Upper East Side;(212-249-3700);Eclectic
Savann;;414 Amsterdam Ave;between 79th and 80th Sts;;Upper West Side;(212-580-0202);French
SavorNY;;63 Clinton St;between Rivington and Stanton Sts;;Lower East Side;(212-358-7125);Eclectic
Savore;;200 Spring St;at Sullivan St;;Soho;(212-431-1212);Italian
Savoy;;70 Prince St;at Crosby St;;Soho;(212-219-8570);American Creative
Sawa;;617 Ninth Ave;between 43rd and 44th Sts;;Midtown West;(212-757-0305);Barbeque
Saxelby Cheesemongers;Essex Street Market;;120 Essex St;at Delancey St;Lower East Side;(212-228-8204);Food or Beverage Shop
Scalinatella;;201 E 61st St;between Second and Third Aves;;Upper East Side;(212-207-8280);Italian
Scalini Fedeli;;165 Duane St;between Greenwich and Hudson Sts;;Tribeca;(212-528-0400);Italian
Scarlatto;;250 W 47th St;between Broadway and Eighth Ave;;Midtown West;(212-730-4535);Italian
Scarpetta;;355 W 14th St;at Ninth Ave;;Meatpacking District;(212-691-0555);Italian
Schiller’s Liquor Bar;;131 Rivington St;at Norfolk St;;Lower East Side;(212-260-4555);Eclectic
Schnipper’s Quality Kitchen;The New York Times Building;;620 Eighth Ave;at 41st St;Midtown West;(212-921-2400);American
Sciuscià;Hotel Giraffe;;365 Park Ave South;at 26th St;Gramercy/Flatiron;(212-213-4008);Mediterranean
Scuderia;10 Downing St;;;;;;
Secession;;30 Hudson St;at Duane St;;Tribeca;(212-791-3771);Eclectic
Seh Ja Meh;;114 Greenwich St;between Albany and Carlisle Sts;;Financial District;(212-766-5825);Korean
Sel et Poivre;;853 Lexington Ave;between 64th and 65th Sts;;Upper East Side;(212-517-5780);French
Seo Japanese Restaurant;;249 E 49th St;between Second and Third Aves;;Midtown East;(212-355-7722);Japanese
Seoul Station;;81 St. Marks Pl;between First and Second Aves;;East Village;(212-979-9300);Korean
Seppi’s;;123 W 56th St;between Sixth and Seventh Aves;;Midtown West;(212-708-7444);French
Serafina Fabulous Grill;;29 E 61st St;between Madison and Park Aves;;Upper East Side;(212-702-9898);Italian
Serafina Fabulous Pizza;;1022 Madison Ave;between 78th and 79th Sts;;Upper East Side;(212-734-2676);Italian
Serafina Sandro;;38 E 58th St;between Madison and Park Aves;;Midtown East;(212-832-8888);Italian
Serafina at the Time;Time Hotel;;224 W 49th St;between Broadway and Eighth Ave;Midtown West;(212-757-9719);Italian
Serafina on Lafayette;;393 Lafayette St;at 4th St;;East Village;(212-995-9595);Italian
Serendipity 3;;225 E 60th St;between Second and Third Aves;;Upper East Side;(212-838-3531);American
Setacci;;420 Hudson St;at Leroy St;;West Village;(212-675-0810);Italian
Settemezzo;;969 Lexington Ave;between 70th and 71st Sts;;Upper East Side;(212-472-0400);Italian
Settepani;;196 Malcolm X Blvd (Lenox Ave);at 120th St;;Harlem;(917-492-4806);Italian
Seven;;350 Seventh Ave;between 29th and 30th Sts;;Chelsea;(212-967-1919);American Creative
Seymour Burton (CLOSED);;511 E 5th St;between Aves A and B;;East Village;(212-260-1333);American
Sezz Medi;;1260 Amsterdam Ave;at 122nd St;;Columbia University–City College;(212-932-2901);Mediterranean
Seäsonal Restaurant & Weinbar;;132 W 58th St;between Sixth and Seventh Aves;;Midtown West;(212-957-5550);Austrian
Shabu-Shabu 70;;314 E 70th St;between First and Second Aves;;Upper East Side;(212-861-5635);Japanese
Shabu-Tatsu;;216 E 10th St;between First and Second Aves;;East Village;(212-477-2972);Japanese
Shaburi;;125 E 39th St;between Park and Lexington Aves;;Midtown East;(212-867-6999);Japanese
Shaffer City Oyster Bar & Grill;;5 W 21st St;between Fifth and Sixth Aves;;Chelsea;(212-255-9827);Seafood
Shag;Check your bad Austin Powers jokes when you enter this small;;;;;;American
Shag;;4 Eighth Ave;between Bleecker and W 12th Sts;;West Village;(212-242-0220);American
Shake Shack;;366 Columbus Ave;at 77th St;;Upper West Side;(no phone yet);American
Shake Shack;Madison Square Park;;23rd St;at Madison Ave;Gramercy/Flatiron;(212-889-6600);American
Shalizar;;1420 Third Ave;between 80th and 81st Sts;;Upper East Side;(212-288-0012);Middle Eastern: Persian
Shang;Thompson LES Hotel;;187 Orchard St;between E Houston and Stanton Sts;Lower East Side;(212-260-7900);Chinese
Shanghai Cuisine;;89 Bayard St;at Mulberry St;;Chinatown/Little Italy;(212-732-8988);Chinese
Shanghai Mong;;30 W 32nd St;between Broadway and Fifth Ave;;Midtown West;(212-629-6450);Chinese
Shanghai Pavilion;;1378 Third Ave;between 78th and 79th Sts;;Upper East Side;(212-585-3388);Chinese
Sharaku;;14 Stuyvesant St;between Third Ave and E 9th St;;East Village;(212-598-0403);Japanese
Sharz Café & Wine Bar;;435 E 86th St;between First and York Aves;;Upper East Side;(212-369-1010);American
Shelly’s New York;;104 W 57th St;between Sixth and Seventh Aves;;Midtown West;(212-245-2422);American
Sheng Wang;;27 Eldridge St;between Canal and Division Sts;;Lower East Side;(212-925-0805);Chinese
Shilla;;37 W 32nd St;between Broadway and Fifth Ave;;Midtown West;(212-967-1880);Korean
Shima;;188–190 Second Ave;at 12th St;;East Village;(212-260-6303);Japanese
Shimizu;;318 W 51st St;between Eighth and Ninth Aves;;Midtown West;(212-581-1581);Japanese
Shipa Kasturi Pavilion;;83 Lexington Ave;between 26th and 27th Sts;;Gramercy/Flatiron;(212-679-7993);Indian
Shopsin’s;;120 Essex St;between Delancey and Rivington Sts;;Lower East Side;(no phone);Cafés & diners
Shorty's;;576 Ninth Ave;at 41st St;;Midtown West;(212-967-3055);American
Shorty’s .32;;199 Prince St;between MacDougal and Sullivan Sts;;Soho;(212-375-8275);American
Shula’s;;270 W 43rd St;at Eighth Ave;;Midtown West;(212-201-2776);Steakhouses
Shun Lee Cafe;;43 W 65th St;between Central Park West and Columbus Ave;;Upper West Side;(212-769-3888);Chinese
Shun Lee Palace;;155 E 55th St;between Lexington and Third Aves;;Midtown East;(212-371-8844);Chinese
Shun Lee West;;43 W 65th St;between Central Park West and Columbus Ave;;Upper West Side;(212-595-8895);Chinese
Sidecar;;205 E 55th St;at Third Ave;;Midtown East;(212-317-2044);American
Sigiri;;91 First Ave;between 5th and 6th Sts;;East Village;(212-614-9333);Indian: Sri Lankan
Sigiri Sri Lanka Restaurant;91 First Ave;;;;;;
Silver Moon Bakery;;2740 Broadway;at 105th St;;Upper East Side;(212-866-4717);Cafés & diners
Silver Swan (CLOSED);;41 E 20th St;between Broadway and Park Ave South;;Gramercy/Flatiron;(212-254-3611);German
Silverleaf Tavern;70 Park Hotel;;70 Park Ave;at 38th St;Midtown East;(212-973-2550);American
Simon Sips;72 E 1st St;;;;;;
Singapore Cafe;;69 Mott St;at Canal St;;Chinatown/Little Italy;(212-964-0003);Asian: Malaysian
Singapore Malaysian;95A Elizabeth St;;;;;;
Singapore Malaysian - Beef Jerky Inc.;95A Elizabeth St;;;;;;
Singapore Malaysian Beef Jerky Inc.;;95A Elizabeth St;between Grand and Hester Sts;;Chinatown/Little Italy;(212-965-0796);Asian: Malaysian
Singas Famous Pizza;;176 Second Ave;between 11th and 12th Sts;;East Village;(212-253-7300);Italian: Pizza
Sip Sak;;928 Second Ave;between 49th and 50th Sts;;Midtown East;(212-583-1900);Turkish
Sirtaj;;36 W 26th St;between Broadway and Sixth Ave;;Chelsea;(212-989-3766);Indian
Sisters Caribbean Cuisine;;47 E 124th St;between Madison and Park Aves;;East Harlem;(212-410-3000);Caribbean
Sistina;;1555 Second Ave;between 80th and 81st Sts;;Upper East Side;(212-861-7660);Italian
Sitar;;58 W 56th St;between Fifth and Sixth Aves;;Midtown West;(212-581-1155);Indian
Skylight Diner;;402 W 34th Street;at Ninth Ave;;Midtown West;(212-244-0395);Cafés & diners
Slice;;1413 Second Ave;between 73rd and 74th Sts;;Upper East Side;(212-249-4353);Italian: Pizza
Smith & Mills;;71 North Moore St;between Greenwich and Hudson Sts;;Tribeca;(no phone);Eclectic
Smith & Wollensky;;797 Third Ave;at 49th St;;Midtown East;(212-753-1530);Steakhouses
Smith’s;;79 MacDougal St;between Bleecker and W Houston Sts;;West Village;(212-260-0100);American
Smith’s Bar & Restaurant;;701 Eighth Ave;at 44th St;;Midtown West;(212-246-3268);American
Smokin’ Q;;206 E 63rd St;between Second and Third Aves;;Upper East Side;(212-355-7000);Barbeque
Smorgas Chef;;924 Second Ave;at 49th St;;Midtown East;(212-486-1411);Scandinavian
Smorgas Chef;;53 Stone St;between Broad St and Hanover Sq;;Financial District;(212-422-3500);Scandinavian
Snack;;105 Thompson St;between Prince and Spring Sts;;Soho;(212-925-1040);Greek
Snack Taverna;;63 Bedford St;at Morton St;;West Village;(212-929-3499);Greek
Soba Totto;;211 E 43rd St;between Second and Third Aves;;Midtown East;(212-557-8200);Japanese
Soba-ya;;229 E 9th St;between Second and Third Aves;;East Village;(212-533-6966);Japanese
SobaKoh;;309 E 5th St;between First and Second Aves;;East Village;(212-254-2244);Japanese
Socarrat Paella Bar;;259 W 19th St;between Seventh and Eighth Aves;;Chelsea;(212-462-1000);Spanish
Sofrito;;400 E 57th St;between First Ave and Sutton Pl;;Midtown East;(212-754-5999);Caribbean: Puerto Rican
Soho Cantina East (CLOSED);;264 Elizabeth St;between Houston and Prince Sts;;Chinatown/Little Italy;(212-219-9212);Mexican
Soho Park;;62 Prince St;at Lafayette St;;Soho;(212-219-2129);Cafés
Sokobolie;...;;;;;;
Sokobolie;;2529 Eighth Ave;at 135th St;;Harlem;(212-491-3969);African: Senegalese
Sol y Sombra Tapas Bar and Restaurant;;462 Amsterdam Ave;between 82nd and 83rd Sts;;Upper West Side;(212-400-4036);Spanish
Solace (CLOSED);;406 E 64th St;between First and York Aves;;Upper East Side;(212-750-0434);Eclectic
Solera;;216 E 53rd St;between Second and Third Aves;;Midtown East;(212-644-1166);Spanish
Solo;;550 Madison Ave;between 55th and 56th Sts;;Midtown East;(212-833-7800);Kosher
Son Cubano;;405 W 14th St;between Ninth and Tenth Aves;;Meatpacking District;(212-366-1640);Caribbean: Cuban
Song 7.2;;117 Second Ave;at 7th St;;East Village;(212-777-1286);Asian: Pan-Asian
Sonia Rose;;74 Orchard St;at Grand St;;Lower East Side;(212-260-5317);French
Sookk;;2686 Broadway;between 102nd and 103rd Sts;;Upper West Side;(212-870-0253);Asian: Pan-Asian
Sophie’s Restaurant;;96 Chambers St;between Broadway and Church St;;Tribeca;(212-608-9900);Caribbean: Cuban
Sophie’s Restaurant;;73 New St;between Beaver St and Exchange Pl;;Financial District;(212-809-7755);Caribbean: Cuban
Sophie’s Restaurant;;205 Pearl St;between Maiden Ln and Platt St;;Financial District;(212-269-0909);Caribbean: Cuban
Sophie’s Restaurant;;106 Greenwich St;between Carlisle and Rector Sts;;Tribeca;(212-619-6100);Caribbean: Cuban
Sorella;;95 Allen St;between Broome and Delancey Sts;;Lower East Side;(212-274-9595);Italian
Sortie;;329 51st St;between Eighth and Ninth Aves;;Midtown West;(212-265-0650);Eclectic
Sosa Borella;;832 Eighth Ave;between 50th and 51st Sts;;Midtown West;(212-262-8282);Italian
Sosa Borella (CLOSED);;460 Greenwich St;between Desbrosses and Watts Sts;;Tribeca;(212-431-5093);Italian
Soto;;357 Sixth Ave;at Washington Pl;;West Village;(212-414-3088);Japanese
Souen;;210 Sixth Ave;at Prince St;;Soho;(212-807-7421);Vegetarian & Organic
Souen;;28 E 13th St;between Fifth Ave and University Pl;;Greenwich Village;(212-627-7150);Vegetarian & Organic
Souen Organic Ramen;326 E 6th St;;;;;;
Soul;Spirit Nightclub;;530 W 27th St;between Tenth and Eleventh Aves;Chelsea;(212-268-9477);Vegetarian & Organic
Soul Cafe;;444 W 42nd St;between Ninth and Tenth Aves;;Midtown West;(212-244-7685);American Regional
Soul Fixins;;371 W 34th St;between Eighth and Ninth Aves;;Midtown West;(212-736-1345);American Regional
Soup Man;;501 Fifth Ave;at 42nd St;;Midtown East;(212-599-5900);American
Soupman Café;;2046 Adam Clayton Powell Jr. Blvd (Seventh Ave);between 122nd and 123rd Sts;;Harlem;(212-666-7551);American
South Gate;;154 Central Park South;between Sixth and Seventh Aves;;Midtown West;(212-484-5120);American
SouthWestNY;;2 World Financial Center;between Liberty and Vesey Sts;;Financial District;(212-945-0528);American Regional
Southern Hospitality;;1460 Second Avenue;between 76th and 77th Sts;;Upper East Side;(212-249-1001);Barbeque
Soy;;102 Suffolk St;between Delancey and Rivington Sts;;Lower East Side;(212-253-1158);Japanese
Soy Luck Club;;115 Greenwich Ave;at Jane St;;West Village;(212-229-9191);Vegetarian & Organic
SpaHa Café;1872 Lexington Ave;;;;;;
Spain;;113 W 13th St;between Sixth and Seventh Aves;;West Village;(212-929-9580);Spanish
Spanky’s BBQ;;127 W 43rd St;between Broadway and Sixth Ave;;Midtown West;(212-302-9507);Barbeque
Spanky’s BBQ (CLOSED);127 W 43rd St;;;;;;
Sparks;;210 E 46th St;between Second and Third Aves;;Midtown East;(212-687-4855);Steakhouses
Spice;;60 University Pl;between 10th and 11th Sts;;Greenwich Village;(212-982-3758);Thai
Spice;;199 Eighth Ave;between 20th and 21st Sts;;Chelsea;(212-989-1116);Thai
Spice;;1411 Second Ave;between 73rd and 74th Sts;;Upper East Side;(212-988-5348);Thai
Spice Cove;;326 E 6th St;between First and Second Aves;;East Village;(212-674-8884);Indian
Spice Market;;403 W 13th St;at Ninth Ave;;Meatpacking District;(212-675-2322);Indian
Spiga;;200 W 84th St;at Amsterdam Ave;;Upper West Side;(212-362-5506);Italian
Spigolo;;1561 Second Ave;at 81st St;;Upper East Side;(212-744-1100);Italian
Spitzer’s Corner;;101 Rivington St;at Ludlow St;;Lower East Side;(212-228-0027);American
Spotlight Live;;1604 Broadway;between 48th and 49th Sts;;Midtown West;(212-262-1111);American
Spotlight Live (CLOSED);1604 Broadway;;;;;;
Spring Street Natural;;62 Spring St;at Lafayette St;;Soho;(212-966-0290);Vegetarian & Organic
Spunto;65 Carmine St;;;;;;
Square Diner;;33 Leonard St;at W Broadway;;Tribeca;(212-925-7188);Cafés & diners
Square Meal;;30 E 92nd St;between Fifth and Madison Aves;;Upper East Side;(212-860-9872);American
St. Andrew’s Pub;;120 W 44th St;between Sixth Ave and Broadway;;Midtown West;(212-840-8413);British & Irish
St. Dymphna’s;;118 St Marks Pl;between Ave A and First Ave;;East Village;(212-254-6636);British & Irish
Stage Deli;;834 Seventh Ave;between 53rd and 54th Sts;;Midtown West;(212-245-7850);American
Stage Deli;;1481 Second Ave;at 77th St;;Upper East Side;(212-439-9989);American
Staghorn Steakhouse;;315 W 36th St;between Eighth and Ninth Aves;;Midtown West;(212-239-0923);Steakhouses
Stand;;24 E 12th St;between Fifth Ave and University Pl;;Greenwich Village;(212-488-5900);American
Stanton;;244 E 79th St;between Second and Third Aves;;Upper East Side;(212-537-7745);Eclectic
Steak Frites;;225 Varick St;at Clarkson St;;Soho;(212-463-7101);Steakhouses
Stella Maris;;213 Front St;between Beekman St and Peck Slip;;Financial District;(212-233-2417);French
Sticky Rice Thai Barbecue;;85 Orchard St;between Broome and Grand Sts;;Lower East Side;(212-274-8208);Thai
Stogo;;159 Second Ave;at 10th St;;East Village;(212-677-2301);Food or Beverage Shop
Strip House;;13 E 12th St;between Fifth Ave and University Pl;;Greenwich Village;(212-328-0000);Steakhouses
Suba;;109 Ludlow St;between Delancey and Rivington Sts;;Lower East Side;(212-982-5714);Spanish
Sueños;;311 W 17th St;between Eighth and Ninth Aves;;Chelsea;(212-243-1333);Mexican
Sugar Bar;;254 W 72nd St;between Broadway and West End Ave;;Upper West Side;(212-579-0222);Caribbean
Sugar Café;;200 Allen St;at Houston St;;Lower East Side;(212-260-1122);Cafés
Sugar Hill Bistro (CLOSED);;458 W 145th St;between Convent and Amsterdam Aves;;Columbia University–City College;(212-491-5505);American Regional
Sugar Sweet Sunshine;;126 Rivington St;between Essex and Norfolk Sts;;Lower East Side;(212-995-1960);Food or Beverage Shop
Sugiyama;;251 W 55th St;between Broadway and Eighth Ave;;Midtown West;(212-956-0670);Japanese
Sukhadia’s;;17 W 45th St;between Fifth and Sixth Aves;;Midtown West;(212-395-7300);Indian
Sullivan Diner;;169 Sullivan St;at W Houston St;;Greenwich Village;(212-228-6091);Cafés & diners
Sullivan Street Bakery;;533 W 47th St;between Tenth and Eleventh Aves;;Midtown West;(212-265-5580);Food or Beverage Shop
Sumile Sushi;;154 W 13th St;between Sixth and Seventh Aves;;West Village;(212-989-7699);Japanese
Sun Dou Dumpling Shop;;214 Grand St;between Elizabeth and Mott Sts;;Chinatown/Little Italy;(212-965-9663);Chinese
Sun Dou Dumpling Shop;...;;;;;;
Sundaes and Cones;;95 E 10th St;at Third Ave;;East Village;(212-979-9398);Cafés
Sunrise Mart;4 Stuyvesant St;;between Third Ave and E 9th St;second floor;East Village;(212-598-3040);Food or Beverage Shop
Sunshine Restaurant;;46 Bowery;between Bayard and Canal Sts;;Chinatown/Little Italy;(212-374-1319);Chinese
Super Taste;;26 Eldridge St;at Canal St;;Chinatown/Little Italy;(212-625-1198);Chinese
Supermac;;348 Seventh Ave;between 29th and 30th Sts;;Chelsea;(212-760-1900);American
Supper;;156 E 2nd St;between Aves A and B;;East Village;(212-477-7600);Italian
Sura: The King’s Meal;;105 E 9th St;between Third and Fourth Aves;;East Village;(212-982-6390);Korean
