restaurant;neighborhood
Silver Moon Bakery;Upper W. Side
Silver Spurs Restaurant;W. Village
Silver Star Restaurant Inc;Upper E. Side
Silver Swan;Flatiron/U. Sq.
Simla Indian Restaurant;Upper E. Side
Simons Noodle Shop & Grill;Upper E. Side
Simply Caribbean;W. Village
Singleton's;Harlem
Sip Sak;Midtown East
Sirabella's Restaurant;Upper E. Side
Sirocco;TriBeCa/SoHo
Sistina;Upper E. Side
Sitar Indian Cuisine Inc;Midtown West
Skylight Diner;Midtown West
Skyline Restaurant Cafe;Upper E. Side
Smith & Wollensky Steak House;Midtown East
Snack;TriBeCa/SoHo
Snack Bar;Flatiron/U. Sq.
Snack Taverna;W. Village
Snowpea Cafe;Midtown West
SoHo Cantina;TriBeCa/SoHo
SoHo SoHo;TriBeCa/SoHo
Soba Nippon;Midtown West
Soba-Ya;E. Village
SobaKoh;E. Village
Socrates Restaurant;Lower Manhattan
Sofia Il Valletto;Midtown East
Sofia On Bleecker;W. Village
Sofia's;Midtown West
Solace Cafe Corp;Lower Manhattan
Solera;Midtown East
Solo;Midtown East
Soma Soup;Upper W. Side
Son Cubano;W. Village
Sonali Indian Restaurant;E. Village
Sonar Goan Restaurant;E. Village
Sosa Borella;TriBeCa/SoHo
Sotto Cinque Restaurant;Murray Hill
Souen Restaurant;E. Village
Soul Fixins';Midtown West
Soup Burg;Upper E. Side
Soup Nutsy;Midtown West
Souperman;Lower Manhattan
Southside Cafe;Midtown West
Southwest NY;Lower Manhattan
Spada;Upper E. Side
Spain Restaurant;W. Village
Spanish Taverna;Midtown West
Spanky's BBQ;Midtown West
Sparks Steak House;Midtown East
Spice;Upper E. Side
Spice Market;W. Village
Spigolo;Upper E. Side
Spoons Squared Inc;Midtown East
Spring Joy;Chelsea
Spring Street Natural Restaurant;TriBeCa/SoHo
Square Diner Corp;Lower Manhattan
St Charlie's Restaurant;Lower Manhattan
St. Andrew's;Midtown West
St. Dymphna's;E. Village
St. Maggie's Cafe;Lower Manhattan
Stage Coach Deli;Midtown West
Stage Deli;Midtown West
Stanton Social;E. Village
Star Diner Restaurant Inc;Midtown West
Star Fried Chicken;Upper E. Side
Stardust Chinese;TriBeCa/SoHo
Stardust Diner;Midtown West
Stargate Restaurant;Upper E. Side
Starlight Restaurant & Deli;Midtown East
Starlite Diner Cafe;Upper E. Side
Starwich;Midtown West
Steak Frites;Flatiron/U. Sq.
Steamer's Landing;Lower Manhattan
Stella;TriBeCa/SoHo
Stella di Mare;Murray Hill
Stepmama;E. Village
Sticky Fingers;Lower E. Side
Streetcar Cafe;Midtown West
Stringfellows Of New York Ltd;Flatiron/U. Sq.
Stromboli Pizza Inc;E. Village
Studio Coffee Shop;Midtown West
Suba;Lower E. Side
Suba (CLOSING FEBRUARY 2009);Lower E. Side
Success Chinese Restaurant;Chelsea
Sud;W. Village
Sueños;Chelsea
Sugar Hill Bistro;Harlem
Sugiyama;Midtown West
Suibi Japanese Restaurant;Midtown East
Sullivan Street Bakery;TriBeCa/SoHo
Sullivan Street Bakery;Midtown West
Sultan II;Flatiron/U. Sq.
Sumile;W. Village
Sumou Japanese Restaurant Inc;Lower Manhattan
Sun Golden Island;Chinatown
Sun Lok Kee Rice Shop;Chinatown
Sun Say Gay Restaurant Inc;Chinatown
Sun Tin Yick;Chinatown
Sung Lin;TriBeCa/SoHo
Sungarden;Midtown East
Sunny East Restaurant;Midtown West
Sunrise 27;Chinatown
Super Tacos;Upper W. Side
Supper;E. Village
Surya;W. Village
Sushi Desse;Flatiron/U. Sq.
Sushi Hana;Upper E. Side
Sushi On Hudson;W. Village
Sushi Samba;Flatiron/U. Sq.
Sushi Samba 7;W. Village
Sushi Seki;Upper E. Side
Sushi Yasu;Midtown West
Sushi Yasuda;Midtown East
Sushi Zen;Midtown West
Sushi a Go-Go;Upper W. Side
Sushi of Gari;Upper E. Side
Sushi-q Japanese Take Out;Upper E. Side
Sushi-tei;Midtown East
Sushi-tei 47 Inc;Midtown East
Sushi-tei Restaurant;Midtown East
Sushiden;Midtown West
Sushiden;Midtown East
Sweet-n-Tart Cafe;Chinatown
Sweet-n-Tart Restaurant;Chinatown
Swift;E. Village
Swifty's;Upper E. Side
Swim Market;Upper E. Side
Swing Street;Midtown East
Swissing Restaurant;Midtown West
Symposium Greek Restaurant;Upper W. Side
Syrah;Upper E. Side
Szechuan Hunan Cottage;Upper E. Side
Szechuan Palace;Upper E. Side
T G Whitneys';Midtown East
T J's Southern Gourmet;Lower Manhattan
T Salon and T Emporium;Flatiron/U. Sq.
T.S. Ma;Midtown West
Tabla;Flatiron/U. Sq.
Table d'Hote;Upper E. Side
Taboon;Midtown West
Tachigui Soba;Midtown West
Taco King;Upper E. Side
Taco Taco;Upper E. Side
Tacos & Burritos Place Express;Lower Manhattan
Tad's Steaks;Midtown West
Tads;Midtown West
Tagine Dining Gallery;Midtown West
Tai Hong Lau;Chinatown
Taj Restaurant Inc;E. Village
Tajmahal Indian Restaurant;E. Village
Takahachi;E. Village
Take;Lower Manhattan
Tam-tam Bar;Midtown East
Tamarind;Flatiron/U. Sq.
Tamura;Lower Manhattan
Tandoor Palace Inc;Lower Manhattan
Tang Pavilion;Midtown West
Tang Tang;Flatiron/U. Sq.
Tano;Upper E. Side
Tanti Baci Caffe;W. Village
Tao;Midtown East
Tapastry;W. Village
Taqueria Y Fonda La Mexicana;Upper W. Side
Tara;E. Village
Taron Sushi;Midtown East
Tartine;W. Village
Taste;Upper E. Side
Taste Good Chinese Kitchen;Harlem
Taste Of China;E. Village
Taste Of India Restaurant;W. Village
Tatany 52 Inc;Midtown East
Tatany Japanese Restaurant;Murray Hill
Tavern on the Green;Upper W. Side
Tea & Sympathy;W. Village
Tea Box Cafe;Midtown East
Tea Cafe;W. Village
Tea Den Chinese Restaurant In;Midtown West
Teany;Lower E. Side
Teatro Grill;Midtown West
Telepan;Upper W. Side
Telephone Bar & Grill;E. Village
Tello;Chelsea
Temple;E. Village
Temple Bar;E. Village
Ten Pell Restaurant;Chinatown
Tennessee Mountain;TriBeCa/SoHo
Tennessee Mountain;Midtown West
Teodora;Midtown East
Tequila's;Upper W. Side
Tequilas Mexican Grill Rstrnt;W. Village
Tequilaville;Midtown East
Tequilaville;Murray Hill
Tequilaville;Midtown West
Teresa Mimmo's;Chinatown
Teresa's;Midtown West
Teresa's Of Mulberry St;Chinatown
Teriyaki Boy;Lower Manhattan
Teriyaki Boy;Midtown West
Teriyaki Boy;Lower E. Side
Teriyaki Boy Inc;Flatiron/U. Sq.
Tevere 84 Italian Glatt Kosher;Upper E. Side
Texas Rotisserie & Grill;Upper W. Side
Texas Rotisserie Chicken & Rib;E. Village
Texas Rotisserie Chicken & Rib;Lower Manhattan
Texas Smokehouse BBQ and Bourbon Bar;Flatiron/U. Sq.
Thai Basile Ltd;Midtown West
Thai Orchid;Midtown East
Thai Spice Restaurant;W. Village
Thai Village;W. Village
Thailand Restaurant;Chinatown
Thalia;Midtown West
Thalia Kitchen;Midtown West
Thau Restaurant Inc;Upper E. Side
The Adore;E. Village
The Alamo;Midtown East
The Algonquin Hotel;Midtown West
The Bistro At Candy Bar;Chelsea
The Black Duck;Flatiron/U. Sq.
The Commons;Upper E. Side
The Delta Grill;Midtown West
The E.U.;E. Village
The French Butcher;Flatiron/U. Sq.
The Garrick;Midtown West
The Harrison;TriBeCa/SoHo
The James Beard Foundation;W. Village
The Kosher Marketplace;Upper W. Side
The Library;Upper E. Side
The Little Owl;W. Village
The Little Place;TriBeCa/SoHo
The Mercer Kitchen;TriBeCa/SoHo
The Modern;Midtown West
The Orchard;Lower E. Side
The Oven;E. Village
The Palm;Midtown East
The Park;Chelsea
The Place;W. Village
The Restaurant at Splashlight Studios;Midtown West
The River Room;Harlem
The Russian Tea Room;Midtown West
The Secret Palace;E. Village
The Spotted Pig;W. Village
The Steakhouse at Fairway;Upper W. Side
The Tapas Lounge;Midtown East
The Tasting Room Wine Bar and Cafe;E. Village
The Terrace;Upper W. Side
The Water Club;Murray Hill
The Waverly Inn;W. Village
Third & Long;Murray Hill
Thor;Lower E. Side
Three Decker Restaurant Inc;Upper E. Side
Three Guys Restaurant;Upper E. Side
Three Star Coffee Shop;Upper W. Side
Three Stars Diner;Upper E. Side
Three of Cups;E. Village
Tia Pol;Chelsea
Tibet Shambala;Upper W. Side
Tibet on Houston;W. Village
Tibetan Kitchen;Murray Hill
Tick Tock Diner;Midtown West
Tiemann Oasis;Upper W. Side
Tien Garden Inc;E. Village
Tiffin;TriBeCa/SoHo
Timothy's Coffees Of The World;Upper E. Side
Tindo Restaurant Inc;Chinatown
Tintol;Midtown West
Tio Pepe Restaurant;W. Village
Tir Na Nog;Midtown West
Tivoli Restaurant;Murray Hill
Toast;Harlem
Todaro Bros.;Murray Hill
Tokubei 86;Upper E. Side
Tokyo Lamen;E. Village
Tokyo Lunch;Lower Manhattan
Toledo;Murray Hill
Tom's Restaurant;Upper W. Side
Tomoe Sushi;W. Village
Tomotachi Sushi Take Out;TriBeCa/SoHo
Tony's Di Napoli;Upper E. Side
Toon's;TriBeCa/SoHo
Top Broccoli Restaurant;Midtown West
Top of the Tower;Midtown East
Top of the Tower — Beekman Tower Hotel;Midtown East
Topaz Thai;Midtown West
Torch;E. Village
Torremolinos;Midtown East
Tortilla Flats;W. Village
Tossed;Flatiron/U. Sq.
Totonno Pizzeria;Upper E. Side
Totoya Restaurant;Upper E. Side
Tout Va Bien;Midtown West
Town;Midtown West
Townhouse Restaurant;Midtown East
Tracy's on the Side;Chelsea
Trata;Upper E. Side
Trattoria Alba;Murray Hill
Trattoria Dopo Teatro;Midtown West
Trattoria Rustica;Upper E. Side
Trattoria Spaghetto;W. Village
Trattoria Trecolori Inc;Midtown West
Trattoria dell'Arte;Midtown West
Trattoria i Pagliacci;Flatiron/U. Sq.
Tre Dici;Chelsea
Tre Pomodori Restaurant;Murray Hill
Tre Pomodoro Restaurant;Upper E. Side
Treaty Stone Restaurant;Chelsea
Treehouse;W. Village
Tres Aztecas;Lower E. Side
Trestle on Tenth;Chelsea
Trevi Coffee Shop;Flatiron/U. Sq.
Triad Restaurant & Theater;Upper W. Side
Triangolo;Upper E. Side
Tribeca Diner;Lower Manhattan
Tribeca Grill;TriBeCa/SoHo
Trio;Murray Hill
Triomphe;Midtown West
Triple A Restaurant;Harlem
Trippletail;Upper E. Side
Triumph Restaurant Corp;W. Village
Trois Marches;Upper E. Side
Trolley's Deli & Pizza;Midtown West
Tsampa;E. Village
Tse Yang;Midtown East
Tsuki;Upper E. Side
Tsukushi;Midtown East
Tu Do Restaurant Corp;Chinatown
Tung Cheung;Midtown East
Tupelo Grill;Midtown West
Turkish Cuisine;Midtown West
Turkish Grill;W. Village
Turkish Kitchen;Murray Hill
Turkuaz;Upper W. Side
Turquoise Seafood Restaurant;Upper E. Side
Tuscan Square;Midtown West
Tutta Pasta Restaurant;W. Village
Tutta Pasta Restaurant;E. Village
Two Boots;Midtown East
Two Boots;E. Village
Two Boots To Go;W. Village
Two Boots To Go;E. Village
Two Rancheros Restaurant;Midtown West
Typhoon Asian Restaurant;Chelsea
Typhoon Lounge;E. Village
UKNEWYORK;TriBeCa/SoHo
Uguale;W. Village
Ukrainian East Village Rstrnt;E. Village
Umbertos Clam House;Chinatown
Uminoie;E. Village
Una Pizza Napoletana;E. Village
Uncle Moe's Burritos;Flatiron/U. Sq.
Uncle Nick's Greek Cuisine;Midtown West
Uncle Vanya;Midtown West
Under The Stairs Restaurant;Upper W. Side
Underground Pizzeria;Lower Manhattan
Unicorn Restaurant;Harlem
Union Square;Flatiron/U. Sq.
Union Square Cafe;Flatiron/U. Sq.
University Place Restaurant;E. Village
Upstairs at '21';Midtown West
Upstairs at Bouley Bakery and Market;TriBeCa/SoHo
Urban Hero;Midtown West
Urena's Restaurant;Harlem
Usküdar;Upper E. Side
Utopia;Upper W. Side
Utsav;Midtown West
Uva;Upper E. Side
V & T Pizzeria;Upper W. Side
Va Bene;Upper E. Side
Va Tutto;TriBeCa/SoHo
Vago;Midtown West
Vandam;TriBeCa/SoHo
Vandam Diner;TriBeCa/SoHo
Vani Coffee Shop Inc;Chelsea
Varietal;Chelsea
Vatan;Murray Hill
Vazacs Horseshoe Bar;E. Village
Vege Vege Ii;Murray Hill
Vegetable Garden;Murray Hill
Velli;W. Village
Velvet 51;E. Village
Velvet Restaurant And Lounge;TriBeCa/SoHo
Vento Trattoria;W. Village
Venus Coffee Shop;Midtown East
Verdi's Food Enterprises;Midtown West
Veritas;Flatiron/U. Sq.
Vermicelli;Upper E. Side
Veselka;E. Village
Vespa;Upper E. Side
Vesuvio Bakery;TriBeCa/SoHo
Via Brasil Inc;Midtown West
Via Emilia;Flatiron/U. Sq.
Via Oreto;Upper E. Side
Via Oreto (CLOSED);Upper E. Side
Via Quadronno;Upper E. Side
Viand Coffee Shop;Upper E. Side
Viceroy;Chelsea
Viceversa;Midtown West
Vico;Upper E. Side
Victor's Cafe;Midtown West
Victoria Restaurant;Midtown East
Victory Cafe;Upper E. Side
VietCafe;Lower Manhattan
View Restaurant;Midtown West
Vigneti;Midtown East
Villa Berulia;Murray Hill
Villa Mosconi;W. Village
Village;W. Village
Village Crown Inc;E. Village
Village Natural Restaurant;W. Village
Vince & Eddie's;Upper W. Side
Vincent's Restaurant;Chinatown
Vinci's Brothers Pizza Corp;Upper E. Side
Vinegar Factory Restaurant;Upper E. Side
Vintage;Midtown West
Vintage New York WineBar;TriBeCa/SoHo
Virage;E. Village
Virgil's Real BBQ;Midtown West
Vittorio Restaurant;W. Village
Viva Brasil;Upper W. Side
Viva Pancho West 44th Street;Midtown West
Vivolo;Upper E. Side
Volare Restaurant Corp;W. Village
Vong;Midtown East
Vp2;W. Village
Vp2 Go;W. Village
Vuli Restaurant;Midtown East
Vynl Diners;Midtown West
W K Restaurant Inc;Chinatown
WD-50;Lower E. Side
Waldy's Wood-Fired Pizza & Penne;Chelsea
Walker's;TriBeCa/SoHo
Wallse;W. Village
Washington Place Restaurant;W. Village
Washington Square Coffee Shop;W. Village
Wave Japanese Restaurant;Lower Manhattan
West 79 Restaurant;Upper W. Side
West Bank Cafe;Midtown West
West Bank Cafe and Laurie Beechman Theater;Midtown West
West End;Upper W. Side
West End Gate;Upper W. Side
West Side Cottage;Midtown West
West Side Diner;Midtown West
Western Seaworld;Chelsea
Westside Cafe;Midtown West
Westside Cottage Ii;Midtown West
Westside Deli;Midtown West
Westside Diner;Midtown West
Westside Restaurant;Upper W. Side
Westway Diner Inc;Midtown West
Wheeltapper;Midtown East
White Horse Tavern;W. Village
Who's On First;Upper E. Side
Wichcraft;Midtown West
Wicked Wolf Restaurant;Upper E. Side
Wilkinson's Seafood Restaurant;Upper E. Side
Williams Bar-b-cue Poultry;Upper W. Side
Win Hop Restaurant Inc;Chinatown
Win49;Lower E. Side
Windows On India Restaurant;E. Village
Wing Dong;Harlem
Wing Hing;Midtown West
Wing Wah Restaurant;Harlem
Wing Wong Chinese Restaurant;Chinatown
Wing Yuan Kitchen Restaurant;Flatiron/U. Sq.
Wings Of Westwood;Lower Manhattan
Wo Hop Restaurant;Chinatown
Wo On Restaurant Inc;Chinatown
Wok & Roll;Midtown West
Wok 'n Roll;Upper E. Side
Wok 'n Roll;Midtown West
Wok 63;Upper E. Side
Wolfgang's Steakhouse;Murray Hill
Wollensky's Grill;Midtown East
Wondee Siam;Midtown West
Wondee Siam II;Midtown West
Woo Chon;Midtown West
Woo Lae Oak;TriBeCa/SoHo
World Cafe;Upper W. Side
World Cup Cafe Inc;Upper E. Side
World Yacht Dining Cruises;Midtown West
Wu Liang Ye;Murray Hill
Wu Liang Ye;Midtown West
Wu Liang Ye;Upper E. Side
Xando - Broadway;Upper W. Side
Xando Cosi;Murray Hill
Xing;Midtown West
Xunta;E. Village
Yaffa Cafe;E. Village
Yaffa's T-Room;TriBeCa/SoHo
Yakiniku Juju;Flatiron/U. Sq.
Yakitori Taisho;E. Village
Yakitori Torys;Midtown East
Yakitori Totto;Midtown West
Yakko Co;Murray Hill
Yama Japanese;Flatiron/U. Sq.
Yamaguchi Restaurant Corp;Midtown West
Yankee Clipper Restaurant;Lower Manhattan
Yatagan Kebab House;W. Village
Yazmin's Express;Upper W. Side
Yeman & Somalia Restaurant;Harlem
Yet Jip;Midtown West
Yetang Corp;Midtown East
Yip's Restaurant;Lower Manhattan
Yippie Yi Yo Cafe;Upper W. Side
Yips;Midtown West
Yodo Restaurant Of Japan;Midtown East
Yonah Schimmel's Knishes;Lower E. Side
Yonehama;Midtown East
York Grill;Upper E. Side
York Indian Cuisine;Upper E. Side
York Pizza & Pita Cafe;Upper E. Side
York Villa Pizzeria;Upper E. Side
Yorkville Inn;Upper E. Side
Yoshi;Midtown West
You-Chun;Midtown West
Yue Wah Chinese Restaurant;Midtown West
Yuka Restaurant;Upper E. Side
Yura & Co.;Upper E. Side
Zafis Luncheonette;Lower E. Side
Zanzibar;Midtown West
Zarela;Midtown East
Zen;Lower Manhattan
Zen Palate;Midtown West
Zen Restaurant;E. Village
Zenith Vegetarian Cuisine;Midtown West
Zephyr Grill;Midtown East
Zerza;E. Village
Zesty Pizzeria;Upper E. Side
Zi Teresa Of Chelsea;Midtown West
Zia Tonia/Buon Italia;Chelsea
Zido's Coffee & Espresso Bar;Flatiron/U. Sq.
Zig K Corp;E. Village
Zoe;TriBeCa/SoHo
Zoma;Harlem
Zona Rosa;Midtown West
Zona Rosa (CLOSED);Midtown West
Zucchero;Upper E. Side
Zucco;Lower E. Side
Zula;Upper W. Side
Zum Schneider;E. Village
Zuni;Midtown West
Zutto Japanese Restaurant;TriBeCa/SoHo
Zócalo;Upper E. Side
Zócalo;Midtown East
ino;W. Village
Ñ 33 Crosby;TriBeCa/SoHo
