restaurant;in;address1;address2;address3;neighborhood;phone;type;addressGoogle
TOM: Tuesday Dinner;;47 E 19th St;between Broadway and Park Ave;;Gramercy/Flatiron;(212-400-6495);American Creative;47 E 19th St
Taam Tov;41 W 47th St;;between Fifth and Sixth Aves;second floor;Midtown West;(212-768-8001);Kosher;
Tabla;;11 Madison Ave;at 25th St;;Gramercy/Flatiron;(212-889-0667);Indian;11 Madison Ave
Tabla Bread Bar;;11 Madison Ave;at 25th St;;Gramercy/Flatiron;(212-889-0667);Indian;11 Madison Ave
Tabla Street Cart;;11 Madison Ave;at 25th St;;Gramercy/Flatiron;(no phone);Indian;11 Madison Ave
Table d’Hôte;;44 E 92nd St;between Madison and Park Aves;;Upper East Side;(212-348-8125);French;44 E 92nd St
Taboon;;773 Tenth Ave;at 52nd St;;Midtown West;(212-713-0271);Middle Eastern;773 10th Ave
Taco Taco;;1726 Second Ave;between 89th and 90th Sts;;Upper East Side;(212-289-8226);Mexican;1726 2nd Ave
Tadka;;229 E. 53rd St;between Second and Third Aves;;Midtown East;(212-355-9660);Indian;229 E 53rd St
Tafu;;569 Lexington Ave;at 51st St;;Midtown East;(212-980-1310);Cafés & diners;Double tree Metropolitan
Tagine Dining Gallery;;537 Ninth Ave;between 39th and 40th Sts;;Midtown West;(212-564-7292);Moroccan;537 9th Ave
Tai;;223 Mulberry St;between Prince and Spring Sts;;Chinatown/Little Italy;(212-965-0439);Thai;223 Mulberry St
Tailor;;525 Broome St;between Thompson and Sullivan Sts;;Soho;(212-334-5182);Cafés & diners;525 Broome St
Taj;;48 W 21st St;between Fifth and Sixth Aves;;Chelsea;(212-620-3033);Indian;DEZER BUILDING
Taj Mahal;;318 E 6th St;between First and Second Aves;;East Village;(212-529-2217);Indian;318 E 6th St
Taja;;1425 Second Ave;between 74th and 75th Sts;;Upper East Side;(212-734-9940);Moroccan;1425 2nd Ave
Takahachi;;85 Ave A;between 5th and 6th Sts;;East Village;(212-505-6524);Japanese;85 Avenue A
Takahachi Tribeca;;145 Duane St;between Church St and West Broadway;;Tribeca;(212-571-1830);Japanese;145 Duane St
Taksim;;99 Second Ave;between 5th and 6th Sts;;East Village;(212-979-5400);Turkish;99 2nd Ave
Talay;;701 W 135th St;at Twelfth Ave;;Harlem;(212-491-8300);Asian: Pan-Asian;701 W 135th St
Talia’s Steakhouse & Bar;;668 Amsterdam Ave;between 92nd and 93rd Sts;;Upper West Side;(212-580-3770);Kosher;668 Amsterdam Ave
Tamarind;;424 Amsterdam Ave;between 80th and 81st Sts;;Upper West Side;(212-712-1900);Indian;424 Amsterdam Ave
Tamarind;;41 E 22nd St;between Broadway and Park Ave South;;Gramercy/Flatiron;(212-674-7400);Indian;41 E 22nd St
Tamarind Tea Room;;43 E 22nd St;between Broadway and Park Ave South;;Gramercy/Flatiron;(212-674-7400);Indian;43 E 22nd St
Tang Pavilion;;65 W 55th St;between Fifth and Sixth Aves;;Midtown West;(212-956-6888);Chinese;65 W 55th St
Tanti Baci Caffè;;163 W 10th St;between Waverly Pl and Seventh Ave South;;West Village;(212-647-9651);Italian;163 W 10th St
Tanti Baci Flower Room;;135 Seventh Ave South;between Charles and W 10th Sts;;West Village;(212-727-8333);Italian;135 7th Ave S
Tao;;42 E 58th St;between Madison and Park Aves;;Midtown East;(212-888-2288);Asian: Pan-Asian;42 E 58th St
Tapeo 29;;29 Clinton St;at Stanton St;;Lower East Side;(212-979-0002);Spanish;29 Clinton St
Taperia Madrid;;1471 Second Ave;between 76th and 77th Sts;;Upper East Side;(212-794-2923);Spanish;1471 2nd Ave
Taqueria California;;3151 Broadway;between LaSalle St and Tiemann Pl;;Columbia University–City College;(212-665-7338);Mexican;3151 Broadway
Tarabia (CLOSED);;1071 First Ave;between 58th and 59th Sts;;Midtown East;(212-888-0809);Turkish;1071 1st Avenue
Tarallucci e Vino;;15 E 18th St;between Fifth Ave and Broadway;;Gramercy/Flatiron;(212-228-5400);Cafés;15 E 18th St
Tarallucci e Vino;163 First Ave;;;;;;;
Tartine;;253 W 11th St;at 4th St;;West Village;(212-229-2611);French;253 W 11th St
Tasca (CLOSED);;130 Seventh Avenue South;at W 10th St;;West Village;(212-620-6815);Spanish;130 7th Ave S
Taste;;1413 Third Ave;at 80th St;;Upper East Side;(212-717-9798);American;1413 3rd Ave
Taste Good II;;53 Bayard St;between Bowery and Elizabeth St;;Chinatown/Little Italy;(212-513-0818);Asian: Malaysian;53 Bayard St
Tatany 52;;250 E 52nd St;between Second and Third Aves;;Midtown East;(212-593-0203);Japanese;250 E 52nd St
Tavern on the Green;;Central Park West;at 67th St;;Upper West Side;(212-873-3200);American;Central Park West
Taïm;;222 Waverly Pl;at W 11th St and Seventh Ave;;West Village;(212-691-1287);Middle Eastern;222 Waverly Pl
Tea & Sympathy;;108–110 Greenwich Ave;between 12th and 13th Sts;;West Village;(212-989-9735);British & Irish;108 Greenwich Ave
Teany;;90 Rivington St;between Ludlow and Orchard Sts;;Lower East Side;(212-475-9190);Cafés;90 Rivington St
Tebaya;;144 W 19th St;between Sixth and Seventh Aves;;Chelsea;(212-924-3335);Japanese;144 W 19th St
Ted’s Montana Grill;;110 W 51st St;between Sixth and Seventh Aves;;Midtown West;(212-245-5220);American;110 W 51st St
Tehuitzingo Deli and Grocery;;695 Tenth Ave;between 47th and 48th Sts;;Midtown West;(212-397-5956);Mexican;695 10th Ave
Tehuitzingo Deli and Grocery;;;;;;;Mexican;
Telepan;;72 W 69th St;at Columbus Ave;;Upper West Side;(212-580-4300);American;72 W 69th St
Telephone Bar & Grill;;149 Second Ave;between 9th and 10th Sts;;East Village;(212-529-5000);American;149 2nd Ave
Tello’s;;263 W 19th St;between Seventh and Eighth Aves;;Chelsea;(212-691-8696);Italian;263 W 19th St
Temple;;81 St. Marks Pl;at First Ave;;East Village;(212-979-9300);Korean;81 St Marks Pl
Tenement;;157 Ludlow St;between Rivington and Stanton Sts;;Lower East Side;(212-598-2130);Eclectic;157 Ludlow St
Teodora;;141 E 57th St;between Lexington and Third Aves;;Midtown East;(212-826-7101);Italian;141 E 57th St
Terra Cafe;;7 Henshaw St;between Dyckman Ave and Riverside Dr;;Washington Heights;(212-567-6500);Latin American;7 Henshaw St
Terrace in the Sky;;400 W 119th St;between Morningside Dr and Amsterdam Ave;;Columbia University–City College;(212-666-9490);French;Butler Hall
Terroir;;413 E 12th St;between First Ave and Ave A;;East Village;(no phone);Eclectic;413 E 12th St
Tet;;83 Ave A;between 5th and 6th Sts;;East Village;(212-253-0800);Vietnamese;83 Avenue A
Texas Smokehouse BBQ and Bourbon Bar;;637 Second Ave;between 34th and 35th Sts;;Midtown East;(212-679-0868);Barbeque;637 2nd Ave
Thai House Cafe;;151 Hudson St;at Hubert St;;Tribeca;(212-334-1085);Thai;151 Hudson St
Thai Select;;472 Ninth Ave;between 36th and 37th Sts;;Midtown West;(212-695-9920);Thai;472 9th Ave
Thai Son Restaurant;;89 Baxter St;between Bayard and Canal Sts;;Chinatown/Little Italy;(212-732-2822);Vietnamese;89 Baxter St
Thai on Clinton;;6 Clinton St;between Houston and Stanton Sts;;Lower East Side;(212-228-9388);Thai;6 Clinton St
Thalassa;;179 Franklin St;between Hudson and Greenwich Sts;;Tribeca;(212-941-7661);Greek;179 Franklin St
Thalia;;828 Eighth Ave;at 50th St;;Midtown West;(212-399-4444);American;828 8th Ave
The Basil (CLOSED);;206 W 23rd St;between Seventh and Eighth Aves;;Chelsea;(212-242-1014);Thai;206 W 23rd St
The Bean;;446 Sixth Ave;between 10th and 11th Sts;;Greenwich Village;(212-777-0402);Cafés;446 6th Ave
The Bean Café;;118 Orchard St;at Delancey St;;Lower East Side;(212-253-2075);Cafés;118 Orchard St
The Bourgeois Pig;;111 E 7th St;between First Ave and Ave A;;East Village;(212-475-2246);Cafés & diners;111 E 7th St
The Bourgeois Pig West;;124 MacDougal St;between W 3rd and Bleecker Sts;;Greenwich Village;(212-254-0575);Cafés & diners;124 MacDougal St
The Burger Joint;;241 Third Ave;at 20th St;;Gramercy/Flatiron;(212-228-1219);American;241 3rd Ave
The Burger Joint (CLOSED);;190 Bleecker St near MacDougal St;;;Greenwich Village;(212-254-2380);American;190 Bleecker St
The Carlyle Restaurant;;35 E 76th St;at Madison Ave;;Upper East Side;(212-744-1600);French;35 E 76th St
The Cottage;;33 Irving Pl;between 15th and 16th Sts;;Gramercy/Flatiron;(212-505-8600);Chinese;33 Irving Pl
The Cottage;;1034 Amsterdam Ave;at 111th St;;Upper West Side;(212-662-1800);Chinese;1034 Amsterdam Ave
The Cottage;;360 Amsterdam Ave;at 77th St;;Upper West Side;(212-595-7450);Chinese;360 Amsterdam Ave
The Cottage;;796 Amsterdam Ave;at 99th St;;Upper West Side;(212-316-2600);Chinese;796 Amsterdam Ave
The Cupping Room Café;;359 West Broadway;between Broome and Grand Sts;;Soho;(212-925-2898);American;359 W Broadway
The Diner;;44 Ninth Ave;at 14th St;;Meatpacking District;(212-627-2230);American;44 9th Ave
The E.U.;;235 E 4th St;between Aves A and B;;East Village;(212-254-2900);Eclectic;235 E 4th St
The E.U. (CLOSED);235 E 4th St;;;;;;;
The Ear Inn;;326 Spring St;between Greenwich and Wash-ington Sts;;Soho;(212-226-9060);American;326 Spring St
The Elephant;;58 E 1st St;between First and Second Aves;;East Village;(212-505-7739);Thai;58 E 1st St
The Four Seasons Restaurant;;99 E 52nd St;between Park and Lexington Aves;;Midtown East;(212-754-9494);American Creative;99 E 52nd St
The Gallery;SoHo Grand Hotel;;310 West Broadway;between Canal and Grand Sts;Soho;(212-965-3000);American;
The Gamut;;102 E 25th St;between Park Ave South and Lexington Ave;;Gramercy/Flatiron;(212-598-4555);American;102 E 25th St
The Grand Tier;Lincoln Center;;132 W 65th St;between Amsterdam and ColumbusAves;Upper West Side;(212-799-3400);American;
The Great Burrito;;405 Amsterdam Ave;at 79th St;;Upper West Side;(212-724-5151);Mexican;405 Amsterdam Ave
The Green Room at Spiegeltent;;Pier 17;at Fulton St;;Financial District;(212-730-0160);American;89 South St
The Green Room at Spiegeltent;;;;;;;;
The Green Table;Chelsea Market;;75 Ninth Ave;at 16th St;Chelsea;(212-741-9174);Vegetarian & Organic;
The Grey Dog’s Coffee;;33 Carmine St;between Bedford and Bleecker Sts;;West Village;(212-462-0041);Cafés & diners;33 Carmine St
The Half King;;505 W 23rd St;between Tenth and Eleventh Aves;;Chelsea;(212-462-4300);American;505 W 23rd St
The Harrison;;355 Greenwich St;at Harrison St;;Tribeca;(212-274-9310);American;355 Greenwich St
The Heights Bar & Grill;2867 Broadway;;between 111th and 112th Sts;second floor;Upper West Side;(212-866-7035);American;
The Hideaway;;185 Duane St near Greenwich St;;;Tribeca;(212-334-5775);American Creative;185 Duane St
The House;;121 E 17th St;between Park Ave South and Irving Pl;;Gramercy/Flatiron;(212-353-2121);Eclectic;121 E 17th St
The Inn LW12;;7 Ninth Ave;at Little W 12th St;;Meatpacking District;(212-206-0300);Eclectic;7 9th Ave
The Jamaican Dutchy;;W 51st St;at Seventh Ave;;Midtown West;;Caribbean: Jamaican;W 51st St
The John Dory;;85 Tenth Ave;between 15th and 16th Sts;;Chelsea;(212-929-4948);British & Irish;US-NYC-8510
The Kati Roll;;99 MacDougal St;between Bleecker and W 3rd Sts;;Greenwich Village;(212-420-6517);Indian;99 MacDougal St
The Kitchen Club;;30 Prince St;at Mott St;;Chinatown/Little Italy;(212-274-0025);Eclectic;Little Cupcake Bakeshop (Meeting Place)
The Libertine;;15 Gold St;at Platt St;;Financial District;(212-785-5950);American;15 Gold St
The Little Bigger Place;;61 Warren St;at West Broadway;;Financial District;(212-528-3175);Mexican;61 Warren St
The Little Owl;;90 Bedford St;at Grove St;;West Village;(212-741-4695);Mediterranean;Apartment Building from the TV Show Friends
The Mad Hatter Saloon;;360 Third Ave;between 26th and 27th Sts;;Gramercy/Flatiron;(212-696-2122);British & Irish;360 3rd Ave
The Mambo Lounge;;323–327 W 44th St;between Eighth and Ninth Aves;;Midtown West;(212-262-1111);Latin American;323 W 44th St
The Manhattan Ocean Club (CLOSED);;57 W 58th St;between Fifth and Sixth Aves;;Midtown West;(212-371-7777);Seafood;57 W 58th St
The Mercer Kitchen;The Mercer;;99 Prince St;at Mercer St;Soho;(212-966-5454);American Creative;
The Mermaid Inn;;96 Second Ave;between 5th and 6th Sts;;East Village;(212-674-5870);Seafood;96 2nd Ave
The Mermaid Inn;;568 Amsterdam Ave;at 88th St;;Upper West Side;(212-799-7400);Seafood;568 Amsterdam Ave
The Modern;;9 W 53rd St;between Fifth and Sixth Aves;;Midtown West;(212-333-1220);American Creative;9 W 53rd St
The Morgan Dining Room;;225 Madison Ave;at 36th St;;Midtown East;(212-683-2130);American;225 Madison Ave
The New French;;522 Hudson St;at 10th St;;West Village;(212-807-7357);Eclectic;522 Hudson St
The Noho Star;;330 Lafayette St;at Bleecker St;;East Village;(212-925-0070);American;330 Lafayette St
The Oak Room;;;;;;;American;
The Oak Room;;10 Central Park South;at Fifth Ave;;Midtown West;(212-758-7777);American;10 Central Park S
The Odeon;;145 West Broadway;at Thomas St;;Tribeca;(212-233-0507);French;145 W Broadway
The Odeon Ice Cream Cart;;145 West Broadway;between Duane and Thomas Sts;;Tribeca;(no phone);Cafés & diners;145 W Broadway
The Orchard;;162 Orchard;between Rivington and Stanton Sts;;Lower East Side;(212-353-3570);Italian;WASSAIL
The Organic Grill;;123 First Ave;between St. Marks Pl and E 7th St;;East Village;(212-477-7177);Vegetarian & Organic;123 1st Avenue
The Palm;;837 Second Ave;between 44th and 45th Sts;;Midtown East;(212-687-2953);Steakhouses;837 2nd Ave
The Palm Court (CLOSED);The Plaza Hotel;;768 Fifth Ave;at Central Park South;Midtown West;(212-759-3000);French;
The Palm Too;;840 Second Ave;between 44th and 45th Sts;;Midtown East;(212-697-5198);Steakhouses;840 2nd Ave
The Palm Tribeca;;206 West St;between Chambers and Warren Sts;;Tribeca;(646-395-6393);Steakhouses;206 West St
The Palm West;;250 W 50th St;between Broadway and Eighth Ave;;Midtown West;(212-333-7256);Steakhouses;250 W 50th St
The Park;;118 10th Ave;at 18th St;;Chelsea;(212-352-3313);American;118 10th Ave
The Park Room;The Helmsley Park Lane Hotel;;36 Central Park South;between Fifth and Sixth Aves;second floor;Midtown West;(212-521-6655);
The Pink Tea Cup;;42 Grove St;between Bedford and Bleecker Sts;;West Village;(212-807-6755);American Regional;42 Grove St
The Place;;310 W 4th St;between Bank and W 12th Sts;;West Village;(212-924-2711);Mediterranean;310 West 4th Street
The Prime Grill;;60 E 49th St;between Madison and Park Aves;;Midtown East;(212-692-9292);Kosher;60 E 49th St
The Red Cat;;227 Tenth Ave;between 23rd and 24th Sts;;Chelsea;(212-242-1122);American;227 Amsterdam Ave
The Redhead;;349 E 13th St;between First and Second Aves;;East Village;(212-533-6212);American;349 E 13th St
The River Room (formerly Earl Monroe’s);;145th St;in Riverside Drive;;Columbia University–City College;(212-491-1500);American Creative;W 145th St
The Russian Tea Room;;150 W 57th St;between Sixth and Seventh Aves;;Midtown West;(212-581-7100);Russian;150 W 57th St
The Sea Grill;;19 W 49th St;at Rockefeller Plaza;;Midtown West;(212-332-7610);Seafood;19 W 49th St
The Shark Bar Restaurant;;307 Amsterdam Ave;between 74th and 75th Sts;;Upper West Side;(212-874-8500);American Regional;307 Amsterdam Ave
The Sheep Meadow Cafe;;Entrance on Central Park West;at 69th St;;Upper West Side;(212-396-4100);American;Entrance on Central Park West
The Shoreham Restaurant and Bar;;33 W 55th St;between Fifth and Sixth Aves;;Midtown West;(212-247-6700);American Creative;33 W 55th St
The Smith;;55 Third Ave;between 10th and 11th Sts;;East Village;(212-420-9800);American;55 3rd Ave
The Soda Shop;;125 Chambers St;at West Broadway;;Tribeca;(212-571-1100);Cafés & diners;125 Chambers St
The Spotted Pig;;314 W 11th St;at Greenwich St;;West Village;(212-620-0393);Eclectic;314 W 11th St
The Stanton Social;;99 Stanton St;at Ludlow St;;Lower East Side;(212-995-0099);Eclectic;99 Stanton St
The Sunburnt Cow;;137 Ave C;between 8th and 9th Sts;;East Village;(212-529-0005);Australian & New Zealand;137 Loisaida Ave
The Tasting Room (CLOSED);;264 Elizabeth St;between Houston and Prince Sts;;Chinatown/Little Italy;(212-358-7831);American Creative;264 Elizabeth St
The Tea Box Restaurant at Takashimaya NY;;693 Fifth Ave;between 54th and 55th Sts;;Midtown East;(212-350-0180);Cafés & diners;693 5th Ave
The Townhouse;;206 E 58th St;between Second and Third Aves;;Midtown East;(212-826-6241);American;206 E 58th St
The Valrhona Boutique;"Mon–Sat 9am–9pm; Sun 9am–7pm";;;;;;;
The Valrhona Boutique;Food Emporium Fine Chocolates Shop;;Trump Palace;1175 Third Ave;at 68th St;Upper East Side;(212-249-6778);
The Viceroy;;160 Eighth Ave;at 18th St;;Chelsea;(212-633-8484);American;160 8th Ave
The Volstead;;125 E 54th St;between Park and Lexington Aves;;Midtown East;(212-583-0411);American;125 E 54th St
The Water Club;;500 E 30th St;at FDR Drive;;Midtown East;(212-683-3333);Seafood;500 E 30th St
The Waverly Inn;;16 Bank St;at Waverly Pl;;West Village;(212-243-7900);American;16 Bank St
The West Branch;;2178 Broadway;at 77th St;;Upper West Side;(212-777-6764);Eclectic;2178 Broadway
The Yard;SoHo Grand Hotel;;310 West Broadway;between Canal and Grand Sts;Soho;(212-965-3000);American;
Think Coffee;;1 Bleecker St;at Bowery;;East Village;(212-533-3366);Cafés & diners;1 Bleecker St
Think Coffee;;248 Mercer St;at 3rd St;;East Village;(212-228-6226);Cafés & diners;248 Mercer St
Thor;Hotel on Rivington;;107 Rivington St;between Essex and Ludlow Sts;Lower East Side;(646-253-6700);American;
Three Tarts Bakery + Boutique;164 Ninth Ave;;;;;;;
Three of Cups;;83 First Ave;at 5th St;;East Village;(212-388-0059);Italian;83 1st Avenue
Tia Pol;;205 Tenth Ave;between 22nd and 23rd Sts;;Chelsea;(212-675-8805);Spanish;205 Amsterdam Ave
Tides;;102 Norfolk St;at Delancey St;;Lower East Side;(212-254-8855);Seafood;The Back Room
Tiengarden;;170 Allen St;between Rivington and Stanton Sts;;Lower East Side;(212-388-1364);Vegetarian & Organic;170 Allen St
Tiffin Wallah;;127 E 28th St;at Lexington Ave;;Gramercy/Flatiron;(212-685-7301);Indian;127 E 28th St
Tigerland;;85 Ave A;between 5th and 6th Sts;;East Village;(212-477-9887);Asian: Pan-Asian;85 Avenue A
Tini Ristorante Italiano;;1562 Second Ave;at 81st St;;Upper East Side;(212-628-3131);Italian;1562 2nd Ave
Tintol (CLOSED);;155 W 46th St;between Sixth and Seventh Aves;;Midtown West;(212-354-3838);Portuguese;155 W 46th St
Tiny Thai Cafe;;693 Ninth Ave;between 47th and 48th Sts;;Midtown West;(212-265-2229);Thai;693 9th Ave
Tiny’s Giant Sandwich Shop;;129 Rivington St;at Norfolk St;;Lower East Side;(212-982-1690);Cafés;129 Rivington St
Tisserie;;420 West Broadway;at Spring St;;Soho;(646-613-8650);Cafés;420 W Broadway
Tisserie (CLOSED);;857 Broadway;at 17th St;;Gramercy/Flatiron;(212-463-0850);Cafés;857 Broadway
Toast;;2737 Broadway;at 105th St;;Upper West Side;(212-663-7010);American;2737 Broadway
Toast;;3157 Broadway;between La Salle St and Tiemann Pl;;Columbia University–City College;(212-662-1144);American;3157 Broadway
Tocqueville;;1 E 15th St;between Fifth Ave and Union Sq West;;Gramercy/Flatiron;(212-647-1515);American Creative;1 E 15th St
Tokyo Bar;;277 Church St;between Franklin and White Sts;;Tribeca;(212-966-2787);Japanese;277 Church St
Tokyo Pop (CLOSED);;2728 Broadway;at 104th St;;Upper West Side;(212-932-1000);Japanese;2728 Broadway
Toledo;;6 E 36th St;between Fifth and Madison Aves;;Midtown East;(212-696-5036);Spanish;6 E 36th St
Toloache;;251 W 50th St;between Broadway and Eighth Ave;;Midtown West;(212-581-1818);Mexican;251 W 50th St
Tomo;;2850 Broadway;at 111th St;;Upper West Side;(212-665-2915);Japanese;2850 Broadway
Tomoe Sushi;;172 Thompson St;between Bleecker and Houston Sts;;Greenwich Village;(212-777-9346);Japanese;172 Thompson St
Tong Thai Brasserie;;39 E 13th St;between Broadway and University Pl;;Greenwich Village;(212-253-2696);Thai;39 E 13th St
Tony Luke’s;;576 Ninth Ave;at 41st St;;Midtown West;(212-967-3055);American;576 9th Ave
Tony “The Dragon” Dragonas;;E 62nd St;at Madison Ave;;Upper East Side;;Eclectic;E 62nd St
Tony's Di Napoli;;147 W 43rd St;between Sixth Ave and Broadway;;Midtown West;(212-221-0100);Italian;147 W 43rd St
Tony’s di Napoli;;1606 Second Ave;between 83rd and 84th Sts;;Upper East Side;(212-861-8686);Italian;1606 2nd Ave
Top of the Tower;Beekman Tower;;3 Mitchell Pl;at First Ave;Midtown East;(212-980-4796);American;
Toraya;;300 E 52nd St;between First and Second Aves;;Midtown East;(212-838-4351);Japanese;300 E 52nd St
Tortilla Flats;;767 Washington St;at 12th St;;Meatpacking District;(212-243-1053);Mexican;767 Washington St
Tossed;;295 Park Ave South;between 22nd and 23rd Sts;;Gramercy/Flatiron;(212-674-6700);American;295 Park Ave S
Tossed;;30 Rockefeller Plaza;at 49th St;;Midtown West;(212-218-2525);American;30 Rockefeller Plaza
Totally Baked (CLOSED);;8 W 18th St;between Fifth and Sixth Aves;;Chelsea;(646-336-6118);American;8 W 18th St
Tout Va Bien;;311 W 51st St;between Eighth and Ninth Aves;;Midtown West;(212-265-0190);French;311 W 51st St
Town;Chambers Hotel;;15 W 56th St;between Fifth and Sixth Aves;Midtown West;(212-582-4445);American Creative;
Tracy Stern SALONTEA TeaBar;501 E 75th St;;;;;;;
Trader Joe’s;;142 E 14th St;between Irving Pl and Third Ave;;Gramercy/Flatiron;(212-529-4612);Food or Beverage Shop;142 E 14th St
Trata;;1331 Second Ave;between 70th and 71st Sts;;Upper East Side;(212-535-3800);Greek;1331 2nd Ave
Trattoria Anna Maria;;1592 First Ave;at 83rd St;;Upper East Side;(212-734-8800);Italian;1592 1st Avenue
Trattoria Dante;;79 MacDougal St;between Bleecker and Houston Sts;;Greenwich Village;(212-673-7540);Italian;79 MacDougal St
Trattoria Spaghetto;;232 Bleecker St;at Carmine St;;West Village;(212-255-6752);Italian;232 Bleecker St
Trattoria dell’Arte;;900 Seventh Ave;between 56th and 57th Sts;;Midtown West;(212-245-9800);Italian;900 7th Ave
Trattoria la Tradizionale;;41 W 57th St;between Fifth and Sixth Aves;;Midtown West;(212-245-2422);Italian;41 W 57th St
Tre;;173 Ludlow St;between Houston and Stanton Sts;;Lower East Side;(212-353-3353);Italian;173 Ludlow St
Tre Amici Ristorante;;206 E 58th St;between Second and Third Aves;;Midtown East;(212-826-6241);Italian;206 E 58th St
Tre Dici;;128 W 26th St;between Sixth and Seventh Aves;;Chelsea;(212-243-8183);Italian;128 W 26th St
Tre Dici Steak;128 W 26th St;;;between Sixth and Seventh Aves;second Floor;Chelsea;(212-243-2085);
Tree;;190 First Ave;between 11th and 12th Sts;;East Village;(212-358-7171);French;190 1st Avenue
Treichville;;339 E 118th St;;;East Harlem;(212-369-7873);African: West African;339 E 118th St
Treichville;;;;;;;;
Trestle on Tenth;;242 Tenth Ave;at 24th St;;Chelsea;(212-645-5659);American Creative;242 Amsterdam Ave
Tribeca Grill;;375 Greenwich St;at Franklin St;;Tribeca;(212-941-3900);American;375 Greenwich St
Tribeca Max;;181 Duane St;at Greenwich St;;Tribeca;(212-966-5939);Italian;181 Duane St
Trigo;;268 West Broadway;at Sixth Ave;;Soho;(212-925-1600);Mediterranean;268 W Broadway
Trinity Place;;115 Broadway (entrance on Cedar St;between Broadway and Trinity Pl;;Financial District;(212-964-0939);American;115 Broadway Street
Trio;;167 E 33rd St;between Lexington and Third Aves;;Midtown East;(212-685-1001);Mediterranean;167 E 33rd St
Triomphe;The Iroquois;;49 W 44th St;between Fifth and Sixth Aves;Midtown West;(212-453-4233);French;
Troy;;539 Ninth Ave;at 40th St;;Midtown West;(212-465-0888);Turkish;539 9th Ave
Truffette;;104 Ave B;at 6th St;;East Village;(212-505-5813);Food or Beverage Shop;104 Avenue B
Tsampa;;212 E 9th St;between Second and Third Aves;;East Village;(212-614-3226);Asian: Tibetan;212 E 9th St
Tse Yang;;34 E 51st St;between Madison and Park Aves;;Midtown East;(212-688-5447);Chinese;34 E 51st St
Tuck Shop;;68 E 1st St;between First and Second Aves;;East Village;(212-979-5200);Australian & New Zealand;68 E 1st St
Tuck Shop;;250 W 49th St;between Broadway and Eighth Ave;;Midtown West;(212-757-8481);Australian & New Zealand;250 W 49th St
Tulcingo Del Valle Restaurant & Deli;;665 Tenth Ave;between 46th and 47th Sts;;Midtown West;(212-262-5510);Mexican;665 Amsterdam Ave
Turkish Kitchen;;386 Third Ave;between 27th and 28th Sts;;Gramercy/Flatiron;(212-679-1810);Turkish;386 3rd Ave
Turks & Frogs Tribeca;;458 Greenwich St;between Desbrosses and Watts Sts;;Tribeca;(212-966-4774);Turkish;458 Greenwich St
Turkuaz;;2637 Broadway;at 100th St;;Upper West Side;(212-665-9541);Turkish;2637 Broadway
Turquoise;;958 Lexington Ave;at 70th St;;Upper East Side;(212-774-1991);Middle Eastern;958 Lexington Ave
Turquoise Seafood Restaurant;;240 E 81st St;between Second and Third Aves;;Upper East Side;(212-988-8222);Seafood;240 E 81st St
Two Little Red Hens;;1652 Second Ave;at 86th St;;Upper East Side;(212-452-0476);Food or Beverage Shop;1652 2nd Ave
Txikito;;240 Ninth Ave;between 24th and 25th Sts;;Chelsea;(212-242-4730);Spanish;240 9th Ave
Typhoon Lounge;;79 St. Marks Pl;between First and Second Aves;;East Village;(212-979-2680);Japanese;79 St Marks Pl
Udon West;;150 E 46th St;between Lexington and Third Aves;;Midtown East;(212-922-9677);Japanese;150 E 46th St
Uguale;;396 West St;at 10th St;;West Village;(212-229-0606);Italian;396 West St
Ukrainian East Village;;140 Second Ave;between 8th and 9th Sts;;East Village;(212-614-3283);Eastern European;140 2nd Ave
Umberto’s Clam House;;386 Broome St;at Mulberry St;;Chinatown/Little Italy;(212-431-7545);Italian;386 Broome St
Umi Sushi;;118 E 31st St;between Park and Lexington Aves;;Midtown East;(212-686-3308);Japanese;118 E 31st St
Una Pizza Napoletana;;349 E 12th St;between First and Second Aves;;East Village;(212-477-9950);Italian: Pizza;349 E 12th St
Uncle Jack’s Steak House;;440 Ninth Ave;between 34th and 35th Sts;;Midtown West;(212-244-0005);Steakhouses;440 9th Ave
Uncle Jack’s Steak House;;44 W 56th St;between Fifth and Sixth Aves;;Midtown West;(212-245-1550);Steakhouses;44 W 56th St
Uncle Moe’s;;14 W 19th St;between Fifth and Sixth Aves;;Chelsea;(212-727-9400);Mexican;14 W 19th St
Uncle Nick’s;;747 Ninth Ave;between 50th and 51st Sts;;Midtown West;(212-245-7992);Greek;747 9th Ave
Uncle Nick’s;;382 Eighth Ave;at 29th St;;Midtown West;(212-609-0500);Greek;382 8th Ave
Uncle Nick’s Ouzaria;;749 Ninth Ave;between 50th and 51st Sts;;Midtown West;(212-397-2892);Greek;749 9th Ave
Uncle Vanya Cafe;;315 W 54th St;between Eighth and Ninth Aves;;Midtown West;(212-262-0542);Russian;315 W 54th St
Union Prime;;9 E 16th St;between Fifth Ave and Union Sq West;;Gramercy/Flatiron;(212-675-4700);Steakhouses;9 E 16th St
Union Square Cafe;;21 E 16th St;between Fifth Ave and Union Sq West;;Gramercy/Flatiron;(212-243-4020);American;21 E 16th St
United Noodles;;349 E 12th St;between First and Second Aves;;East Village;(212-614-0155);Thai;349 E 12th St
Upstairs;130 West Broadway;;;;;;;
Upstairs Bouley Bakery & Market;;130 West Broadway;at Duane St;;Tribeca;(212-608-5829);American Creative;130 W Broadway
