restaurant;address;addressFix
Starrett Restaurant Inc;601 W 26th St # 1;Starrett-Lehigh Building, 601 W 26th St #1, New York, NY 10001, USA
Steamers Landing;375 S End Ave;375 South End Ave, New York, NY 10280, USA
Stella Del Mare;346 Lexington Ave;346 Lexington Ave, New York, NY 10016, USA
Stella Maris;213 Front Street;213 Front St, New York, NY 10038, USA
Step Mama;199 E 3rd St;199 E 3rd St, New York, NY 10009, USA
Stingy Lulus;129 Saint Marks Pl;129 St Marks Pl, Brooklyn, NY 11217, USA
Stock & Tankard;587 3rd Ave;587 3rd Ave, Chula Vista, CA 91910, USA
Stone Street Tavern;52 Stone Street(Hanover Square + Coentie;52 Stone St, New York, NY 10004, USA
Stoned Crow;85 Washington Pl;85 Washington Pl, New York, NY 10011, USA
Stonewall;53 Christopher St;53 Christopher St, New York, NY 10014, USA
Stonewall Bistro;113 7th Ave;113 7th Ave, Holtsville, NY 11742, USA
Stonewall Bistro;Candy/Dessert Shop;Candy/Dessert Shop
Strand Diner;208 W 96th St;208 W 96th St, New York, NY 10025, USA
Streetcar Cafe;370 W 46th St;370 W 46th St, New York, NY 10036, USA
Strictly Roots Restaurant;2058 7th Ave;2058 7th Ave, New York, NY 10036, USA
Strictly Roots Restaurant;Soul Food;Soul Food
Studio Coffee Shop;630 9th Ave;630 9th Ave, New York, NY 10036, USA
Stuyvesant Restaurant;286 1st Ave # A;286 1st Ave A, Daly City, CA 94014, USA
Stuyvesant Town Cafe;313 1st Ave;313 1st Avenue, New York, NY 10003, USA
Subway;716 3rd Avenue;716 3rd Ave, New York, NY 10017, USA
Subway;581 3rd Avenue;581 3rd Avenue
Subway;113 Lafayette Street;113 Lafayette St, New York, NY 10013, USA
Subway;367 West 34th Street;367 W 34th St, New York, NY 10001, USA
Subway;29 East 8th Street;29 East 8th Street
Subway;254 Park Avenue;254 Park Ave S, New York, NY 10010, USA
Subway;144 Delancey Street;144 Delancey St, New York, NY 10002, USA
Subway;149 West 4th Street;149 West 4th Street, New York, NY 10012, USA
Subway;1171 2nd Avenue;1171 2nd Ave, New York, NY 10065, USA
Subway;1068 2nd Avenue Frnt;1068 2nd Ave, New York, NY 10022, United States
Subway;149 East 60th Street Frnt;149 E 60th St, Los Angeles, CA 90003, USA
Subway;166 1st Avenue Frnt;166 1st Avenue, New York, NY 10009, United States
Subway;221 7th Avenue;221 7th Avenue
Subway;244 West 14th Street;244 W 14th St, New York, NY 10011, USA
Subway;1101 1st Avenue Frnt;1101 1st St, Coronado, CA 92118, USA
Subway Restaurant;926 2nd Avenue;926 2nd Ave, New York, NY 10022, USA
Subway Sandwich Shop;32 E 23rd St;32 E 23rd St, New York, NY 10010, USA
Subway Sandwich Sop;1411 2nd Ave;1411 2nd Ave, New York, NY 10021, USA
Subway Sandwiches & Salads;2699 Broadway;2699 Broadway, New York, NY 10025, USA
Subway Sandwiches & Salads;2508 Broadway;2508 Broadway, New York, NY 10025, USA
Subway Sandwiches & Salads;235 8th Ave;235 8th Ave
Subway Sandwiches & Salads;2039 Broadway;2039 Broadway, New York, NY 10023, USA
Subway Sandwiches & Salads;765 8th Ave;765 8th Ave, New York, NY 10036, USA
Subway Sandwiches & Salads;400 E 14th St;400 E 14th St, New York, NY 10009, USA
Subway Sandwiches & Salads;165 Church St;165 Church St, New York, NY 10007, USA
Subway Sandwiches & Salads;401 8th Ave;401 8th Ave
Subway Sandwiches & Salads;46 7th Ave S;46 7th Ave S
Subway Sandwiches & Salads;55 W 14th St # 1;Courtney House, 55 W 14th St #1, New York, NY 10011, USA
Subway Sandwiches & Salads;584 9th Ave;584 9th Ave NW, New Brighton, MN 55112, USA
Subway Sandwiches & Salads;717 Lexington Ave;717 Lexington Ave, Brooklyn, NY 11221, USA
Subway Sandwiches & Salads;401 5th Ave;401 5th Ave, New York, NY 10016, USA
Success Chinese Restaurant;763 Avenue Of The Americas;763 6th Ave, New York, NY 10010, USA
Sucelt Coffee Shop Inc;200 W 14th St;200 W 14th St, New York, NY 10011, USA
Sugar Bar;254 W 72nd St;254 W 72nd St, New York, NY 10023, USA
Sugar Bar & Restaurant;311 Church St Frnt;311 Church St, Bradner, OH 43406, USA
Sugasawa Limited;467 Columbus Ave;467 Columbus Ave, New York, NY 10024, USA
Suibi Japanese Restaurant;232 E 53rd St;232 E 53rd St, New York, NY 10022, USA
Sukhadia's;17 West 45th Street;17 W 45th St, New York, NY 10036, USA
Sukhothai West Restaurant;411 W 42nd St;411 W 42nd St, New York, NY 10036, USA
Sumile Sushi;154 W. 13th st.;154 W 13th St, New York, NY 10011, USA
Summers Bar & Restaurant;49 Clinton St;49 Clinton St, New York, NY 10002, USA
Sumo Restaurant;106 8th Ave;106 8th Ave, New York, NY 10011, USA
Sumou Japanese Restaurant Inc;104 John St;104 E John St, Champaign, IL 61820, USA
Sun Dance Cafe;865 Ave Of The Americas # 1;865 6th Ave #1, New York, NY 10001, USA
Sun Lin Garden Restaurant Inc;69 Bayard St;69 Bayard St, New York, NY 10013, USA
Sun Lok Kee Restaurant;13 Mott St;13 Mott St, New York, NY 10013, USA
Sun Lok Kee Rice Shop Inc;13 Mott St;13 Mott St, New York, NY 10013, USA
Sun Qiang Restaurant;7 Eldridge St;7 Eldridge St, New York, NY 10002, USA
Sun Say Gay Restrnt Inc;220 Canal St;220 Canal St, San Rafael, CA 94901, USA
Sun Sun Noodle House;918 8th Ave;918 8th Ave, New York, NY 10019, USA
Sun Tin Yick;100 Mott St;100 Mott St, New York, NY 10013, USA
Sun Wah Coffee Shop;19 Pike St;19 Pike St, New York, NY 10002, USA
Sunflower Coffee Shop;359 3rd Ave;359 3rd Ave, New York, NY 10016, USA
Sung Chu Mei Chinese Restaurant;615 Hudson St;615 Hudson St, New York, NY 10014, USA
Sungarden;Park Ave;Park Ave, United States
Sunny East Restaurant;21 W 39th St;21 W 39th St, New York, NY 10018, USA
Sunrise Cuisine;2317 1st Avenue;2317 1st Avenue, New York, NY 10035, USA
Sunrise Deli;Deli/Sandwich/Subs;Deli/Sandwich/Subs
Sunrise Deli;575 7th Ave;575 7th Ave, New York, NY 10018, USA
Sunshine Deli;50 W 23rd St;50 W 23rd St, New York, NY 10010, USA
Sunshine Kitchen;695 Saint Nicholas Ave;695 St Nicholas Ave, New York, NY 10030, USA
Supper Club;240 W 47th St;240 W 47th St, New York, NY 10036, USA
Surf City Squeeze;100 W 33rd St # 7;100 W 33rd St #7, New York, NY 10001, USA
Susan & Winsome Restaurant;627 Lenox Ave;627 Malcolm X Blvd, New York, NY 10037, USA
Sushi Generation Inc;1571 2nd Ave;1571 2nd Ave, New York, NY 10028, USA
Sushi Hana;1501 2nd Ave;1501 2nd Ave, Des Moines, IA 50314, USA
Sushi Hana;466 Amsterdam Avenue;466 Amsterdam Ave, New York, NY 10024, USA
Sushi Hatsu;1143 1st Ave;1143 1st Avenue, New York, NY 10065, USA
Sushi Masa;141 E 47th St # 1;141 E 47th St #1, New York, NY 10017, USA
Sushi On Hudson;556 Hudson St;556 Hudson St, New York, NY 10014, USA
Sushi Tei;5 World Trade Ctr # 257;5 World Trade Ctr # 257
Sushi Zen Inc.;57 West 46th;57 W 46th St, New York, NY 10036, USA
Sushi-Q Japanese Take Out;1275 Lexington Ave;1275 Lexington Ave, New York, NY 10028, USA
Sushi-desse;113 East 18th St.;113 E 18th St, New York, NY 10003, USA
Sushi-tei;875 3rd Ave;875 3rd Ave, New York, NY 10022, USA
Sushi-tei 47 Inc;11 E 47th St;11 E 47th St, New York, NY 10017, USA
Sushi-tei Restaurant;164 E 45th St;164 E 45th St
Sushiden Madison Av;19 E 49th St;19 E 49th St, New York, NY 10017, USA
Sushiden Sixth Ave;123 W 49th St;123 W 49th St, New York, NY 10020, USA
Sushisay Restaurant;38 E 51st St;38 E 51st St
Sushiya Japanese Restaurant;28 W 56thst Frrnt;28 W 56th St, New York, NY 10019, USA
Suspenders Of Wall St Rest;111 Broadway;111 Broadway, Irvington, NY 10533, USA
SuteiShi;24 Peck Slip;24 Peck Slip, New York, NY 10038, USA
Sutton Watering Hole;209 E 56th St;209 E 56th St, New York, NY 10022, USA
Suzies Restaurant;163 Bleecker St;163 Bleecker St
Svoboda Restaurant;85 2nd Ave;85 2nd Ave, New York, NY 10003, USA
Swan's Bar And Grill;213 Pearl Street;213 Pearl Street
Sweet Basil Jazz Restaurant;88 7th Ave S;88 7th Ave S, New York, NY 10014, USA
Sweet Donuts;3868 10th Ave;3868 10th Ave, New York, NY 10034, USA
Sweet Life Cafe;147 Christopher St;147 Christopher St, New York, NY 10014, USA
Sweet N Tart Cafe Inc;76 Mott St;76 Mott St, New York, NY 10013, USA
Swing 46 Jazz & Supper Club;349 W 46th St;349 W 46th St, New York, NY 10036, USA
Swing In Dine;2104 2nd Ave;2104 2nd Ave
Sydneys Australian Barbeque;17 Battery Pl;17 Battery Pl, New York, NY 10004, USA
Sylvias Restaurant;328 Lenox Ave;328 Lenox Ave, New York, NY 10027, USA
Symposium Greek Restaurant;544 West 113th Street Frnt;544 W 113th St, New York, NY 10025, USA
Syrah;1400 2nd Ave # 1;1400 2nd Ave #1, Seattle, WA 98101, USA
Szechuan Cuisine;1345 2nd Ave;1345 2nd Ave, New York, NY 10021, USA
Szechuan Kitchen;1460 1st Ave;1460 1st Avenue, New York, NY 10021, USA
Szechuan Palace;1329 2nd Ave;1329 2nd Ave, New York, NY 10021, USA
Szechuan Super Taste & Aroma;917 2nd Ave;917 2nd Ave, New York, NY 10017, USA
Szechuan West;202 8th Ave;202 8th Ave, New York, NY 10011, USA
T G Whitneys;244 E 53rd St;244 E 53rd St, New York, NY 10022, USA
T J Byrne Bar & Restaurant;77 Fulton St;77 Fulton St, New York, NY 10038, USA
T J Keanes Pub;783 8th Ave;783 8th Ave, New York, NY 10036, USA
T J Restoration Inc;77 Saint Marks Pl;77 St Marks Pl, New York, NY 10003, USA
T J Southern Gourmet;92 Chambers St # 1;92 Chambers St APT 1, New York, NY 10007, USA
T S Ma Restaurant;641 8th Ave # 1;641 S 8th Ave #1, La Grange, IL 60525, USA
TAO;42 East 58th Street;42 E 58th St, New York, NY 10022, USA
Ta Cocina;714 9th Avenue;714 9th Ave, New York, NY 10019, USA
Table Dhote;44 E 92nd St;44 E 92nd St, New York, NY 10128, USA
Taboo;218 E 52nd St;218 E 52nd St, New York, NY 10022, USA
Tachigui Soba;732 7th Ave;732 7th Ave, La Grange, IL 60525, USA
Taco & Tortilla King;285 3rd Ave;285 3rd Ave, New York, NY 10010, USA
Taco Bandito;325 8th Ave;325 8th Ave NE, St. Petersburg, FL 33701, USA
Taco Bell;215 W 95th St # 5245;215 W 95th St #5245, New York, NY 10025, USA
Taco Bell;712 3rd Ave;712 3rd Ave, New York, NY 10017, USA
Taco Bell;329 5th Ave;329 5th Ave, San Francisco, CA 94118, USA
Taco Bell;331 Avenue Of The Americas;331 6th Ave, New York, NY 10014, USA
Taco Bell Corp;953 3rd Ave;953 W 3rd Ave, Escondido, CA 92025, USA
Taco Bell Inc;Mexican;Mexican
Taco Bell Inc;875 Ave Of Americas Ground;875 6th Ave, New York, NY 10001, USA
Taco City;1143 1st Ave;1143 1st Avenue, New York, NY 10065, USA
Taco Express Inc;225 7th Ave;225 7th Ave
Taco Grill;146 W 72nd St;146 W 72nd St, New York, NY 10023, USA
Taco Grill;348 W 42nd St;348 W 42nd St, New York, NY 10036, USA
Taco House;178 Church St;178 Church St, San Francisco, CA 94114, USA
Taco King;1448 1st Ave;1448 1st Avenue, New York, NY 10021, USA
Taco Star;130 E 28th St;130 E 28th St, New York, NY 10016, USA
Taco Taco Inc;1726 2nd Ave;1726 2nd Ave, New York, NY 10128, USA
Taco Velez;3864 Broadway;3864 Broadway Path, Round Rock, TX 78681, USA
Tacocina Inc;714 9th Ave # 1;714 9th Ave #1, New York, NY 10019, USA
Tads;104 E 14th St;104 E 14th St, New York, NY 10003, USA
Tads;119 W 42nd St;119 W 42nd St, New York, NY 10036, USA
Tads;152 W 34th St;152 W 34th St, New York, NY 10001, USA
Tads Steaks;761 7th Ave # 50;761 7th Ave #50, New York, NY 10019, USA
Tads Steaks;228 W 42nd St;228 W 42nd St
Tads Steaks;701 7th Ave;701 7th Ave, New York, NY 10036, United States
Tagine Dining Gallery;At 40th St;S 40th St, Philadelphia, PA 19104, USA
Tagine Dining Gallery;537 9th Ave;537 9th Ave, New York, NY 10018, USA
Tai Hong Lau Restaurant;70 Mott St;70 Mott St, New York, NY 10013, USA
Tai Tung Rice Shop;244 Canal St;244 Canal St, New York, NY 10013, USA
Taiyo Japanese Restaurant Inc;1374 York Ave # 1;1374 York Ave #1, New York, NY 10021, USA
Taj 2;48 W. 21st Street;DEZER BUILDING, 48 W 21st St, New York, NY 10010, USA
Taj Palace Inc;9 W 31st St;9 W 31st St, New York, NY 10001, USA
Taj Restaurants Inc;310 E 6th St;310 E 6th St, New York, NY 10003, USA
Tajmahal Indian Restaurant;328 E 6th St;328 E 6th St, New York, NY 10003, USA
Takahashi Restaurant;85 Avenue A;85 Avenue A, New York, NY 10009, USA
Takano;218 E 53rd St;218 E 53rd St, New York, NY 10022, USA
Take;26 S William St;26 S William St, New York, NY 10004, USA
Takino Inc;1026 2nd Ave;1026 2nd Ave, New York, NY 10022, USA
Talia's Steakhouse & Bar;668 Amsterdam Avenue (92nd-93rd Street);668 Amsterdam Ave, New York, NY 10025, USA
Tam-tam Bar;145 E 50th St;145 E 50th St, New York, NY 10022, USA
Tams Sea Wok;190 Duane St # A;190 Duane St A, New York, NY 10013, USA
Tan Viet Huong Restaurant Inc;73 Mulberry St;73 Mulberry St, New York, NY 10013, USA
Tan Viet Huong Restaurant Inc;Vietnamese;Vietnamese
Tandoor Palace Inc;88 Fulton St;88 Fulton St, New York, NY 10038, USA
Tandoori Club;133 E 45th St # 1;133 E 45th St #1, New York, NY 10017, USA
Tandoori Garden;304 E 6th St;304 E 6th St, New York, NY 10003, USA
Tang Tang Noodles & More;1328 3rd Ave;1328 3rd Ave, Los Angeles, CA 90019, USA
Tang Tang On 20 Street;243 3rd Ave;243 3rd Ave, New York, NY 10003, USA
Tang Zi Guang;1954 Amsterdam Ave;1954 Amsterdam Ave, New York, NY 10032, USA
Tango Japanese Restaurant;43 W 54th St;43 W 54th St, New York, NY 10019, USA
Tangs Pavilion;65 W 55th St;65 W 55th St, New York, NY 10019, USA
Tanokyu;7 W 46th St;7th Ave & W 46th St, New York, NY 10036, USA
Tanti Baci Cafe;163 W 10thst Bssmt;163 W 10th St, New York, NY 10014, USA
Taormina Of Mulberry St;147 Mulberry St;147 Mulberry St
Tap Room;3 W 18th St;3 W 18th St, New York, NY 10011, USA
Tapika;950 8th Ave;950 8th Ave, Honolulu, HI 96816, USA
Taprobane Sri Lankan Restaurant;234 W 56th St;234 W 56th St, New York, NY 10019, USA
Taqueria De Mexico Ltd;93 Greenwich Ave;93 Greenwich Ave, New York, NY 10014, USA
Taqueria Y Fonda La Mexicana;968 Amsterdam Avenue;968 Amsterdam Ave, New York, NY 10025, USA
Tartine;253 W 11th St;253 W 11th St, New York, NY 10014, USA
Tashi Awen Vegetarian;210 W 14th St;210 W 14th St, New York, NY 10011, USA
Tasos Restaurant;600 W 57th St # 1;600 W 57th St #1, New York, NY 10019, USA
Taste Good Chinese Kitchen;717 Saint Nicholas Ave;717 St Nicholas Ave, New York, NY 10031, USA
Taste Good Inc;150 Fulton St;150 Fulton St, New York, NY 10038, USA
Taste Of China;1850 3rd Ave;1850 N 3rd Ave, Upland, CA 91784, USA
Taste Of China Restaurant;626 Amsterdam Ave # 1;626 Amsterdam Ave #1, New York, NY 10024, USA
Taste Of New York;705 8th Ave;705 8th Ave SW, Rochester, MN 55902, USA
Taste Of Tokyo;60 Beaver Street;60 Beaver Street
Taste Of Tokyo;Japanese;Japanese
Taste Of Tokyo Inc;54 W 13th St;54 W 13th St, New York, NY 10011, USA
Tataki Japanese Restaurant;3 Lispenard St;3 Lispenard St, New York, NY 10013, USA
Tatany 52 Inc;250 E 52nd St;250 E 52nd St, New York, NY 10022, USA
Tatany Japanese Restaurant;380 3rd Ave # 1;380 3rd Ave #1, New York, NY 10016, USA
Tatou Restaurant;151 E 50th St;151 E 50th St, New York, NY 10022, USA
Tavalon Tea Bar;22 East 14th Street;22 E 14th St, New York, NY 10003, USA
Tavern On Jane;31 8th Ave;31 8th Ave
Tavern On The Green;1 W 67th St;1 W 67th St, New York, NY 10023, USA
Tazza Restaurant & Bar;196 8th Ave;196 8th Ave, New York, NY 10011, USA
Tea & Sympathy Inc;108 Greenwich Ave # 1;108 Greenwich Ave #1, New York, NY 10011, USA
Tea Den Chinese Restaurant Inc;940 8th Ave;940 8th Ave, New York, NY 10019, USA
Ted's Montana Grill;110 W. 51st Street;110 W 51st St, New York, NY 10019, USA
Teen Angel;405 W 51st St;405 W 51st St, New York, NY 10019, USA
Telephone Bar and Grill;149 2nd Ave;149 2nd Ave, New York, NY 10003, USA
Television City Restaurant;74 W 50th St;74 W 50th St, New York, NY 10112, USA
Temple Bar;332 Lafayette St;332 Lafayette St, New York, NY 10012, USA
Ten Kai Restaurant Inc;20 W 56th St # 3;20 W 56th St #3, New York, NY 10019, USA
Ten Pell Restrnt;10 Pell;10 Pell St, New York, NY 10013, USA
Ten-tan Chinese Restaurant;3864 10th Ave;3864 10th Ave, New York, NY 10034, USA
Tenares Restaurant;2316 Amsterdam Ave;2316 Amsterdam Ave, New York, NY 10033, USA
Tennessee Mountain Restaurant SOHO;143 Spring Street;143 Spring St, New York, NY 10012, USA
Tenth Av Jukebox Cafe;637 10th Ave;637 10th Ave, New York, NY 10036, USA
Tequilas Mexican Grill Rest;245 West 14th Street;245 W 14th St, New York, NY 10011, USA
Tequilas On Columbus;368 Columbus Ave;368 Columbus Ave, New York, NY 10024, USA
Tequilaville;64 W 52nd St;64 W 52nd St, New York, NY 10019, USA
Tequilaville;729 7th Ave;729 7th Ave, New York, NY 10019, USA
Tequilaville;99 Park Ave # 1;99 Park Avenue Office Building, 99 Park Ave #1, New York, NY 10016, USA
Tequilaville;12 Vanderbilt Ave;12 Vanderbilt Ave
Tequilaville;498 7th Ave;498 7th Ave, New York, NY 10018, USA
Teresa Coffee Shop & Restaurant;103 1st Ave;103 1st Avenue, New York, NY 10003, USA
Teresas Corp;117 Mulberry St;117 Mulberry St, New York, NY 10013, USA
Teriyaki Boy;885 9th Ave;885 9th Ave, New York, NY 10019, USA
Teriyaki Boy;237 E 9th St;237 E 9th St, Long Beach, CA 90813, USA
Teriyaki Boy;22 Maiden Ln;22 Maiden Ln, New York, NY 10038, USA
Teriyaki Boy Inc;1640 3rd Ave # 1;1640 3rd Ave #1, New York, NY 10128, USA
Teriyaki Boy Inc;18 Lexington Ave;18 Lexington Ave
Teriyaki Town;77 Pearl St;77 Pearl St, New York, NY 10004, USA
Terra Blues Bar Restrnt & Music;149 Bleecker St;149 Bleecker St, New York, NY 10012, USA
Terrace Dining Corp;22 W 135th St;22 W 135th St, New York, NY 10037, USA
Terrace Restaurant Butler Hall;400 W 119th St;Butler Hall, 400 W 119th St, New York, NY 10027, USA
Terramare Café;Italian;Italian
Terramare Café;22 East 65th Street;22 E 65th St, New York, NY 10065, USA
Terras Gourmet;77 Pearl St;77 Pearl St, New York, NY 10004, USA
Tevares Restaurant;2316 Amsterdam Ave;2316 Amsterdam Ave, New York, NY 10033, USA
Tevere 84 Italian Glatt Kosher;155 E 84th St;155 E 84th St, New York, NY 10028, USA
Tevere 84 Italian Glatt Kosher;Italian;Italian
Texas Fried Chicken Usa Ltd;4 Park Ave;Park Ave, United States
Texas Rotisserie & Grill;94 Fulton St # 2;94 Fulton St #2, New York, NY 10038, USA
Texas Rotisserie & Grill;712 3rd Ave;712 3rd Ave, New York, NY 10017, USA
Texas Star;741 Saint Nicholas Ave # 1;741 St Nicholas Ave #1, New York, NY 10031, USA
Tgi Fridays;47 E 42nd St;47 E 42nd St, New York, NY 10017, USA
Tgi Fridays;407 Park Ave;407 Park Ave
Tgi Fridays;21 W 51st St;21 W 51st St, New York, NY 10019, USA
Tgi Fridays;604 5th Ave;604 5th Ave, New York, NY 10020, USA
Tgi Fridays;761 7th Ave;761 7th Ave, New York, NY 10019, USA
Tgi Fridays;750 3rd Ave;750 3rd Ave, New York, NY 10017, USA
Tgi Fridays;430 Lexington Ave;430 Lexington Ave, Brooklyn, NY 11221, USA
Thady Cons Bar & Restaurant;915 2nd Ave;Henry M. Jackson Federal Building, 915 2nd Ave, Seattle, WA 98104, USA
Thai Chai-Yo;233 9th Avenue;233 9th Avenue
Thai House Cafe;151 Hudson St;151 Hudson St, New York, NY 10013, USA
Thai Jasmine Ltd;860 9th Ave;860 9th Ave, New York, NY 10019, USA
Thai Select;472 9th Avenue;472 9th Ave, New York, NY 10018, USA
Thai Son Vietnamese Rest;89 Baxter Street;89 Baxter St, New York, NY 10013, USA
Thai Village;Thai;Thai
Thai Village;133 W 3rd St;133 W 3rd St, New York, NY 10012, USA
Thailand Cafe;95 2nd Ave;95 2nd Ave, New York, NY 10003, USA
Thailand Restaurant;106 Bayard St;106 Bayard St, New York, NY 10013, USA
Thali Indian Vegetarian Inc;Indian;India
Thali Indian Vegetarian Inc;28 Greenwich Ave # 1;28 Greenwich Ave #1, New York, NY 10011, USA
Thanh Hong Restaurant Inc;30 E Broadway # 4;30 Broadway #4, Dobbs Ferry, NY 10522, USA
Thanh Vi Restaurant;137 E Broadway;137 E Broadway, New York, NY 10002, USA
The Beekman;15 Beekman Street # 17;15 Beekman St #17, New York, NY 10038, USA
The Carriage House;219 East 59th Street;219 E 59th St, New York, NY 10022, USA
The Cupping Room Cafe;359 West Broadway;359 W Broadway, New York, NY 10013, USA
The Elephant;58 East 1st. St.;58 E 1st St, New York, NY 10003, USA
The Globe Restaurant;26th Street And Park Ave Sth;26th Street And Park Ave Sth
The Hideaway;185 Duane Street;185 Duane St, New York, NY 10013, USA
The Lobby Lounge af the Algonquin Hotel;59 West 44th Street;59 W 44th St, New York, NY 10036, USA
The New Panorama Cafe;303 East 85th St.;303 E 85th St, New York, NY 10028, USA
The Oak Room;59 West 44th Street;59 W 44th St, New York, NY 10036, USA
The Organic Grill;123 First Ave;123 First Ave
The Overlook;225 East 44th Street;225 E 44th St, New York, NY 10017, USA
The Red Lion;151 Bleecker St.;151 Bleecker St, New York, NY 10012, USA
The River Room;Riverside Drive at 145th Street;Riverside Dr & W 145th St, New York, NY 10031, USA
The Riverside Church;490 Riverside Dr.;490 Riverside Dr, New York, NY 10027, USA
The Sanctuary;25 1st Avenue;25 1st Avenue, New York, NY 10003, USA
The Village Pourhouse;64 Third Avenue;64 3rd Ave, New York, NY 10003, USA
Theadore;17 E 13th St;17 E 13th St, New York, NY 10003, USA
Third & Long;523 3rd Ave;523 3rd Ave, San Francisco, CA 94118, USA
Third Avenue Bagel & Appetizer;1461 3rd Ave;1461 3rd Ave, New York, NY 10028, USA
Three Decker Restaurant Inc;1746 2nd Ave # 1;1746 2nd Ave #1, New York, NY 10128, USA
Three Guys Restaurant;49 E 96thmadisson Ave;49 E 96thmadisson Ave
Three Guys Restaurant;960 Madison Ave;960 Madison Ave, New York, NY 10021, USA
Three Of Cups;83 1st Ave;83 1st Ave, Lancaster, NY 14086, USA
Three Star Coffee Shop;541 Columbus Ave;541 Columbus Ave, New York, NY 10024, USA
Three Stars Restaurant;1462 1st Ave;1462 1st Avenue, New York, NY 10075, USA
Tibet Shambala;488 Amsterdam Ave # Ground;488 Amsterdam Ave, New York, NY 10024, USA
Tibet on Houston;136 W Houston @ Sullivan;136 W Houston St, New York, NY 10012, USA
Tibetan Kitchen;444 3rd Ave;444 3rd Ave
Tick Tock Diner;481 8th Ave;481 8th Ave, New York, NY 10001, USA
Tien Fu Restaurant;180 3rd Ave;180 3rd Ave
Tien Garden Inc;170 Allen St;170 Allen St, New York, NY 10002, USA
Tijuana Toms;114 Greenwich St;114 Greenwich St, New York, NY 10013, USA
Time Cafe;87 7th Ave S;87 7th Ave S, New York, NY 10014, USA
Time Cafe;380 Lafayette St;380 Lafayette St, New York, NY 10003, USA
Time Cafe;2330 Broadway;2330 Broadway, New York, NY 10024, USA
Times Square Brewery Rstrnt;160 W 42nd St;160 W 42nd St, New York, NY 10036, USA
Timothys Coffees Of World;200 E 94th St;Carnegie Park, 200 E 94th St, New York, NY 10128, USA
Tin Hoi Chinese Restaurant;520 E 14th St # 520;520 E 14th St #520, New York, NY 10009, USA
Tindo Restaurant Inc;1 Eldridge St;1 Eldridge St, New York, NY 10002, USA
Tio Pepe Restaurant;168 W 4th St;168 West 4th Street, New York, NY 10014, USA
Tipo Romano Inc;359 W 53rd St;359 W 53rd St, New York, NY 10019, USA
Tiramisu Inc;1410 3rd Ave;1410 3rd Ave N, Texas City, TX 77590, USA
Titou;259 W 4th St;259 West 4th Street, New York, NY 10014, USA
Tivoli Restaurant;515 3rd Ave # 1;515 3rd Ave #1, Iowa City, IA 52245, USA
Toad Hall;57 Grand St;57 Grand St
Tofu Chinese & Japanese Rstrnt;2741 Broadway;2741 Broadway St, Pearland, TX 77581, USA
Tokubei 86;314 E 86th St;314 East 86th St, New York, NY 10028, USA
Tokyo Feast Inc;50 W 55th St;50 W 55th St
Tokyo Lamen;90 University Pl;90 University Pl, New York, NY 10003, USA
Tokyo Lunch;10 John St;10 John St, Blackburn VIC 3130, Australia
Tokyo Pop;2728 Broadway;2728 Broadway, New York, NY 10025, USA
Toledo Restaurant;6 E 36th St;6 E 36th St
Tomas 126 Delancey Corp;116 Delancey St;116 Delancey St, Philadelphia, PA 19106, USA
Tomas Restaurant;2148 Amsterdam Ave;2148 Amsterdam Ave, New York, NY 10032, USA
Tomoe Sushi;172 Thompson St;172 Thompson St, New York, NY 10012, USA
Tomotachi Sushi Take Out;204 Spring St;204 Spring St, New York, NY 10012, USA
Toms Kitchen;1172 Amsterdam Ave;Avery Hall, 1172 Amsterdam Ave, New York, NY 10027, USA
Toms Restaurant;2880 Broadway;2880 Broadway, New York, NY 10025, USA
Tong Sing Take Out;2245 1st Ave # 30;2245 1st Avenue #30, New York, NY 10029, USA
Tonic East;411 3rd Ave (Off 29th Street);411 3rd Ave, New York, NY 10016, United States
Tony Di Napoli Restaurant;1606 2nd Ave;1606 2nd Ave, New York, NY 10028, USA
Tony Mirenda Restaurant;107 Macombs Pl;107 Macombs Pl, New York, NY 10039, USA
Tonys Of Worth St;83 Worth St # 1;83 Worth St #1, New York, NY 10013, USA
Tonys Pizzeria;58 Macdougal St;58 MacDougal St, New York, NY 10012, USA
Tonys Restaurant;265 W 37th St;265 W 37th St, New York, NY 10018, USA
Tonys Sandwich Shop;83 Baxter St;83 Baxter St, New York, NY 10013, USA
Top Broccoli Restaurant;304 W 40th St;304 W 40th St, New York, NY 10018, USA
Top Of The Tower;3 Mitchell Pl;3 Mitchell Pl, New York, NY 10017, USA
Topaz Thai Restaurant;Thai;Thai
Topaz Thai Restaurant;127 W 56th St # 1;127 W 56th St #1, New York, NY 10019, USA
Toppings Restaurant;133 W 14th St;133 W 14th St, New York, NY 10011, USA
Tops Food Co;139 E Broadway;139 E Broadway, New York, NY 10002, USA
Toraya Restaurant;300 E 52nd St;300 E 52nd St, New York, NY 10022, USA
Torch;137 Ludlow St;137 Ludlow St, New York, NY 10002, USA
Torre Di Pisa Inc;19 W 44th St;19 W 44th St, New York, NY 10036, USA
Tortilla Flats Restaurant;767 Washington St;767 Washington St, New York, NY 10014, USA
Toscorp;127 7th Ave;127 7th Ave, New York, NY 10011, USA
Toshi Restaurant Ltd;1144 1st Ave;1144 1st Avenue, New York, NY 10065, USA
Totonno's;462 Second Avenue @ 26th Street;462 Second Avenue @ 26th Street
