restaurant;address1;address2;addressGoogle1
Sushi Sennin;30 E 33rd St;Btwn Park & Madison Ave;Crystal building
Sushi Sennin (CLOSED);1420 3rd Ave;Btwn 80th & 81st St;1420 3rd Ave
Sushi Suki;1577 York Ave;Btwn 83rd & 84th St;1577 York Ave
Sushi Time;821 2nd Ave;Btwn 43rd & 44th St;821 2nd Ave
Sushi Twist;66 Madison Ave;Btwn 27th & 28th St;66 Madison Ave
Sushi Yasuda;204 E 43rd St;Btwn 2nd & 3rd Ave;204 E 43rd St
Sushi Yawa;25 W 8th St;At MacDougal St;25 W 8th St
Sushi You;246 E 51st St;Btwn 2nd & 3rd Ave;246 E 51st St
Sushi Yu;2827 W 181st St;Btwn Pinehurst & Cabrini;W 181st St
Sushi Zen;108 W 44th St;Btwn 6th & 7th Ave;108 W 44th St
Sushi a la Kawa;18 Maiden Ln;At Liberty Pl;18 Maiden Ln
Sushi a-go-go;1900 Broadway;Btwn 63rd & 64th St;1900 Broadway
Sushi of Gari;46347 W 46th St;Btwn 8th & 9th Ave;W 46th St
Sushi of Gari;402 E 78th St;Btwn 1st & York Ave;402 E 78th St
Sushi on Hudson;556 Hudson St;Btwn Perry & 11th St;556 Hudson St
Sushi-Ann;38 E 51st St;Btwn Park & Madison Ave;38 E 51st St
Sushi-Tei;4711 E 47th St;Btwn Madison & 5th Ave;E 47th St
SushiSamba;787 7th Ave S;Btwn Grove & Barrow St;787 7th Ave
SushiSamba Park;245 Park Ave S;Btwn 19th & 20th St;245 Park Ave S
Sushiden;19 E 49th St;Btwn 5th & Madison Ave;19 E 49th St
Sushiden;123 W 49th St;Btwn 6th & 7th Ave;123 W 49th St
Sushiya;28 W 56th St;Btwn 5th & 6th Ave;28 W 56th St
Sushiya28 W;56th St;;W 56th St
Susie's Kitchen;444 Park Ave S;At 30th St;444 Park Ave S
Suspenders;111 Broadway;At Thames St;111 Broadway
Sutton Cafe;1026 1st Ave;Btwn 56th & 57th St;1026 1st Avenue
Sutton Pizza & Gyro;1140 1st Ave;Btwn 62nd & 63rd St;1140 1st Avenue
Sutton Place;1015 2nd Ave;Btwn 53rd & 54th St;1015 2nd Ave
Suzie's;163 Bleecker St;Btwn Thompson & Sullivan St;163 Bleecker St
Suzie's16;3 Bleecker St;;3 Bleecker St
Suzu Sushi;1075 1st Ave;Btwn 58th & 59th St;1075 1st Avenue
Swagat;411A Amsterdam Ave;Btwn 79th & 80th St;411A Amsterdam Ave
Swagat;205 W 29th St;At 7th Ave;205 W 29th St
Swagat205 W;29th St;;E 29th St
Sweet;270 Greenwich St;Btwn Warren & Murray St;270 Greenwich St
Sweet & Lowdown;123 Allen St;Btwn Rivington & Delancey St;123 Allen St
Sweet & Vicious;5 Spring St;Btwn Elizabeth St & Bowery;5 Spring St
Sweet Emily's;321 W 51st St;;321 W 51st St
Sweet Life Cafe;147 Christopher St;Btwn Washington & Greenwich St;147 Christopher St
Sweet Revenge;62 Carmine St;At Bedford St;62 Carmine St
Sweet Spring Restaurant;25A Catherine St;At Henry St;25 Catherine St
Sweetiepie;19 Greenwich Ave;Btwn 10th & Christopher St;19 Greenwich Ave
Swich Pressed Sandwiches;104 8th Ave;Btwn 15th & 16th St;104 8th Ave
Swift;34 E 4th St;Btwn Lafayette St & Bowery;34 E 4th St
Swift34 E;4th St;;West 4th Street
Swifty's;1007 Lexington Ave;Btwn 72nd & 73rd St;1007 Lexington Ave
Swig;1629 2nd Ave;Btwn 84th & 85th St;1629 2nd Ave
Swig1629;2nd Ave;;2nd Ave
Swing;46349 W 46th St;Btwn 8th & 9th Ave;W 46th St
Swing 463;49 W 46th St;;49 W 46th St
Swizz;310 W 53rd St;At 8th Ave;310 W 53rd St
Swizz310 W;53rd St;;W 53rd St
Sylvia's;328 Lenox Ave;Btwn 126th & 127th St;328 Lenox Ave
Symposium Greek Restaurant;544 W 113th St;At Broadway;544 W 113th St
Szechuan Garden Kitchen;2076 8th Ave;Btwn 112th & 113th St;2076 Frederick Douglass Blvd
Szechuan Gourmet;21 W 39th St;Btwn 5th & 6th Ave;21 W 39th St
Szechuan Hunan Cottage;1588 York Ave;Btwn 83rd & 84th St;1588 York Ave
Szechuan Kitchen;1518 1st Ave;Btwn 79th & 80th St;1518 1st Avenue
T & R Pizza;411 Amsterdam Ave;Btwn 79th & 80th St;411 Amsterdam Ave
T Salon & T Emporium;11 E 20th St;Btwn Bway & Park Ave S;11 E 20th St
T-Bar Steak & Lounge;1278 3rd Ave;Btwn 73rd & 74th St;1278 3rd Ave
T.J. Byrnes;77 Fulton St;At Ryders Aly;77 Fulton St
T.S. Ma;480 9th Ave;Btwn 36th & 37th St;480 9th Ave
T.S. Ma48;0 9th Ave;;0 9th Ave
TA Cocina Express;710 9th Ave;Btwn 48th & 49th St;710 9th Ave
TAO;42 E 58th St;Btwn Park & Madison Ave;42 E 58th St
TAO42 E 5;8th St;;E 8th St
TG Whitney's;244 E 53rd St;Btwn 2nd & 3rd Ave;244 E 53rd St
TOC;0(Thai on Clinton)6 Clinton St;;6 Clinton St floor 1
TOC (Thai on Clinton);6 Clinton St;Btwn Houston & Stanton St;6 Clinton St
Taam-Tov;46 W 47th St;Btwn 5th & 6th Ave;46 W 47th St
Taan Thai;17 E 31st St;Btwn Madison & 5th Ave;17 E 31st St
Tabla;11 Madison Ave;At 25th St;11 Madison Ave
Table Tales Cafe;243 Water St;Btwn Beekman St & Peck Slip;243 Water St
Table d'Hote;44 E 92nd St;Btwn Madison & Park Ave;44 E 92nd St
Taboon;773 10th Ave;At 52nd St;773 10th Ave
Taboon773;10th Ave;;10th Ave
Tabouli;3915 Broadway;;3915 Broadway
Taco;1229 1st Avenue;Btwn 66th & 67th St;1229 1st Avenue
Taco & Tortilla King;285 3rd Ave;Btwn 21st & 22nd St;285 3rd Ave
Taco Bandito;325 8th Ave;Btwn 26th & 27th St;325 8th Ave
Taco City;1143 1st Ave;Btwn 62nd & 63rd Sts;1143 1st Avenue
Taco Express;397 8th Ave;Btwn 29th & 30th St;397 8th Ave
Taco Grill;146 W 72nd St;Btwn Amsterdam & Columbus Ave;146 W 72nd St
Taco House;178 Church St;Btwn Duane & Reade St;178 Church St
Taco King Grill;1448 1st Ave;Btwn 75th and 76th Sts;1448 1st Avenue
Taco Taco;1726 2nd Ave;Btwn 89th & 90th St;1726 2nd Ave
Taco Today;1659 1st Ave;Btwn 86th & 87th St;1659 1st Avenue
Taco1229;1st Avenue;;1st Avenue
Tacocina;714 9th Ave;Btwn 48th & 49th St;714 9th Ave
Tacos El Paisa;1548 St Nicholas Ave;;1548 St Nicholas Ave
Tacos Neza;1455 Saint Nicholas Ave;Btwn 183rd & 184th St;1455 St Nicholas Ave
Tadka;229 E 53rd St;Btwn 2nd & 3rd Ave;229 E 53rd St
Tadka229 E;53rd St;;W 53rd St
Tafu;569 Lexington Ave;51st St btwn 3rd & Lex Ave;Double tree Metropolitan
Tagine Dining Gallery;537 9th Ave;At 40th St;537 9th Ave
Tahini;0(fka Kosher Village)23 3rd Ave;;0(fka Kosher Village)23 3rd Ave
Tahini (fka Kosher Village);23 3rd Ave;Btwn St Marks Pl & 9th St;23 3rd Ave
Tai Thai;78 E 1st St;Btwn 1st Ave & Ave A;78 E 1st St
Tai Thai;0(fka Tiny Thai Cafe)693 9th Ave;;0(fka Tiny Thai Cafe)693 9th Ave
Tai Thai (fka Tiny Thai Cafe);693 9th Ave;Btwn 47th & 48th St;693 9th Ave
Tailor;525 Broome St;Btwn Thompson St & 6th Ave;525 Broome St
Taipei Noodle Restaurant;7 Allen St;Btwn Canal & Division St;7 Allen St
Taj II;48 W 21st St;Btwn 5th & 6th Ave;DEZER BUILDING
Taj II48 W;21st St;;W 21st St
Taj Mahal;318 E 6th St;Btwn 1st & 2nd Ave;318 E 6th St
Tajin;85 Greenwich St;Btwn Edgar & Rector St;85 Greenwich St
Takahachi;85 Avenue A;Btwn 5th & 6th St;85 Avenue A
Takahachi;145 Duane St;Btwn W Broadway & Church St;145 Duane St
Taki Sushi;60 W 48th St;Btwn 5th & 6th Ave;60 W 48th St
Taksim;1030 2nd Ave;Btwn 54th & 55th St;1030 2nd Ave
Taksim103;0 2nd Ave;;0 2nd Ave
Tal Bagels;2446 Broadway;Btwn 90th & 91st St;2446 Broadway
Tal Bagels;333 E 86th St;Btwn 1st & 2nd Ave;333 East 86th St
Tal Bagels;977 1st Ave;Btwn 53rd & 54th St;977 1st Avenue
Talay;701 W 135th St;At 12th Ave;701 W 135th St
Talay701 W;135th St;;W 135th St
Talent Thai Kitchen;210 E 34th St;Btwn 2nd & 3rd Ave;210 E 34th St
Talia's Steakhouse;668 Amsterdam Ave;Btwn 92nd & 93rd St;668 Amsterdam Ave
Talia's To Go;668 Amsterdam Ave;Btwn 92nd & 93rd St;668 Amsterdam Ave
Tamarind;424 Amsterdam Ave;Btwn 80th & 81st St;424 Amsterdam Ave
Tamarind;41 E 22nd St;Btwn Bway & Park Ave S;41 E 22nd St
Tamarind;1679 3rd Ave;At 94th St;1679 3rd Ave
Tamarind Gourmet;3161 Broadway;Btwn Lasalle & Tiemann Pl;3161 Broadway
Tamaya;4030 Broadway;At St Nicholas Ave;4030 Broadway
Tamaya403;0 Broadway;;0 Broadway
Tamilnadu Bhavan;102 Lexington Ave;At 27th St;102 Lexington Ave
Tan Wong Restaurant;103 E Broadway;Btwn Allen & Forsyth St;103 E Broadway
Tanaka Sushi;222 E 51st St;Btwn 2nd & 3rd Ave;222 E 51st St
Tandoor Palace;88 Fulton St;At Gold St;88 Fulton St
Tandoori;210 W 94th St;Btwn Amsterdam Ave & Broadway;210 W 94th St
Tang Pavilion;65 W 55th St;Btwn 5th & 6th Ave;65 W 55th St
Tang S.;306 St Nicholas Ave;Btwn 126th & 127th St;306 St Nicholas Ave
Tang S.30;6 St Nicholas Ave;;6 St Nicholas Ave
Tang Tang;1328 3rd Ave;At 76th St;1328 3rd Ave
Tanti Baci;163 W 10th St;At 7th Ave;163 W 10th St
Tapeo;2929 Clinton St;At Stanton St;2929 Clinton St
Tapeo 292;9 Clinton St;;9 Clinton St
Taqueria California;3151 Broadway;Btwn Lasalle & Tiemann Place;3151 Broadway
Taqueria La Fogata;2104 2nd Ave;Btwn 108th & 109th;2104 2nd Ave
Taqueria Mexicana Los Angeles;1336 St Nicholas Ave;Btwn 176th & 177th St;1336 St Nicholas Ave
Taqueria y Fonda la Mexicana;968 Amsterdam Ave;Btwn 107th & 108th St;968 Amsterdam Ave
Tarallucci e Vino;163 1st Ave;At 10th St;163 1st Avenue
Tarallucci e Vino;15 E 18th St;Btwn Bway & 5th Ave;15 E 18th St
Taro;1364 Lexington Ave;Btwn 90th & 91st St;1364 Lexington Ave
Tartine;253 W 11th St;At W 4th St;253 W 11th St
Tartine25;3 W 11th St;;3 W 11th St
Taso's;600 W 57th St;At 11th Ave;600 W 57th St
Taso's600 W;57th St;;W 57th St
Taste;1413 3rd Ave;At 80th St;1413 3rd Ave
Taste;34 Lexington Ave;At 24th St;34 Lexington Ave
Taste Of Seafood;59 E 125th St;;59 E 125th St
Taste of Tokyo;60 Beaver St;At Hanover Sq;60 Beaver St
Taste1413;3rd Ave;;3rd Ave
Tasty Cafe;126 Madison Ave;Btwn 30th & 31st St;126 Madison Ave
Tasty Cafe;2062 Broadway;At 71st St;2062 Broadway
Tasty Hand-Pulled Noodles;1 Doyers St;;1 Doyers St
Tasty King;534 E 14th St;Btwn Ave A & Ave B;534 E 14th St
Tataki;3 Lispenard St;Btwn Church St & W Broadway;3 Lispenard St
Tatany;721400 2nd Ave;Btwn 72nd & 73rd St;2nd Ave
Tatany;207 E 26th St;Btwn 2nd & 3rd Ave;207 E 26th St
Tatany 72;1400 2nd Ave;;1400 2nd Ave
Tatany207 E;26th St;;W 26th St
Tauro Restaurant;284 Hudson St;Btwn Broome & Spring St;284 Hudson St
Tavern on Jane;31 8th Ave;At Jane St;31 8th Ave
Tavern on the Green;0Central Park West;At 67th St;0Central Park West
Tavern on the Green;1Central Park West 1 At 67th St;;1Central Park West 1 At 67th St
Tavern on the GreenCentral Park West;0 At 67th St;;E 67th St
Tawaa;4005 Broadway;Btwn 168th & 169th St;4005 Broadway
Tawaa;401 E 68th St;At 1st Ave;401 E 68th St
Tawaa401 E;68th St;;E 68th St
Taz Cafe;84 William St;At Nassau St;84 William St
Tea and Sympathy;108 Greenwich Ave;At Jane St;108 Greenwich Ave
Teariffic;51 Mott St;At Bayard St;51 Mott St
Tebaya;144 W 19th St;Btwn 6th & 7th Ave;144 W 19th St
Tebaya144 W;19th St;;W 19th St
Ted's Montana Grill;110 W 51st St;Btwn 6th & 7th Ave;110 W 51st St
Tehuitzingo;695 10th Ave;Btwn 47th & 48th St;695 10th Ave
Teleon Cafe;162 W 56th St;Btwn 6th & 7th Ave;162 W 56th St
Telepan;72 W 69th St;Btwn Columbus Ave & CPW;72 W 69th St
Telepan72 W;69th St;;E 69th St
Telephone Bar & Grill;149 2nd Ave;Btwn 9th & 10th St;149 2nd Ave
Telio;2481 Broadway;Btwn 92nd & 93rd St;2481 Broadway
Tello's;263 W 19th St;Btwn 7th & 8th Ave;263 W 19th St
Tello's26;3 W 19th St;;3 W 19th St
Temple Bar;332 Lafayette St;Btwn Houston & Bleecker St;332 Lafayette St
Ten Sushi;39 E 31st St;Btwn Madison & Park Ave S;39 E 31st St
Ten's Cabaret;35 E 21st St;Btwn Broadway & Park Ave;35 E 21st St
Teng Dragon;2260 1st Ave;Btwn 116th & 117th St;2260 1st Avenue
Tenzan;1714 2nd Ave;At 89th St;1714 2nd Ave
Tenzan;285 Columbus Ave;At 73rd St;285 Columbus Ave
Tenzan;988 2nd Ave;At 52nd St;988 2nd Ave
Tenzan171;4 2nd Ave;;4 2nd Ave
Tenzan988;2nd Ave;;2nd Ave
Teodora;141 E 57th St;Btwn Lexington & 3rd Ave;141 E 57th St
Teodora14;1 E 57th St;;1 E 57th St
Tequila Chito's Bar & Grille;358 W 23rd St;Btwn 8th & 9th Ave;358 W 23rd St
Tequila Jack's;1668 3rd Ave;Btwn 93rd & 94th St;1668 3rd Ave
Tequilaville;12 Vanderbilt Ave;Btwn 42nd & 43rd St;12 Vanderbilt Ave
Teresa's;220 E 42nd St;Btwn 2nd & 3rd Ave;220 E 42nd St
Teresa's;215 E 47th St;Btwn 2nd & 3rd Ave;215 E 47th St
Teriyaki Boy;15 Lexington Ave;Btwn 22nd & 23rd St;15 Lexington Ave
Teriyaki Boy;885 9th Ave;Btwn 57th & 58th St;885 9th Ave
Teriyaki Boy;216 E 10th St;Btwn 1st & 2nd Ave;216 E 10th St
Teriyaki Boy;732 7th Ave;Btwn 48th & 49th St;732 7th Ave
Teriyaki Boy;1640 3rd Ave;Btwn 91st & 92nd St;1640 3rd Ave
Terminal Restaurant;329 10th Ave;Corner of 29th St;329 10th Ave
Terrace;59 W 53rd St;Btwn 5th & 6th Ave;59 W 53rd St
Terrace Fish & Chip;77 Pearl St;At Coenties Aly;77 Pearl St
Terrace Fish and Chip;124 Fulton St;Btwn Dutch & Nassau St;124 Fulton St
Terrace In The Sky;400 W 119th St;Btwn Amsterdam Ave & Morningside Dr;Butler Hall
Terramare;22 E 65th St;Btwn Madison & 5th Ave;22 E 65th St
Terroir;413 E 12th St;At 1st Ave;413 E 12th St
Terroir41;3 E 12th St;;3 E 12th St
Terry's Gourmet Deli;575 6th Ave;At 16th St;575 6th Ave
Tet;83 Avenue A;At E 6th St;83 Avenue A
Tevere;155 E 84th St;Btwn Lexington & 3rd Ave;155 E 84th St
Tevere155 E;84th St;;E 84th St
Texas Chicken & Grill;360 W 42nd St;Btwn 8th & 9th Ave;360 W 42nd St
Texas Rotisserie & Grill;2581 Broadway;At 97th St;2581 Broadway
Texas Rotisserie & Grill;94 Fulton St;Btwn Gold & William St;94 Fulton St
Texas Rotisserie & Grill;1315 1st Ave;Btwn 70th & 71st St;1315 1st Avenue
Thai;51224 E 51st St;Btwn 2nd & 3rd Ave;E 51st St
Thai 5122;4 E 51st St;;4 E 51st St
Thai Angel;141 Grand St;Btwn Bway & Lafayette St;141 Grand St
Thai Basil;860 9th Ave;Btwn 55th & 56th St;860 9th Ave
Thai Chai-Yo;233 9th Ave;Btwn 24th & 25th St;233 9th Ave
Thai Lemongrass;273A Mott St;Btwn Houston & Prince St;273 Mott St
Thai Market;960 Amsterdam Ave;Btwn 107th & 108th St;960 Amsterdam Ave
Thai Me Up;238 E 14th St;Btwn 2nd & 3rd Ave;238 E 14th St
Thai Select;472 9th Ave;Btwn 36th & 37th St;472 9th Ave
Thai Terminal;349 E 12th St;Btwn 1st & 2nd Ave;349 E 12th St
Thai on Two;180 2nd Ave;Btwn 11th & 12th St;180 2nd Ave
Thai-Nam;137 E 45th St;Btwn 3rd & Lexington Ave;137 E 45th St
ThaiNY;394 3rd Ave;At 28th St;394 3rd Ave
ThaiNY394;3rd Ave;;3rd Ave
Thailand Cafe;95 2nd Ave;At 6th St;95 2nd Ave
Thailand Restaurant;856 10th Ave;Btwn 56th & 57th St;856 10th Ave
Thaison;89 Baxter St;Btwn Bayard & Walker St;89 Baxter St
Thalassa;179 Franklin St;Btwn Greenwich & Hudson St;179 Franklin St
Thalia;828 8th Ave;At 50th St;828 8th Ave
Thalia828;8th Ave;;8th Ave
That's Amore Pizza;1246 Saint Nicholas Ave;Btwn 172nd & 173rd St;1246 St Nicholas Ave
The Adore;17 E 13th St;Btwn 5th Ave & University Pl;17 E 13th St
The Australian;20 W 38th St;Btwn 5th & 6th Ave;20 W 38th St
The Back Page;1472 3rd Ave;At 83rd St;1472 3rd Ave
The Bagel Cafe/Ray's Pizza;2 Saint Marks Pl;At 3rd Ave;2 St Marks Pl
The Bagel Mill;1700 1st Ave;At 88th St;1700 1st Avenue
The Bar @ Etats-Unis;247 E 81st St;Btwn 2nd & 3rd Ave;247 E 81st St
The Bar Room at The Modern;9 W 53rd St;Btwn 5th & 6th Ave;9 W 53rd St
The Bean;49 1/2 1st Ave;At E Houston St;49-1/2 1st Avenue
The Beekman Pub;15 Beekman St;Btwn William & Nassau St;15 Beekman St
The Bigger Place;61 Warren St;At W Bway;61 Warren St
The BlackFinn;218 E 53rd St;Btwn 2nd & 3rd Ave;218 E 53rd St
The Blind Tiger;281 Bleecker St;At Jones St;281 Bleecker St
The Blue Seats;157 Ludlow St;At Stanton St;157 Ludlow St
The Bourgeois Pig;111 E 7th St;Btwn 1st Ave & Ave A;111 E 7th St
The Breadstix Cafe;254 8th Ave;At 23rd St;254 8th Ave
The Bullpen;1678 1st Ave;Btwn 87th & 88th St;1678 1st Avenue
The Cafe @ RMA;150 W 17th St;Btwn 6th & 7th Ave;150 W 17th St
The Cafe at Country;90 Madison Ave;At 29th St;90 Madison Ave
The Cafe at Le Cirque;151 E 58th St;;151 E 58th St
The Capital Grille;155 E 42nd St;Btwn Lex & 3rd Ave;155 E 42nd St
The Carlyle;35 E 76th St;At Madison Ave;35 E 76th St
The Carnegie Club;156 W 56th St;Btwn 6th & 7th Ave;156 W 56th St
The Casual Grill;24 John St;Btwn Bway & Nassau St;24 John St
The Casual Grill (CLOSED);24 John St;;24 John St
The Center RoomColumbus Ave;0 At 64th St;;0 At 64th St
The Center RoomColumbus Ave;At;64th St;At
The Champagne Bar;768 5th Ave;At W 58th St;768 5th Ave
The China Star;145 1st Ave;Btwn St Marks Pl & 9th St;145 1st Avenue
The City Bakery;3 W 18th St;Btwn 5th and 6th St;3 W 18th St
The City Grill;269 Columbus Ave;Btwn 72nd & 73rd St;269 Columbus Ave
The Coliseum;312 W 58th St;Btwn 8th & 9th Ave;312 W 58th St
The Cottage;360 Amsterdam Ave;At 77th St;360 Amsterdam Ave
The Cottage;33 Irving Pl;At 16th St;33 Irving Pl
The Country Cafe;60 Wall St;Btwn William & Pearl St;60 Wall St
The Country Kebab;76 Fulton St;At Gold St;76 Fulton St
The Crooked Knife;29 E 30th St;Btwn Park & Madison Ave;29 E 30th St
The Cupping Room;496 Hudson St;Btwn Christopher & Grove St;496 Hudson St
The Cupping Room Cafe;359 W Broadway;Btwn Broome & Grand St;359 W Broadway
The Cutting Room;19 W 24th St;Btwn Bway & 6th Ave;19 W 24th St
The Cutting Room (CLOSED);19 W 24th St;Btwn Bway & 6th Ave;19 W 24th St
The Den;2150 5th Ave;Btwn 131st & 132nd St;2150 5th Ave
The Den21;50 5th Ave;;50 5th Ave
The Diner;44 9th Ave;At 14th St;44 9th Ave
The Diner;75 Nassau St;Btwn John & Fulton St;75 Nassau St
The Dish;201 8th Ave;Btwn 20th & 21st St;201 8th Ave
The Donut Pub;203 W 14th St;At 7th Ave;203 W 14th St
The Dove Parlor;228 Thompson St;Btwn Bleeker & W 3rd St;228 Thompson St
The Elephant;58 E 1st St;Btwn 1st & 2nd Ave;58 E 1st St
The Emery Bar;125 E 50th St;At Lexington Ave;125 E 50th St
The Ethiopian Restaurant;1582 York Ave;Btwn 83rd & 84th St;1582 York Ave
The Flame Restaurant;893 9th Ave;At 58th St;893 9th Ave
The Four Seasons;99 E 52nd St;Btwn Park & Lexington Ave;99 E 52nd St
The Full Shilling;160 Pearl St;At Wall St;160 Pearl St
The Garden Cafe;66 Park Ave;At 38th St;66 Park Ave
The Giant Bagel Shop;120 University Pl;At 13th St;120 University Pl
The Ginger Man;11 E 36th St;Btwn Madison & 5th Ave;11 E 36th St
The Grand Sichuan;125 Canal St;At Chrystie St;125 Canal St
The Grand Tier Restaurant;30 Lincoln Center Plaza;At Columbus Ave & 64th St;30 W 63rd St.
The Great Burrito;405 Amsterdam Ave;Btwn 79th & 80th St;405 Amsterdam Ave
The Greek's Collegiate Restaurant;1600 Amsterdam Ave;At 139th St;1600 Amsterdam Ave
The Green Bean Cafe;1413 York Ave;Btwn 75th & 76th St;1413 York Ave
The Green Room;0south street Seaport Pier 17;;89 South St
The Green Room;1South Street Seaport Pier 17 1 At Fulton St;;89 South St
The Green Room;0South Street Seaport Pier 17;At Fulton St;89 South St
The Green Room0South Street Seaport Pier;17;;17
The Green Table;75 9th Ave;At 15th St;75 9th Ave
The Grill;1274 1st Ave;Btwn 68th & 69th St;1274 1st Avenue
The Grill (CLOSED);1274 1st Ave;Btwn 68th & 69th St;1274 1st Avenue
The Grill Room;225 Liberty St;At West Side Hwy;225 Liberty St
The Grotto;69 New St;Btwn Beaver St & Exchange Pl;69 New St
The Hairy Monk;337 3rd Ave;At 25th St;337 3rd Ave
The Half King;505 W 23rd St;At 10th Ave;505 W 23rd St
The Half Pint;76 W 3rd St;At Thompson St;76 W 3rd St
The Harlem Tea Room;1793A Madison Ave;At 118th St;1793A Madison Ave
The Harrison;355 Greenwich St;At Harrison St;355 Greenwich St
The Havana Room;306 E 76th St;Btwn 1st & 2nd Ave;306 E 76th St
The Heights Bar & Grill;2867 Broadway;Btwn 111th & 112th St;2867 Broadway
The Hog Pit;37 W 26th St;Btwn Broadway & 6th Ave;37 W 26th St
The House;121 E 17th St;At Irving Pl;121 E 17th St
The House of Brews;363 W 46th St;Btwn 8th & 9th Ave;363 W 46th St
The House of Brews;302 W 51st St;At 8th Ave;302 W 51st St
The Irish Rogue;356 W 44th St;Btwn 8th & 9th Ave;356 W 44th St
The Jaguar;1735 Lexington Ave;At 108th St;1735 Lexington Ave
The John Dory;85 10th Ave;Btwn 15th & 16th St;85 10th Ave
The Kati Roll Company;99 Macdougal St;Btwn Bleecker St & Minetta Ln;99 MacDougal St
The Kati Roll Company;49 W 39th St;Btwn 5th & 6th Ave;49 W 39th St
The Ketch;181 Pearl St;Btwn Pearl & William St;181 Pearl St
The Kingswood;121 W 10th St;At Greenwich Ave;121 W 10th St
The Kinsale Tavern;1672 3rd Ave;Btwn 93rd & 94th St;1672 3rd Ave
The Kiosk;80 E 116th St;Btwn Madison & Park Ave;80 E 116th St
The Kitchen Club;30 Prince St;At Mott St;Little Cupcake Bakeshop (Meeting Place)
The Kitchen at Company Bar;242 E 10th St;Btwn 1st & 2nd Ave;242 E 10th St
The Landmark Tavern;626 11th Ave;At 46th St;626 11th Ave
The Libertine;15 Gold St;At Platt St;15 Gold St
The Little Owl;90 Bedford St;At Grove St;Apartment Building from the TV Show Friends
The Lobby at the Algonquin Hotel;59 W 44th St;Btwn 5th & 6th Ave;59 W 44th St
The Lobster Place;436 W 16th St;At 10th Ave;436 W 16th St
The London Bar;151 W 54th St;Btwn 6th & 7th Ave;151 W 54th St
The Mad Hatter Saloon;360 3rd Ave;At 26th St;360 3rd Ave
The Madras Cafe;79 2nd Ave;Btwn 4th & 5th St;79 2nd Ave
The Mercury Dime;246 E 5th St;Btwn 2nd & 3rd Ave;246 E 5th St
The Mermaid Inn;568 Amsterdam Ave;Btwn 87th & 88th St;568 Amsterdam Ave
The Mermaid Inn;96 2nd Ave;Btwn 5th & 6th St;96 2nd Ave
The Modern;9 W 53rd St;Btwn 5th & 6th Ave;9 W 53rd St
The Morgan Cafe;225 Madison Ave;At 36th St;225 Madison Ave
The Morgan Dining Room;225 Madison Ave;At 36th St;225 Madison Ave
The Mudspot;307 E 9th St;At 2nd Ave;307 E 9th St
The New French;522 Hudson St;At W 10th St;522 Hudson St
The New Market Place;419 E 70th St;At 1st Ave;419 E 70th St
The Oak Cellar;430 Amsterdam Ave;Btwn 80th & 81st St;430 Amsterdam Ave
The Oak Room at the Algonquin Hotel;59 W 44th St;Btwn 5th & 6th Ave;59 W 44th St
The Odeon;145 W Broadway;At Thomas St;145 W Broadway
The Orchard;162 Orchard St;Btwn Stanton and Rivington;WASSAIL
The Organic Grill;123 1st Ave;Btwn 7th St & St Marks Pl;123 1st Avenue
The Palm;837 2nd Ave;Btwn 44th & 45th St;837 2nd Ave
The Palm Court;768 5th Ave;At W 58th St;768 5th Ave
The Palm Court (CLOSED);768 5th Ave;At W 58th St;768 5th Ave
The Palm Too;840 2nd Ave;Btwn 44th & 45th St;840 2nd Ave
The Palm Tribeca;206 West St;At Chambers St;206 West St
The Palm West Side;250 W 50th St;Btwn Bway & 8th Ave;250 W 50th St
The Pantry;405 W 23rd St;At 9th Ave;405 W 23rd St
The Park;118 10th Ave;At 18th St;118 10th Ave
The Park Room;36 Central Park S;Btwn 5th & 6th Ave;36 Central Park S
The Pembroke Room;28 E 63rd St;Btwn Madison & Park Ave;28 E 63rd St
The Perfect Pint;123 W 45th St;Btwn 6th & 7th Ave;123 W 45th St
The Pizza Place;1325 5th Ave;Btwn 111th & 112th St;1325 5th Ave
The Pizza Shop;110 Avenue A;Btwn 6th & 7th St;110 Avenue A
The Pizzeria;114 Macdougal St;Btwn W 3rd St & Bleecker St;114 MacDougal St
The Place;310 W 4th St;Btwn Bank & W 12th St;310 West 4th Street
The Playwright;27 W 35th St;Btwn 5th & 6th Ave;27 W 35th St
The Press Box;932 2nd Ave;Btwn 49th & 50th St;932 2nd Ave
The Pump;31 E 21st St;Btwn Park Ave & Bway;31 E 21st St
The Pump;275 Madison Ave;At 40th St;275 Madison Ave
The Pump;112 W 38th St;Btwn 6th Ave & Bway;112 W 38th St
The Pump;40 W 55th St;Btwn 5th & 6th Ave;40 W 55th St
The Pump Energy Food;112 W 38th St;Btwn 6th Ave & Bway;112 W 38th St
The Pump Energy Food;275 Madison Ave;At 40th St;275 Madison Ave
The Pump Energy Food;31 E 21st St;Btwn Park Ave & Bway;31 E 21st St
The Pump Energy Food;805 3rd Ave;Btwn 49th & 50th St;805 3rd Ave
The Pump Energy Food;40 W 55th St;Btwn 5th & 6th Ave;40 W 55th St
The Randolph at Broome;354 Broome St;Btwn Elizabeth St & Bowery;354 Broome St
The Red Cat;227 10th Ave;Btwn 23rd & 24th St;227 10th Ave
The Red Flame;67 W 44th St;Btwn 5th & 6th Ave;67 W 44th St
