restaurant;address;country;country_code;neighborhood;type;cost;addressGoogle
Swing 46;349 W. 46 St;New York;NY;Theater;American;$$$;349 W 46th St
Swizz;310 W 53rd St;New York;NY;Midtown West;Swiss;$$;310 W 53rd St
Tabla;11 Madison Ave;New York;NY;Gramercy Park;Indian;$$$$;11 Madison Ave
Taboon;773 10th Ave;New York;NY;Midtown West;Mediterranean;$$$;773 10th Ave
Tailor;525 Broome St.;New York;NY;;;;525 Broome St
Takahachi Tribeca;145 Duane St;New York;NY;TriBeCa;Japanese;$$;145 Duane St
Talay;701 W 135th St;New York;NY;Harlem;Thai;$$$;701 W 135th St
Tamarind;41-43 E 22nd St;New York;NY;Flatiron;Indian;$$$;41 E 22nd St #43
Tang Pavilion;65 W 55th St;New York;NY;Midtown West;Chinese;$$;65 W 55th St
Tao;42 E 58th Street;New York;NY;Midtown East;Asian;$$$;42 E 58th St
Taormina;147 Mulberry St;New York;NY;Little Italy;Italian;$$;147 Mulberry St
Tartine;253 W 11th St;New York;NY;West Village;French;$;253 W 11th St
Tasting Room;72 E First St;New York;NY;East Village;American;$$$;72 E 1st St
Tavern on the Green;Central Park W.;New York;NY;;;;Central Park West
Tea & Sympathy;108 Greenwich Ave;New York;NY;West Village;British;$;108 Greenwich Ave
Telepan;72 West 69th Street;New York;NY;Midtown West;American;$$$$;72 W 69th St
Tello's;263 W 19th St;New York;NY;Chelsea;Italian;$$;263 W 19th St
Tenzan;285 Columbus Ave;New York;NY;Upper West Side;Japanese;$$;285 Columbus Ave
Tenzan;988 Second Avenue;New York;NY;Midtown East;Sushi;$$$$;988 2nd Ave
Tequila's Chito's Mexican Bar & Grill;358 W 23rd St;New York;NY;Chelsea;Mexican;$$;358 W 23rd St
Teresa's;103 1st Ave;New York;NY;East Village;Polish;$;103 1st Avenue
Terrace In The Sky;400 West 119th Street;New York;NY;Upper West Side;French;$$;400 W 119th St
The American;235 Mulberry St.;New York;NY;NoLita;American;$;235 Mulberry St
The Cafe Carlyle;35 E 76 St;New York;NY;;;;35 E 76th St
The Cupping Room Cafe;359 West Broadway;New York;NY;;;;359 W Broadway
The Four Seasons;99 E 52nd St;New York;NY;Midtown East;Continental;$$$$;99 E 52nd St
The Harrison;355 Greenwich St;New York;NY;TriBeCa;American;$$$;355 Greenwich St
The House;121 E. 17th Street;New York;NY;Gramercy Park;Mediterranean;$$$$;121 E 17th St
The Mezzanine Restaurant;235 W 46th Street;New York;NY;Theater;Mediterranean;$$;235 W 46th St
The Modern;9 W 53rd St;New York;NY;Midtown West;American;$$$$;9 W 53rd St
The New French;522 Hudson St;New York;NY;Greenwich Village;French;$$$;522 Hudson St
The Pink Tea Cup;42 Grove St;New York;NY;West Village;Southern;$;42 Grove St
The Place;310 W Fourth St;New York;NY;West Village;American;$$$;310 West 4th Street
The Place on West 10th;142 W 10th St;New York;NY;Greenwich Village;American;$$$;142 W 10th St
The Pump Energy Food;275 Madison Ave.;New York;NY;;;;275 Madison Ave
The Redhead;349 E. 13th Street;New York;NY;East Village;American;$$$;349 E 13th St
The Sunburnt Cow;137 Avenue C;New York;NY;East Village;Australian;$;137 Loisaida Ave
Thor;Hotel on Rivington;New York;NY;Lower East Side;American;$$$$;107 Rivington St
Three Of Cups;83 First Ave;New York;NY;East Village;Italian;$;83 1st Avenue
Tia Pol;205 Tenth Ave;New York;NY;Chelsea;Spanish;$$;205 Amsterdam Ave
Tocqueville;1 E 15th St;New York;NY;Union Square;American;$$$$;1 E 15th St
Tomo;2850 Broadway;New York;NY;Harlem;Sushi;$;2850 Broadway
Tomoe Sushi;172 Thompson St;New York;NY;Greenwich Village;Sushi;$$;172 Thompson St
Tong;39 E. 13th St.;New York;NY;;Thai;$$$;39 E 13th St
Tony's Di Napoli;1606 2nd Avenue;New York;NY;;;;1606 2nd Ave
Town;Chambers Hotel, 15 West 56th St;New York;NY;Midtown West;American;$$$$;15 W 56th St
Trattoria Dell'Arte;900 Seventh Ave;New York;NY;Midtown West;Italian;$$$;900 7th Ave
Tribeca Grill;375 Greenwich St;New York;NY;TriBeCa;American;$$$;375 Greenwich St
Triomphe;49 West 44th Street;New York;NY;Midtown West;French;$$$$;49 W 44th St
Troy Turkish Grill;539 9th Ave;New York;NY;Midtown West;Turkish;$;539 9th Ave
Tsampa;212 E Ninth St;New York;NY;East Village;Southeast Asian;$;212 E 9th St
Tse Yang;34 East 51st Street;New York;NY;Midtown East;Chinese;$$$;34 E 51st St
Turkish Cuisine;631 9th Ave;New York;NY;Midtown West;Middle Eastern;$$;631 9th Ave
Turkish Kitchen;386 Third Ave;New York;NY;Midtown East;Turkish;$$$$;386 3rd Ave
Turkuaz;2637 Broadway;New York;NY;Harlem;Middle Eastern;$$;2637 Broadway
Tuscan Square;16 W 51st St;New York;NY;Midtown West;Italian;$$$;16 W 51st St
Two Boots Lower East Side;384 Grand Street;New York;NY;Lower East Side;Pizza;$;384 Grand St
Two Boots Rock Center;30 Rockefeller Plaza;New York;NY;Midtown West;Pizza;$;30 Rockefeller Plaza
Two Boots To Go;42 Avenue A;New York;NY;East Village;Pizza;$;42 Avenue A
Two Boots To Go Go;74 Bleecker Street;New York;NY;SOHO;Pizza;$;74 Bleecker St
Two Boots To Go West;201 West 11th Street;New York;NY;West Village;Pizza;$;201 W 11th St
Una Pizza Napoletana;349 E 12th St;New York;NY;East Village;Pizza;$;349 E 12th St
Uncle Jack's Steakhouse-Nyc;440 9th Avenue;New York;NY;Midtown East;Steakhouse;$$$;440 9th Ave
Uncle Nick's;747 9th Ave;New York;NY;Midtown West;Greek;$$;747 9th Ave
Union Square Cafe;21 E 16th St;New York;NY;Union Square;American;$$$$;21 E 16th St
Upstairs;130 W Broadway, 2nd Fl;New York;NY;TriBeCa;International;$$$;130 W Broadway 2nd Fl
Urena;37 E 28th St;New York;NY;Gramercy Park;Spanish;$$$;37 E 28th St
Uskudar Turkish Restaurantt;1405 Second Ave;New York;NY;Upper East Side;Middle Eastern;$$;1405 2nd Ave
Utsav;1185 Sixth Ave, 2nd Fl;New York;NY;Midtown West;Indian;$$$;1185 6th Ave 2nd Fl
Varietal;138 W. 25th Street;New York;NY;Chelsea;American;$$$$;138 W 25th St
Vatan;409 Third Ave;New York;NY;Gramercy Park;Indian;$$;409 3rd Ave
Veniero's;342 E 11th St;New York;NY;East Village;American;$;342 E 11th St
Vento;675 Hudson St;New York;NY;Meatpacking District;Italian;$$$;675 Hudson St
Veritas;43 E 20th St;New York;NY;Union Square;American;$$$$;43 E 20th St
Veselka Restaurant;144 2nd Ave;New York;NY;East Village;American;$;144 2nd Ave
Vespa Cibobouno;1625 Second Ave;New York;NY;;;;1625 2nd Ave
Via Brasil;34 W 46 St;New York;NY;Midtown West;South American;$$;34 W 46th St
Viceversa;325 W 51st St;New York;NY;Midtown West;Italian;$$$$;325 W 51st St
Vico Ristorante;1302 Madison Ave;New York;NY;Upper East Side;Italian;$$$;1302 Madison Ave
Victor's Cafe;236 West 52 St;New York;NY;Midtown West;Cuban;$$$;236 W 52nd St
Villa Mosconi Restaurant;69 Macdougal St;New York;NY;Greenwich Village;Italian;$$$;69 MacDougal St
Village;62 W Ninth St;New York;NY;Greenwich Village;French;$$$;62 W 9th St
Vincent's Restaurant;119 Mott St;New York;NY;Little Italy;Italian;$$;119 Mott St
Vintage Irving;118A E. 15th St.;New York;NY;Union Square;Small Plates;$$$;118A E 15th St
Vong;200 East 54th St;New York;NY;Midtown East;Thai;$$$$;200 E 54th St
Waikiki Wally's;101 East 2nd Street;New York;NY;East Village;Hawaiian;$$$;101 E 2nd St
Walker's;16 N Moore St;New York;NY;TriBeCa;American;$;16 N Moore St
Wallse;344 W 11th St;New York;NY;West Village;Austrian;$$$$;344 W 11th St
Wd-50;50 Clinton St;New York;NY;Murray Hill;American;$$$$;50 Clinton St
Westville;210 W 10th St;New York;NY;West Village;American;$;210 W 10th St
Westville East;173 Ave. A;New York;NY;East Village;American;$;173 Avenue A
Whym;889 Ninth Ave.;New York;NY;;;;889 9th Ave
Wichcraft;397 Greenwich St;New York;NY;TriBeCa;American;$;397 Greenwich St
Wild Ginger;51 Grove St.;New York;NY;;Thai;$$$;51 Grove St
Wildwood BBQ;225 Park Avenue South;New York;NY;Gramercy Park;Barbecue;$$$;225 Park Ave S
Wo Hop Restaurant;17 Mott St;New York;NY;;;;17 Mott St
Wogies Restaurant;39 Greenwich Ave;New York;NY;West Village;American;$;39 Greenwich Ave
Wolfgang's Steakhouse;4 Park Avenue;New York;NY;Murray Hill;Steakhouse;$$$$;4 Park Ave
Wollensky's Grill;205 East 49th Street;New York;NY;Midtown East;American;$$$;205 E 49th St
Won Jo;23 W 32nd St;New York;NY;Midtown West;Korean;$$;23 W 32nd St
Woo Lae Oak;148 Mercer St;New York;NY;SOHO;Korean;$$$;148 Mercer St
Xing;785 Ninth Ave;New York;NY;Midtown West;Asian;$$$;785 9th Ave
Xunta;174 First Ave;New York;NY;East Village;Spanish;$;174 1st Avenue
Yakitori Totto;251 W. 55th St., 2nd fl;New York;NY;Midtown West;Japanese;$$$;251 W 55th St 2nd fl
Yama;38-40 Carmine St;New York;NY;Midtown East;Sushi;$$;38-40 Carmine St
Yozakura Kushiyaki Bar;168 Ludlow St;New York;NY;Lower East Side;Japanese;$;168 Ludlow St
Yuca Bar;111 Ave A;New York;NY;East Village;Nuevo Latino;$;111 Avenue A
Yuka;1557 2nd Ave;New York;NY;;;;1557 2nd Ave
Yuki Sushi;656 Amsterdam Ave;New York;NY;Upper West Side;Sushi;$;656 Amsterdam Ave
Za3calo;174 E 82nd St;New York;NY;Upper East Side;Mexican;$$;174 E 82nd St
Zabar's Cafe;2245 Broadway;New York;NY;Upper West Side;Deli;$;2245 Broadway
Zarela's;953 Second Ave;New York;NY;Midtown East;Mexican;$$$;953 2nd Ave
Zebu Grill;305 E 92nd St;New York;NY;Upper East Side;South American;$$;305 E 92nd St
Zen Palate;34 East Union Sq;New York;NY;Union Square;Vegetarian;$;34 Union Square E
Zerza;304 E Sixth St;New York;NY;East Village;Moroccan;$$;304 E 6th St
Zeytin;519 Columbus Ave;New York;NY;Upper West Side;Turkish;$$;519 Columbus Ave
Zoe;90 Prince St;New York;NY;SOHO;American;$$$;90 Prince St
Zoma;2084 Frederick Douglass Blvd.;New York;NY;Harlem;Ethiopian;$$;2084 Frederick Douglass Blvd
Zona Rosa;40 W 56th St;New York;NY;;;;40 W 56th St
Zum Schneider;107 Ave C;New York;NY;East Village;German;$;107 Loisaida Ave
Zuni;598 Ninth Ave;New York;NY;Theater;American;$$;598 9th Ave
Zutto;77 Hudson Street;New York;NY;TriBeCa;Sushi;$$;77 Hudson St
db Bistro Moderne;55 W 44th Street;New York;NY;Midtown West;French;$$$$;55 W 44th St
earth NYC;116a 10th Avenue;New York;NY;Chelsea;Asian;$$;116A 10th Ave
p*ong;150 W. 10th Street;New York;NY;Greenwich Village;Dessert;$$;150 W 10th St
