restaurant;address;neighborhood;addressGoogle
South Gate;160 Central Park South btwn 6th and 7th...;Midtown West;160 Central Park S
Southern Hospitality;;Upper East Side;
Soy;;Lower East Side;
Spanky's BBQ;127 W 43rd St btwn Broadway and Sixth...;Midtown West;127 W 43rd St #2
Spanky's BBQ (CLOSED);;Midtown West;
Sparks Steak House;210 E 46th St btwn Second and Third Aves;Midtown East;210 E 46th St
Sparky's American Food;;East Village;
Spice;;Chelsea;
Spice;;Upper East Side;
Spice;;Greenwich Village;
Spiga;;Upper West Side;
Spigolo;;Upper East Side;
Spitzer's Corner;101 Rivington St at Ludlow St;Lower East Side;101 Rivington St
Spotlight Live;;Midtown West;
Spotlight Live (CLOSED);;Midtown West;
Spring Street Natural;62 Spring St at Lafayette St;SoHo;62 Spring St
Spunto;;Greenwich Village;
Square Meal;30 E 92nd St btwn 5th Ave and Madison...;Upper East Side;30 E 92nd St btwn 5th Ave and Madison...
Stage Deli;1481 Second Ave at 77th St;Upper East Side;1481 2nd Ave
Stage Deli;1481 Second Ave at 77th St;Midtown West;1481 2nd Ave
Staghorn Steakhouse;;Midtown West;
Stand;;Greenwich Village;
Steak Frites;;Greenwich Village;
Stone Park Cafe;;Park Slope;
Strip House;;Greenwich Village;
Suba;;Lower East Side;
Suba (CLOSED);;Lower East Side;
Suenos;;Chelsea;
Sugarcane;;Park Slope;
Sugiyama;;Midtown West;
Sumile Sushi;;Greenwich Village;
Supermac;;Chelsea;
Supper;156 E 2nd St btwn Aves A and B;East Village;156 E 2nd St
Surya;302 Bleecker St btwn Seventh Ave South...;Greenwich Village;302 Bleecker St
Sushi Ann;38 E 51st St btwn Madison and Park Aves;Midtown East;38 E 51st St
Sushi Hana;;Upper East Side;
Sushi Jun;;Midtown West;
Sushi Samba 7;87 Seventh Ave So at Barrow St;Greenwich Village;87 7th Ave S
Sushi Seki;1143 1st Ave btwn 62nd and 63rd Sts;Upper East Side;1143 1st Avenue
Sushi Yasuda;204 E 43rd St btwn 2nd and 3rd Aves;Midtown East;204 E 43rd St
Sushi Zen;;Midtown West;
Sushi of Gari;;Upper East Side;
Sushi of Gari 46;;Midtown West;
Sushiden;19 E 49th St btwn Fifth and Madison Aves;Midtown East;12 E 49th St
Sushiden;19 E 49th St btwn Fifth and Madison Aves;Midtown West;12 E 49th St
Sweet Emily's;;Midtown West;
Sweet and Lowdown;123 Allen St btwn Delancey and...;Lower East Side;123 Allen St
Sweetiepie;19 Greenwich Ave btwn W 10th and...;Greenwich Village;57 W 10th St
Swich;104 8th Ave btwn 15th and 16th Sts;Chelsea;104 8th Ave btwn 15th and 16th Sts
Swifty's;1007 Lexington Ave btwn 72nd and 73rd...;Upper East Side;1007 Lexington Ave btwn 72nd and 73rd...
Swizz Restaurant and Wine Bar;310 W 53rd St btwn Eighth and Ninth...;Midtown West;310 W 53rd St
Symposium;544 W 113th St btwn Amsterdam Ave and...;Upper West Side;544 W 113th St
Szechuan Gourmet;21 West 39th St btwn Fifth and Sixth Ave;Midtown West;21 W 39th St
T-Bar Steak and Lounge;;Upper East Side;
Taam Tov;41 W 47th St btwn Fifth and Sixth Aves;Midtown West;41 W 47th St
Taboon;773 10th Ave btwn 52nd and 53rd Sts;Midtown West;773 10th Ave btwn 52nd and 53rd Sts
Taco Taco;;Upper East Side;
Tagine Dining Gallery;537 Ninth Ave btwn 39th and 40th Sts;Midtown West;537 Ninth Ave btwn 39th and 40th Sts
Tahini;23 Third Ave at St Marks Pl;East Village;23 3rd Ave
Tailor;525 Broome St btwn Thompson and...;SoHo;525 Broome St
Taim;222 Waverly Pl btwn Perry and W 11th Sts;Greenwich Village;222 Waverly Pl
Takahachi;;East Village;
Taksim;99 Second Ave btwn 5th and 6th Sts;East Village;6th Ave
Talia's Steakhouse and Bar;;Upper West Side;
Tang Pavilion;;Midtown West;
Tanti Baci Caffe;;Greenwich Village;
Tao;;Midtown East;
Taralluccci e Vino;163 First Ave Corner of 10th St;East Village;163 First Ave Corner of 10th St
Taro Sushi;446 Dean St btwn Fifth and Flatbush...;Park Slope;446 Dean St btwn Fifth and Flatbush...
Tartine;253 W 11th St at 4th St;Greenwich Village;253 W 11th St at 4th St
Tasca (CLOSED);130 Seventh Avenue So at W 10th St;Greenwich Village;130 7th Ave S
Taste;;Upper East Side;
Tavern on Nostrand;813 Nostrand Ave btwn Union and...;Park Slope;813 Nostrand Ave
Tavern on the Green;Central Park West at 67th St;Upper West Side;Central Park West & W 67th St
Tea and Sympathy;108 Greenwich Ave near Jane St;Greenwich Village;108 Greenwich Ave
Teany;90 Rivington St btwn Ludlow and Orchard...;Lower East Side;90 Rivington St
Tebaya;;Chelsea;
Ted's Montana Grill;110 W 51st St btwn Sixth and Seventh...;Midtown West;110 W 51st St
Telepan;;Upper West Side;
Tello's;;Chelsea;
Tempo;;Park Slope;
Teodora;;Midtown East;
Terroir;413 E 12th St btwn First Ave and Ave A;East Village;413 E 12th St btwn First Ave and Ave A
Tet;83 Ave A btwn 5th and 6th Sts;East Village;6th Ave
Thai on Clinton;;Lower East Side;
Thalia;828 Eighth Ave at 50th St;Midtown West;308 W 50th St
The Capital Grille;155 E 42nd St btwn Lexington & 3rd Aves;Midtown East;155 E 42nd St
The Carlyle Restaurant;35 E 76th St at Madison Ave;Upper East Side;35 E 76th St
The Charles;234 W 4th St btwn W 10th and Charles Sts;Greenwich Village;234 W 4th St btwn W 10th and Charles Sts
The E.U.;235 E 4th St near Ave B;East Village;235 E 4th St
The E.U. (CLOSED);;East Village;
The Elephant;;East Village;
The Ethiopian Restaurant;;Upper East Side;
The Four Seasons;99 E 52nd St btwn Park and Lexington...;Midtown East;99 E 52nd St
The Great Burrito;405 Amsterdam Ave at 79th St;Upper West Side;405 Amsterdam Ave
The Green Table;75 Ninth Ave at 15th St;Chelsea;75 9th Ave
The Little Owl;90 Bedford St at Grove St;Greenwich Village;Apartment Building from the TV Show Friends
The Mercury Dime;246 E 5th St btwn Cooper Square and...;East Village;200 E 5th St
The Mermaid Inn;568 Amsterdam Ave btwn 87th and 88th Sts;Upper West Side;568 Amsterdam Ave btwn 87th and 88th Sts
The Mermaid Inn;568 Amsterdam Ave btwn 87th and 88th Sts;East Village;568 Amsterdam Ave btwn 87th and 88th Sts
The Modern;;Midtown West;
The Morgan Dining Room;;Midtown East;
The New French;;Greenwich Village;
The Noho Star;;East Village;
The Oak Room;;Midtown West;
The Orchard;162 Orchard St at Rivington St;Lower East Side;WASSAIL
The Organic Grill;123 First Ave btwn St Marks Pl and E...;East Village;123 1st Avenue
The Palm;;Midtown East;
The Palm Too;;Midtown East;
The Palm West Side;;Midtown West;
The Park;118 10th Ave at 18th St;Chelsea;New York
The Park Room;;Midtown West;
The Place;310 W 4th St btwn Bank and W 12th Sts;Greenwich Village;310 West 4th Street
The Pod Cafe;230 E 51st St btwn 2nd and 3rd Aves;Midtown East;3rd Ave
The Post House;28 E 63rd St btwn Madison and Park Aves;Upper East Side;28 E 63rd St
The Prime Grill;60 E 49th St btwn Madison and Park Aves;Midtown East;12 E 49th St
The Red Cat;227 10th Ave btwn 23rd and 24th Sts;Chelsea;227 10th Ave btwn 23rd and 24th Sts
The Redhead;349 E 13th St at First Ave;East Village;349 E 13th St
The Restaurant at The Jumeirah Essex House;160 Central Park South btwn 6th and 7th...;Midtown West;160 Central Park S
The Russian Tea Room;;Midtown West;
The Sea Grill;;Midtown West;
The Sheep Meadow Cafe;;Upper West Side;
The Smith;55 Third Ave btwn 10th and 11th Sts;East Village;55 Third Ave btwn 10th and 11th Sts
The Spotted Pig;314 W 11th St at Greenwich St;Greenwich Village;314 W 11th St
The Stanton Social;;Lower East Side;
The Sunburnt Cow;137 Ave C btwn 8th and 9th Sts;East Village;9th Ave
The Tasting Room Wine Bar and Cafe;72 East 1st Street Btwn First and...;East Village;72 E 1st St
The Twisted Burger (CLOSED);430 E 14th St btwn First Ave and Ave A;East Village;430 E 14th St btwn First Ave and Ave A
The West Branch;;Upper West Side;
Thor;107 Rivington St at Essex St;Lower East Side;107 Rivington St
Three of Cups;;East Village;
Tia Pol;205 10th Ave btwn 22nd and 23rd Sts;Chelsea;205 10th Ave btwn 22nd and 23rd Sts
Tides;102 Norfolk St at Delancey St;Lower East Side;The Back Room
Tiengarden;170 Allen St btwn Rivington and Stanton...;Lower East Side;170 Allen St
Tisserie;870 7th Ave btwn 55th and 56th Sts;Midtown West;870 7th Ave btwn 55th and 56th Sts
Tokyo Pop;;Upper West Side;
Tokyo Pop (CLOSED);;Upper West Side;
Toledo;6 E 36th St btwn Fifth and Madison Aves;Midtown East;6 E 36th St btwn Fifth and Madison Aves
Toloache;;Midtown West;
Tomoe Sushi;172 Thompson St btwn Bleecker and...;Greenwich Village;172 Thompson St
Tong Thai Brasserie;;East Village;
Tony's Di Napoli;;Midtown West;
Tony's Di Napoli;;Upper East Side;
Tori Shin;;Upper East Side;
Tout Va Bien;;Midtown West;
Town;15 W 56th St btwn 5th and 6th Aves;Midtown West;15 W 56th St
Trata Estiatorio;;Upper East Side;
Trattoria Dopo Teatro;125 W 44th St btwn Broadway and 6th Ave;Midtown West;125 W 44th St
Trattoria Spaghetto;;Greenwich Village;
Trattoria dell'Arte;;Midtown West;
Tre;173 Ludlow St btwn Stanton and Houston...;Lower East Side;173 Ludlow St btwn Stanton and Houston...
Tre Dici;;Chelsea;
Tre Dici Steak;128 W 26th St btwn Sixth and Seventh...;Chelsea;128 W 26th St
Tree;;East Village;
Trestle on Tenth;;Chelsea;
Triangolo;;Upper East Side;
Trio;167 E 33rd St btwn Lexington and Third...;Midtown East;167 E 33rd St
Triomphe;;Midtown West;
Tsampa;;East Village;
Tse Yang;34 E 51st St btwn Madison and Park Aves;Midtown East;34 E 51st St btwn Madison and Park Aves
Tsushima;141 E 47th St btwn Lexington and Third...;Midtown East;141 E 47th St
Tuck Shop;68 E 1st St btwn First and Second Aves;East Village;68 E 1st St btwn First and Second Aves
Turkuaz (CLOSED);2637 Broadway at 100th St;Upper West Side;2637 Broadway
Turquoise;;Upper East Side;
Udon West;;Midtown East;
Una Pizza Napoletana;;East Village;
Uncle Jack's Steakhouse;;Midtown West;
Uncle Nick's;;Chelsea;
Uncle Nick's Ouzaria;;Midtown West;
Upstairs at '21';;Midtown West;
Ushiwakamaru;136 W Houston St btwn MacDougal and...;Greenwich Village;136 W Houston St
Utsav;;Midtown West;
Uva;1486 Second Ave at 77th St;Upper East Side;1486 2nd Ave
Vai Restaurant and Wine Bar;225 W 77 St near Broadway;Upper East Side;225 W 77th St
Valbella;421 W 13th St btwn Ninth Ave and...;Greenwich Village;421 W 13th St
Valdino West (CLOSED);;Greenwich Village;
Vero Midtown;;Midtown East;
Veselka;;East Village;
Vespa;1625 Second Ave btwn 84th and 85th Sts;Upper East Side;1625 Second Ave btwn 84th and 85th Sts
Via dei Mille;;SoHo;
ViceVersa;;Midtown West;
Vico;;Upper East Side;
Villa Berulia;;Midtown East;
Villa Pazzo;;Greenwich Village;
Village;;Greenwich Village;
Village Mingala;;East Village;
Village Natural;;Greenwich Village;
Village Yokocho;;East Village;
Vince and Eddie's;;Upper West Side;
Vino 313;;Midtown East;
Virgil's Real BBQ;152 W 44th St btwn Broadway and Sixth...;Midtown West;145 W 44th St
Vong;200 E 54th St at 3rd Ave;Midtown East;200 E 54th St
Vynl;1491 Second Ave btwn 77th and 78th Sts;Upper East Side;1491 Second Ave btwn 77th and 78th Sts
Vynl;1491 Second Ave btwn 77th and 78th Sts;Upper West Side;1491 Second Ave btwn 77th and 78th Sts
Vynl;1491 Second Ave btwn 77th and 78th Sts;Chelsea;1491 Second Ave btwn 77th and 78th Sts
Vynl;1491 Second Ave btwn 77th and 78th Sts;Midtown West;1491 Second Ave btwn 77th and 78th Sts
Waldy's Wood Fired Pizza and Penne;80 6th Ave btwn 27th and 28th Sts;Chelsea;80 6th Ave btwn 27th and 28th Sts
Wallse;344 W 11th St at Washington St;Greenwich Village;344 W 11th St
Wasabi Lobby;1584 2nd Ave btwn 82nd and 83rd Sts;Upper East Side;1584 2nd Ave btwn 82nd and 83rd Sts
Waverly Inn;16 Bank St at Waverly Pl;Greenwich Village;16 Bank St
Wawa Canteen;;Greenwich Village;
Wd-50;;Lower East Side;
Wechsler's;;East Village;
West Bank Cafe;407 W 42nd St at Ninth Ave;Midtown West;407 W 42nd St
Westville;;Greenwich Village;
Westville East;173 Ave A at 11th St;East Village;173 Avenue A
Whym;;Midtown West;
Wild Ginger;;Greenwich Village;
Wilfie and Nell;228 W 4th St btwn W 10th and...;Greenwich Village;228 W 4th St btwn W 10th and...
Wogie's Bar and Grill;39 Greenwich Ave at Charles St;Greenwich Village;39 Greenwich Ave
Wollensky's Grill;201 E 49th St at Third Ave;Midtown East;201 E 49th St at Third Ave
Won Jo;;Midtown West;
Wondee Siam;792 Ninth Ave btwn 52nd and 53rd Sts;Midtown West;792 Ninth Ave btwn 52nd and 53rd Sts
Wondee Siam II;813 Ninth Ave btwn 53rd and 54th Sts;Midtown West;54th St
Woo Chon;8-10 W 36th St btwn Fifth and Sixth Aves;Midtown West;8 W 36th St #10
Woo Lae Oak;148 Mercer St btwn Prince and Houston St;SoHo;148 Mercer St
Wu Liang Ye;;Midtown West;
Wu Liang Ye;;Midtown East;
Wu Liang Ye;;Upper East Side;
Xunta;;East Village;
Yaffa Cafe;;East Village;
Yakitori Taisho;;East Village;
Yakitori Torys;;Midtown East;
Yakitori Totto;;Midtown West;
Yama;92 W Houston St btwn La Guardia Pl and...;Midtown East;Queens
Yama;92 W Houston St btwn La Guardia Pl and...;Greenwich Village;Queens
Yamato;;Park Slope;
Yerba Buena;23 Avenue A at E 2nd St;East Village;23 Avenue A
York Grill;;Upper East Side;
Yuca Bar;111 Ave A at 7th St;East Village;111 Avenue A
Yuva;230 E 58th St btwn Second and Third Aves;Midtown East;230 E 58th St
Zarela;953 Second Ave btwn 50th and 51st Sts;Midtown East;953 Second Ave btwn 50th and 51st Sts
Zen Burger (CLOSED);465 Lexington Ave btwn 45th and 46th Sts;Midtown East;465 Lexington Ave btwn 45th and 46th Sts
Zen Palate;;Midtown West;
Zerza;;East Village;
Zeytin;519 Columbus Ave at 85th St;Upper West Side;519 Columbus Ave
Zip Burger (CLOSED);300 1/2 E 52nd St at 2nd Ave;Midtown East;300 1/2 E 52nd St
Zipper Tavern;336 W 37th St btwn 8th and 9th St;Midtown West;336 W 37th St
Zoe;;SoHo;
Zoe Townhouse (CLOSED);;Upper East Side;
Zona Rosa;40 W 56th St btwn Fifth and Sixth Aves;Midtown West;40 W 56th St
Zona Rosa (CLOSED);;Midtown West;
Zucchero e Pomodori;;Upper East Side;
Zucco: Le French Diner;;Lower East Side;
Zuni;;Midtown West;
al di la vino;;Park Slope;
b-bap;830 9th Ave btwn 54th and 55th St;Midtown West;55th St
bar.vetro;222 E 58th St btwn Second and Third Aves;Midtown East;222 E 58th St
per se;10 Columbus Circle at 60th St;Midtown West;10 Columbus Cir
