0_restaurant;0_neighborhood;0_address;0_addressGoogle;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_neighborhood;1_address;1_addressGoogle;1_country;1_country_code;1_type;1_cost;1_type_r
Mercadito;E. Village;179 Ave B;179 Avenue B;New York;NY;;$$;Mexican;Mercadito;East Village; 179 Ave B-between 11th and 12th Sts;179 Avenue B;New York;NY;Mexican;;
Mercadito;E. Village;;nan;;;;;;Mercadito;East Village; 179 Ave B-between 11th and 12th Sts;179 Avenue B;New York;NY;Mexican;;
Metisse;Upper W. Side;239 W 105th St;239 W 105th St;New York;NY;;$$$;French;Metisse;nan;239 W 105th St-Btwn Bway & Amsterdam Ave;239 W 105th St;New York;NY;;;nan
Mezzaluna;Upper E. Side;1295 3rd Ave;1295 3rd Ave;New York;NY;;$$;American;Mezzaluna;Upper East Side; 1295 Third Ave-between 74th and 75th Sts;1295 3rd Ave;New York;NY;Italian;;
Mickey Mantle's;Midtown West;42 Central Park South;42 Central Park S;New York;NY;;$$$;American;Mickey Mantle's;nan;42 Central Park S-Btwn 5th & 6th Ave;42 Central Park S;New York;NY;;;nan
Mughlai;Upper W. Side;320 Columbus Ave;320 Columbus Ave;New York;NY;;$$;Indian;Mughlai;nan;320 Columbus Ave-At 75th St;320 Columbus Ave;New York;NY;;;nan
Nelson Blue;Financial/Battery Pk;233 Front Street;233 Front St;New York;NY;;$$;British;Nelson Blue;Financial District; 233–235 Front St-at Peck Slip;233 Front St;New York;NY;Australian & New Zealand;;
Neptune Room;Upper W. Side;511 Amsterdam Ave;511 Amsterdam Ave;New York;NY;;$$$$;Seafood;Neptune Room;West 80s;511 Amsterdam Ave.;511 Amsterdam Ave;New York;NY;;;Seafood
Nobu Next Door;Tribeca;105 Hudson St;105 Hudson St;New York;NY;;$$$$;Sushi;Nobu Next Door;;105 Hudson St-At Franklin St;105 Hudson St;;NY;;;
Nobu Next Door;Tribeca;105 Hudson St;105 Hudson St;New York;NY;;$$$$;Japanese;Nobu Next Door;;105 Hudson St-At Franklin St;105 Hudson St;;NY;;;
Nobu Next Door;TriBeCa;105 Hudson St;105 Hudson St;New York;NY;;$$$$;Japanese;Nobu Next Door;;105 Hudson St-At Franklin St;105 Hudson St;;NY;;;
Ocean Grill;Upper W. Side;384 Columbus Ave;384 Columbus Ave;New York;NY;;$$$;Seafood;Ocean Grill;Upper West Side; 384 Columbus Ave-between 78th and 79th Sts;384 Columbus Ave;New York;NY;Seafood;;
Oliva;Lower E. Side;161 East Houston Street;161 E Houston St;New York;NY;;$$;American;Oliva;Lower East Side; 161 E Houston St-at Allen St;161 E Houston St;New York;NY;Spanish;;
Ouest;Upper W. Side;2315 Broadway;2315 Broadway;New York;NY;;$$$$;American;Ouest;Upper West Side; 2315 Broadway-between 83rd and 84th Sts;2315 Broadway;New York;NY;American Creative;;
Paladar;Lower E. Side;161 Ludlow St;161 Ludlow St;New York;NY;;$$;Nuevo Latino;Paladar;Lower East Side; 161 Ludlow St-between Houston and Stanton Sts;161 Ludlow St;New York;NY;Latin American;;
Penelope;Murray Hill/Kips Bay;159 Lexington Ave;159 Lexington Ave;New York;NY;;$;American;Penelope;Midtown East; 159 Lexington Ave-at 30th St;159 Lexington Ave;New York;NY;Cafés;;
Perbacco;E. Village;234 E Fourth St;234 E 4th St;New York;NY;;$$$;Italian;Perbacco;East Village; 234 E 4th St-between Aves A and B;234 E 4th St;New York;NY;Italian;;
Popover Cafe;Upper W. Side;551 Amsterdam Ave;551 Amsterdam Ave;New York;NY;;$;American;Popover Cafe;;551 Amsterdam Ave;551 Amsterdam Ave;New York;NY;;;
Post House;Upper E. Side;28 E 63rd St (Between Park Ave & Madison Ave);28 E 63rd St;New York;NY;;$$$$;Steakhouse;Post House;Upper East Side;Lowell Hotel -28 E 63rd Stbetween Madison and Park Aves;;New York;NY;Steakhouses;;
Prune;E. Village;54 E First St;54 E 1st St;New York;NY;;$$$;American;Prune;East Village; 54 E 1st St-between First and Second Aves;54 E 1st St;New York;NY;American Creative;;
Radio Perfecto;E. Village;190 Ave B;190 Avenue B;New York;NY;;$$;American;Radio Perfecto;East Village; 190 Ave B-between 11th and 12th Sts;190 Avenue B;New York;NY;American;;
Resto;Gramercy / Flatiron;111 E. 29th Street;111 E 29th St;New York;NY;;$$;Belgian;Resto;Gramercy/Flatiron; 111 E 29th St-between Park and Lexington Aves;111 E 29th St;New York;NY;Belgian;;
Salaam Bombay;Tribeca;319 Greenwich St;319 Greenwich St;New York;NY;;$$;Indian;Salaam Bombay;Tribeca; 317 Greenwich St-between Duane and Reade Sts;317 Greenwich St;New York;NY;Indian;;
Sambuca;Upper W. Side;20 W 72nd St;20 W 72nd St;New York;NY;;$$;Italian;Sambuca;;20 W 72nd St-Btwn CPW & Columbus Ave;20 W 72nd St;;NY;;;
Scalini Fedeli;Tribeca;165 Duane St;165 Duane St;New York;NY;;$$$$;Italian;Scalini Fedeli;Tribeca; 165 Duane St-between Greenwich and Hudson Sts;165 Duane St;New York;NY;Italian;;
Scalini Fedeli;TriBeCa/SoHo;165 Duane St;165 Duane St;New York;NY;;$$$$;Italian;Scalini Fedeli;Tribeca; 165 Duane St-between Greenwich and Hudson Sts;165 Duane St;New York;NY;Italian;;
Scalini Fedeli;TriBeCa - Downtown;165 Duane St;165 Duane St;New York;NY;;$$$$;Italian;Scalini Fedeli;Tribeca; 165 Duane St-between Greenwich and Hudson Sts;165 Duane St;New York;NY;Italian;;
Sfoglia;Upper E. Side;1402 Lexington Avenue;1402 Lexington Ave;New York;NY;;$$$$;Italian;Sfoglia;;1402 Lexington Ave-At 92nd St;1402 Lexington Ave;;NY;;;
Stella Maris;Financial/Battery Pk;213 Front St.;213 Front St;New York;NY;;$$;European;Stella Maris;Financial District; 213 Front St-between Beekman St and Peck Slip;213 Front St;New York;NY;French;;
Supper;E. Village;156 E Second St;156 E 2nd St;New York;NY;;$$;Italian;Supper;East Village; 156 E 2nd St-between Aves A and B;156 E 2nd St;New York;NY;Italian;;
Sushi Samba;Flatiron/U. Sq.;245 Park Ave South;245 Park Ave S;New York;NY;;$$$;Sushi;Sushi Samba;Gramercy/Flatiron; 245 Park Ave South-between 19th and 20th Sts;245 Park Ave S;New York;NY;Japanese;;
Sushi Seki;Upper E. Side;1143 1st Ave;1143 1st Avenue;New York;NY;;$$$;Sushi;Sushi Seki;Upper East Side; 1143 First Ave-between 62nd and 63rd Sts;1143 1st Avenue;New York;NY;Japanese;;
Tea & Sympathy;W. Village;108 Greenwich Ave;108 Greenwich Ave;New York;NY;;$;British;Tea & Sympathy;West Village; 108–110 Greenwich Ave-between 12th and 13th Sts;108 Greenwich Ave;New York;NY;British & Irish;;
The Harrison;Tribeca;355 Greenwich St;355 Greenwich St;New York;NY;;$$$;American;The Harrison;Tribeca; 355 Greenwich St-at Harrison St;355 Greenwich St;New York;NY;American;;
The Harrison;TriBeCa/SoHo;355 Greenwich St;355 Greenwich St;New York;NY;;$$$;American;The Harrison;Tribeca; 355 Greenwich St-at Harrison St;355 Greenwich St;New York;NY;American;;
The Harrison;TriBeCa - Downtown;355 Greenwich St;355 Greenwich St;New York;NY;;$$$;American;The Harrison;Tribeca; 355 Greenwich St-at Harrison St;355 Greenwich St;New York;NY;American;;
Thor;Lower E. Side;Hotel on Rivington;107 Rivington St;New York;NY;;$$$$;American;Thor;Lower East Side;Hotel on Rivington -107 Rivington Stbetween Essex and Ludlow Sts;;New York;NY;American;;
Tsampa;E. Village;212 E Ninth St;212 E 9th St;New York;NY;;$;Southeast Asian;Tsampa;East Village; 212 E 9th St-between Second and Third Aves;212 E 9th St;New York;NY;Asian: Tibetan;;
Una Pizza Napoletana;E. Village;349 E 12th St;349 E 12th St;New York;NY;;$;Pizza;Una Pizza Napoletana;East Village; 349 E 12th St-between First and Second Aves;349 E 12th St;New York;NY;Italian: Pizza;;
Walker's;TriBeCa/SoHo;16 N Moore St;16 N Moore St;New York;NY;;$;American;Walker's;nan;16 N Moore St-At Varick St;16 N Moore St;New York;NY;;;nan
Zerza;E. Village;304 E Sixth St;304 E 6th St;New York;NY;;$$;Moroccan;Zerza;;304 East 6th Street;304 E 6th St;;NY;;;
Zum Schneider;E. Village;107 Ave C;107 Loisaida Ave;New York;NY;;$;German;Zum Schneider;;107 Avenue C-At 7th St;107 Loisaida Ave;;NY;;;
Zutto;Tribeca;77 Hudson Street;77 Hudson St;New York;NY;;$$;Sushi;Zutto;nan;77 Hudson St-Btwn Jay & Harrison St;77 Hudson St;New York;NY;;;nan
1 Dominick;SoHo;;1 Dominick St;;;;;;1 Dominick;Soho; 1 Dominick St-between Sixth Ave and Varick St;1 Dominick St;New York;NY;Italian;;
A Salt & Battery;W. Village;;nan;;;;;;A Salt & Battery;West Village; 112 Greenwich Ave-between 12th and 13th Sts;112 Greenwich Ave;New York;NY;British & Irish;;
Al Baraka;Upper E. Side;;nan;;;;;;Al Baraka;Upper East Side; 1613 Second Ave-between 83rd and 84th Sts;1613 2nd Ave;New York;NY;Moroccan;;
Angon on the Sixth;E. Village;;nan;;;;;;Angon on the Sixth;East Village;320 E 6th St-Btwn 1st & 2nd Ave;320 E 6th St;New York;NY;;;Indian
Angon on the Sixth;E. Village;320 E Sixth St;320 E 6th St;New York;NY;;$;Indian;Angon on the Sixth;East Village;320 E 6th St-Btwn 1st & 2nd Ave;320 E 6th St;New York;NY;;;Indian
Angon on the Sixth;East Village;320 E Sixth St;320 E 6th St;New York;NY;;$;Indian;Angon on the Sixth;East Village;320 E 6th St-Btwn 1st & 2nd Ave;320 E 6th St;New York;NY;;;Indian
Antique Garage;SoHo;;41 Mercer St;;;;;;Antique Garage;Soho; 41 Mercer St-between Broome and Grand Sts;41 Mercer St;New York;NY;Mediterranean;;
Avenue A Sushi;E. Village;;nan;;;;;;Avenue A Sushi;East Village; 103 Ave A-between 6th and 7th Sts;103 Avenue A;New York;NY;Japanese;;
BG;Midtown West;;nan;;;;;;BG;Midtown East; 754 Fifth Ave-between 57th and 58th Sts;754 5th Ave;New York;NY;Cafés;;
Bin 71;Upper W. Side;;nan;;;;;;Bin 71;Upper West Side; 237 Columbus Ave-at 71st St;237 Columbus Ave;New York;NY;Italian;;
Blue Ribbon Brasserie;SoHo;;97 Sullivan St;;;;;;Blue Ribbon Brasserie;;97 Sullivan Street;97 Sullivan St;New York;NY;;;
Brick Lane Curry House;E. Village;;nan;;;;;;Brick Lane Curry House;East Village; 306–308 E 6th St-between First and Second Aves;306-308 E 6th St;New York;NY;Indian;;
Brick Lane Curry House;E. Village;342 East 6th St;342 E 6th St;New York;NY;;$;Indian;Brick Lane Curry House;East Village; 306–308 E 6th St-between First and Second Aves;306-308 E 6th St;New York;NY;Indian;;
Brick Lane Curry House;East Village;342 East 6th St;342 E 6th St;New York;NY;;$;Indian;Brick Lane Curry House;East Village; 306–308 E 6th St-between First and Second Aves;306-308 E 6th St;New York;NY;Indian;;
Brio;Upper E. Side;;nan;;;;;;Brio;Upper East Side; 786 Lexington Ave-between 61st and 62nd Sts;786 Lexington Ave;New York;NY;Italian;;
ChikaLicious Puddin';East Village;;nan;;;;;;ChikaLicious Puddin';East Village;204 E 10th St-At 2nd Ave;204 E 10th St;New York;NY;;;Food or Beverage Shop
ChikaLicious Puddin';East Village;;nan;;;;;;ChikaLicious Puddin';East Village;204 E 10th St-At 2nd Ave;204 E 10th St;New York;NY;;;Food or Beverage Shop
City Crab & Seafood Company;Gramercy / Flatiron;;nan;;;;;;City Crab & Seafood Company;Gramercy/Flatiron;235 Park Ave South;235 Park Ave S;New York;NY;;;Seafood
Crif Dogs;E. Village;;nan;;;;;;Crif Dogs;East Village; 113 St. Marks Pl-between First Ave and Ave A;113 St Marks Pl;New York;NY;American;;
Degustation Wine & Tasting Bar;E. Village;;nan;;;;;;Degustation Wine & Tasting Bar;East Village;239 E 5th St.;239 E 5th St;New York;NY;;;Spanish
Degustation Wine & Tasting Bar;E. Village;239 E Fifth St;239 E 5th St;New York;NY;;$$$;Spanish;Degustation Wine & Tasting Bar;East Village;239 E 5th St.;239 E 5th St;New York;NY;;;Spanish
Degustation Wine & Tasting Bar;East Village;239 E Fifth St;239 E 5th St;New York;NY;;$$$;Spanish;Degustation Wine & Tasting Bar;East Village;239 E 5th St.;239 E 5th St;New York;NY;;;Spanish
Epices du Traiteur;Upper W. Side;;nan;;;;;;Epices du Traiteur;Upper West Side; 103 W 70th St-between Columbus Ave and Broadway;103 W 70th St;New York;NY;Mediterranean;;
Evergreen Shanghai;Midtown East;;10 E 38th St;;;;;;Evergreen Shanghai;Midtown East; 10 E 38th St-between Fifth and Madison Aves;10 E 38th St;New York;NY;Chinese;;
Fives;Midtown West;;700 5th Ave;;;;;;Fives;Midtown East;Peninsula Hotel -700 Fifth Aveat 55th St;;New York;NY;American Creative;;
Freemans;Lower E. Side;;nan;;;;;;Freemans;Lower East Side; Freeman Alley off Rivington St-between Bowery and Chrystie St;Freeman Alley;New York;NY;American;;
Freemans;Lower E. Side;Freeman Alley;Freeman Alley;New York;NY;;$$;American;Freemans;Lower East Side; Freeman Alley off Rivington St-between Bowery and Chrystie St;Freeman Alley;New York;NY;American;;
Freemans;Lower East Side;Freeman Alley;Freeman Alley;New York;NY;;$$;American;Freemans;Lower East Side; Freeman Alley off Rivington St-between Bowery and Chrystie St;Freeman Alley;New York;NY;American;;
Gino;Upper E. Side;;nan;;;;;;Gino;Upper East Side; 780 Lexington Ave-between 60th and 61st Sts;780 Lexington Ave;New York;NY;Italian;;
Giorgione;SoHo;;nan;;;;;;Giorgione;Soho; 307 Spring St-at Hudson St;307 Spring St;New York;NY;Italian;;
Hacienda de Argentina;Upper E. Side;;nan;;;;;;Hacienda de Argentina;Upper East Side; 339 E 75th St-between First and Second Aves;339 E 75th St;New York;NY;Argentine;;
Harry Cipriani;Midtown East;;nan;;;;;;Harry Cipriani;Midtown East;Sherry Netherland -781 Fifth Avebetween 59th and 60th Sts;;New York;NY;Italian;;
Hasaki Restaurant;E. Village;;nan;;;;;;Hasaki Restaurant;East Village;210 E 9th St;210 E 9th St;New York;NY;;;Japanese
Hasaki Restaurant;E. Village;210 E Ninth St;210 E 9th St;New York;NY;;$$;Sushi;Hasaki Restaurant;East Village;210 E 9th St;210 E 9th St;New York;NY;;;Japanese
Hasaki Restaurant;East Village;210 E Ninth St;210 E 9th St;New York;NY;;$$;Sushi;Hasaki Restaurant;East Village;210 E 9th St;210 E 9th St;New York;NY;;;Japanese
Heartbeat;Midtown West;;nan;;;;;;Heartbeat;Midtown East;W New York -149 E 49th Stbetween Lexington and Third Aves;;New York;NY;Vegetarian & Organic;;
Hundred Acres;SoHo;;nan;;;;;;Hundred Acres;Soho; 38 MacDougal St-between W Houston and Prince Sts;38 MacDougal St;New York;NY;American;;
Jewel Bako;E. Village;;nan;;;;;;Jewel Bako;East Village; 239 E 5th St-between Second and Third Aves;239 E 5th St;New York;NY;Japanese;;
Kasadela;E. Village;;nan;;;;;;Kasadela;East Village; 647 E 11th St-at Ave C;647 E 11th St;New York;NY;Japanese;;
Khyber Pass;E. Village;;nan;;;;;;Khyber Pass;East Village; 34 St. Marks Pl-between Second and Third Aves;34 St Marks Pl;New York;NY;Afghan;;
Le Refuge;Upper E. Side;;nan;;;;;;Le Refuge;Upper East Side; 166 E 82nd St-between Lexington and Third Aves;166 E 82nd St;New York;NY;French;;
Life Cafe;E. Village;;nan;;;;;;Life Cafe;East Village;343 E 10th St;343 E 10th St;New York;NY;;;American
Mooncake Foods;SoHo;;28 Watts St btwn Sixth Ave and Thompson...;;;;;;Mooncake Foods;Soho; 28 Watts St-between Sixth Ave and Thompson St;28 Watts St;New York;NY;Asian: Pan-Asian;;
Nice Matin;Upper W. Side;;nan;;;;;;Nice Matin;Upper West Side; 201 W 79th St-at Amsterdam Ave;201 W 79th St;New York;NY;French;;
Noche Mexicana;Upper W. Side;;nan;;;;;;Noche Mexicana;Upper West Side; 852 Amsterdam Ave-between 101st and 102nd Sts;852 Amsterdam Ave;New York;NY;Mexican;;
Nomad;E. Village;;nan;;;;;;Nomad;East Village; 78 Second Ave-between 4th and 5th Sts;78 2nd Ave;New York;NY;African: Pan-African;;
Orsay;Upper E. Side;;nan;;;;;;Orsay;Upper East Side; 1057 Lexington Ave-at 75th St;1057 Lexington Ave;New York;NY;French;;
Otafuku;E. Village;;nan;;;;;;Otafuku;East Village; 236 E 9th St-between Second and Third Aves;236 E 9th St;New York;NY;Japanese;;
Papatzul;SoHo;;nan;;;;;;Papatzul;Soho; 55 Grand St-between W Broadway and Wooster Sts;55 Grand St;New York;NY;Mexican;;
Paris Match;Upper E. Side;;nan;;;;;;Paris Match;Upper East Side; 29 W 65th St-between Madison and Park Aves;Goldmark Practice Center;New York;NY;French;;
Penang;Upper W. Side;;nan;;;;;;Penang;Upper East Side; 1596 Second Ave-at 83rd St;1596 2nd Ave;New York;NY;Asian: Malaysian;;
Penang;Upper E. Side;;nan;;;;;;Penang;Upper East Side; 1596 Second Ave-at 83rd St;1596 2nd Ave;New York;NY;Asian: Malaysian;;
Penang;Upper E. Side;;nan;;;;;;Penang;Upper East Side; 1596 Second Ave-at 83rd St;1596 2nd Ave;New York;NY;Asian: Malaysian;;
Persepolis;Upper E. Side;;nan;;;;;;Persepolis;Upper East Side; 1407 Second Ave-between 73rd and 74th Sts;1407 2nd Ave;New York;NY;Middle Eastern;;
Persepolis;Upper E. Side;;nan;;;;;;Persepolis;Upper East Side; 1407 Second Ave-between 73rd and 74th Sts;1407 2nd Ave;New York;NY;Middle Eastern;;
Persepolis;Upper East Side;;nan;;;;;;Persepolis;Upper East Side; 1407 Second Ave-between 73rd and 74th Sts;1407 2nd Ave;New York;NY;Middle Eastern;;
Pio Pio;Upper East Side;;nan;;;;;;Pio Pio;Upper East Side; 1746 First Ave-between 90th and 91st Sts;1746 1st Avenue;New York;NY;Peruvian;;
Pio Pio Salon;Upper West Side;;702 Amsterdam Ave;;;;;;Pio Pio Salon;Upper West Side; 702 Amsterdam-at 94th St;702 Amsterdam Ave;New York;NY;Peruvian;;
Pio Pio Salon;Upper West Side;;702 Amsterdam Ave;;;;;;Pio Pio Salon;Upper West Side; 702 Amsterdam-at 94th St;702 Amsterdam Ave;New York;NY;Peruvian;;
Piola;E. Village;;nan;;;;;;Piola;East Village; 48 E 12th St-between Broadway and University Pl;48 E 12th St;New York;NY;Italian;;
Piola;East Village;;48 E 12th St;;;;;;Piola;East Village; 48 E 12th St-between Broadway and University Pl;48 E 12th St;New York;NY;Italian;;
Piola;East Village;;48 E 12th St;;;;;;Piola;East Village; 48 E 12th St-between Broadway and University Pl;48 E 12th St;New York;NY;Italian;;
Sake Hana;Upper West Side;;466 Amsterdam Ave btwn 82nd and 83rd Sts;;;;;;Sake Hana;Upper East Side; 466 Amsterdam Ave-between 82nd and 83rd Sts;466 Amsterdam Ave;New York;NY;Japanese;;
Sasabune;Upper E. Side;;nan;;;;;;Sasabune;Upper East Side;401 E 73rd St-Bten 73rd & 74th St;401 E 73rd St;New York;NY;;;Japanese
Sette Mezzo;Upper E. Side;;nan;;;;;;Sette Mezzo;Upper East Side;969 Lexington Ave;969 Lexington Ave;New York;NY;;;Italian
Shanghai Pavilion;Upper E. Side;;nan;;;;;;Shanghai Pavilion;Upper East Side; 1378 Third Ave-between 78th and 79th Sts;1378 3rd Ave;New York;NY;Chinese;;
Sigiri;E. Village;;nan;;;;;;Sigiri;East Village; 91 First Ave-between 5th and 6th Sts;91 1st Avenue;New York;NY;Indian: Sri Lankan;;
Sistina;Upper E. Side;;nan;;;;;;Sistina;Upper East Side; 1555 Second Ave-between 80th and 81st Sts;1555 2nd Ave;New York;NY;Italian;;
Spain Restaurant;W. Village;;nan;;;;;;Spain Restaurant;West Village;113 W 13th St;113 W 13th St;New York;NY;;;Spanish
Sushi Hana;Upper E. Side;;nan;;;;;;Sushi Hana;Upper East Side; 1501 Second Ave-at 78th St;1501 2nd Ave;New York;NY;Japanese;;
Swifty's;Upper E. Side;;nan;;;;;;Swifty's;Upper East Side;1007 Lexington Ave-Btwn 72nd & 73rd St;1007 Lexington Ave;New York;NY;;;American
The E.U.;E. Village;;nan;;;;;;The E.U.;East Village; 235 E 4th St-between Aves A and B;235 E 4th St;New York;NY;Eclectic;;
The Libertine;Financial District;;nan;;;;;;The Libertine;Financial District; 15 Gold St-at Platt St;15 Gold St;New York;NY;American;;
The Orchard;Lower E. Side;;nan;;;;;;The Orchard;Lower East Side; 162 Orchard-between Rivington and Stanton Sts;WASSAIL;New York;NY;Italian;;
Think Coffee;West Village;;nan;;;;;;Think Coffee;East Village; 1 Bleecker St-at Bowery;1 Bleecker St;New York;NY;Cafés & diners;;
Three of Cups;E. Village;;nan;;;;;;Three of Cups;East Village; 83 First Ave-at 5th St;83 1st Avenue;New York;NY;Italian;;
Uva;Upper E. Side;;nan;;;;;;Uva;Upper East Side; 1486 Second Ave-at 77th St;1486 2nd Ave;New York;NY;Italian;;
Vince & Eddie's;Upper W. Side;;nan;;;;;;Vince & Eddie's;Upper West Side;70 W 68th St-Btwn Columbus Ave & CPW;70 W 68th St;New York;NY;;;American
Yakitori Taisho;E. Village;;nan;;;;;;Yakitori Taisho;East Village; 5 St. Marks Pl-between Second and Third Aves;5 St Marks Pl;New York;NY;Japanese;;
Yatagan Kebab House;W. Village;;nan;;;;;;Yatagan Kebab House;West Village; 104 MacDougal St-at Bleecker St;104 MacDougal St;New York;NY;Middle Eastern;;
Azul Bistro;Lower East Side;;152 Stanton St;;;;;;Azul Bistro;;152 Stanton St-At Suffolk St;152 Stanton St;;NY;;;
Azul Bistro;Lower East Side;;152 Stanton St;;;;;;Azul Bistro;;152 Stanton St-At Suffolk St;152 Stanton St;;NY;;;
Cafe Evergreen;Upper East Side;;1288 First Ave at 69th St;;;;;;Cafe Evergreen;Upper East Side; 1288 First Ave-at 69th St;1288 1st Avenue;New York;NY;Chinese;;
Cafe con Leche;Upper West Side;;E 81st St;;;;;;Cafe con Leche;Upper West Side; 726 Amsterdam Ave-between 95th and 96th Sts;726 Amsterdam Ave;New York;NY;Caribbean;;
Flor de Mayo;Upper West Side;;nan;;;;;;Flor de Mayo;Upper West Side; 484 Amsterdam Ave-between 83rd and 84th Sts;484 Amsterdam Ave;New York;NY;Latin American;;
Mangiarini;Upper East Side;;nan;;;;;;Mangiarini;Upper East Side; 1593 Second Ave-between 82nd and 83rd Sts;1593 2nd Ave;New York;NY;Italian;;
Mangiarini;Upper East Side;;nan;;;;;;Mangiarini;Upper East Side; 1593 Second Ave-between 82nd and 83rd Sts;1593 2nd Ave;New York;NY;Italian;;
Ruby Foo's (CLOSED);Upper West Side;;2182 Broadway;;;;;;Ruby Foo's (CLOSED);;2182 Broadway-Btwn 77th & 78th St;2182 Broadway;;NY;;;
Taste;Upper East Side;;nan;;;;;;Taste;Upper East Side; 1413 Third Ave-at 80th St;1413 3rd Ave;New York;NY;American;;
York Grill;Upper East Side;;nan;;;;;;York Grill;Upper East Side; 1690 York Ave-between 88th and 89th Sts;1690 York Ave;New York;NY;American;;
A.O.C. Bedford;West Village;314 Bleecker St;314 Bleecker St;New York;NY;;$$;French;A.O.C. Bedford;West Village;14 Bedford Street;14 Bedford St;New York;NY;;;Spanish
Westville East;East Village;210 W 10th St;173 Avenue A;New York;NY;;$;American;Westville East;East Village; 173 Ave A-at 11th St;173 Avenue A;New York;NY;American;;
Chino’s;Gramercy;173 Third Ave;173 3rd Ave;New York;NY;;$;Asian;Chino’s;Gramercy/Flatiron; 173 Third Ave-between 16th and 17th Sts;173 3rd Ave;New York;NY;Asian: Pan-Asian;;
Cipriani Le Specialita;Midtown East;;nan;;;;;;Cipriani Le Specialita;Midtown East;110 E 42nd St-Btwn Lexington & Park Ave;110 E 42nd St;New York;NY;;;Italian
Doyers Vietnamese Restaurant;Chinatown;11-13 Doyers St;11 Doyers St #13;New York;NY;;$;Asian;Doyers Vietnamese Restaurant;Chinatown/Little Italy; 11 Doyers St-between Bowery and Pell St;11 Doyers St;New York;NY;Vietnamese;;
Excellent Pork Chop House;Chinatown;;nan;;;;;;Excellent Pork Chop House;Chinatown/Little Italy; 3 Doyers St off Bowery-at Chatham Sq;3 Doyers St;New York;NY;Chinese;;
Kang Suh;Midtown West;1250 Broadway;1250 Broadway;New York;NY;;$$;Korean;Kang Suh;;1250 Broadway-At 32nd St;1250 Broadway;;NY;;;
La Taza de Oro;Chelsea;96 Eighth Ave;96 8th Ave;New York;NY;;$;Caribbean;La Taza de Oro;Chelsea; 96 Eighth Ave-between 14th and 15th Sts;96 8th Ave;New York;NY;Caribbean: Puerto Rican;;
Pampano Taqueria;Midtown East;209 E 49th St;209 E 49th St;New York;NY;;$$$;Mexican;Pampano Taqueria;Midtown East; 805 Third Ave-between 49th and 50th Sts;805 3rd Ave;New York;NY;Mexican;;
Payard Patisserie & Bistro;Upper East Side;1032 Lexington Avenue;1032 Lexington Ave;New York;NY;;$$$;French;Payard Patisserie & Bistro;Upper East Side;1032 Lexington Avenue;1032 Lexington Ave;New York;NY;;;French
Soba Totto;Midtown East;;nan;;;;;;Soba Totto;Midtown East; 211 E 43rd St-between Second and Third Aves;211 E 43rd St;New York;NY;Japanese;;
Spice Cove;East Village;104 Second Ave.;104 2nd Ave;New York;NY;;$$;Thai;Spice Cove;East Village; 326 E 6th St-between First and Second Aves;326 E 6th St;New York;NY;Indian;;
Sueños;Chelsea;311 W 17th St;311 W 17th St;New York;NY;;$$$;Mexican;Sueños;Chelsea; 311 W 17th St-between Eighth and Ninth Aves;311 W 17th St;New York;NY;Mexican;;
Wildwood Barbeque;Gramercy;225 Park Avenue South;225 Park Ave S;New York;NY;;$$$;Barbecue;Wildwood Barbeque;Gramercy/Flatiron; 225 Park Ave South-between 18th and 19th Sts;AMERICAN WOOLEN BUILDING;New York;NY;Barbeque;;
Wondee Siam II;Midtown West;;nan;;;;;;Wondee Siam II;Midtown West; 813 Ninth Ave-between 53rd and 54th Sts;813 9th Ave;New York;NY;Thai;;
Barking Dog Luncheonette;Upper E. Side;;nan;;;;;;Barking Dog Luncheonette;Upper East Side; 1678 Third Ave-at 94th St;1678 3rd Ave;New York;NY;American;;
Bereket Turkish Kebab House;Lower E. Side;;nan;;;;;;Bereket Turkish Kebab House;Lower East Side;187 East Houston Street;187 E Houston St;New York;NY;;;Turkish
Cafe Greco;Upper E. Side;10 Columbus Circle, 3rd Fl;10 Columbus Cir 3rd Fl;New York;NY;;$$$$$;French;Cafe Greco;Upper East Side; 1390 Second Ave-between 71st and 72nd Sts;1390 2nd Ave;New York;NY;Mediterranean;;
Campagnola Restaurant;Upper E. Side;1382 First Ave;1382 1st Avenue;New York;NY;;$$$$;Italian;Campagnola Restaurant;Upper East Side;1382 1st Avenue Frnt;1382 1st Avenue;New York;NY;;;Italian
Danube (CLOSED);TriBeCa/SoHo;30 Hudson St;30 Hudson St;New York;NY;;$$$$$;Austrian;Danube (CLOSED);Tribeca; 30 Hudson St-at Duane St;30 Hudson St;New York;NY;Austrian;;
Dawat Haute Indian Cuisine;Midtown East;210 E 58th St;210 E 58th St;New York;NY;;$$$;Indian;Dawat Haute Indian Cuisine;Midtown East;210 East 58th Street;210 E 58th St;New York;NY;;;Indian
Demarchelier Restaurant;Upper E. Side;;nan;;;;;;Demarchelier Restaurant;Upper East Side;50 E 86th St;50 East 86th St;New York;NY;;;French
Market Diner;Midtown West;;nan;;;;;;Market Diner;Midtown West; 572 Eleventh Ave-at 43rd St;572 11th Ave;New York;NY;American;;
Miracle Grill (CLOSED);E. Village;;nan;;;;;;Miracle Grill (CLOSED);East Village; 112 First Ave-between 6th and 7th Sts;112 1st Avenue;New York;NY;American Regional;;
