0_restaurant;0_neighborhood;0_address;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_address;1_country;1_neighborhood;1_type;1_phone;1_type_r
Cafe Katja;Lower East Side;;;;;;;Cafe Katja; 79 Orchard St-between Broome and Grand Sts;New York;Lower East Side;Eastern European;(212-219-9545);
Cafe d'Alsace;Upper East Side;1695 2nd Ave at 88th St;;;;;;Cafe d'Alsace;1695 2nd Ave-At 88th St;;;;;
Caffe Emilia;East Village;;;;;;;Caffe Emilia; 139 First Ave-between St. Marks Pl and E 9th St;New York;East Village;Italian;(212-388-1234);
Carbone;Midtown West;331 W 38th St btwn Eight and Ninth Aves;;;;;;Carbone; 331 W 38th St-between Eight and Ninth Aves;New York;Midtown West;Italian;(212-290-2625);
Carne Vale;East Village;;;;;;;Carne Vale; 46 Ave B-between 3rd and 4th Sts;New York;East Village;Brazilian;(212-777-4686);
Casablanca Tea Room;SoHo;164 Mercer St btwn Houston and Prince...;;;;;;Casablanca Tea Room; 164 Mercer St-between Houston and Prince Sts;New York;Soho;Moroccan;(212-219-8441);
Cavatappo Wine Bar;Upper East Side;1728 Second Ave btwn 89th and 90th Sts;;;;;;Cavatappo Wine Bar; 1728 Second Ave-between 89th and 90th Sts;New York;Upper East Side;Italian;(212-426-0919);
Central Park Boathouse Restaurant;Upper East Side;Central Park Lake at 72nd St;;;;;;Central Park Boathouse Restaurant;Central Park Lake -park entrance on Fifth Aveat 72nd St;New York;Upper East Side;Seafood;(212-517-2233);
Chai Home Kitchen;Midtown West;;;;;;;Chai Home Kitchen; 930 Eighth Ave-at 55th St;New York;Midtown West;Asian: Pan-Asian;(212-707-8778);
Chat Noir;Upper East Side;;;;;;;Chat Noir; 22 E 66th St-between Fifth and Madison Aves;New York;Upper East Side;French;(212-794-2428);
Cho Cho San;Greenwich Village;;;;;;;Cho Cho San; 15 W 8th St-between Fifth and Sixth Aves;New York;Greenwich Village;Japanese;(212-473-3333);
Cipolla Rossa;Upper East Side;1762 1st Ave btwn 91st and 92nd Sts;;;;;;Cipolla Rossa; 1762 First Ave-between 91st and 92nd Sts;New York;Upper East Side;Italian;(212-996-9426);
City Lobster and Crab Company;Midtown West;;;;;;;City Lobster and Crab Company; 121 W 49th St-between Sixth and Seventh Aves;New York;Midtown West;Seafood;(212-354-1717);
Clubhouse Cafe;Midtown West;155 West 46th St btwn 6th and 7th Aves;;;;;;Clubhouse Cafe; 155 W 46th St-between Sixth and Seventh Aves;New York;Midtown West;Kosher;(212-354-3838);
Congee Bowery;Lower East Side;207 Bowery at Rivington St;;;;;;Congee Bowery;207 Bowery-At Rivington St;;;;;
Core One Nine One (CLOSED);Lower East Side;;;;;;;Core One Nine One (CLOSED); 191 Orchard St-between Houston and Stanton Sts;New York;Lower East Side;American Creative;(212-228-9888);
Da Silvano Bistecca;Greenwich Village;;;;;;;Da Silvano Bistecca; 260 Sixth Ave-between Bleecker and W Houston Sts;New York;Greenwich Village;Steakhouses;(212-844-0282);
Dakshin Indian Bistro;Upper East Side;;;;;;;Dakshin Indian Bistro; 1713 First Ave-between 88th and 89th Sts;New York;Upper East Side;Indian;(212-987-9839);
Dardanel;Midtown East;1071 1st Ave btwn 58th and 59th Sts;;;;;;Dardanel; 1071 First Ave-between 58th and 59th Sts;New York;Midtown East;Mediterranean;(212-888-0809);
Dean's;Upper West Side;215 W 85th St btwn Amsterdam Ave and...;;;;;;Dean's;215 W 85th St-Btwn Bway & Amsterdam Ave;;;;;
Dean's;Midtown East;215 W 85th St btwn Amsterdam Ave and...;;;;;;Dean's;215 W 85th St-Btwn Bway & Amsterdam Ave;;;;;
Deborah (CLOSED);Greenwich Village;;;;;;;Deborah (CLOSED); 43 Carmine St-between Bedford and Bleecker Sts;New York;West Village;American;(212-242-2606);
Dirty Bird to Go;Chelsea;204 W 14th St btwn Seventh and Eighth...;;;;;;Dirty Bird to Go; 204 W 14th St-between Seventh and Eighth Aves;New York;Chelsea;American Regional;(212-620-4836);
Diwan Restaurant;Midtown East;;;;;;;Diwan Restaurant; 148 E 48th St-between Lexington and Third Aves;New York;Midtown East;Indian;(212-593-5425);
Django (CLOSED);Midtown East;;;;;;;Django (CLOSED); 480 Lexington Ave-at 46th St;New York;Midtown East;Mediterranean;(212-871-6600);
Ducale;Upper West Side;392 Columbus Ave at 79th St;;;;;;Ducale; 392 Columbus Ave-at 79th St;New York;Upper West Side;Italian;(212-787-7150);
Earthen Oven;Upper West Side;;;;;;;Earthen Oven; 53 W 72nd St-at Columbus Ave;New York;Upper West Side;Indian;(212-579-8888);
El Rey del Sol;Greenwich Village;232 W 14th St btwn Seventh and Eighth...;;;;;;El Rey del Sol; 232 W 14th St-between Seventh and Eighth Aves;New York;West Village;Mexican;(212-229-0733);
Elaine's;Upper East Side;;;;;;;Elaine's;1703 2nd Ave-Btwn 88th & 89th St;New York;Upper East Side;;(212-534-8103);Italian
Elyssa Dido;Lower East Side;85 Orchard St at Broome St;;;;;;Elyssa Dido; 85 Orchard St-between Broome and Grand Sts;New York;Lower East Side;Middle Eastern;(212-991-9880);
Fabio Piccolo Fiore;Midtown East;230 E 44th St at Second Ave;;;;;;Fabio Piccolo Fiore; 230 E. 44th St-at Second Ave;New York;Midtown East;Eclectic;(212-922-0581);
Fanelli's Cafe;SoHo;;;;;;;Fanelli's Cafe;94 Prince Street at Mercer Street;New York;Soho;;(212-226-9412);American
Garden Court Cafe;Upper East Side;725 Park Ave at 70th St;;;;;;Garden Court Cafe;725 Park Ave-Btwn 70th & 71st St;;;;;
Hatsuhana Park;Midtown East;237 Park Ave at 46th St;;;;;;Hatsuhana Park;237 Park Ave-At 46th St;;;;;
Il Laboratorio del Gelato;Lower East Side;95 Orchard St btwn Broome and Delancey...;;;;;;Il Laboratorio del Gelato; 95 Orchard St-between Broome and Delancey Sts;New York;Lower East Side;Cafés & diners;(212-343-9922);
Iron Sushi;Upper East Side;355 E 78th St btwn First and Second...;;;;;;Iron Sushi; 355 E 78th St-between First and Second Aves;New York;Upper East Side;Japanese;(212-772-7680);
Jeeb;Lower East Side;154 Orchard St btwn Stanton and...;;;;;;Jeeb; 154 Orchard St-between Stanton and Rivington Sts;New York;Lower East Side;Thai;(212-677-4101);
JoeDoe;East Village;45 East 1st St btwn 1st and 2nd Aves;;;;;;JoeDoe; 45 E 1st St-between First and Second Aves;New York;East Village;American;(212-780-0262);
Kafana;East Village;116 Ave C btwn E 7th and 8th Sts;;;;;;Kafana; 116 Ave C-between 7th and 8th Sts;New York;East Village;Eastern European;(212-353-8000);
Kambi Ramen House;East Village;;;;;;;Kambi Ramen House; 351 E 14th St-between First and Second Aves;New York;East Village;Japanese;(212-228-1366);
Kura Sushi;East Village;;;;;;;Kura Sushi; 67 First Ave-between 4th and 5th Sts;New York;East Village;Japanese;(212-979-6646);
L.E.S. Sandwicherie;Lower East Side;;;;;;;L.E.S. Sandwicherie; 65 Rivington St-between Allen and Eldridge Sts;New York;Lower East Side;Cafés;(212-388-1815);
Le Charlot;Upper East Side;19 E 69th St btwn Madison and Park Aves;;;;;;Le Charlot; 19 E 69th St-between Madison and Park Aves;New York;Upper East Side;French;(212-794-1628);
Le Tableau (CLOSED);East Village;511 E 5th St btwn Aves A and B;;;;;;Le Tableau (CLOSED); 511 E 5th St-between Aves A and B;New York;East Village;French;(212-260-1333);
Lollipop;Midtown East;27 E 61st St btwn Madison and Park Aves;;;;;;Lollipop; 27 E 61st St-between Madison and Park Aves;New York;Upper East Side;Asian: Pan-Asian;(212-752-8900);
Lomito (CLOSED);SoHo;;;;;;;Lomito (CLOSED); 300 Spring St-between Hudson and Renwick Sts;New York;Soho;Argentine;(212-929-9494);
Luxee;Lower East Side;;;;;;;Luxee; 6 Clinton St-between E Houston and Stanton Sts;New York;Lower East Side;Japanese;(212-375-1796);
Madaleine Mae (CLOSED);Upper West Side;461 Columbus Ave at 82nd St;;;;;;Madaleine Mae (CLOSED); 461 Columbus Ave-at 82nd St;New York;Upper West Side;American;(212-496-3000);
Maia;East Village;98 Ave B btwn 6th and 7th Sts;;;;;;Maia; 98 Ave B-between 6th and 7th Sts;New York;East Village;Turkish;(212-358-1166);
Mamoun's Falafel;Greenwich Village;;;;;;;Mamoun's Falafel;119 MacDougal St-Btwn Bleecker & W 3rd St;New York;Greenwich Village;;(212-674-8685);Middle Eastern
Maruzzella;Upper East Side;;;;;;;Maruzzella; 1483 First Ave-between 77th and 78th Sts;New York;Upper East Side;Italian;(212-988-8877);
Men Kui Tei;Midtown East;60 W 56th St btwn 5th and 6th Aves;;;;;;Men Kui Tei;60 W 56th St-Btwn 5th & 6th Ave;;;;;
Men Kui Tei;East Village;60 W 56th St btwn 5th and 6th Aves;;;;;;Men Kui Tei;60 W 56th St-Btwn 5th & 6th Ave;;;;;
Mercadito Cantina;East Village;172 Ave B btwn 10th and 11th Sts;;;;;;Mercadito Cantina;172 Avenue B-Btwn 10th & 11th St;;;;;
Metrazur;Midtown East;404 Grand Central Terminal at Park Ave;;;;;;Metrazur;0grand central terminal-;;;;;
My Befana (CLOSED);SoHo;116 West Houston St btwn Sullivan and...;;;;;;My Befana (CLOSED); 116 West Houston St-between Sullivan and Thompson Sts;New York;Soho;Mediterranean;(212-473-3238);
PDT;East Village;113 St Marks Pl btwn First Ave and Ave A;;;;;;PDT;113 Saint Marks Pl-Btwn 1st Ave & Ave A;;;;;
Panificio (CLOSED);East Village;175 Ave B at E 11th St;;;;;;Panificio (CLOSED);175 Avenue B-At 11th St;;;;;
Patisserie des Ambassades;Chelsea;161 W 22nd St btwn Sixth and Seventh...;;;;;;Patisserie des Ambassades; 161 W 22nd St-between Sixth and Seventh Aves;New York;Chelsea;African: Senegalese;(212-255-5101);
Philly Slim's Cheesesteaks;Midtown West;789 Ninth Ave btwn 52nd and 53rd Sts;;;;;;Philly Slim's Cheesesteaks;789 9th Ave-Btwn 52nd & 53rd St;New York;Midtown West;;(212-333-3042);American
Pio Pio Salon;Upper West Side;702 Amsterdam at 94th St;;;;;;Pio Pio Salon; 702 Amsterdam-at 94th St;New York;Upper West Side;Peruvian;(212-665-3000);
Pizza Gruppo;East Village;186 Ave B btwn 11th and 12th Sts;;;;;;Pizza Gruppo; 186 Ave B-between 11th and 12th Sts;New York;East Village;Italian: Pizza;(212-995-2100);
Planethailand 212;Chelsea;;;;;;;Planethailand 212; 30 W 24th St-between Broadway and Sixth Ave;New York;Chelsea;Asian: Pan-Asian;(212-727-7026);
Public House;Midtown East;140 E 41st St btwn Lexington and Third...;;;;;;Public House; 140 E 41st St-between Lexington and Third Aves;New York;Midtown East;American;(212-682-3710);
R.U.B.;Chelsea;208 W 23rd St btwn Seventh and Eighth...;;;;;;R.U.B.; 208 W 23rd St-between Seventh and Eighth Aves;New York;Chelsea;Barbeque;(212-524-4300);
Rainbow Room Grill (CLOSED);Midtown West;;;;;;;Rainbow Room Grill (CLOSED);30 Rockefeller Plaza -between 49th and 50th Sts65th floor;New York;Midtown West;Italian;(212-632-5100);
Red Bamboo;Greenwich Village;140 W 4th St btwn MacDougal St and...;;;;;;Red Bamboo; 140 W 4th St-between MacDougal St and Sixth Ave;New York;Greenwich Village;Vegetarian & Organic;(212-260-7049);
Restaurant Ichimura;Midtown East;1026 Second Ave btwn 54th and 55th Sts;;;;;;Restaurant Ichimura; 1026 Second Ave-between 54th and 55th Sts;New York;Midtown East;Japanese;(212-355-3557);
Retsina;Midtown East;;;;;;;Retsina; 115 E 60th St-between Lexington and Park Aves;New York;Midtown East;Greek;(212-486-8826);
Rosa Mexicano Lincoln Center;Upper West Side;61 Columbus Ave at 62nd St;;;;;;Rosa Mexicano Lincoln Center;61 Columbus Avenue;;;;;
S'Mac;East Village;345 E 12th St btwn First and Second Aves;;;;;;S'Mac;345 E 12th St-Btwn 1st & 2nd Ave;;;;;
Sarabeth's Central Park South;Midtown West;40 Central Park So btwn Fifth and Sixth...;;;;;;Sarabeth's Central Park South;40 Central Park S-Btwn 5th & 6th Ave;;;;;
Seasonal;Midtown West;132 W 58th St btwn 6th & 7th Aves;;;;;;Seasonal;132 W 58th St-Btwn 6th & 7th Ave;;;;;
Seoul Station;East Village;81 St Marks Pl btwn 1st and 2nd Aves;;;;;;Seoul Station; 81 St. Marks Pl-between First and Second Aves;New York;East Village;Korean;(212-979-9300);
Setacci;Greenwich Village;420 Hudson St at Leroy St;;;;;;Setacci; 420 Hudson St-at Leroy St;New York;West Village;Italian;(212-675-0810);
Shanghai Mong;Midtown West;;;;;;;Shanghai Mong; 30 W 32nd St-between Broadway and Fifth Ave;New York;Midtown West;Chinese;(212-629-6450);
Silverleaf Tavern;Midtown East;70 Park Ave at 38th St;;;;;;Silverleaf Tavern;70 Park Hotel -70 Park Aveat 38th St;New York;Midtown East;American;(212-973-2550);
Singas Famous Pizza;East Village;;;;;;;Singas Famous Pizza; 176 Second Ave-between 11th and 12th Sts;New York;East Village;Italian: Pizza;(212-253-7300);
Slice;Upper East Side;1413 Second Ave btwn 73rd and 74th Sts;;;;;;Slice; 1413 Second Ave-between 73rd and 74th Sts;New York;Upper East Side;Italian: Pizza;(212-249-4353);
Slurp;Lower East Side;84 Stanton St at Orchard St;;;;;;Slurp;84 Stonton Street;New York;;;;
Song 7.2;East Village;;;;;;;Song 7.2; 117 Second Ave-at 7th St;New York;East Village;Asian: Pan-Asian;(212-777-1286);
Square Meal;Upper East Side;30 E 92nd St btwn 5th Ave and Madison...;;;;;;Square Meal; 30 E 92nd St-between Fifth and Madison Aves;New York;Upper East Side;American;(212-860-9872);
Symposium;Upper West Side;544 W 113th St btwn Amsterdam Ave and...;;;;;;Symposium; 544 W 113th St-between Amsterdam Ave and Broadway;New York;Upper West Side;Greek;(212-865-1011);
Tasca (CLOSED);Greenwich Village;130 Seventh Avenue So at W 10th St;;;;;;Tasca (CLOSED); 130 Seventh Avenue South-at W 10th St;New York;West Village;Spanish;(212-620-6815);
Tea and Sympathy;Greenwich Village;108 Greenwich Ave near Jane St;;;;;;Tea and Sympathy;108 Greenwich Ave-At Jane St;;;;;
Tet;East Village;83 Ave A btwn 5th and 6th Sts;;;;;;Tet; 83 Ave A-between 5th and 6th Sts;New York;East Village;Vietnamese;(212-253-0800);
Thai on Clinton;Lower East Side;;;;;;;Thai on Clinton; 6 Clinton St-between Houston and Stanton Sts;New York;Lower East Side;Thai;(212-228-9388);
The Carlyle Restaurant;Upper East Side;35 E 76th St at Madison Ave;;;;;;The Carlyle Restaurant; 35 E 76th St-at Madison Ave;New York;Upper East Side;French;(212-744-1600);
The Morgan Dining Room;Midtown East;;;;;;;The Morgan Dining Room; 225 Madison Ave-at 36th St;New York;Midtown East;American;(212-683-2130);
The Noho Star;East Village;;;;;;;The Noho Star; 330 Lafayette St-at Bleecker St;New York;East Village;American;(212-925-0070);
The Palm Too;Midtown East;;;;;;;The Palm Too; 840 Second Ave-between 44th and 45th Sts;New York;Midtown East;Steakhouses;(212-697-5198);
The Sheep Meadow Cafe;Upper West Side;;;;;;;The Sheep Meadow Cafe; Entrance on Central Park West-at 69th St;New York;Upper West Side;American;(212-396-4100);
Tides;Lower East Side;102 Norfolk St at Delancey St;;;;;;Tides; 102 Norfolk St-at Delancey St;New York;Lower East Side;Seafood;(212-254-8855);
Tokyo Pop (CLOSED);Upper West Side;;;;;;;Tokyo Pop (CLOSED); 2728 Broadway-at 104th St;New York;Upper West Side;Japanese;(212-932-1000);
Udon West;Midtown East;;;;;;;Udon West; 150 E 46th St-between Lexington and Third Aves;New York;Midtown East;Japanese;(212-922-9677);
Via dei Mille;SoHo;;;;;;;Via dei Mille; 357 West Broadway-between Broome and Grand Sts;New York;Soho;Italian;(212-431-0080);
Villa Pazzo;Greenwich Village;;;;;;;Villa Pazzo; 296 Bleecker St-at Seventh Ave South;New York;West Village;Italian;(212-488-2700);
Village Yokocho;East Village;;;;;;;Village Yokocho;8 Stuyvesant St -between Third Ave and 9th Stsecond floor;New York;East Village;Japanese;(212-598-3041);
Vino 313;Midtown East;;;;;;;Vino 313; 201 E 31st St-between Second and Third Aves;New York;Midtown East;Italian;(212-725-8466);
Wasabi Lobby;Upper East Side;1584 2nd Ave btwn 82nd and 83rd Sts;;;;;;Wasabi Lobby;1584 2nd Ave-At 82nd St;;;;;
Waverly Inn;Greenwich Village;16 Bank St at Waverly Pl;;;;;;Waverly Inn;16 Bank St.;New York;West Village;;;
Wawa Canteen;Greenwich Village;;;;;;;Wawa Canteen; 289 Mercer St-at Waverly Pl;New York;Greenwich Village;Korean;(212-473-6162);
Yerba Buena;East Village;23 Avenue A at E 2nd St;;;;;;Yerba Buena; 23 Ave A-between 1st and 2nd Sts;New York;East Village;Latin American;(212-529-2919);
Zen Burger (CLOSED);Midtown East;465 Lexington Ave btwn 45th and 46th Sts;;;;;;Zen Burger (CLOSED); 465 Lexington Ave-between 45th and 46th Sts;New York;Midtown East;American;(212-661-6080);
bar.vetro;Midtown East;222 E 58th St btwn Second and Third Aves;;;;;;bar.vetro; 222 E 58th St-between Second and Third Aves;New York;Midtown East;Italian;(212-308-0112);
Perry St;West Village;176 Perry St;New York;NY;;$$$$;French;Perry St;176 Perry St-At West St;New York;West Village;;(212-352-1900);American
Re Sette;Midtown West;;;;;;;Re Sette; 7 W 45th St-between Fifth and Sixth Aves;New York;Midtown West;Italian;(212-221-7530);
212 Restaurant & Bar;Upper East Side;;;;;;;212 Restaurant & Bar; 133 E 65th St-between Park and Lexington Aves;New York;Upper East Side;American Creative;(212-249-6565);
B. Cafe;Upper East Side;;;;;;;B. Cafe; 240 E 75th St-between Second and Third Aves;New York;Upper East Side;Belgian;(212-249-3300);
Hudson River Cafe;Harlem;697 West 133rd ST.;New York;NY;;$$;American;Hudson River Cafe; 697 W 133rd St-at Riverside Dr;New York;Harlem;American;(212-491-9111);
Gordon Ramsay at The London;Midtown West;;;;;;;Gordon Ramsay at The London;The London NYC Hotel -151 W 54th Stbetween Sixth and Seventh Aves;New York;Midtown West;Eclectic;(212-468-8888);
Sachiko's on Clinton;Lower East Side;;;;;;;Sachiko's on Clinton;25 Clinton St-Btwn Houston & Stanton St;New York;Lower East Side;;(212-253-2900);Japanese
Taam Tov;Midtown West;;;;;;;Taam Tov;41 W 47th St -between Fifth and Sixth Avessecond floor;New York;Midtown West;Kosher;(212-768-8001);
China Fun;Upper East Side;246 Columbus Ave;New York;NY;;$;Chinese;China Fun; 1221 Second Ave-at 64th St;New York;Upper East Side;Chinese;(212-752-0810);
China Fun;Upper E. Side;;;;;;;China Fun; 1221 Second Ave-at 64th St;New York;Upper East Side;Chinese;(212-752-0810);
Pio Pio;Upper East Side;;;;;;;Pio Pio; 1746 First Ave-between 90th and 91st Sts;New York;Upper East Side;Peruvian;(212-426-5800);
Sake Hana;Upper West Side;;;;;;;Sake Hana; 466 Amsterdam Ave-between 82nd and 83rd Sts;New York;Upper East Side;Japanese;(212-327-0582);
Arte Café;Upper West Side;106 W 73rd St;New York;NY;;$$;Italian;Arte Café;106 West 73rd Street;New York;nan;;nan;nan
Candle Café;Upper East Side;1307 Third Avenue;New York;NY;;$;Vegetarian;Candle Café; 1307 Third Ave-between 74th and 75th Sts;New York;Upper East Side;Vegetarian & Organic;(212-472-0970);
Good Enough to Eat;Upper West Side;483 West Amsterdam Avenue;New York;NY;;$;American;Good Enough to Eat; 483 Amsterdam Ave-between 83rd and 84th Sts;New York;Upper West Side;American;(212-496-0163);
Jewel of India;Midtown West;15 W 44th St;New York;NY;;$$;Indian;Jewel of India; 15 W 44th St-between Fifth and Sixth Aves;New York;Midtown West;Indian;(212-869-5544);
La Taza de Oro;Chelsea;96 Eighth Ave;New York;NY;;$;Caribbean;La Taza de Oro; 96 Eighth Ave-between 14th and 15th Sts;New York;Chelsea;Caribbean: Puerto Rican;(212-243-9946);
Rock Center Café;Midtown West;2 W 50th St;New York;NY;;$$$;American;Rock Center Café; 20 W 50th St-between Fifth and Sixth Aves;New York;Midtown West;American;(212-332-7620);
Zebú Grill;Upper East Side;305 E 92nd St;New York;NY;;$$;South American;Zebú Grill; 305 E 92nd St-between First and Second Aves;New York;Upper East Side;Brazilian;(212-426-7500);
Brooklyn Diner USA;Midtown West;;;;;;;Brooklyn Diner USA; 155 W 43rd St-between Sixth Ave and Broadway;New York;Midtown West;American;(212-265-5400);
New York Kom Tang Kalbi House;Midtown West;;;;;;;New York Kom Tang Kalbi House; 32 W 32nd St-between Fifth Ave and Broadway;New York;Midtown West;Korean;(212-947-8482);
Inside Park at St. Bart’s;Midtown East;;;;;;;Inside Park at St. Bart’s; 109 E 50th St-at Park Ave;New York;Midtown East;American;(212-593-3333);
Maloney and Porcelli;Midtown East;37 E 50th St;New York;NY;;$$$$;Steakhouse;Maloney and Porcelli;37 East 50th Street;;;;;
Ambassador Grill and Lounge;Midtown East;1 United Nations Plaza;New York;NY;International;$$$;;Ambassador Grill Lounge;1 United Nations Plaza;New York, NY, 10017;;;;
Artie's Deli;;2290 Broadway;New York;NY;;;;Artie's;2290 Broadway;New York;West 80s;;;
Arturo's Restaurants;Greenwich Village;106 W Houston St;New York;NY;Italian;$;;Arturo's Pizzeria;106 West Houston Street;New York, NY, 10012;;;;
Bistro Les Amis;SOHO;180 Spring St/Thompson;New York;NY;French;$$;;Bistro Les AMIS;180 Spring Street;New York;;;;
Bistro Ten 18;Upper West Side;1018 Amsterdam Ave;New York;NY;American;$$;;Bistro Ten;181018 Amsterdam Ave-At 110th St;;;;;
Black Iron Burger Shop;East Village;540 E 5th St;New York;NY;American;$$$;;Black Iron Burger;540 E 5th St.;New York;East Village;;;
Brasserie 8 1/2;Midtown West;9 W 57th St;New York;NY;French;$$$$;;Brasserie 8 1 2;9 West 57th Street;New York;;;;
Bricco Ristorante;;304 W 56th St;New York;NY;;;;Bricco Restaurant;304 W 56th St;New York;;;;
Broadway East;Lower East Side;171 East Broadway;New York;NY;American;$$$;;Broadway Dive Bar;2662 Broadway;New York;;;;
Brother Jimmy's Bbq;Midtown East;1461 1st Ave;New York;NY;Southern;$;;Brother Jimmy's Bait Shack;1644 3rd Ave;New York;;;;
Cafe Espanol;Greenwich Village;172 Bleecker Street;New York;NY;American;$;;Cafe El Portal;174 Elizabeth Street;New York;;;;
Calle Ocho;Upper West Side;446 Columbus Avenue;New York;NY;Cuban;$$;;Calle OCHO;446 Columbus Av;New York;;;;
Casa Mono;Gramercy Park;125 East 17th;New York;NY;Spanish;$$$;;Casa Mia;225 East 24th Street;New York, NY, 10010;;;;
Chikalicious Dessert Bar;East Village;203 E 10th St;New York;NY;American;$;;Chikalicious;203 East 10th Street;New York, NY, 10003;;;;
City Burger;Midtown West;1410 Broadway;New York;NY;American;$$;;City Bite;2061 Broadway;New York;;;;
Dervish Turkish;Midtown West;146 West 47th Street;New York;NY;Middle Eastern;$$;;Dervish Restaurant;146 West 47TH Street;New York, NY, 10036;;;;
Dinosaur Bar-B-Que;Harlem;646 W 131st St;New York;NY;American;$;;Dinosaur Bar B Que;646 West 131st Street;;;;;
El Parador Cafe;Murray Hill;325 E 34th St;New York;NY;Mexican;$$;;El Parador;325 East 34th Street;;;;;
Frankie & Johnnie's Steakhouse;Midtown West;32 W 37th St;New York;NY;Steakhouse;$$$;;Frankie & Johnnie's Steak House;269 W 45th St;New York;;;;
Friend Of a Farmer;Gramercy Park;77 Irving Pl;New York;NY;American;$;;Friend Of A Farmer;77 Irving Pl;New York;;;;
Grace's Trattoria Cafe & Grill;Upper East Side;201 E 71st St;New York;NY;Italian;$$$;;Grace's Trattoria;201 E 71st St-At 3rd Ave;;;;;
Gray's Papaya;Hell's Kitchen;539 8th Avenue;New York;NY;Fast Food;$;;Gray Papaya;402 6th Ave;New York;;;;
Greenwich Grill;TriBeCa;428 Greenwich St;New York;NY;Californian;$$$;;Greenwich Cafe;75 Greenwich Ave;New York;;;;
Hunan Park Restaurant;;235 Columbus Ave;New York;NY;;;;Hunan Park Ii;721 Columbus Ave;New York;;;;
I Coppi;East Village;432 E Ninth St;New York;NY;Italian;$$$;;I Copi;432 East 9th Street;New York;;;;
Island Burgers & Shakes;Midtown West;766 9th Ave;New York;NY;American;$;;Island Burger and Shakes; 766 Ninth Ave-between 50th and 51st Sts;New York;Midtown West;American;(212-307-7934);
John's Of 12th Street;East Village;302 E 12th St;New York;NY;Italian;$$;;John's Of 12Th Street;302 East 12th Street;New York, NY, 10003;;;;
Jules;East Village;65 St Marks Pl;New York;NY;French;$$;;Julep; 14 Ave A-between 1st and 2nd Sts;New York;East Village;American Regional;(212-254-2442);
Jules;E. Village;;;;;;;Julep; 14 Ave A-between 1st and 2nd Sts;New York;East Village;American Regional;(212-254-2442);
Katz's Delicatessen;Lower East Side;205 East Houston Street;New York;NY;Deli;$;;Katz's Deli;205 E Houston St.;New York;Lower East Side;;;
Keens Steakhouse;Midtown West;72 W 36th St;New York;NY;Steakhouse;$$$;;Keens Steak House;72 W 36th St;New York;;;;
Knickerbocker Bar & Grill;Greenwich Village;33 University Pl;New York;NY;American;$$$;;Knickerbocker;33 University Pl-At 9th St;;;;;
Kum Gang San;Midtown West;49 W 32nd St;New York;NY;Korean;$$;;Kum Gang Inc;49 W 32nd St;New York;;;;
La Pizza Fresca Ristorante;Union Square;31 E 20th St;New York;NY;Italian;$$;;La Pizza Fresca;31 E 20th St.;New York;Flatiron;;;
La Pizza Fresca Ristorante;Flatiron;;;;;;;La Pizza Fresca;31 E 20th St.;New York;Flatiron;;;
Le Jardin Bistro;NoLita;25 Cleveland Pl;New York;NY;French;$$$;;Le Jardin;25 Cleveland Pl.;New York;Soho;;;
Mary Anns Mexican Restaurant;;1503 2nd Ave;New York;NY;;;;Mary Anns DF Mexican Restaurant;1803 2nd Avenue;New York;;;;
Mediterraneo;Upper East Side;1260 Second Ave;New York;NY;Italian;$$;;Mediterranean;1260 2nd Ave;New York;;;;
Mustang Sally's;Chelsea;324 Seventh Avenue;New York;NY;American;$$;;Mustang Harry's;354 7th Ave;New York;;;;
Norma's;Midtown West;118 West 57th Street;New York;NY;American;$$;;Norimaki; 224 W 35th St-between Seventh and Eighth Aves;New York;Midtown West;Japanese;(212-967-8177);
Once Upon a Tart;SOHO;135 Sullivan Street;New York;NY;American;$;;Once Upon A Tart . . .;135 Sullivan Street;New York, NY, 10012;;;;
One;Meatpacking District;1 Little West 12th St;New York;NY;American;$$$;;Onda; 229 Front St-between Beekman St andPeck Slip;New York;Financial District;Latin American;(212-513-0770);
One Little West 12;Meatpacking District;1 Little West 12th St.;New York;NY;American;$$;;One Little West;121 Little West 12th St-At 9th Ave;;;;;
Oriental Garden;Chinatown;14 Elizabeth St;New York;NY;Chinese;$;;Oriental Food Restaurant;103-105 Mott St.;New York;Chinatown;;;
Osteria Al Doge;Midtown West;142 West 44th St;New York;NY;Italian;$$$;;Osteria 1;23 W 39th St;New York;;;;
Pam Real Thai Food;Midtown West;404 W 49th St;New York;NY;Asian;$;;Pam Real Thai Encore; 402 W 47th St-between Ninth and Tenth Aves;New York;Midtown West;Thai;(212-315-4441);
Peanut Butter & Co.;West Village;;;;;;;Peanut Butter & Co;240 Sullivan St-Btwn Bleecker St & W 3rd St;New York;Greenwich Village;;(212-677-3995);American
Pure Food and Wine;Gramercy Park;54 Irving Pl;New York;NY;Vegetarian;$$$$;;Pure Food And Wine;54 Irving Place;New York, NY, 10016;;;;
Rack and Soul;Upper West Side;2818 Broadway;New York;NY;Barbecue;$$;;Rack & Soul; 2818 Broadway-at 109th St;New York;Upper West Side;American Regional;(212-222-4800);
Rain West - CLOSED;Upper West Side;100 West 82nd Street;New York;NY;Asian;$$;;Rain West;100 West 82nd Street;;;;;
Rice 'N' Beans;Midtown West;744 9th Ave;New York;NY;South American;$;;Rice 'N Beans;744 9th Ave.;New York;West 50s;;nan;nan
