0_restaurant;0_neighborhood;0_address;0_addressGoogle;0_country;0_country_code;0_type;0_cost;0_type_r
Trattoria Trecolori Inc;Midtown West;;nan;;;;;
Tsukushi;Midtown East;;nan;;;;;
Vico;Upper E. Side;1302 Madison Ave;1302 Madison Ave;New York;NY;;$$$;Italian
Vico;Upper East Side;1302 Madison Ave;1302 Madison Ave;New York;NY;;$$$;Italian
Vico;Upper East Side;;nan;;;;;
Vicino Firenze;Upper East Side;;nan;;;;;
Vico;Upper East Side;;nan;;;;;
Washington Square Coffee Shop;W. Village;;nan;;;;;
Yakitori Torys;Midtown East;251 W. 55th St., 2nd fl;251 W 55th St 2nd fl;New York;NY;;$$$;Japanese
Zucchero;Upper E. Side;;nan;;;;;
Zucco;Lower E. Side;;nan;;;;;
212 Restaurant & Bar;Upper East Side;;nan;;;;;
Accademia Di Vino;Upper East Side;;nan;;;;;
Arno Restaurant;Midtown West;;nan;;;;;
Atria;Midtown West;;nan;;;;;
Aurora - Soho;SoHo;;nan;;;;;
Aurora Soho;SoHo;;510 Broome St;;;;;
B. Cafe;Upper East Side;;nan;;;;;
Benoit Restaurant and Bar;Midtown West;;nan;;;;;
Benoit Restaurant and Bar;Midtown West;;nan;;;;;
Bobby Van's Park Avenue - 'The Original';Midtown East;;nan;;;;;
Bobby Van's Steakhouse - 54th Street;Midtown East;;nan;;;;;
Bottega Del Vino;Upper East Side;;nan;;;;;
Brasserie Athenee;Midtown West;;nan;;;;;
Brazil Brazil;Midtown West;;252 W 46th St;;;;;
Brother Jimmy's - New York;Midtown East;;nan;;;;;
Cafe D' Alsace;Upper East Side;;nan;;;;;
Church Lounge @ Tribeca Grand Hotel;TriBeCa - Downtown;;nan;;;;;
Fig & Olive - Uptown;Upper East Side;808 Lexington Ave;808 Lexington Ave;New York;NY;;$$;Mediterranean
Firenze;Upper East Side;;nan;;;;;
Firenze Ristorante;Upper E. Side;;nan;;;;;
Firenze;Upper East Side;;nan;;;;;
Gallo Nero;Hell's Kitchen;;nan;;;;;
Grand Central Oyster Bar;Midtown East;;nan;;;;;
Havana - Alma de Cuba;West Village;94 Christopher St;94 Christopher St;New York;NY;;$$;Cuban
Havana Alma de Cuba;West Village;94 Christopher St;94 Christopher St;New York;NY;;$$;Cuban
Hudson River Cafe;Harlem;697 West 133rd ST.;697 W 133rd St;New York;NY;;$$;American
Josephina;Upper West Side;;nan;;;;;
Klee;Chelsea;200 9th Avenue;200 9th Ave;New York;NY;;$$$;American
L'Atelier de Joel Robuchon - Four Seasons Hotel New York;Midtown East;;nan;;;;;
L'Atelier de Joel Robuchon - Four Seasons Hotel New York;Midtown East;57 E. 57th Street;57 E 57th St;New York;NY;;$$$$$;French
La Mediterranee;Midtown East;;nan;;;;;
La Mediterranee;Midtown East;;nan;;;;;
Lever House;Midtown East;;nan;;;;;
Lily's;Midtown East;;nan;;;;;
Luna Piena Ristorante;Midtown East;;nan;;;;;
Megu - Midtown;Midtown East;845 United Nations Plaza;845 United Nations Plaza;New York;NY;;$$$$$;Japanese
Merchants NY Restaurant;Upper East Side;;nan;;;;;
Michael Jordan's the Steakhouse N.Y.C.;Midtown East;24 W 55th St;24 W 55th St;New York;NY;;$$$$;Californian
Michael's Pub At The Park — Lombardy Hotel;Midtown East;24 W 55th St;24 W 55th St;New York;NY;;$$$$;Californian
Nick & Stef's;Midtown West;;nan;;;;;
Petrossian - New York;Midtown West;;nan;;;;;
Petrossian - New York;Midtown West;182 W 58th St;182 W 58th St;New York;NY;;$$$$;Continental
Rosie O'Grady's - Times Square;Times Square;;nan;;;;;
Roy's - New York;Financial District;;nan;;;;;
Smith & Wollensky - New York;Midtown East;;nan;;;;;
Smith and Wollensky;Midtown East;;797 3rd Ave;;;;;
Smith & Wollensky - New York;Midtown East;797 Third Ave;797 3rd Ave;New York;NY;;$$$;Steakhouse
T-BAR Steak & Lounge;Upper East Side;;nan;;;;;
T-Bar Steak and Lounge;Upper East Side;;nan;;;;;
Uncle Jack's Steakhouse - Westside;Midtown West;440 9th Avenue;440 9th Ave;New York;NY;;$$$;Steakhouse
Yuva;Midtown East;;nan;;;;;
Zampa;West Village;;nan;;;;;
dell'anima;West Village;;nan;;;;;
wd-50;Lower East Side;;nan;;;;;
10 Downing;Greenwich Village;;10 Downing St;;;;;
99 Miles to Philly;East Village;;nan;;;;;
Abraco Espresso;East Village;;86 E 7th St;;;;;
Agozar;East Village;;nan;;;;;
Agozar!;E. Village;;nan;;;;;
Agozar;East Village;;nan;;;;;
Ammos;Midtown East;52 Vanderbilt Ave;52 Vanderbilt Ave;New York;NY;;$$$;Greek
Ammos;Midtown East;246 E 51st St;246 E 51st St;New York;NY;;$$$$;Indian
Armani Ristorante;Midtown West;;nan;;;;;
Atlas Cafe;East Village;;nan;;;;;
Ben's Kosher Delicatessen;Midtown West;;nan;;;;;
Ben's Kosher Delicatessen;Midtown West;209 West 38th Street;209 W 38th St;New York;NY;;$;Deli
Bobby Van's Park Avenue;Midtown East;;nan;;;;;
Bond St;East Village;;6 Bond St;;;;;
Bryant Park Cafe and Grill;Midtown West;;nan;;;;;
Burger Heaven;Upper East Side;;802 Lexington Ave;;;;;
Burger Heaven;Midtown East;;802 Lexington Ave;;;;;
CamaJe Bistro;Greenwich Village;85 Macdougal St;85 MacDougal St;New York;NY;;$$;American
Chikalicious;East Village;203 E 10th St;203 E 10th St;New York;NY;;$;American
Chikalicious;East Village;;nan;;;;;
Dean's;Upper West Side;;215 W 85th St;;;;;
Dean's;Midtown East;;215 W 85th St;;;;;
Ducale;Upper West Side;;392 Columbus Ave;;;;;
Elaine's;Upper East Side;1703 Second Ave;1703 2nd Ave;New York;NY;;$$$;American
Elaine’s;Upper East Side;1703 Second Ave;1703 2nd Ave;New York;NY;;$$$;American
Frankies 17 Clinton Street Spuntino;Lower East Side;;nan;;;;;
Fred's at Barneys;Upper East Side;;nan;;;;;
Fred's at Barneys;Upper East Side;;nan;;;;;
Gabriel's Bar and Restaurant;Upper West Side;;nan;;;;;
Gallagher's Steakhouse;Midtown West;228 W 52nd St;228 W 52nd St;New York;NY;;$$$$;Steakhouse
Gallo Nero;Midtown West;228 W 52nd St;402 W 44th St;New York;NY;;$$$$;Steakhouse
Gallagher's Steakhouse;Midtown West;;228 W 52nd St;;;;;
Garden Court Cafe;Upper East Side;;725 Park Ave;;;;;
Giambelli 50th;Midtown East;;46 E 50th St btwn Madison and Park Aves;;;;;
Giambelli 50th;Midtown East;;46 E 50th St btwn Madison and Park Aves;;;;;
Gordon Ramsay at The London;Midtown West;;151 W 54th St;;;;;
Gordon Ramsay at The London;Midtown West;The London NYC;151 W 54th St;New York;NY;;$$$$$;French
Jeeb;Lower East Side;;154 Orchard St btwn Stanton and...;;;;;
Kura Sushi;East Village;;nan;;;;;
Lazzara's Pizza Cafe;Midtown West;;221 W 38th St #7th;;;;;
Levain Bakery;Upper West Side;;nan;;;;;
Levana;Upper W. Side;;nan;;;;;
Levain Bakery;Upper West Side;;nan;;;;;
Lugo Caffe;Midtown West;;nan;;;;;
Lugo Caffé;Midtown West;;nan;;;;;
Maruzzella;Upper East Side;;nan;;;;;
Mas (Farmhouse);Greenwich Village;39 Downing St;39 Downing St;New York;NY;;$$$$;American
Match 65;Upper East Side;;29 E 65th St;;;;;
Momofuku Bakery and Milk Bar;East Village;;nan;;;;;
Nino's Positano (CLOSED);Midtown East;;nan;;;;;
Nino's Positano (CLOSED);Midtown East;;nan;;;;;
Obika;Midtown East;;nan;;;;;
One If By Land, Two If By Sea;Greenwich Village;Two If by Sea, 17 Barrow St;17 Barrow St;New York;NY;;$$$$;American
Papillon Bistro;Midtown East;;22 E 54th St;;;;;
Papillon Bistro and Bar;Midtown East;;nan;;;;;
Picasso;Midtown East;;303 E 56th St;;;;;
Pinch and S'MAC;Upper West Side;;474 Columbus Ave btwn 82nd and 83rd Sts;;;;;
Public House;Midtown East;;140 E 41st St;;;;;
R.U.B.;Chelsea;;208 W 23rd St;;;;;
Rainbow Room (CLOSED);Midtown West;;30 Rockefeller Plaza;;;;;
Rainbow Room Grill (CLOSED);Midtown West;;nan;;;;;
Rainbow Room (CLOSED);Midtown West;30 Rockefeller Plaza65th Floor;30 Rockefeller Plaza;New York;NY;;$$$$;Italian
Rhong Tiam;Greenwich Village;;541 LaGuardia Pl btwn W 3rd and...;;;;;
Rosa Mexicano Lincoln Center;Upper West Side;;61 Columbus Ave;;;;;
Sachiko's on Clinton;Lower East Side;;25 Clinton St btwn Houston and Stanton...;;;;;
Sachiko's on Clinton;Lower East Side;25 Clinton St;25 Clinton St btwn Houston and Stanton...;New York;NY;;$$$;Japanese
Seasonal;Midtown West;;132 W 58th St;;;;;
Shula's;Midtown West;270 W 43rd St;270 W 43rd St;New York;NY;;$$$$;American
Slice;Upper East Side;;1413 Second Ave btwn 73rd and 74th Sts;;;;;
Souen Ramen;East Village;;nan;;;;;
Souen Ramen;East Village;;nan;;;;;
Suba (CLOSED);Lower East Side;;nan;;;;;
Suba (CLOSED);Lower East Side;109 Ludlow St;109 Ludlow St;New York;NY;;$$$;Spanish
Suba;Lower E. Side;109 Ludlow St;109 Ludlow St;New York;NY;;$$$;Spanish
Suba (CLOSED);Lower East Side;;nan;;;;;
Swich;Chelsea;;104 8th Ave btwn 15th and 16th Sts;;;;;
Symposium;Upper West Side;;544 W 113th St;;;;;
Taam Tov;Midtown West;;41 W 47th St;;;;;
Tides;Lower East Side;;The Back Room;;;;;
Uncle Nick's Ouzaria;Midtown West;;nan;;;;;
Uncle Nick's Ouzaria;Midtown West;;nan;;;;;
Villa Pazzo;Greenwich Village;62 W Ninth St;62 W 9th St;New York;NY;;$$$;French
Waldy's Wood Fired Pizza and Penne;Chelsea;;80 6th Ave btwn 27th and 28th Sts;;;;;
'Cesca;Upper W. Side;164 W 75th St;164 W 75th St;New York;NY;;$$$;Italian
107 West;Upper W. Side;;nan;;;;;
26 Seats;E. Village;168 Ave B;168 Avenue B;New York;NY;;$$;French
A Voce;Flatiron/U. Sq.;;nan;;;;;
A Voce;Gramercy / Flatiron;41 Madison Ave;41 Madison Ave;New York;NY;;$$$$;Italian
Agave;W. Village;;nan;;;;;
Alexandra;W. Village;455 Hudson St;455 Hudson St;New York;NY;;$$;American
Alfama;West Village;455 Hudson St;455 Hudson St;New York;NY;;$$;American
Alfama;W. Village;;nan;;;;;
Alfama, Fine Portuguese Cuisine;West Village;;nan;;;;;
Alfama;W. Village;;nan;;;;;
Alice's Tea Cup;Upper W. Side;102 West. 73 st;102 W 73rd St;New York;NY;;$;American
Alouette;Upper W. Side;2588 Broadway;2588 Broadway;New York;NY;;$$$;French
Alta;W. Village;;nan;;;;;
Amalia;Midtown East;;nan;New York;NY;;$$$$;Mediterranean
Amaranth;Upper E. Side;;nan;;;;;
Amber;Upper East Side;;1406 3rd Ave;;;;;
Angelica Kitchen;E. Village;300 E 12th St;300 E 12th St;New York;NY;;$;Vegetarian
Annisa;W. Village;;nan;;;;;
Anthos;Midtown East;36 W 52nd St;36 W 52nd St;New York;NY;;$$$$;Mediterranean
Apizz;Lower E. Side;217 Eldridge St;217 Eldridge St;New York;NY;;$$$;Italian
Aquagrill;SoHo;;210 Spring St;;;;;
Aquavit;Midtown East;65 East 55th Street;65 E 55th St;New York;NY;;$$$$;Scandinavian
Aquavit Cafe;Midtown East;65 East 55th Street;65 E 55th St;New York;NY;;$$$$;Scandinavian
Arqua;Tribeca;281 Church Street;281 Church St;New York;NY;;$$$;Italian
Arqua;TriBeCa/SoHo;281 Church Street;281 Church St;New York;NY;;$$$;Italian
Arqua;TriBeCa/SoHo;;nan;;;;;
Artisanal;Murray Hill;;nan;;;;;
Asiate;Upper W. Side;80 Columbus Cir at 60th Street;80 Columbus Cir;New York;NY;;$$$$;French
Atlantic Grill;Upper E. Side;1341 Third Ave;1341 3rd Ave;New York;NY;;$$$;Seafood
Au Mandarin;Financial/Battery Pk;200-250 Vesey St;200 Vesey St;New York;NY;;$$;Chinese
August;W. Village;359 Bleecker St;359 Bleecker St;New York;NY;;$$$;European
Aureole;Upper E. Side;;nan;;;;;
Awash;Upper W. Side;;nan;;;;;
Azafran;TriBeCa/SoHo;77 Warren St;77 Warren St;New York;NY;;$$$;Spanish
BLT Prime;Gramercy;111 East 22nd Street;111 E 22nd St;New York;NY;;$$$$;American
Babbo;W. Village;;nan;;;;;
Balthazar;SoHo;;nan;;;;;
Banjara;E. Village;97 First Ave;97 1st Avenue;New York;NY;;$$;Indian
Bar Pitti;W. Village;;nan;;;;;
Bar Q;West Village;;nan;;;;;
Barbetta;Midtown West;321 W 46th Street;321 W 46th St;New York;NY;;$$$;Italian
Barbounia;Flatiron/U. Sq.;250 Park Ave South;250 Park Ave S;New York;NY;;$$$$;Mediterranean
Barney Greengrass;Upper W. Side;541 Amsterdam Ave;541 Amsterdam Ave;New York;NY;;$;Deli
Barolo;SoHo;;nan;;;;;
Battery Gardens;Financial/Battery Pk;Inside Battery Parkacross From 17 State St;17 State St;New York;NY;;$$$;American
Bellavitae;W. Village;;nan;;;;;
Bello Sguardo;Upper W. Side;;nan;;;;;
Beppe;Flatiron/U. Sq.;45 E 22nd St;45 E 22nd St;New York;NY;;$$$;Italian
Bettola;Upper W. Side;412 Amsterdam Ave;412 Amsterdam Ave;New York;NY;;$$;Italian
Beyoglu;Upper E. Side;1431 Third Avenue;1431 3rd Ave;New York;NY;;$$;Mediterranean
Bianca;E. Village;;nan;;;;;
Blaue Gans;Tribeca;139 Duane Street;139 Duane St;New York;NY;;$$$;German
Blaue Gans;TriBeCa/SoHo;139 Duane Street;139 Duane St;New York;NY;;$$$;German
Blaue Gans;TriBeCa - Downtown;139 Duane Street;139 Duane St;New York;NY;;$$$;German
Blaue Gans;TriBeCa/SoHo;;nan;;;;;
Blaue Gans;TriBeCa - Downtown;;nan;;;;;
Blue Hill;W. Village;;nan;;;;;
Blue Smoke;Gramercy;116 E 27th St;116 E 27th St;New York;NY;;$$;Barbecue
Blue Smoke;Gramercy / Flatiron;116 E 27th St;116 E 27th St;New York;NY;;$$;Barbecue
Blue Smoke;Gramercy / Flatiron;;nan;;;;;
Bolo;Flatiron/U. Sq.;23 E 22nd St;23 E 22nd St;New York;NY;;$$$$;Spanish
Boom;SoHo;;nan;;;;;
Boqueria;Flatiron/U. Sq.;;nan;;;;;
Borgo Antico;West Village;22 E 13th St;22 E 13th St;New York;NY;;$$$;Italian
Borgo Antico;E. Village;22 E 13th St;22 E 13th St;New York;NY;;$$$;Italian
Borgo Antico;E. Village;;nan;;;;;
Bouley;Tribeca;120 West Broadway;120 W Broadway;New York;NY;;$$$$$;French
Bouley;TriBeCa/SoHo;120 West Broadway;120 W Broadway;New York;NY;;$$$$$;French
Bouley;TriBeCa - Downtown;120 West Broadway;120 W Broadway;New York;NY;;$$$$$;French
Bouley;TriBeCa/SoHo;;nan;;;;;
Bouley;TriBeCa - Downtown;;nan;;;;;
Brasserie Julien;Upper E. Side;1422 3rd Ave (Between 80th & 81st Streets);1420-1422 3rd Ave;New York;NY;;$$;French
Bread;Nolita;20 Spring St;20 Spring St;New York;NY;;$$;American
Broadway Joe Steakhouse;Theater District;315 West 46th Street;315 W 46th St;New York;NY;;$$$;Steakhouse
Bull Run;Financial/Battery Pk;52 William St;52 William St;New York;NY;;$$$;American
Butai;Gramercy;115 E 18th St;115 E 18th St;New York;NY;;$$$;Japanese
Cafe Asean;W. Village;;nan;;;;;
Cafe Gitane;Nolita;242 Mott St;242 Mott St;New York;NY;;$;French
Cafe Lalo;Upper W. Side;201 W 83rd St;201 W 83rd St;New York;NY;;$;American
Cafe Spice;Midtown West;;nan;;;;;
Cafe Spice;Midtown West;;nan;;;;;
Cafe Spice;Midtown East;;nan;;;;;
Calle Ocho;Upper W. Side;446 Columbus Avenue;446 Columbus Ave;New York;NY;;$$;Cuban
Canyon Road;Upper E. Side;1470 First Avenue;1470 1st Avenue;New York;NY;;$$;Southwestern
Caracas Arepa Bar;E. Village;91 East 7th St;91 E 7th St;New York;NY;;$;South American
Casa;W. Village;72 Bedford St;72 Bedford St;New York;NY;;$$;South American
Casa Adela;East Village;72 Bedford St;72 Bedford St;New York;NY;;$$;South American
Casa Mono;Gramercy;125 East 17th;125 E 17th St;New York;NY;;$$$;Spanish
Casimir;E. Village;103-105 Ave B;103 Avenue B;New York;NY;;$$;French
Celeste;Upper W. Side;502 Amsterdam Ave;502 Amsterdam Ave;New York;NY;;$$;Italian
Cendrillon;SoHo;;nan;;;;;
Cercle Rouge;Tribeca;241 W Broadway;241 W Broadway;New York;NY;;$$$;American
Cercle Rouge;TriBeCa/SoHo;241 W Broadway;241 W Broadway;New York;NY;;$$$;American
Cercle Rouge;TriBeCa - Downtown;241 W Broadway;241 W Broadway;New York;NY;;$$$;American
Cercle Rouge;TriBeCa/SoHo;;nan;;;;;
Cercle Rouge;TriBeCa - Downtown;;nan;;;;;
Chanterelle;Tribeca;2 Harrison St;2 Harrison St;New York;NY;;$$$$$;French
Chanterelle;TriBeCa/SoHo;2 Harrison St;2 Harrison St;New York;NY;;$$$$$;French
Chanterelle;TriBeCa - Downtown;2 Harrison St;2 Harrison St;New York;NY;;$$$$$;French
Chanterelle;TriBeCa/SoHo;;nan;;;;;
Chanterelle;TriBeCa - Downtown;;nan;;;;;
Chennai Garden;Gramercy;129 E 27 St;129 E 27th St;New York;NY;;$;Indian
China Fun;Upper East Side;246 Columbus Ave;246 Columbus Ave;New York;NY;;$;Chinese
China Fun;Upper W. Side;246 Columbus Ave;246 Columbus Ave;New York;NY;;$;Chinese
China Fun;Upper E. Side;246 Columbus Ave;246 Columbus Ave;New York;NY;;$;Chinese
China Fun;Upper W. Side;;nan;;;;;
China Fun;Upper E. Side;;nan;;;;;
China Fun;Upper E. Side;;nan;;;;;
Chipotle;Times Square;;nan;;;;;
Chiyono;E. Village;;nan;;;;;
Chow Bar;W. Village;230 W Fourth St;230 West 4th Street;New York;NY;;$$;Asian
Cilantro;Upper E. Side;1712 2nd Ave;1712 2nd Ave;New York;NY;;$;Southwestern
Cilantro;Upper West Side;1712 2nd Ave;1712 2nd Ave;New York;NY;;$;Southwestern
Cilantro;Upper West Side;;1712 2nd Ave;;;;;
Citrus Bar & Grill;Upper W. Side;;nan;;;;;
City Bakery;Flatiron/U. Sq.;3 W 18th St;3 W 18th St;New York;NY;;$;American
City Hall;TriBeCa/SoHo;131 Duane St;131 Duane St;New York;NY;;$$$;Seafood
City Hall;TriBeCa - Downtown;131 Duane St;131 Duane St;New York;NY;;$$$;Seafood
City Hall Restaurant;Tribeca;131 Duane St;131 Duane St;New York;NY;;$$$;Seafood
City Hall;TriBeCa - Downtown;;nan;;;;;
Colors;E. Village;417 Lafayette St;417 Lafayette St;New York;NY;;$$$;International
Compass;Upper W. Side;208 W 70th Street;208 W 70th St;New York;NY;;$$$;American
Compass Restaurant - New York;Upper West Side;208 W 70th Street;208 W 70th St;New York;NY;;$$$;American
Coppola's Pizzeria Restaurant;Upper W. Side;206 W 79th St;206 W 79th St;New York;NY;;$$;Italian
Corner Bistro;W. Village;331 W 4th St;331 West 4th Street;New York;NY;;$;American
Cosette;Murray Hill/Kips Bay;163 E 33rd St;163 E 33rd St;New York;NY;;$$;French
Counter;E. Village;105 First Ave;105 1st Avenue;New York;NY;;$$;Vegetarian
Country;Gramercy / Flatiron;90 Madison Ave, 2nd Fl;90 Madison Ave 2nd Fl;New York;NY;;$$$$;American
Craftbar;Flatiron/U. Sq.;;nan;;;;;
Crispo;W. Village;240 W 14th St;240 W 14th St;New York;NY;;$$$;Italian
Cru;W. Village;;nan;;;;;
Da Andrea;W. Village;557 Hudson St;557 Hudson St;New York;NY;;$$;Italian
Da Ciro;Murray Hill/Kips Bay;229 Lexington Ave;229 Lexington Ave;New York;NY;;$$;Italian
Da Silvano;W. Village;;nan;;;;;
Daniel;Upper E. Side;60 E 65th St;60 E 65th St;New York;NY;;$$$$$;French
Delmonico's;Financial/Battery Pk;56 Beaver Street;56 Beaver St;New York;NY;;$$$$$;American
Devi;Flatiron/U. Sq.;8 E 18th St;8 E 18th St;New York;NY;;$$$$;Indian
Ditch Plains;W. Village;;nan;;;;;
Do Hwa;W. Village;;nan;;;;;
Donguri;Upper E. Side;309 E 83rd St;309 E 83rd St;New York;NY;;$$$;Japanese
Dylan Prime;Tribeca;62 Laight St;62 Laight St;New York;NY;;$$$$$;Steakhouse
Dylan Prime;TriBeCa/SoHo;62 Laight St;62 Laight St;New York;NY;;$$$$$;Steakhouse
Dylan Prime;TriBeCa - Downtown;62 Laight St;62 Laight St;New York;NY;;$$$$$;Steakhouse
Dylan Prime;TriBeCa/SoHo;;nan;;;;;
Dylan Prime;TriBeCa - Downtown;;nan;;;;;
E.A.T.;Upper E. Side;1064 Madison Avenue;1064 Madison Ave;New York;NY;;$$;American
El Faro;W. Village;823 Greenwich St;823 Greenwich St;New York;NY;;$$;Spanish
Eleven Madison Park;Flatiron/U. Sq.;;nan;;;;;
Eleven Madison Park;Gramercy / Flatiron;11 Madison Ave;11 Madison Ave;New York;NY;;$$$$$;American
Emack & Bolio's;Upper W. Side;389 Amsterdam Ave;389 Amsterdam Ave;New York;NY;;$;American
En Japanese Brasserie;W. Village;435 Hudson St;435 Hudson St;New York;NY;;$$$;Japanese
Etats-Unis;Upper E. Side;242 E 81st St;242 E 81st St;New York;NY;;$$$;American
Etcetera Etcetera;Theater District;352 W 44th St;352 W 44th St;New York;NY;;$;Italian
Extra Virgin;W. Village;259 W 4th St;259 West 4th Street;New York;NY;;$$;Mediterranean
Fatty Crab;W. Village;;nan;;;;;
Felix;SoHo;;nan;;;;;
Fish;W. Village;;nan;;;;;
Five Points;E. Village;;nan;;;;;
Frederick's Madison;Upper E. Side;768 Madison Ave;768 Madison Ave;New York;NY;;$$$$;Mediterranean
French Roast;W. Village;;nan;;;;;
Fresh;TriBeCa/SoHo;105 Reade St;105 Reade St;New York;NY;;$$$;Seafood
Gari;Upper W. Side;370 Columbus Ave;370 Columbus Ave;New York;NY;;$$$$$;Sushi
Gari;Upper W. Side;;nan;;;;;
Geisha;Upper E. Side;33 E 61st St;33 E 61st St;New York;NY;;$$$$;Japanese
Gennaro;Upper W. Side;665 Amsterdam Ave;665 Amsterdam Ave;New York;NY;;$$;Italian
Gobo;Upper E. Side;;nan;;;;;
Gobo;W. Village;;nan;;;;;
Gramercy Tavern;Flatiron/U. Sq.;;nan;;;;;
Gray's Papaya;Upper W. Side;2090 Broadway;2090 Broadway;New York;NY;;$;American
Great Jones Cafe;E. Village;;nan;;;;;
Greenwich Grill;Tribeca;428 Greenwich St;428 Greenwich St;New York;NY;;$$$;Californian
Greenwich Grill;TriBeCa - Downtown;428 Greenwich St;428 Greenwich St;New York;NY;;$$$;Californian
Greenwich Market;TriBeCa/SoHo;428 Greenwich St;428 Greenwich St;New York;NY;;$$$;Californian
Haru;Upper E. Side;433 Amsterdam Ave;433 Amsterdam Ave;New York;NY;;$$;Japanese
Haru;Upper East Side;433 Amsterdam Ave;433 Amsterdam Ave;New York;NY;;$$;Japanese
Haru;Upper East Side;;nan;;;;;
Havana Central;Union Square;;nan;;;;;
Havana Central - Times Square;Times Square;;nan;;;;;
Hearth;E. Village;403 E 12th St;403 E 12th St;New York;NY;;$$$$;American
Holy Basil;E. Village;149 Second Ave;149 2nd Ave;New York;NY;;$;Asian
Hummus Place;East Village;;nan;;;;;
Hummus Place;W. Village;;nan;;;;;
Hummus Place;W. Village;;nan;;;;;
I Coppi;E. Village;432 E Ninth St;432 E 9th St;New York;NY;;$$$;Italian
I Tre Merli;SoHo;;nan;;;;;
Icon;Murray Hill;;nan;;;;;
Ideya;SoHo;;349 W Broadway;;;;;
Il Bagatto;E. Village;192 E Second St;192 E 2nd St;New York;NY;;$$;Italian
Il Brigante;Financial/Battery Pk;214 Front St.;214 Front St;New York;NY;;$$;Italian
Il Buco;E. Village;;nan;;;;;
Il Cantinori;E. Village;;nan;;;;;
Il Cantinori;East Village;;nan;;;;;
Il Cantinori;East Village;;nan;;;;;
Il Giglio;TriBeCa/SoHo;81 Warren St;81 Warren St;New York;NY;;$$$$;Italian
Il Mulino;W. Village;;nan;;;;;
Indochine;E. Village;430 Lafayette St;430 Lafayette St;New York;NY;;$$$;French
Ithaka;Upper E. Side;308 E 86th St;308 East 86th St;New York;NY;;$$$;Greek
Jack's Luxury Oyster Bar;E. Village;246 E Fifth St;246 E 5th St;New York;NY;;$$$$;Continental
Jane;W. Village;;nan;;;;;
Japonica;E. Village;;nan;;;;;
Jean Georges;Upper W. Side;1 Central Park W;1 Central Park West;New York;NY;;$$$$$;French
Joe's Pizza;W. Village;;nan;;;;;
John's Pizzeria;Upper E. Side;408 E 64th St;408 E 64th St;New York;NY;;$;Pizza
Josie's;Upper W. Side;300 Amsterdam Avenue;300 Amsterdam Ave;New York;NY;;$$;International
Jules;E. Village;65 St Marks Pl;65 St Marks Pl;New York;NY;;$$;French
Kai;Upper E. Side;822 Madison Ave;822 Madison Ave;New York;NY;;$$$$;Japanese
Kefi;Upper W. Side;222 W. 79th St.;222 W 79th St;New York;NY;;$$$;Greek
Kittichai;SoHo;;nan;;;;;
Knickerbocker Bar & Grill;E. Village;;nan;;;;;
Kori;Tribeca;253 Church St;253 Church St;New York;NY;;$$;Korean
Kori;TriBeCa/SoHo;253 Church St;253 Church St;New York;NY;;$$;Korean
Kori;TriBeCa/SoHo;;nan;;;;;
Kuma Inn;Lower E. Side;113 Ludlow St;113 Ludlow St;New York;NY;;$$;Southeast Asian
La Goulue;Upper E. Side;746 Madison Ave;746 Madison Ave;New York;NY;;$$$;French
La Goulue (CLOSING APRIL 2009);Upper E. Side;746 Madison Ave;746 Madison Ave;New York;NY;;$$$;French
La Grenouille;Midtown West;3 E 52nd St;3 E 52nd St;New York;NY;;$$$$;French
La Palapa;E. Village;;nan;;;;;
La Vela;Upper W. Side;373 Amsterdam Ave;373 Amsterdam Ave;New York;NY;;$$;Italian
Lan;E. Village;56 Third Ave;56 3rd Ave;New York;NY;;$$;Sushi
Lan Cafe;East Village;56 Third Ave;56 3rd Ave;New York;NY;;$$;Sushi
Land Thai Kitchen;Upper W. Side;450 Amsterdam Ave;450 Amsterdam Ave;New York;NY;;$$;Thai
Landmarc;Upper West Side;450 Amsterdam Ave;10 Columbus Cir 3rd floor;New York;NY;;$$;Thai
Landmarc;TriBeCa/SoHo;;nan;;;;;
Lavagna;E. Village;;nan;;;;;
Le Bilboquet;Upper E. Side;25 E 63rd St;25 E 63rd St;New York;NY;;$$$;French
Le Gigot;W. Village;;nan;;;;;
Le Jardin Bistro;Nolita;25 Cleveland Pl;25 Cleveland Pl;New York;NY;;$$$;French
Le Monde;Upper West Side;;2885 Broadway;;;;;
Le Pere Pinard;Lower E. Side;175 Ludlow St;175 Ludlow St;New York;NY;;$$;French
Le Souk;E. Village;;nan;;;;;
Lima's Taste;W. Village;122 Christopher St;122 Christopher St;New York;NY;;$;South American
Lisca;Upper West Side;;nan;;;;;
Little Giant;Lower E. Side;85 Orchard St;85 Orchard St;New York;NY;;$$$$;American
Loft;Upper W. Side;505 Columbus Ave;505 Columbus Ave;New York;NY;;$$;Mediterranean
Lombardi's;Nolita;32 Spring St;32 Spring St;New York;NY;;$;Pizza
Los Dos Molinos;Gramercy;119 E 18th St;119 E 18th St;New York;NY;;$$;Southwestern
Lucien;E. Village;14 1st Ave;14 1st Avenue;New York;NY;;$$;French
Lusardi's;Upper E. Side;1494 Second Ave;1494 2nd Ave;New York;NY;;$$$$;Italian
Luzia's;Upper W. Side;;nan;;;;;
Macelleria;W. Village;;nan;;;;;
Madison Bistro;Murray Hill/Kips Bay;238 Madison Ave;238 Madison Ave;New York;NY;;$$$;French
