restaurant;address;addressGoogle;country;neighborhood;type;phone;type_r
Tides Seafood;102 Norfolk St-Btwn Delancey & Rivington St;The Back Room;;;;;
Times Deli Cafe;158 W 44th St-Btwn Bway & 6th Ave;158 W 44th St;;;;;
Times Gourmet Deli;240 W 40th St-Btwn 7th & 8th Ave;240 W 40th St;;;;;
Times Square Deli;168 Madison Ave-At 33rd St;168 Madison Ave;;;;;
Times Square Hot Bagels;200 W 44th St-At 7th Ave;200 W 44th St;;;;;
Tina;203 E 14th St-Btwn 2nd & 3rd Ave;203 E 14th St;;;;;
Tina's Restaurant;179 Madison Ave-Btwn 33rd & 34th St;179 Madison Ave;;;;;
Tina203 E;14th St-;E 14th St;;;;;
Tipico Dominicano;4172 Broadway Ave-At 177th St;4172 Broadway;;;;;
Tir Na Nog;5 Penn Plaza-At 33rd St;5 Pennsylvania Plaza;;;;;
Tito's;2049 2nd Ave-;2049 2nd Ave;;;;;
Tito's204;9 2nd Ave-;9 2nd Ave;;;;;
Toastie's;6 E 48th St-Btwn 5th Ave & Madison Ave;6 E 48th St;;;;;
Toasties;25 Union Sq W-Btwn 15th & 16th St;25 Union Square W;;;;;
Toasties Delicatessen;214 7th Ave-Btwn 22nd & 23rd St;214 7th Ave;;;;;
Todai;6 E 32nd St-Btwn Madison & 5th Ave;6 E 32nd St;;;;;
Todai6 E;32nd St-;W 32nd St;;;;;
Tokubei;86314 E 86th St-Btwn 1st & 2nd Ave;East 86th St;;;;;
Tokyo Bay;183 Duane St-Btwn Greenwich & Hudson St;183 Duane St;;;;;
Tokyo Restaurant;342 Lexington Ave-Btwn 39th & 40th St;342 Lexington Ave;;;;;
Tom Tuesday Dinner;47 E 19th St-Btwn Bway & Park Ave S;47 E 19th St;;;;;
Tom's;3161 Broadway-Btwn Lasalle & Tiemann Pl;3161 Broadway;;;;;
Tom's Restaurant;2880 Broadway-At 112th St;2880 Broadway;;;;;
Tomato Nouvelle;144 E 52nd St-Btwn 3rd & Lexington Ave;144 E 52nd St;;;;;
Tommys;3795 Broadway-Btwn 157th & 158th St;3795 Broadway;;;;;
Tommys379;5 Broadway-;615 5 Broadway;;;;;
Tomo (CLOSED);2850 Broadway-;2850 Broadway;;;;;
Tonda;235 E 4th St-;235 E 4th St;;;;;
Tonic;727 7th Ave-Btwn 48th & 49th St;727 7th Ave;;;;;
Tonic727;7th Ave-;7th Ave;;;;;
Tonnie's Minis;120 W 3rd St-Btwn MacDougal St & 6th Ave;120 W 3rd St;;;;;
Tono Sushi;174 7th Ave-Btwn 20th & 21st St;174 7th Ave;;;;;
Tony's;347 1st Ave-At 20th St;347 1st Avenue;;;;;
Tony's Pizza;58 W 31st St-At 6th Ave;58 W 31st St;;;;;
Tony's Pizza & Pasta;4771 Broadway-At Dyckman;4771 Broadway;;;;;
Tony's Sushi & Grill;720 2nd Ave-At 39th St;720 2nd Ave;;;;;
Tony's347;1st Ave-;1st Avenue;;;;;
Toons;417 Bleecker St-At Bank St;417 Bleecker St;;;;;
Topaz;127 W 56th St-Btwn 6th & 7th Ave;127 W 56th St;;;;;
Topaz127 W;56th St-;W 56th St;;;;;
Tori Shin;1193 1st Ave-Btwn 64th & 65th St;1193 1st Avenue;;;;;
Torino;22 W 56th St-Btwn 5th & 6th Ave;22 W 56th St;;;;;
Torino22 W;56th St-;W 56th St;;;;;
Tortillas;1049 St. Nicholas Ave-Btwn 162nd & 163rd St;1049 St Nicholas Ave;;;;;
Totoya;1144 1st Ave-At 63rd St;1144 1st Avenue;;;;;
Totoya114;4 1st Ave-;4 1st Avenue;;;;;
Touch of India;232 W 37th St-Btwn 7th & 8th Ave;232 W 37th St;;;;;
Tower Cafe;506 Lenox Ave-Btwn 135th & 136th St;506 Lenox Ave;;;;;
Town15 W;56th St-;W 56th St;;;;;
Townhouse Restaurant/Diner;696 2nd Ave-Btwn 37th & 38th St;696 2nd Ave;;;;;
Toyama Sushi;11 W 36th St-Btwn 5th & 6th Ave;11 W 36th St;;;;;
Toyo Sushi;437 3rd Ave-Btwn 30th & 31st St;437 3rd Ave;;;;;
Tracks Raw Bar & Grill;0Penn Station-7th Ave btwn 31st & 33rd St;0Penn Station;;;;;
Tracks Raw Bar & GrillPenn Station;0 7th Ave btwn 31st & 33rd St-;7th Ave;;;;;
Trailer Park Lounge & Grill;271 W 23rd St-Btwn 7th & 8th Ave;271 W 23rd St;;;;;
Tramonti;364 W 46th St-Btwn 8th & 9th Ave;364 W 46th St;;;;;
Tramway Diner;1143 2nd Ave-At 60th St;1143 2nd Ave;;;;;
Trattoria Amici;381 Lenox Ave-;381 Lenox Ave;;;;;
Trattoria Belvedere;165 Lexington Ave-Btwn 30th & 31st St;165 Lexington Ave;;;;;
Trattoria Casa Di Isacco;536 9th Ave-Btwn 39th & 40th St;536 9th Ave;;;;;
Trattoria Toscana;64 Carmine St-Btwn Bedford St & 7th Ave S;64 Carmine St;;;;;
Trattoria Trecolori;254 W 47th St-Btwn 8th Ave & Bway;254 W 47th St;;;;;
Tre Merli;463 W Broadway-;463 W Broadway;;;;;
Tre Merli Bistro;183 W 10th St-;183 W 10th St;;;;;
Tres Pasos;3385 Broadway-Btwn 137th & 138th St;3385 Broadway;;;;;
Trevi Deli;48 Union Sq E-Btwn 16th & 17th St;48 Union Square E;;;;;
Triangolo;345 E 83rd St-Btwn 1st & 2nd Ave;345 E 83rd St;;;;;
Tribeca Bagels;374 Canal St-;374 Canal St;;;;;
Tribeca Hana;372 Greenwich St-Btwn Franklin & N Moore St;372 Greenwich St;;;;;
Tribeca Pizzeria;378 Greenwich St-At N Moore St;378 Greenwich St;;;;;
Tribeca Treats;94 Reade St-Btwn W Bway & Church St;94 Reade St;;;;;
Trio167 E;33rd St-;W 33rd St;;;;;
Tropica;200 Park Ave-At 45th St;MetLife Building;;;;;
Tropica (CLOSED);200 Park Ave-;MetLife Building;;;;;
Tropical;128128 Elizabeth St-At Broome St;Elizabeth St;;;;;
Tropical Restaurant;3517 Broadway-At 144th St;3517 Broadway;;;;;
Tropical Spanish;3771 Broadway-Btwn 156th & 157th St;3771 Broadway;;;;;
Tropicalia;1372 York Ave-At 73rd St;1372 York Ave;;;;;
Troy Turkish Grill;539 9th Ave-At 40th St;539 9th Ave;;;;;
True Blue;2741 8th Ave-Btwn 145th & 146th St;2741 Frederick Douglass Blvd;;;;;
Trulli122 E;27th St-;W 27th St;;;;;
Tsampa212 E;9th St-;W 9th St;;;;;
Tsingtao Cottage;44 Ann St-Btwn William & Nassau St;44 Ann St;;;;;
Tsuki;1410 1st Ave-At 75th St;1410 1st Avenue;;;;;
Tsuki1410;1st Ave-;1st Avenue;;;;;
Tu Sabor Latino;3864 Broadway-Btwn 161st & 162nd St;3864 Broadway;;;;;
Tulcingo Del Valle;665 10th Ave-Btwn 46th & 47th St;665 10th Ave;;;;;
Turkuaz26;37 Broadway-;37 Broadway;;;;;
Turtle Bay;987 2nd Ave-Btwn 52nd & 53rd St;987 2nd Ave;;;;;
Tuscany61 W;55th St-;W 55th St;;;;;
Tuts;196 Orchard St-Btwn Houston & Stanton St;196 Orchard St;;;;;
Twelve;0(XII) (12)206 E 34th St-;0(XII) (12)206 E 34th St;;;;;
Twelve (XII) (;12)206 E 34th St-Btwn 2nd & 3rd Ave;206 E 34th St #12;;;;;
Twin Cafe;275 Greenwich St-At Murray St;275 Greenwich St;;;;;
Twin Deli;162 Madison Ave-Btwn 32nd & 33rd St;162 Madison Ave;;;;;
Twins Pub;421 9th Ave-Btwn 33rd & 34th St;421 9th Ave;;;;;
Two Boots;74 Bleecker St-At Bway;74 Bleecker St;;;;;
Two Boots Pizzeria;42 Ave A-At 3rd St;42 Avenue A;;;;;
Two Boots Upper East Side;1617 2nd Ave-At 84th St;1617 2nd Ave;;;;;
Two Boots West;201 W 11th St-At 7th Ave;201 W 11th St;;;;;
Two BootsGrand Central Terminal;1 At 42nd St-;1 At 42nd St;;;;;
Two Guys Pizza;517 W 36th St-Btwn 10th & 11th Ave;517 W 36th St;;;;;
Two Times Square;0 Restaurant & Lounge714 7th Ave-Btwn 47th & 48th St;7th Ave;;;;;
Two Times Square Restaurant & Lounge;714 7th Ave-Btwn 47th & 48th St;714 7th Ave;;;;;
Txikito24;0 9th Ave-;0 9th Ave;;;;;
Tycoon;252 W 43rd St-Btwn Bway & 8th Ave;252 W 43rd St;;;;;
Tycoon252 W;43rd St-;W 43rd St;;;;;
U Cafe;1436 Lexington Ave-Btwn 93rd & 94th St;1436 Lexington Ave;;;;;
U Like23 W;100th St-;W 100th St;;;;;
USA Pizza;530 2nd Ave-Btwn 29th & 30th St;Vangurad;;;;;
Ulysses';95 Pearl St-At Stone St;95 Pearl St;;;;;
Umi No Aji;219 E 23rd St-Btwn 2nd & 3rd Ave;219 E 23rd St;;;;;
Uncle Marky's Organics;235 E 53rd St-Btwn 2nd & 3rd Ave;235 E 53rd St;;;;;
Uncle Ming's;225 Avenue B-Btwn 13th & 14th St;225 Avenue B;;;;;
Uncle Moe's;14 W 19th St-Btwn 5th & 6th Ave;14 W 19th St;;;;;
Uncle Nick's Ouzaria;749 9th Ave-Btwn 50th & 51st St;749 9th Ave;;;;;
Underground Pizza Two;2A William St-At 3 Hanover Sq;2A William St;;;;;
Unicorn;2170 3rd Ave-Btwn 118th & 119th St;2170 3rd Ave;;;;;
Unicorn21;70 3rd Ave-;70 3rd Ave;;;;;
Unwined;2537 Broadway-At 95th St;2537 Broadway;;;;;
Unwined25;37 Broadway-;37 Broadway;;;;;
Upstairs at ';21'21 W 52nd St-Btwn 5th & 6th Ave;21 W 52nd St #21;;;;;
Upstairs at Bouley;130 W Broadway-At Duane St;130 W Broadway;;;;;
Uptown Cottage;1748 2nd Ave-At 91st Steet;1748 2nd Ave;;;;;
Urban Lobster;240 E Houston St-At Ave A;240 E Houston St;;;;;
Ushiwaka Maru;0(Ushiwakamaru)136 W Houston St-;0(Ushiwakamaru)136 W Houston St;;;;;
Ushiwaka Maru (Ushiwakamaru);136 W Houston St-Btwn MacDougal & Sullivan St;136 W Houston St;;;;;
Uskudar;1405 2nd Ave-Btwn 73rd & 74th St;1405 2nd Ave;;;;;
Uskudar14;05 2nd Ave-;5 2nd Ave;;;;;
Utopia Cafe;46 W 56th St-Btwn 5th & 6th Ave;46 W 56th St;;;;;
Utsav1185;6th Ave-;6th Ave;;;;;
V & T Pizza;1024 Amsterdam Ave-Btwn 110th & 111th St;1024 Amsterdam Ave;;;;;
V.I.P. Gourmet;297 7th Ave-Btwn 26th & 27th St;297 7th Ave;;;;;
Va Bene;1589 2nd Ave-Btwn 82nd & 83rd St;1589 2nd Ave;;;;;
Va Bene15;89 2nd Ave-;89 2nd Ave;;;;;
Vai225 W;77th St-;E 77th St;;;;;
Vamos!348;1st Ave-;1st Avenue;;;;;
Van Diemens;383 3rd Ave-Btwn 27th & 28th St;383 3rd Ave;;;;;
Vandali15;90 1st Ave-;90 1st Avenue;;;;;
Vanessa's Dumplings;220 E 14th St-Btwn 2nd & 3rd Ave;220 E 14th St;;;;;
Variety Cafe;48 W 48th St-Btwn 5th Ave and 6th Ave;48 W 48th St;;;;;
Vatan409;3rd Ave-;3rd Ave;;;;;
Vegetarian Sandwich Bar;1259 Park Ave-Btwn 97th & 98th St;1259 Park Ave;;;;;
Vegetarian's Paradise;2144 W 4th St-Btwn 6th Ave & Macdougal St;West 4th Street;;;;;
Veloce Club (fka Bar Veloce);17 Cleveland Pl-;17 Cleveland Pl;;;;;
Velour;297 10th Ave-At 27th St;297 10th Ave;;;;;
Velour297;10th Ave-;10th Ave;;;;;
Veniero's;342 E 11th St-Btwn 1st & 2nd Ave;342 E 11th St;;;;;
Veritas43 E;20th St-;W 20th St;;;;;
Verlaine;110 Rivington St-Btwn Ludlow & Essex St;110 Rivington St;;;;;
Vermilion;480 Lexington Ave-At 46th St;480 Lexington Ave;;;;;
VERO;1483 2nd Ave-Btwn 77th & 78th St;1483 2nd Ave;;;;;
Vertigo35;4 3rd Ave-;4 3rd Ave;;;;;
Veselka14;4 2nd Ave-;4 2nd Ave;;;;;
Vespa1625;2nd Ave-;2nd Ave;;;;;
Vezzo;178 Lexington Ave-At 31st St;178 Lexington Ave;;;;;
Via Oreto;1121 1st Ave-Btwn 61st & 62nd St;1121 1st Avenue;;;;;
Via Oreto (CLOSED);1121 1st Ave-Btwn 61st & 62nd St;1121 1st Avenue;;;;;
Via Quadronno;25 E 73rd St-At Madison Ave;25 E 73rd St;;;;;
Viand;673 Madison Ave-At 61st St;673 Madison Ave;;;;;
Viand Cafe;2130 Broadway-At 75th St;2130 Broadway;;;;;
Viand Restaurant;300 E 86th St-At 2nd Ave;300 East 86th St;;;;;
Viang Ping;1393A 2nd Ave-Btwn 72nd & 73rd St;1393A 2nd Ave;;;;;
Vic's Pizza;51 Essex St-At Grand St;51 Essex St;;;;;
Vicino Firenze;1586 2nd Ave-Btwn 82nd & 83rd St;1586 2nd Ave;;;;;
Viet-Nam Banh Mi So;1369 Broome St-Btwn Mott & Elizabeth St;Broome St;;;;;
VietCafe;345 Greenwich St-Btwn Harrison & Jay St;345 Greenwich St;;;;;
Vig;27119 E 27th St-Btwn Lexington & Park Ave;E 27th St;;;;;
Vig 27119 E;27th St-;W 27th St;;;;;
Villa Pizza;263 W 42nd St-At 8th Ave;263 W 42nd St;;;;;
Village Clubhouse Deli;164 Bleecker St-Btwn Sullivan & Thompson St;164 Bleecker St;;;;;
Village62 W;9th St-;W 9th St;;;;;
Villaggio;180 Avenue C-Btwn 11th & 12th St;180 Loisaida Ave;;;;;
Vincent's;119 Mott St-At Hester St;119 Mott St;;;;;
Vinci's;1122 1st Ave-Btwn 61st & 62nd St;1122 1st Avenue;;;;;
Vinci's11;22 1st Ave-;22 1st Avenue;;;;;
Vinegar Hill;3385 Broadway-Btwn 137th & 138th St;3385 Broadway;;;;;
Vinny Vincenz;231 1st Ave-Btwn 13th & 14th St;231 1st Avenue;;;;;
Vino;313201 E 31st St-At 3rd Ave;E 31st St;;;;;
Vino 3132;01 E 31st St-;1 E 31st St;;;;;
Vino Vino;211 W Broadway-At Franklin St;211 W Broadway;;;;;
Vino1268;2nd Ave-;2nd Ave;;;;;
Virage;118 2nd Ave-At 7th St;118 2nd Ave;;;;;
Virage118;2nd Ave-;2nd Ave;;;;;
Vivolo;140 E 74th St-Btwn Lexington & Park Ave;140 E 74th St;;;;;
Vivolo140 E;74th St-;E 74th St;;;;;
Vizio;255 W 55th St-Btwn 8th Ave & Bway;255 W 55th St;;;;;
Vizio255 W;55th St-;W 55th St;;;;;
Voce;41 Madison Ave-;Jerome Mansion;;;;;
Volare;147 W 4th St-Btwn MacDougal St & 6th Ave;147 West 4th Street;;;;;
Volare147 W;4th St-;West 4th Street;;;;;
Vong200 E;54th St-;W 54th St;;;;;
Voza;949 Columbus Ave-Btwn 106th & 107th St;949 Columbus Ave;;;;;
Vynl1491;2nd Ave-;2nd Ave;;;;;
WaWa Canteen;289 Mercer St-At Waverly Pl;289 Mercer St;;;;;
Wafels & Dinges;0Broadway & Spring St, SoHo-;0Broadway & Spring St, SoHo;;;;;
Wafels & DingesBroadway & Spring St, SoHo;-;;;;;;
Wah Mei Pork Chop Fast Food;190 Hester St-Btwn Baxter & Mulberry St;190 Hester St;;;;;
Wai Cafe;201 1st Ave-Btwn 12th & 13th St;201 1st Avenue;;;;;
Wai Lee94;0 Amsterdam Ave-;0 Amsterdam Ave;;;;;
Waikiki Wally's (CLOSED);99 E 2nd St-Btwn 1st Ave & Ave A;99 E 2nd St;;;;;
Wajima;134 E 61st St-At Lexington Ave;134 E 61st St;;;;;
Wajima134 E;61st St-;E 61st St;;;;;
Waldy's;800 6th Ave-Btwn 27th & 28th St;800 6th Ave;;;;;
Waldy's80;0 6th Ave-;0 6th Ave;;;;;
Walker's;16 N Moore St-At Varick St;16 N Moore St;;;;;
Walkers Woods;2135 2nd Ave-Btwn 109th & 110th St;2135 2nd Ave;;;;;
Wallse;344 W 11th St-At Washington St;344 W 11th St;;;;;
Wallse344 W;11th St-;E 11th St;;;;;
Wasabi Lobby;1584 2nd Ave-At 82nd St;1584 2nd Ave;;;;;
Washington Square Diner;150 W 4th St-At 6th Ave;150 West 4th Street;;;;;
Washoku9 E;37th St-;W 37th St;;;;;
Water Street Deli & Pizza;12 Water St-Btwn Broad & Moore St;12 Water St;;;;;
Wave Sushi;538 Madison Ave-At 54th St;538 Madison Ave;;;;;
Wechsler's Currywurst & Bratwurst;120 1st Ave-;120 1st Avenue;;;;;
Weng's Palace;304 W 40th St-Btwn 8th & 9th Ave;304 W 40th St;;;;;
West;85 West St-At Albany St;85 West St;;;;;
West Bank Gourmet;21 West St-At Morris St;21 West St;;;;;
West Branch;2178 Broadway-At 77th St;2178 Broadway;;;;;
West Harlem Fried Chicken;341 Lenox Ave-Btwn 127th & 128th St;341 Lenox Ave;;;;;
West Place;1288 Amsterdam Ave-Btwn 123rd & LaSalle St;1288 Amsterdam Ave;;;;;
West Side Coffee Shop;323 Church St-At Canal St;323 Church St;;;;;
West Side Sushi;717 9th Ave-Btwn 48th & 49th St;717 9th Ave;;;;;
West Way Cafe;2800 Broadway-At 108th St;2800 Broadway;;;;;
West314 W;36th St-;W 36th St;;;;;
West811 W;187th St-;W 187th St;;;;;
Westside Restaurant;2020 Broadway-At 69th St;2020 Broadway;;;;;
Westway;614 9th Ave-Btwn 43rd & 44th St;614 9th Ave;;;;;
Westway61;4 9th Ave-;4 9th Ave;;;;;
Wetbar;130 E 39th St-At Lexington Ave;130 E 39th St;;;;;
Wetbar130 E;39th St-;W 39th St;;;;;
Wharf Bar & Grill;587 3rd Ave-Btwn 38th & 39th St;587 3rd Ave;;;;;
Whiskey Tavern;79 Baxter St-Btwn Bayard & Canal St;79 Baxter St;;;;;
White Rabbit;145 E Houston St-Btwn Forsyth & Eldridge St;145 E Houston St;;;;;
White Star;21 Essex St-Btwn Canal & Hester St;21 Essex St;;;;;
Whole Foods Cafe;95 E Houston St-Btwn Bowery & Chrystie St;95 E Houston St;;;;;
Wholesome Wraps;200 W 40th St-At 7th Ave;200 W 40th St;;;;;
Why Curry?;126 Saint Marks Pl-Btwn 1st Ave & Ave A;126 St Marks Pl;;;;;
Wild Greens;444 Park Ave S-Btwn 30th & 31st St;444 Park Ave S;;;;;
Wildgreen Cafe;1555 3rd Ave-At 88th St;1555 3rd Ave;;;;;
William Street;52 William St-;52 William St;;;;;
Wimpy's I;1822 Amsterdam Ave-Bwtn 150th & 151st St;1822 Amsterdam Ave;;;;;
Wimpy's III;1232 St. Nicholas Ave-Btwn 172nd & 173rd St;1232 St Nicholas Ave;;;;;
Win Hop;51 Bayard St-Btwn Elizabeth St & Bowery;51 Bayard St;;;;;
Win Luck;16 Bowery-;16 Bowery;;;;;
Win Won;10 Liberty Pl-Btwn Maiden Ln & Liberty St;10 Liberty Pl;;;;;
Wine & Roses;286 Columbus Ave-Btwn 73rd & 74th St;286 Columbus Ave;;;;;
Winebar65;2nd Ave-;2nd Ave;;;;;
Wined Up;913 Broadway-Btwn 20th & 21st St;913 Broadway;;;;;
Wing Gong;2109 1st Ave-Btwn 108th & 109th St;2109 1st Avenue;;;;;
Wing Hing;511 Grand St-Btwn E Bway & Columbus St;511 Grand St;;;;;
Wing Shing;2102 2nd Ave-Btwn 108th & 109th St;2102 2nd Ave;;;;;
Wing Sing;1863 Lexington Ave-Btwn 116th & 115th St;1863 Lexington Ave;;;;;
Wing Wah;2308 1st Ave-Btwn 118th &119th St;2308 1st Avenue;;;;;
Winston & Tee Express Jerk Chicken;1257 Park Ave-At E 97th St;1257 Park Ave;;;;;
Wo Hop;17 Mott St-Btwn Mosco St & Chatham Sq;17 Mott St;;;;;
Wok 'N Roll;359 E 68th St-At 1st Ave;359 E 68th St;;;;;
Wok City;153 Amsterdam Ave-Btwn 66th & 67th St;153 Amsterdam Ave;;;;;
Wolf & Lamb;10 E 48th St-Btwn Madison & 5th Ave;10 E 48th St;;;;;
Wolf's Bay Restaurant;32 W 38th St-Btwn 5th & 6th Ave;32 W 38th St;;;;;
Wolfgang's Steakhouse;4 Park Ave-At 33rd St;Park Ave;;;;;
Wong;1217 1st Ave-Btwn 65th & 66th St;1217 1st Avenue;;;;;
Wong1217;1st Ave-;1st Avenue;;;;;
Wonjo;23 W 32nd St-Btwn Bway & 5th Ave;23 W 32nd St;;;;;
Wonjo23 W;32nd St-;W 32nd St;;;;;
Woorijip;12 W 32nd St-Btwn 5th Ave & Bway;12 W 32nd St;;;;;
Word of Mouth Caterers;455 5th Ave-Btwn 39th & 40th St;455 5th Ave;;;;;
Wow Cafe;381 Broadway-At Walker St;381 Broadway;;;;;
Wrap Star;1315 1st Ave-Btwn 70th & 71st St;1315 1st Avenue;;;;;
Wrap-N-Run Grill;1125 Lexington Ave-Btwn 78th & 79th St;1125 Lexington Ave;;;;;
Xai Xai36;5 W 51st St-;5 W 51st St;;;;;
Xe Lua;86 Mulberry St-At Canal St;86 Mulberry St;;;;;
Xiang Dragon;2331 1st Ave-Btwn 119th & 120th St;2331 1st Avenue;;;;;
Xicala;151B Elizabeth St-At Kenmare St;151B Elizabeth St;;;;;
Xo Kitchen;148 Hester St-Btwn Elizabeth St & Bowery;148 Hester St;;;;;
Xunta174;1st Ave-;1st Avenue;;;;;
Yaffa's Tea Room;353 Greenwich St-At Harrison St;353 Greenwich St;;;;;
Yagura;24 E 41st St-Btwn Madison and 5th Ave;24 E 41st St;;;;;
Yagura24 E;41st St-;E 41st St;;;;;
Yama308 E;49th St-;W 49th St;;;;;
Yan Yan;363 3rd Ave-;363 3rd Ave;;;;;
Yan Yan36;3 3rd Ave-;3 3rd Ave;;;;;
Yang Fan;908 St. Nicholas Ave-Btwn 155th & 156th St;908 St Nicholas Ave;;;;;
Yatra32 W;31st St-;E 31st St;;;;;
Yaya Tea Garden;163 Hester St-At Elizabeth St;163 Hester St;;;;;
Yeah Sushi;544 3rd Ave-Btwn 36th St & 37th St;544 3rd Ave;;;;;
Ying Du;273 W 38th St-;273 W 38th St;;;;;
Yip's;136 William St-Btwn Fulton & John St;136 William St;;;;;
Yo Berry;48B Mulberry St-Btwn Worth & Bayard St;48b Mulberry St;;;;;
Yo Sushi;351 2nd Ave-Btwn 20th & 21st St;351 2nd Ave;;;;;
Yoan Ming Garden;1407 Madison Ave-Btwn 97th & 98th St;1407 Madison Ave;;;;;
Yogee Noodle;85 Chrystie St-Btwn Grand & Hester St;85 Chrystie St;;;;;
Yoguruto;204 Spring St-At Sullivan St;204 Spring St;;;;;
Yolato;180 Lafayette St-Btwn Broome & Grand St;180 Lafayette St;;;;;
Yolato168 W;27th St-;W 27th St;;;;;
Yolato228;6 Broadway-;6 Broadway;;;;;
Yorganic (CLOSED);805 3rd Ave-;805 3rd Ave;;;;;
York Villa Pizzeria;1477 York Ave-At 78th St;1477 York Ave;;;;;
Yorkville Meat Emporium;1560 2nd Ave-At 81st St;1560 2nd Ave;;;;;
Yorkville Restaurant;242 E 79th St-Btwn 2nd & 3rd Ave;242 E 79th St;;;;;
Yoshi;201 E Houston St-Btwn Ludlow & Orchard St;201 E Houston St;;;;;
Yoshinoya;255 W 42nd St-Btwn 7th & 8th Ave;255 W 42nd St;;;;;
Young Chow;145 4th Ave-At 13th St;145 4th Ave;;;;;
Your Taste;100 W 23rd St-At 6th Ave;100 W 23rd St;;;;;
YourAsian;90 Chambers St-Btwn Church St & Bwy;90 Chambers St;;;;;
YourAsian (CLOSED);90 Chambers St-Btwn Church St & Bwy;90 Chambers St;;;;;
Yuka;1557 2nd Ave-Btwn 80th & 81st St;1557 2nd Ave;;;;;
Yuka1557;2nd Ave-;2nd Ave;;;;;
Yuki Sushi;656 Amsterdam Ave-At 92nd St;656 Amsterdam Ave;;;;;
Yuko;1531 York Ave-At 81st St;1531 York Ave;;;;;
Yum Yum;3658 9th Ave-Btwn 45th & 46th St;3658 9th Ave;;;;;
Yummy;1758 1st Ave-Btwn 91st & 92nd St;1758 1st Avenue;;;;;
Yummy House;76 3rd Ave-Btwn 11th & 12th St;76 3rd Ave;;;;;
Yummy Noodles;48 Bowery-Btwn Bayard & Canal St;48 Bowery;;;;;
Yummy Station Cafe;28 Canal St-At Rutgers St;28 Canal St;;;;;
Yummy Sushi;30 Rockefeller Plz-Btwn W 49th & W 50th St;30 Rockefeller Plaza;;;;;
Yummy Village;95 MacDougal St-Btwn Bleecker & W 3rd St;95 MacDougal St;;;;;
Yummy1758;1st Ave-;1st Avenue;;;;;
Yung Sun;47 E Broadway-Btwn Catherine & Market St;47 E Broadway;;;;;
Yura On Madison;1292 Madison Ave-At E 92nd St;1292 Madison Ave;;;;;
Yushi;245 Park Ave-47th St btwn Park & Lexington Ave;245 Park Avenue;;;;;
Yuva230 E;58th St-;W 58th St;;;;;
Z Gourmet;100 W 40th St-At 6th Ave;100 W 40th St;;;;;
Z-F Gourmet Deli;165 3rd Ave-Corner of 16th St;165 3rd Ave;;;;;
Za Za;1207 1st Ave-Btwn 65th & 66th St;1207 1st Avenue;;;;;
Za Za1207;1st Ave-;1st Avenue;;;;;
Zabar's Cafe;2245 Broadway-At 80th St;2245 Broadway;;;;;
Zabb City;244 E 13th St-Btwn 2nd & 3rd Ave;244 E 13th St;;;;;
Zafis Luncheonette;500 Grand St-At Willett St;500 Grand St;;;;;
Zampa;306 W 13th St-At 8th Ave;306 W 13th St;;;;;
Zampa306 W;13th St-;E 13th St;;;;;
Zana Restaurant;30 E 30th St-Btwn Park & Madison Ave;30 E 30th St;;;;;
Zanny's Cafe;975 Columbus Ave-At 108th St;975 Columbus Ave;;;;;
Zanzibar;645 9th Ave-At 45th St;645 9th Ave;;;;;
Zarela953;2nd Ave-;2nd Ave;;;;;
Zaro's Bakery;920 Broadway-At 21st St;920 Broadway;;;;;
Zaytuna;17 Battery Pl-Btwn West & Washington St;17 Battery Pl;;;;;
Ze Cafe;398 E 52nd St-;398 E 52nd St;;;;;
Ze Cafe39;8 E 52nd St-;8 E 52nd St;;;;;
Zemi Restaurant;130 9th Ave-Btwn 18th & 19th St;130 9th Ave;;;;;
Zenith;311 W 48th St-At 8th Ave;311 W 48th St;;;;;
Zenith311 W;48th St-;W 48th St;;;;;
Zereoue;13 E 37th St-Btwn 5th & Madison Ave;13 E 37th St;;;;;
Zereoue13 E;37th St-;W 37th St;;;;;
Zest;1441 Broadway-Btwn 40th & 41st St;1441 Broadway;;;;;
Zest (CLOSED);1441 Broadway-Btwn 40th & 41st St;1441 Broadway;;;;;
Zeytinz;24 W 40th St-Btwn 5th & 6th Ave;24 W 40th St;;;;;
Zeytinz24 W;40th St-;W 40th St;;;;;
Zeytuna;59 Maiden Ln-At William St;59 Maiden Ln;;;;;
Zhong Hua;844 Amsterdam Ave-Btwn 101st & 102nd St;844 Amsterdam Ave;;;;;
Zibetto;102 Fulton St-At William St;102 Fulton St;;;;;
Zibetto10;2 Fulton St-;2 Fulton St;;;;;
Ziggiz333;3rd Ave-;3rd Ave;;;;;
Zigolini's Famiglia;66 Pearl St-Btwn Broad St & Coenties Aly;66 Pearl St;;;;;
ZocaloGrand Central Terminal;At-42nd St;At;;;;;
Zoe;90 Prince St-Btwn Bway & Mercer St;90 Prince St;;;;;
Zorba's Pizza;1426 Lexington Ave-Btwn 93rd & 94th St;1426 Lexington Ave;;;;;
Zorzi1 E;35th St-;W 35th St;;;;;
Zucker's Bagels & Smoked Fish;146 Chambers St-Btwn Hudson & Greenwich St;146 Chambers St;;;;;
Zum Schneider;107 Avenue C-At 7th St;107 Loisaida Ave;;;;;
Zutto;77 Hudson St-Btwn Jay & Harrison St;77 Hudson St;;;;;
ama;48 Macdougal St-Btwn Prince & Houston St;48 MacDougal St;;;;;
