0_restaurant;0_neighborhood;0_address;0_addressGoogle;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_address;1_addressGoogle;1_country;1_neighborhood;1_type;1_phone;1_type_r
Better Burger (CLOSED);Upper East Side;;;;;;;;Better Burger (CLOSED); 1612 Second Ave at? 84th St-;1612 2nd Ave;New York;Upper East Side;American;(212-734-6644);
Big John;Lower East Side;;;;;;;;Big John; 199 Orchard St-between Houston and Stanton Sts;199 Orchard St;New York;Lower East Side;American;(212-353-2731);
Blossom Vegetarian Restaurant;Chelsea;187 Ninth Ave btwn 21st and 22nd Sts;187 Ninth Ave btwn 21st and 22nd Sts;;;;;;Blossom Vegetarian Restaurant; 187 Ninth Ave-between 21st and 22nd Sts;187 9th Ave;New York;Chelsea;Vegetarian & Organic;(212-627-1144);
Blue Point;Midtown West;662 Ninth Ave at 46th St;662 9th Ave;;;;;;Blue Point; 662 Ninth Ave-at 46th St;662 9th Ave;New York;Midtown West;French;(212-247-8040);
Boka;East Village;;;;;;;;Boka; 9 St. Marks Pl-between Second and Third Aves;9 St Marks Pl;New York;East Village;Korean;(212-228-2887);
Bombay Frankie;Upper West Side;994 Amsterdam Ave btwn 109th and 110th...;994 Amsterdam Ave btwn 109th and 110th...;;;;;;Bombay Frankie; 994 Amsterdam Ave-between 109th and 110th Sts;994 Amsterdam Ave;New York;Upper West Side;Indian;(212-666-1500);
Braeburn;Greenwich Village;117 Perry St btwn Greenwich and Hudson...;117 Perry St;;;;;;Braeburn; 117 Perry St-at Greenwich St;117 Perry St;New York;Greenwich Village;American;(212-255-0696);
Bryant Park Cafe and Grill;Midtown West;;;;;;;;Bryant Park Cafe and Grill; 25 W 40th St-between Fifth and Sixth Aves;25 W 40th St;New York;Midtown West;American;(212-840-6500);
Burger Heaven;Midtown East;802 Lexington Ave at 62nd St;802 Lexington Ave;;;;;;Burger Heaven; 20 E 49th St-between Fifth and Madison Aves;20 E 49th St;New York;Midtown East;American;(212-755-2166);
Butterfield 8;Midtown East;5 E 38th St btwn Fifth and Madison Aves;5 E 38th St btwn Fifth and Madison Aves;;;;;;Butterfield 8; 5 E 38th St-between Fifth and Madison Aves;5 E 38th St;New York;Midtown East;American;(212-679-0646);
Cafe Katja;Lower East Side;;;;;;;;Cafe Katja; 79 Orchard St-between Broome and Grand Sts;79 Orchard St;New York;Lower East Side;Eastern European;(212-219-9545);
Caffe Emilia;East Village;;;;;;;;Caffe Emilia; 139 First Ave-between St. Marks Pl and E 9th St;139 1st Avenue;New York;East Village;Italian;(212-388-1234);
Carbone;Midtown West;331 W 38th St btwn Eight and Ninth Aves;331 W 38th St;;;;;;Carbone; 331 W 38th St-between Eight and Ninth Aves;331 W 38th St;New York;Midtown West;Italian;(212-290-2625);
Carne Vale;East Village;;;;;;;;Carne Vale; 46 Ave B-between 3rd and 4th Sts;46 Avenue B;New York;East Village;Brazilian;(212-777-4686);
Cavatappo Wine Bar;Upper East Side;1728 Second Ave btwn 89th and 90th Sts;1728 Second Ave btwn 89th and 90th Sts;;;;;;Cavatappo Wine Bar; 1728 Second Ave-between 89th and 90th Sts;1728 2nd Ave;New York;Upper East Side;Italian;(212-426-0919);
Central Park Boathouse Restaurant;Upper East Side;Central Park Lake at 72nd St;Central Park Lake at 72nd St;;;;;;Central Park Boathouse Restaurant;Central Park Lake -park entrance on Fifth Aveat 72nd St;;New York;Upper East Side;Seafood;(212-517-2233);
Chai Home Kitchen;Midtown West;;;;;;;;Chai Home Kitchen; 930 Eighth Ave-at 55th St;930 8th Ave;New York;Midtown West;Asian: Pan-Asian;(212-707-8778);
Chat Noir;Upper East Side;;;;;;;;Chat Noir; 22 E 66th St-between Fifth and Madison Aves;22 E 66th St;New York;Upper East Side;French;(212-794-2428);
ChikaLicious Puddin';East Village;;;;;;;;ChikaLicious Puddin';204 E 10th St-At 2nd Ave;204 E 10th St;New York;East Village;;(212-475-0929);Food or Beverage Shop
Cho Cho San;Greenwich Village;;;;;;;;Cho Cho San; 15 W 8th St-between Fifth and Sixth Aves;15 W 8th St;New York;Greenwich Village;Japanese;(212-473-3333);
Cipolla Rossa;Upper East Side;1762 1st Ave btwn 91st and 92nd Sts;1762 1st Avenue;;;;;;Cipolla Rossa; 1762 First Ave-between 91st and 92nd Sts;1762 1st Avenue;New York;Upper East Side;Italian;(212-996-9426);
City Lobster and Crab Company;Midtown West;;;;;;;;City Lobster and Crab Company; 121 W 49th St-between Sixth and Seventh Aves;121 W 49th St;New York;Midtown West;Seafood;(212-354-1717);
Clubhouse Cafe;Midtown West;155 West 46th St btwn 6th and 7th Aves;155 West 46th St btwn 6th and 7th Aves;;;;;;Clubhouse Cafe; 155 W 46th St-between Sixth and Seventh Aves;155 W 46th St;New York;Midtown West;Kosher;(212-354-3838);
Core One Nine One (CLOSED);Lower East Side;;;;;;;;Core One Nine One (CLOSED); 191 Orchard St-between Houston and Stanton Sts;191 Orchard St;New York;Lower East Side;American Creative;(212-228-9888);
Da Silvano Bistecca;Greenwich Village;;;;;;;;Da Silvano Bistecca; 260 Sixth Ave-between Bleecker and W Houston Sts;260 6th Ave;New York;Greenwich Village;Steakhouses;(212-844-0282);
Dakshin Indian Bistro;Upper East Side;;;;;;;;Dakshin Indian Bistro; 1713 First Ave-between 88th and 89th Sts;1713 1st Avenue;New York;Upper East Side;Indian;(212-987-9839);
Dardanel;Midtown East;1071 1st Ave btwn 58th and 59th Sts;1071 1st Ave btwn 58th and 59th Sts;;;;;;Dardanel; 1071 First Ave-between 58th and 59th Sts;1071 1st Avenue;New York;Midtown East;Mediterranean;(212-888-0809);
Dirty Bird to Go;Chelsea;204 W 14th St btwn Seventh and Eighth...;204 W 14th St;;;;;;Dirty Bird to Go; 204 W 14th St-between Seventh and Eighth Aves;204 W 14th St;New York;Chelsea;American Regional;(212-620-4836);
Diwan Restaurant;Midtown East;;;;;;;;Diwan Restaurant; 148 E 48th St-between Lexington and Third Aves;148 E 48th St;New York;Midtown East;Indian;(212-593-5425);
Django (CLOSED);Midtown East;;;;;;;;Django (CLOSED); 480 Lexington Ave-at 46th St;480 Lexington Ave;New York;Midtown East;Mediterranean;(212-871-6600);
Ducale;Upper West Side;392 Columbus Ave at 79th St;392 Columbus Ave;;;;;;Ducale; 392 Columbus Ave-at 79th St;392 Columbus Ave;New York;Upper West Side;Italian;(212-787-7150);
Earthen Oven;Upper West Side;;;;;;;;Earthen Oven; 53 W 72nd St-at Columbus Ave;53 W 72nd St;New York;Upper West Side;Indian;(212-579-8888);
Elaine's;Upper East Side;;;;;;;;Elaine's;1703 2nd Ave-Btwn 88th & 89th St;1703 2nd Ave;New York;Upper East Side;;(212-534-8103);Italian
Elyssa Dido;Lower East Side;85 Orchard St at Broome St;85 Orchard St;;;;;;Elyssa Dido; 85 Orchard St-between Broome and Grand Sts;85 Orchard St;New York;Lower East Side;Middle Eastern;(212-991-9880);
Fabio Piccolo Fiore;Midtown East;230 E 44th St at Second Ave;230 E 44th St # 1;;;;;;Fabio Piccolo Fiore; 230 E. 44th St-at Second Ave;230 E 44th St;New York;Midtown East;Eclectic;(212-922-0581);
Iron Sushi;Upper East Side;355 E 78th St btwn First and Second...;355 E 78th St;;;;;;Iron Sushi; 355 E 78th St-between First and Second Aves;355 E 78th St;New York;Upper East Side;Japanese;(212-772-7680);
Jeeb;Lower East Side;154 Orchard St btwn Stanton and...;154 Orchard St btwn Stanton and...;;;;;;Jeeb; 154 Orchard St-between Stanton and Rivington Sts;154 Orchard St;New York;Lower East Side;Thai;(212-677-4101);
JoeDoe;East Village;45 East 1st St btwn 1st and 2nd Aves;45 East 1st St btwn 1st and 2nd Aves;;;;;;JoeDoe; 45 E 1st St-between First and Second Aves;45 E 1st St;New York;East Village;American;(212-780-0262);
Kafana;East Village;116 Ave C btwn E 7th and 8th Sts;116 Loisaida Ave;;;;;;Kafana; 116 Ave C-between 7th and 8th Sts;116 Loisaida Ave;New York;East Village;Eastern European;(212-353-8000);
Kambi Ramen House;East Village;;;;;;;;Kambi Ramen House; 351 E 14th St-between First and Second Aves;351 E 14th St;New York;East Village;Japanese;(212-228-1366);
Kura Sushi;East Village;;;;;;;;Kura Sushi; 67 First Ave-between 4th and 5th Sts;67 1st Avenue;New York;East Village;Japanese;(212-979-6646);
L.E.S. Sandwicherie;Lower East Side;;;;;;;;L.E.S. Sandwicherie; 65 Rivington St-between Allen and Eldridge Sts;65 Rivington St;New York;Lower East Side;Cafés;(212-388-1815);
Le Charlot;Upper East Side;19 E 69th St btwn Madison and Park Aves;19 E 69th St btwn Madison and Park Aves;;;;;;Le Charlot; 19 E 69th St-between Madison and Park Aves;19 E 69th St;New York;Upper East Side;French;(212-794-1628);
Le Tableau (CLOSED);East Village;511 E 5th St btwn Aves A and B;511 E 5th St btwn Aves A and B;;;;;;Le Tableau (CLOSED); 511 E 5th St-between Aves A and B;511 E 5th St;New York;East Village;French;(212-260-1333);
Luxee;Lower East Side;;;;;;;;Luxee; 6 Clinton St-between E Houston and Stanton Sts;6 Clinton St;New York;Lower East Side;Japanese;(212-375-1796);
Madaleine Mae (CLOSED);Upper West Side;461 Columbus Ave at 82nd St;461 Columbus Ave;;;;;;Madaleine Mae (CLOSED); 461 Columbus Ave-at 82nd St;461 Columbus Ave;New York;Upper West Side;American;(212-496-3000);
Maia;East Village;98 Ave B btwn 6th and 7th Sts;98 Ave B btwn 6th and 7th Sts;;;;;;Maia; 98 Ave B-between 6th and 7th Sts;98 Avenue B;New York;East Village;Turkish;(212-358-1166);
Mamoun's Falafel;Greenwich Village;;;;;;;;Mamoun's Falafel;119 MacDougal St-Btwn Bleecker & W 3rd St;119 MacDougal St;New York;Greenwich Village;;(212-674-8685);Middle Eastern
Maruzzella;Upper East Side;;;;;;;;Maruzzella; 1483 First Ave-between 77th and 78th Sts;1483 1st Avenue;New York;Upper East Side;Italian;(212-988-8877);
Patisserie des Ambassades;Chelsea;161 W 22nd St btwn Sixth and Seventh...;161 W 22nd St;;;;;;Patisserie des Ambassades; 161 W 22nd St-between Sixth and Seventh Aves;161 W 22nd St;New York;Chelsea;African: Senegalese;(212-255-5101);
Philly Slim's Cheesesteaks;Midtown West;789 Ninth Ave btwn 52nd and 53rd Sts;789 Ninth Ave btwn 52nd and 53rd Sts;;;;;;Philly Slim's Cheesesteaks;789 9th Ave-Btwn 52nd & 53rd St;789 9th Ave;New York;Midtown West;;(212-333-3042);American
Pio Pio Salon;Upper West Side;702 Amsterdam at 94th St;702 Amsterdam Ave;;;;;;Pio Pio Salon; 702 Amsterdam-at 94th St;702 Amsterdam Ave;New York;Upper West Side;Peruvian;(212-665-3000);
Pizza Gruppo;East Village;186 Ave B btwn 11th and 12th Sts;186 Ave B btwn 11th and 12th Sts;;;;;;Pizza Gruppo; 186 Ave B-between 11th and 12th Sts;186 Avenue B;New York;East Village;Italian: Pizza;(212-995-2100);
Public House;Midtown East;140 E 41st St btwn Lexington and Third...;140 E 41st St;;;;;;Public House; 140 E 41st St-between Lexington and Third Aves;140 E 41st St;New York;Midtown East;American;(212-682-3710);
R.U.B.;Chelsea;208 W 23rd St btwn Seventh and Eighth...;208 W 23rd St;;;;;;R.U.B.; 208 W 23rd St-between Seventh and Eighth Aves;208 W 23rd St;New York;Chelsea;Barbeque;(212-524-4300);
Rainbow Room Grill (CLOSED);Midtown West;;;;;;;;Rainbow Room Grill (CLOSED);30 Rockefeller Plaza -between 49th and 50th Sts65th floor;;New York;Midtown West;Italian;(212-632-5100);
Red Bamboo;Greenwich Village;140 W 4th St btwn MacDougal St and...;140 West 4th Street;;;;;;Red Bamboo; 140 W 4th St-between MacDougal St and Sixth Ave;140 West 4th Street;New York;Greenwich Village;Vegetarian & Organic;(212-260-7049);
Restaurant Ichimura;Midtown East;1026 Second Ave btwn 54th and 55th Sts;W 55th St;;;;;;Restaurant Ichimura; 1026 Second Ave-between 54th and 55th Sts;1026 2nd Ave;New York;Midtown East;Japanese;(212-355-3557);
Retsina;Midtown East;;;;;;;;Retsina; 115 E 60th St-between Lexington and Park Aves;115 E 60th St;New York;Midtown East;Greek;(212-486-8826);
Seoul Station;East Village;81 St Marks Pl btwn 1st and 2nd Aves;81 St Marks Pl btwn 1st and 2nd Aves;;;;;;Seoul Station; 81 St. Marks Pl-between First and Second Aves;81 St Marks Pl;New York;East Village;Korean;(212-979-9300);
Shanghai Mong;Midtown West;;;;;;;;Shanghai Mong; 30 W 32nd St-between Broadway and Fifth Ave;30 W 32nd St;New York;Midtown West;Chinese;(212-629-6450);
Silverleaf Tavern;Midtown East;70 Park Ave at 38th St;70 Park Ave;;;;;;Silverleaf Tavern;70 Park Hotel -70 Park Aveat 38th St;;New York;Midtown East;American;(212-973-2550);
Singas Famous Pizza;East Village;;;;;;;;Singas Famous Pizza; 176 Second Ave-between 11th and 12th Sts;176 2nd Ave;New York;East Village;Italian: Pizza;(212-253-7300);
Slice;Upper East Side;1413 Second Ave btwn 73rd and 74th Sts;1413 Second Ave btwn 73rd and 74th Sts;;;;;;Slice; 1413 Second Ave-between 73rd and 74th Sts;1413 2nd Ave;New York;Upper East Side;Italian: Pizza;(212-249-4353);
Song 7.2;East Village;;;;;;;;Song 7.2; 117 Second Ave-at 7th St;117 2nd Ave;New York;East Village;Asian: Pan-Asian;(212-777-1286);
Square Meal;Upper East Side;30 E 92nd St btwn 5th Ave and Madison...;30 E 92nd St btwn 5th Ave and Madison...;;;;;;Square Meal; 30 E 92nd St-between Fifth and Madison Aves;30 E 92nd St;New York;Upper East Side;American;(212-860-9872);
Symposium;Upper West Side;544 W 113th St btwn Amsterdam Ave and...;544 W 113th St;;;;;;Symposium; 544 W 113th St-between Amsterdam Ave and Broadway;544 W 113th St;New York;Upper West Side;Greek;(212-865-1011);
Tet;East Village;83 Ave A btwn 5th and 6th Sts;6th Ave;;;;;;Tet; 83 Ave A-between 5th and 6th Sts;83 Avenue A;New York;East Village;Vietnamese;(212-253-0800);
Thai on Clinton;Lower East Side;;;;;;;;Thai on Clinton; 6 Clinton St-between Houston and Stanton Sts;6 Clinton St;New York;Lower East Side;Thai;(212-228-9388);
The Carlyle Restaurant;Upper East Side;35 E 76th St at Madison Ave;35 E 76th St;;;;;;The Carlyle Restaurant; 35 E 76th St-at Madison Ave;35 E 76th St;New York;Upper East Side;French;(212-744-1600);
The Morgan Dining Room;Midtown East;;;;;;;;The Morgan Dining Room; 225 Madison Ave-at 36th St;225 Madison Ave;New York;Midtown East;American;(212-683-2130);
The Noho Star;East Village;;;;;;;;The Noho Star; 330 Lafayette St-at Bleecker St;330 Lafayette St;New York;East Village;American;(212-925-0070);
The Palm Too;Midtown East;;;;;;;;The Palm Too; 840 Second Ave-between 44th and 45th Sts;840 2nd Ave;New York;Midtown East;Steakhouses;(212-697-5198);
The Sheep Meadow Cafe;Upper West Side;;;;;;;;The Sheep Meadow Cafe; Entrance on Central Park West-at 69th St;Entrance on Central Park West;New York;Upper West Side;American;(212-396-4100);
Tides;Lower East Side;102 Norfolk St at Delancey St;The Back Room;;;;;;Tides; 102 Norfolk St-at Delancey St;The Back Room;New York;Lower East Side;Seafood;(212-254-8855);
Tokyo Pop (CLOSED);Upper West Side;;;;;;;;Tokyo Pop (CLOSED); 2728 Broadway-at 104th St;2728 Broadway;New York;Upper West Side;Japanese;(212-932-1000);
Udon West;Midtown East;;;;;;;;Udon West; 150 E 46th St-between Lexington and Third Aves;150 E 46th St;New York;Midtown East;Japanese;(212-922-9677);
Village Yokocho;East Village;;;;;;;;Village Yokocho;8 Stuyvesant St -between Third Ave and 9th Stsecond floor;;New York;East Village;Japanese;(212-598-3041);
Vino 313;Midtown East;;;;;;;;Vino 313; 201 E 31st St-between Second and Third Aves;201 E 31st St;New York;Midtown East;Italian;(212-725-8466);
Wawa Canteen;Greenwich Village;;;;;;;;Wawa Canteen; 289 Mercer St-at Waverly Pl;289 Mercer St;New York;Greenwich Village;Korean;(212-473-6162);
Yerba Buena;East Village;23 Avenue A at E 2nd St;23 Avenue A;;;;;;Yerba Buena; 23 Ave A-between 1st and 2nd Sts;23 Avenue A;New York;East Village;Latin American;(212-529-2919);
Zen Burger (CLOSED);Midtown East;465 Lexington Ave btwn 45th and 46th Sts;465 Lexington Ave btwn 45th and 46th Sts;;;;;;Zen Burger (CLOSED); 465 Lexington Ave-between 45th and 46th Sts;465 Lexington Ave;New York;Midtown East;American;(212-661-6080);
bar.vetro;Midtown East;222 E 58th St btwn Second and Third Aves;222 E 58th St;;;;;;bar.vetro; 222 E 58th St-between Second and Third Aves;222 E 58th St;New York;Midtown East;Italian;(212-308-0112);
Alfredo's of Rome;Midtown West;;nan;;;;;;Alfredo's of Rome;4 W 49th St-Btwn Rockefeller Plaza & 5th Ave;4 W 49th St;New York;Midtown West;;(212-397-0100);Italian
Perry St;West Village;176 Perry St;176 Perry St;New York;NY;;$$$$;French;Perry St;176 Perry St-At West St;176 Perry St;New York;West Village;;(212-352-1900);American
Re Sette;Midtown West;;nan;;;;;;Re Sette; 7 W 45th St-between Fifth and Sixth Aves;7 W 45th St;New York;Midtown West;Italian;(212-221-7530);
212 Restaurant & Bar;Upper East Side;;nan;;;;;;212 Restaurant & Bar; 133 E 65th St-between Park and Lexington Aves;133 E 65th St;New York;Upper East Side;American Creative;(212-249-6565);
Accademia Di Vino;Upper East Side;;nan;;;;;;Accademia Di Vino;1081 Third Avenue;1081 3rd Ave;New York;Upper East Side;;(212-888-6333);Italian
B. Cafe;Upper East Side;;nan;;;;;;B. Cafe; 240 E 75th St-between Second and Third Aves;240 E 75th St;New York;Upper East Side;Belgian;(212-249-3300);
Hudson River Cafe;Harlem;697 West 133rd ST.;697 W 133rd St;New York;NY;;$$;American;Hudson River Cafe; 697 W 133rd St-at Riverside Dr;697 W 133rd St;New York;Harlem;American;(212-491-9111);
Gordon Ramsay at The London;Midtown West;;151 W 54th St;;;;;;Gordon Ramsay at The London;The London NYC Hotel -151 W 54th Stbetween Sixth and Seventh Aves;;New York;Midtown West;Eclectic;(212-468-8888);
Lazzara's Pizza Cafe;Midtown West;;221 W 38th St #7th;;;;;;Lazzara's Pizza Cafe;221 W 38th St-Btwn 7th & 8th Ave;221 W 38th St;New York;Midtown West;;(212-944-7792);Italian: Pizza
Sachiko's on Clinton;Lower East Side;;25 Clinton St btwn Houston and Stanton...;;;;;;Sachiko's on Clinton;25 Clinton St-Btwn Houston & Stanton St;25 Clinton St;New York;Lower East Side;;(212-253-2900);Japanese
Taam Tov;Midtown West;;41 W 47th St;;;;;;Taam Tov;41 W 47th St -between Fifth and Sixth Avessecond floor;;New York;Midtown West;Kosher;(212-768-8001);
China Fun;Upper East Side;246 Columbus Ave;246 Columbus Ave;New York;NY;;$;Chinese;China Fun; 1221 Second Ave-at 64th St;1221 2nd Ave;New York;Upper East Side;Chinese;(212-752-0810);
Pio Pio;Upper East Side;;nan;;;;;;Pio Pio; 1746 First Ave-between 90th and 91st Sts;1746 1st Avenue;New York;Upper East Side;Peruvian;(212-426-5800);
Sake Hana;Upper West Side;;466 Amsterdam Ave btwn 82nd and 83rd Sts;;;;;;Sake Hana; 466 Amsterdam Ave-between 82nd and 83rd Sts;466 Amsterdam Ave;New York;Upper East Side;Japanese;(212-327-0582);
Candle Café;Upper East Side;1307 Third Avenue;1307 3rd Ave;New York;NY;;$;Vegetarian;Candle Café; 1307 Third Ave-between 74th and 75th Sts;1307 3rd Ave;New York;Upper East Side;Vegetarian & Organic;(212-472-0970);
Good Enough to Eat;Upper West Side;483 West Amsterdam Avenue;483 Amsterdam Ave;New York;NY;;$;American;Good Enough to Eat; 483 Amsterdam Ave-between 83rd and 84th Sts;483 Amsterdam Ave;New York;Upper West Side;American;(212-496-0163);
Jewel of India;Midtown West;15 W 44th St;15 W 44th St;New York;NY;;$$;Indian;Jewel of India; 15 W 44th St-between Fifth and Sixth Aves;15 W 44th St;New York;Midtown West;Indian;(212-869-5544);
La Taza de Oro;Chelsea;96 Eighth Ave;96 8th Ave;New York;NY;;$;Caribbean;La Taza de Oro; 96 Eighth Ave-between 14th and 15th Sts;96 8th Ave;New York;Chelsea;Caribbean: Puerto Rican;(212-243-9946);
Brooklyn Diner USA;Midtown West;;nan;;;;;;Brooklyn Diner USA; 155 W 43rd St-between Sixth Ave and Broadway;155 W 43rd St;New York;Midtown West;American;(212-265-5400);
Ben Benson's Steakhouse;Midtown West;;nan;;;;;;Ben Benson's Steakhouse;123 West 52nd Street;123 W 52nd St;New York;Midtown West;;(212-581-8888);Steakhouses
Benjamin Steakhouse;Midtown East;;nan;;;;;;Benjamin Steakhouse;Manhattan · 52 East 41 Street;52 E 41st St;New York;Midtown East;;(212-297-9177);Steakhouses
Gallagher's Steakhouse;Midtown West;;228 W 52nd St;;;;;;Gallagher's Steakhouse;228 W 52nd St-Btwn 8th Ave & Bway;228 W 52nd St;New York;Midtown West;;(212-245-5336);Steakhouses
Inside Park at St. Bart’s;Midtown East;;109 E 50th St;;;;;;Inside Park at St. Bart’s; 109 E 50th St-at Park Ave;109 E 50th St;New York;Midtown East;American;(212-593-3333);
A.O.C. Bedford;West Village;;;;;;;;A.O.C.; 314 Bleecker St-at Grove St;314 Bleecker St;New York;West Village;French;(212-675-9463);
Al Bustan Restaurant;Midtown East;827 Third Ave;827 3rd Ave;New York;NY;Middle Eastern;$$$;;Al Bustan; 827 Third Ave-between 50th and 51st Sts;827 3rd Ave;New York;Midtown East;Middle Eastern;(212-759-5933);
Ammos Estiatorio;Midtown East;52 Vanderbilt Ave;52 Vanderbilt Ave;New York;NY;Greek;$$$;;Ammos; 52 Vanderbilt Ave-at 45th St;52 Vanderbilt Ave;New York;Midtown East;Greek;(212-922-9999);
Avra Estiatorio;Midtown East;141 E 48th St;141 E 48th St;New York;NY;Greek;$$$$;;Avra; 141 E 48th St-between Lexington and Third Aves;141 E 48th St;New York;Midtown East;Greek;(212-759-8550);
Black Iron Burger Shop;East Village;540 E 5th St;540 E 5th St;New York;NY;American;$$$;;Black Iron Burger;540 E 5th St.;540 E 5th St;New York;East Village;;;
Boi To Go;Midtown East;800 Second Ave;800 2nd Ave;New York;NY;Vietnamese;$$;;Boi Sandwich Shop; 708 Third Ave-between 44th and 45th Sts;708 3rd Ave;New York;Midtown East;Vietnamese;(212-682-1117);
Brasserie 8 1/2;Midtown West;9 W 57th St;East River Realty Company;New York;NY;French;$$$$;;Brasserie 8 1 2;9 West 57th Street;East River Realty Company;New York;Midtown West;;(212-829-0812);French
Capital Grille;Midtown East;155 E 42nd St;155 E 42nd St;New York;NY;Steakhouse;$$$$;;Capital Grill;155 East 42;155 E 42nd St;New York;Midtown East;;(212-953-2000);Steakhouses
Cellini Restaurant;Midtown East;65 E 54th St;65 E 54th St;New York;NY;Italian;$$$;;Cellini; 65 E 54th St-between Madison and Park Aves;65 E 54th St;New York;Midtown East;Italian;(212-751-1555);
Corner Bistro;Greenwich Village;;;;;;;;Cornelia Street Café; 29 Cornelia St-between Bleecker and W 4th Sts;29 Cornelia St;New York;Greenwich Village;;(212-989-9319);American
Crema Restaurante;Chelsea;111 West 17th Street;111 W 17th St;New York;NY;Mexican;$$$;;Crema; 111 W 17th St-between Sixth and Seventh Aves;111 W 17th St;New York;Chelsea;Mexican;(212-691-4477);
Elaine's Restaurant;Upper East Side;1703 Second Ave;1703 2nd Ave;New York;NY;American;$$$;;Elaine's;1703 2nd Ave-Btwn 88th & 89th St;1703 2nd Ave;New York;Upper East Side;;(212-534-8103);Italian
En Japanese Brasserie;West Village;435 Hudson St;435 Hudson St;New York;NY;Japanese;$$$;;En;435 Hudson St.;435 Hudson St;New York;West Village;;;
Frank Restaurant;East Village;88 Second Ave;88 2nd Ave;New York;NY;Italian;$;;Frank; 88 Second Ave-between 5th and 6th Sts;88 2nd Ave;New York;East Village;Italian;(212-420-0202);
Gallaghers;Midtown West;228 W 52nd St;228 W 52nd St;New York;NY;Steakhouse;$$$$;;Gallagher's Steakhouse;228 W 52nd St-Btwn 8th Ave & Bway;228 W 52nd St;New York;Midtown West;;(212-245-5336);Steakhouses
I Coppi;East Village;432 E Ninth St;432 E 9th St;New York;NY;Italian;$$$;;I Copi;432 East 9th Street;432 E 9th St;New York;East Village;;(212-254-2263);Italian
Island Burgers & Shakes;Midtown West;766 9th Ave;766 9th Ave;New York;NY;American;$;;Island Burger and Shakes; 766 Ninth Ave-between 50th and 51st Sts;766 9th Ave;New York;Midtown West;American;(212-307-7934);
Jules;East Village;65 St Marks Pl;65 St Marks Pl;New York;NY;French;$$;;Julep; 14 Ave A-between 1st and 2nd Sts;14 Avenue A;New York;East Village;American Regional;(212-254-2442);
Katz's Delicatessen;Lower East Side;205 East Houston Street;205 E Houston St;New York;NY;Deli;$;;Katz's Deli;205 E Houston St.;205 E Houston St;New York;Lower East Side;;;
Keens Steakhouse;Midtown West;72 W 36th St;72 W 36th St;New York;NY;Steakhouse;$$$;;Keens Steak House;72 W 36th St;72 W 36th St;New York;Midtown West;;(212-947-3636);Steakhouses
La Pizza Fresca Ristorante;Flatiron;;;;;;;;La Pizza Fresca;31 E 20th St.;31 E 20th St;New York;Flatiron;;;
Land Thai Kitchen;Upper West Side;450 Amsterdam Ave;450 Amsterdam Ave;New York;NY;Thai;$$;;Land Northeast Thai;1565 2nd Ave-Btwn 81st & 82nd St;1565 2nd Ave;New York;Upper East Side;;(212-439-1847);Thai
Landmarc;Upper West Side;10 Columbus Circle, 3rd floor;10 Columbus Cir 3rd floor;New York;NY;French;$$$;;Land Thai Kitchen; 450 Amsterdam Ave-at 82nd St;450 Amsterdam Ave;New York;Upper West Side;Thai;(212-501-8121);
Le Bernardin;Midtown West;155 W 51st St;155 W 51st St;New York;NY;Seafood;$$$$$;;Le Beaujolais; 364 W 46th St-between Eighth and Ninth Aves;364 W 46th St;New York;Midtown West;French;(212-974-7464);
Malatesta Trattoria;West Village;649 Washington St;649 Washington St;New York;NY;Italian;$$;;Malatesta;649 Washington St.;649 Washington St;New York;West Village;;;
Momofuku Noodle Bar;East Village;171 First Ave.;171 1st Avenue;New York;NY;Chinese;$$$;;Momofuku Milk Bar and Bakery;207 Second Ave.;207 2nd Ave;New York;East Village;;;
Nobu Fifty Seven;Midtown West;40 W 57th St;40 W 57th St;New York;NY;Japanese;$$$$$;;Nobu 57; 40 W 57th St-between Fifth and Sixth Aves;40 W 57th St;New York;Midtown West;Japanese;(212-757-3000);
Norma's;Midtown West;118 West 57th Street;118 W 57th St;New York;NY;American;$$;;Norimaki; 224 W 35th St-between Seventh and Eighth Aves;224 W 35th St;New York;Midtown West;Japanese;(212-967-8177);
Oriental Garden;Chinatown;14 Elizabeth St;14 Elizabeth St;New York;NY;Chinese;$;;Oriental Food Restaurant;103-105 Mott St.;103 Mott St;New York;Chinatown;;;
Pam Real Thai Food;Midtown West;404 W 49th St;404 W 49th St;New York;NY;Asian;$;;Pam Real Thai Encore; 402 W 47th St-between Ninth and Tenth Aves;402 W 47th St;New York;Midtown West;Thai;(212-315-4441);
Pure Food and Wine;Gramercy / Flatiron;;;;;;;;Pure Food And Wine;54 Irving Place;54 Irving Pl;New York;Gramercy/Flatiron;;(212-477-1010);Vegetarian & Organic
Rack and Soul;Upper West Side;2818 Broadway;2818 Broadway;New York;NY;Barbecue;$$;;Rack & Soul; 2818 Broadway-at 109th St;2818 Broadway;New York;Upper West Side;American Regional;(212-222-4800);
Schiller's Restaurant;Lower East Side;131 Rivington St;131 Rivington St;New York;NY;International;$$;;Schiller's Liquor Bar;131 Rivington St-At Norfolk St;131 Rivington St;New York;Lower East Side;;(212-260-4555);Eclectic
Sparks Steak House;Midtown East;210 E 46th Street;210 E 46th St;New York;NY;Steakhouse;$$$;;Sparks; 210 E 46th St-between Second and Third Aves;210 E 46th St;New York;Midtown East;Steakhouses;(212-687-4855);
