0_restaurant;0_neighborhood;0_address;0_addressGoogle;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_neighborhood;1_address;1_addressGoogle;1_country;1_country_code;1_type;1_cost;1_type_r;1_phone
;;;;;;;;;Salumeria Rosi Parmacotto;West 70s;283 Amsterdam Ave.;283 Amsterdam Ave;New York;NY;;;Italian;(212-877-4800)
;;;;;;;;;Shabu-Tatsu Downtown;East Village;216 E 10th St.;216 E 10th St;New York;NY;;;Japanese;(212-477-2972)
;;;;;;;;;Shanghai Café;Chinatown;100 Mott St.;100 Mott St;New York;NY;;;nan;nan
;;;;;;;;;Singapore Café;Chinatown;69 Mott St.;69 Mott St;New York;NY;;;nan;nan
;;;;;;;;;Sophie's Cuban Cuisine;Financial District;96 Chambers St.;96 Chambers St;New York;NY;;;nan;nan
;;;;;;;;;Spring Street Natural Restaurant;Soho;62 Spring St.;62 Spring St;New York;NY;;;Vegetarian & Organic;(212-966-0290)
;;;;;;;;;Sugar Sweet Sunshine Bakery;Lower East Side;126 Rivington St.;126 Rivington St;New York;NY;;;Food or Beverage Shop;(212-995-1960)
;;;;;;;;;Takahatchi;East Village;85 Ave. A;85 Avenue A;New York;NY;;;nan;nan
;;;;;;;;;Tello's Ristorante;Chelsea;263 W 19th St.;263 W 19th St;New York;NY;;;nan;nan
;;;;;;;;;Thalassa Restuarant;Tribeca;179 Franklin St.;179 Franklin St;New York;NY;;;Greek;(212-941-7661)
;;;;;;;;;Yaffa Café;East Village;97 St. Marks Pl.;97 St Marks Pl;New York;NY;;;American;(212-674-9302)
;;;;;;;;;Yuca Bar & Restaurant;East Village;111 Avenue A;111 Avenue A;New York;NY;;;Latin American;(212-982-9533)
5 Ninth;Meatpacking District;5 Ninth Ave;5 9th Ave;New York;NY;International;$$$;;5 Ninth Restaurant;Meatpacking District;5 Ninth Avenue;5 9th Ave;New York;NY;;;Eclectic;(212-929-9460)
A Cafe;Upper West Side;973 Columbus Avenue;973 Columbus Ave;New York;NY;French;$$$;;A Cafe And Wine Room;Upper West Side;973 Columbus Ave-At 108th St;973 Columbus Ave;New York;NY;;;Eclectic;(212-222-2033)
Alonso's Steakhouse;Chelsea;265 West 20th St;265 W 20th St;New York;NY;Steakhouse;$$$;;Alonso’s Steakhouse;Chelsea; 265 W 20th St-between Seventh and Eighth Aves;265 W 20th St;New York;NY;Steakhouses;;;(212-675-7749)
Alta;Greenwich Village;64 West 10th Street;64 W 10th St;New York;NY;Mediterranean;$$$;;Alta Restaurant;Greenwich Village;64 West 10th Street;64 W 10th St;New York;NY;;;Mediterranean;(212-505-7777)
Azucar;Midtown West;939 Eighth Avenue;939 8th Ave;New York;NY;Cuban;$$;;Azucar (Guantanamera);Midtown West;939 8th Avenue;939 8th Ave;New York;NY;;;Caribbean: Cuban;(212-262-5354)
Azuri Cafe;Midtown West;465 W 51st St;465 W 51st St;New York;NY;Jewish;$;;Azuri Café;nan;465 West 51st Street;465 W 51st St;New York;NY;;;nan;nan
Babbo;Greenwich Village;110 Waverly Pl;110 Waverly Pl;New York;NY;Italian;$$$$;;Babbo Ristorante e Enoteca;Greenwich Village;110 Waverly Pl.;110 Waverly Pl;New York;NY;;;Italian;(212-777-0303)
Barmarche;NoLita;14 Spring St;14 Spring St;New York;NY;American;$$;;Barmarché;nan;14 Spring Street;14 Spring St;New York;NY;;;nan;nan
Becco;Midtown West;355 W 46th St;355 W 46th St;New York;NY;Italian;$$$;;Becco Restaurant Inc;Midtown West;355 West 46th Street;355 W 46th St;New York;NY;;;Italian;(212-397-7597)
Black Pearl;Chelsea;37 W. 26th Street;37 W 26th St;New York;NY;Seafood;$$;;Black Pearl (CLOSED);Chelsea; 37 W 26th St-between Broadway and Sixth Ave;37 W 26th St;New York;NY;Seafood;;;(212-532-9900)
Bond 45;Midtown West;154 W 45th St;154 W 45th St;New York;NY;Italian;$$$;;Bond 45 Italian Kitchen Steak & Seafood;Midtown West;154 West 45;154 W 45th St;New York;NY;;;Italian;(212-869-4545)
Chola;Midtown East;232 E 58th St;232 E 58th St;New York;NY;Indian;$$;;Chola Eclectic Indian Cuisine;Midtown East;232 East 58th Street Frnt;232 E 58th St;New York;NY;;;Indian;(212-688-4619)
Cornelia Street Cafe;Greenwich Village;29 Cornelia Street;29 Cornelia St;New York;NY;American;$$$;;Cornelia Street Café;Greenwich Village; 29 Cornelia St-between Bleecker and W 4th Sts;29 Cornelia St;New York;NY;;;American;(212-989-9319)
Dim Sum Go Go;Chinatown;5 E Broadway;5 E Broadway;New York;NY;Chinese;$;;Dim Sum go go;Chinatown/Little Italy;5 E Broadway-Btwn Catherine St & Chatham Sq;5 E Broadway;New York;NY;;;Chinese;(212-732-0797)
Epices Inc;Upper West Side;103 W 70th St;103 W 70th St;New York;NY;Mediterranean;$$;;Epices du Traiteur;Upper West Side; 103 W 70th St-between Columbus Ave and Broadway;103 W 70th St;New York;NY;Mediterranean;;;(212-579-5904)
Essex;Lower East Side;120 Essex St;120 Essex St;New York;NY;American;$;;Essex Restaurant;Lower East Side;120 Essex Street;120 Essex St;New York;NY;;;Eclectic;(212-533-9616)
Estiatorio Milos;Midtown West;125 West 55th Street;125 W 55th St;New York;NY;Greek;$$$$;;Estiatorio Milos Restaurant;Midtown West;125 West 55th Street;125 W 55th St;New York;NY;;;Greek;(212-245-7400)
Felidia;Midtown East;243 East 58th Street;243 E 58th St;New York;NY;Italian;$$$$;;Felidia Ristorante Inc;Midtown East;243 E 58th St;243 E 58th St;New York;NY;;;Italian;(212-758-1479)
Florent;Meatpacking District;69 Gansevoort St;69 Gansevoort St;New York;NY;American;$;;Florent (CLOSED);Meatpacking District; 69 Gansevoort St-between Greenwich and Washington Sts;69 Gansevoort St;New York;NY;French;;;(212-989-5779)
French Roast;Upper West Side;2340 Broadway;2340 Broadway;New York;NY;Breakfast;$;;French Roast Cafe;Upper West Side;2340 Broadway-At 85th St;2340 Broadway;New York;NY;;;Cafés;(212-799-1533)
Gonzalez Y Gonzalez;SOHO;625 Broadway;625 Broadway;New York;NY;Mexican;$$$;;Gonzalez y Gonzalez;;625 Broadway-Btwn Houston & Bleecker St;625 Broadway;;NY;;;;
Gramercy Tavern;Union Square;42 E 20th St;42 E 20th St;New York;NY;American;$$$$;;Gramercy Tavern Corp;Gramercy/Flatiron;42 E 20th St;42 E 20th St;New York;NY;;;American Creative;(212-477-0777)
Gramercy Tavern;Gramercy / Flatiron;;;;;;;;Gramercy Tavern Corp;Gramercy/Flatiron;42 E 20th St;42 E 20th St;New York;NY;;;American Creative;(212-477-0777)
Great Jones Cafe;NoLita;54 Great Jones St;54 Great Jones St;New York;NY;Southern;$;;Great Jones Café;East Village; 54 Great Jones St-between Bowery and Lafayette St;54 Great Jones St;New York;NY;;;American Regional;(212-674-9304)
Great Jones Cafe;E. Village;;nan;;;;;;Great Jones Café;East Village; 54 Great Jones St-between Bowery and Lafayette St;54 Great Jones St;New York;NY;;;American Regional;(212-674-9304)
Great N.Y. Noodle Town;Chinatown;28 Bowery;28 Bowery;New York;NY;Chinese;$;;Great N.Y. Noodletown;Chinatown;28 Bowery;28 Bowery;New York;NY;;;;
Hill Country;Chelsea;30 W. 26th St.;30 W 26th St;New York;NY;Barbecue;$$;;Hill Country Barbecue;Chelsea;30 W 26th St.;30 W 26th St;New York;NY;;;Barbeque;(212-255-4544)
Il Cantinori;Greenwich Village;32 East 10th St;32 E 10th St;New York;NY;Italian;$$$$;;Il Cantinori Restaurant Inc;Greenwich Village;32 E 10th St;32 E 10th St;New York;NY;;;Italian;(212-673-6044)
Il Valentino;Midtown East;330 East 56th Street;330 E 56th St;New York;NY;Italian;$$$;;Il Valentino Inc;;330 E 56th St;330 E 56th St;New York;NY;;;;
Island Burgers & Shakes;Midtown West;766 9th Ave;766 9th Ave;New York;NY;American;$;;Island Burgers And Shakes;nan;766 9th Avenue;766 9th Ave;New York;NY;;;nan;nan
Johnny Utah's;Midtown West;;;;;;;;Johnny Utah’s;Midtown West;Club Quarters Hotel -25 W 51st Stbetween Fifth and Sixth Aves;;New York;NY;American;;;(212-265-8824)
Loreley;Lower East Side;;7 Rivington St;;;;;;Loreley Restaurant & Biergaerten;Lower East Side;7 Rivington St.;7 Rivington St;New York;NY;;;German;(212-253-7077)
Loreley;Lower East Side;;7 Rivington St;;;;;;Loreley Restaurant & Biergaerten;Lower East Side;7 Rivington St.;7 Rivington St;New York;NY;;;German;(212-253-7077)
Mama Mexico;;214 E. 49th St.;214 E 49th St;New York;NY;;;;Mama Mexico -;;214 East 49th Street;214 E 49th St;New York;NY;;;;
Marseille;Midtown West;630 Ninth Ave;630 9th Ave;New York;NY;French;$$$;;Marseille Restaurant;Midtown West;630 Ninth Avenue;630 9th Ave;New York;NY;;;French;(212-333-3410)
Miss Maude's Spoonbread Too;Harlem;547 Lenox Ave;547 Lenox Ave;New York;NY;Southern;$;;Miss Maude’s Spoonbread Too;Harlem; 547 Malcolm X Blvd (Lenox Ave)-between 137th and 138th Sts;547 Malcolm X Blvd;New York;NY;American Regional;;;(212-690-3100)
Molyvos;Midtown West;871 7th Avenue;871 7th Ave;New York;NY;Greek;$$$;;Molyvos Restaurant;Midtown West;871 7th Ave;871 7th Ave;New York;NY;;;Greek;(212-582-7500)
Oceana;Midtown East;55 E 54th St;55 E 54th St;New York;NY;Seafood;$$$$;;Oceana Restaurant;Midtown East;55 E 54th St;55 E 54th St;New York;NY;;;Seafood;(212-759-5941)
Onieal's Grand Street;SOHO;174 Grand St;174 Grand St;New York;NY;American;$$$;;Onieals Grand Street;nan;174 Grand Street;174 Grand St;New York;NY;;;nan;nan
Onieal's Grand Street;SOHO;174 Grand St;174 Grand St;New York;NY;American;$$$;;Onieals Grand Street;nan;174 Grand Street;174 Grand St;New York;NY;;;nan;nan
Pescatore;Midtown East;955-957 2nd Ave;955 2nd Ave;New York;NY;Indian;$$$;;Pescatore Restaurant;Midtown East;955 2nd Ave;955 2nd Ave;New York;NY;;;Italian;(212-752-7151)
Petite Abeille;W. Village;;;;;;;;Petite Abelle;West Village;466 Hudson Street;466 Hudson St;New York;NY;;;Belgian;(212-741-6479)
Petite Abeille;Greenwich Village;466 Hudson St btwn Barrow and Grove Sts;466 Hudson St;;;;;;Petite Abelle;West Village;466 Hudson Street;466 Hudson St;New York;NY;;;Belgian;(212-741-6479)
Ping's Seafood;Chinatown;22 Mott St;22 Mott St;New York;NY;Chinese;$;;Ping's Seafood Restaurant;Chinatown;22 Mott St.;22 Mott St;New York;NY;;;nan;nan
Pomme Frites;;123 2nd Ave;123 2nd Ave;New York;NY;Belgian;$;;Pommes Frites;;123 2nd Ave;123 2nd Ave;New York;NY;;;;
Remi;Midtown West;145 W 53rd St;145 W 53rd St;New York;NY;Italian;$$$;;Remi Restaurant;Midtown West;145 W 53rd St;145 W 53rd St;New York;NY;;;Italian;(212-581-4242)
Revival;Harlem;2367 Frederick Douglass Blvd;2367 Frederick Douglass Blvd;New York;NY;Caribbean;$$;;Revival Restaurant Bar Lounge;Harlem;2367 Frederick Douglass Blvd;2367 Frederick Douglass Blvd;New York;NY;;;American;(212-222-8338)
Sal Anthony's S.P.Q.R.;Little Italy;133 Mulberry St;133 Mulberry St;New York;NY;Italian;$$;;Sal Anthony's SPQR;nan;133 Mulberry St-;133 Mulberry St;New York;NY;;;nan;nan
Scalinatella;Upper East Side;201 East 61st Street;201 E 61st St;New York;NY;Italian;$$$$;;Scalinatella Restaurant;Upper East Side;201 E 61st St;201 E 61st St;New York;NY;;;Italian;(212-207-8280)
Shun Lee Palace;Midtown East;155 E 55th Street;155 E 55th St;New York;NY;Chinese;$$$;;Shun Lee Palace East;Midtown East;155 E 55th St;155 E 55th St;New York;NY;;;Chinese;(212-371-8844)
Shun Lee West;Upper West Side;43 W 65th St btwn Central Park West and...;43 W 65th St;;;;;;Shun Lee West Lincoln Ctr;Upper West Side;43 W 65th St;43 W 65th St;New York;NY;;;Chinese;(212-595-8895)
Strip House;Greenwich Village;13 E 12th St;13 E 12th St;New York;NY;Steakhouse;$$$;;Strip House - New York;Greenwich Village;13 East 12th Street;13 E 12th St;New York;NY;;;Steakhouses;(212-328-0000)
The Cupping Room Cafe;;359 West Broadway;359 W Broadway;New York;NY;;;;The Cupping Room Cafe, Inc.;Soho;359 W. Broadway;359 W Broadway;New York;NY;;;American;(212-925-2898)
The Cupping Room Cafe;;359 West Broadway;359 W Broadway;New York;NY;;;;The Cupping Room Cafe, Inc.;Soho;359 W. Broadway;359 W Broadway;New York;NY;;;nan;nan
Tse Yang;Midtown East;34 East 51st Street;34 E 51st St;New York;NY;Chinese;$$$;;Tse Yang Restaurant;Midtown East;34 E 51st St;34 E 51st St;New York;NY;;;Chinese;(212-688-5447)
Vatan;Gramercy Park;409 Third Ave;409 3rd Ave;New York;NY;Indian;$$;;Vatan Indian Restaurant;Gramercy/Flatiron;409 3rd Ave;409 3rd Ave;New York;NY;;;Indian;(212-689-5666)
Vespa Cibobouno;;1625 Second Ave;1625 2nd Ave;New York;NY;;;;Vespa Cibobuono;Upper East Side; 1625 Second Ave-between 84th and 85th Sts;1625 2nd Ave;New York;NY;;;Italian;(212-472-2050)
Wollensky's Grill;Midtown East;205 East 49th Street;205 E 49th St;New York;NY;American;$$$;;Wollenskys Grill;Midtown East;201 E 49th St;201 E 49th St;New York;NY;;;Steakhouses;(212-753-0444)
Yuca Bar;East Village;111 Ave A;111 Avenue A;New York;NY;Nuevo Latino;$;;Yuca Bar & Restaurant;East Village;111 Avenue A;111 Avenue A;New York;NY;;;Latin American;(212-982-9533)
Angelo & Maxie's Steakhouse;Gramercy;;;;;;;;Angelo & Maxies Steakhouse;Gramercy/Flatiron;233 Park Avenue South;233 Park Ave S;New York;NY;;;Steakhouses;(212-220-9200)
Barbetta;Midtown West;321 W 46th Street;321 W 46th St;New York;NY;;$$$;Italian;Barbetta Restaurant;Midtown West;321 West 46th Street;321 W 46th St;New York;NY;;;Italian;(212-246-9171)
Ben Benson's Steak House;Midtown West;219 E 44th St;219 E 44th St;New York;NY;;$$$$;Steakhouse;Ben Benson's Steakhouse;Midtown West;123 West 52nd Street;123 W 52nd St;New York;NY;;;Steakhouses;(212-581-8888)
Biricchino;Chelsea;260 W 29th St at Eighth Ave;260 W 29th St;;;;;;Biricchino Northern Italian Restaurant;Chelsea;260 West 29th Street;260 W 29th St;New York;NY;;;Italian;(212-695-6690)
Carnegie John's;Midtown West;;;;;;;;Carnegie John’s;Midtown West; W 56th St-at Seventh Ave;W 56th St;New York;NY;Eclectic;;;
Dylan's Candy Bar;Upper East Side;;;;;;;;Dylan’s Candy Bar;Upper East Side; 1011 Third Ave-at 60th St;1011 3rd Ave;New York;NY;Food or Beverage Shop;;;(646-735-0078)
Hiroko's Place;Soho;;;;;;;;Hiroko’s Place;Soho;75 Thompson St.;75 Thompson St;New York;NY;;;nan;nan
La Petite Auberge;Gramercy;;;;;;;;La Petite Auberge Inc;Gramercy/Flatiron;116 Lexington Ave;116 Lexington Ave;New York;NY;;;French;(212-689-5003)
Le Bateau Ivre;Midtown East;;;;;;;;Le Bateau Ivre Inc;Midtown East;230 East 51ST Street;230 E 51st St;New York;NY;;;French;(212-583-0579)
M. Rohrs' House of Fine Teas & Coffees;Upper East Side;;;;;;;;M. Rohrs’ House of Fine Teas and Coffees;Upper East Side; 310 E 86th St-between First and Second Aves;310 East 86th St;New York;NY;Cafés & diners;;;(212-772-2513)
Nick & Toni's Café;Upper West Side;;;;;;;;Nick & Tonis Cafe;Upper West Side;100 W 67th St;100 W 67th St;New York;NY;;;Mediterranean;(212-496-4000)
Noodle Bar;Lower East Side;172 Orchard St at Stanton St;172 Orchard St;;;;;;Noodle Bar Lower East Side;Lower East Side; 172 Orchard St-at Stanton St;172 Orchard St;New York;NY;Asian: Pan-Asian;;;(212-228-9833)
Skylight Diner;Midtown West;;;;;;;;Skylight Diner Inc;Midtown West;402 W 34th St;402 W 34th St;New York;NY;;;Cafés & diners;(212-244-0395)
Soul Fixins;Midtown West;;371 W 34th St;;;;;;Soul Fixins';Midtown West;371 W 34th St-At 9th Ave;371 W 34th St;New York;NY;;;American Regional;(212-736-1345)
SouthWest NY;Financial District;;;;;;;;SouthWestNY;Financial District; 2 World Ficial Center-between Liberty and Vesey Sts;Two World Trade Center;New York;NY;American Regional;;;(212-945-0528)
Southern Hospitality;Upper East Side;;;;;;;;Southern Hospitality BBQ;Upper East Side;1460 Second Avenue;1460 2nd Ave;New York;NY;;;Barbeque;(212-249-1001)
Chennai Garden;Gramercy;129 E 27 St;129 E 27th St;New York;NY;;$;Indian;Chennai Garden Inc;Gramercy/Flatiron;129 East 27;129 E 27th St;New York;NY;;;Indian;(212-689-1999)
Country Cafe;SoHo;;69 Thompson St;;;;;;Country Café;Soho; 69 Thompson St-between Broome and Spring Sts;69 Thompson St;New York;NY;French;;;(212-966-5417)
Fitzer's;Midtown East;;;;;;;;Fitzer’s;Midtown East;Fitzpatrick Manhattan Hotel -687 Lexington Avebetween 56th and 57th Sts;;New York;NY;British & Irish;;;(212-355-0100)
Forlini's Restaurant;Chinatown;;;;;;;;Forlini’s Restaurant;Chinatown;93 Baxter St.;93 Baxter St;New York;NY;;;nan;nan
George O'Neill's;Midtown East;;;;;;;;George O’Neill’s;Midtown East; 145 E 50th St-between Lexington and Third Aves;145 E 50th St;New York;NY;Steakhouses;;;(212-888-1220)
Lombardi's;Nolita;32 Spring St;32 Spring St;New York;NY;;$;Pizza;Lombardis;Chinatown/Little Italy;32 Spring St;32 Spring St;New York;NY;;;Italian: Pizza;(212-941-7994)
Otto Enoteca Pizzeria;Greenwich Village;1 Fifth Ave;1 5th Ave;New York;NY;;$$$$;Italian;Otto Enoteca and Pizzeria;Greenwich Village;1 5th Ave-At 8th St;1 5th Ave;New York;NY;;;Italian: Pizza;(212-995-9559)
Brasserie Athenee;Midtown West;9 W 57th St;East River Realty Company;New York;NY;;$$$$;French;Brasserie AthenÃ©e;Midtown West;300 W 46th St-At 8th Ave;300 W 46th St;New York;NY;;;French;(212-399-1100)
Brasserie Athenee;Midtown West;;nan;;;;;;Brasserie AthenÃ©e;Midtown West;300 W 46th St-At 8th Ave;300 W 46th St;New York;NY;;;French;(212-399-1100)
Brasserie Athenee;Midtown West;;nan;;;;;;Brasserie AthenÃ©e;Midtown West;300 W 46th St-At 8th Ave;300 W 46th St;New York;NY;;;French;(212-399-1100)
Butai;Gramercy;115 E 18th St;115 E 18th St;New York;NY;;$$$;Japanese;Butai Restaurant;Gramercy/Flatiron;115 East 18;115 E 18th St;New York;NY;;;Japanese;(212-387-8885)
La Fonda Del Sol;Midtown East;;;;;;;;La Fonda del Sol;Midtown East; 200 Park Ave-at 44th St and Vanderbilt Ave;MetLife Building;New York;NY;Spanish;;;(212-867-6767)
Sapphire;Upper W. Side;1845 Broadway;1845 Broadway;New York;NY;;$$$;Indian;Sapphire Indian;Upper West Side;1845 Broadway;1845 Broadway;New York;NY;;;Indian;(212-245-4444)
Tarallucci E Vino;Gramercy / Flatiron;;;;;;;;Tarallucci e Vino;Gramercy/Flatiron; 15 E 18th St-between Fifth Ave and Broadway;15 E 18th St;New York;NY;Cafés;;;(212-228-5400)
Banc Cafe;Midtown East;431 Third Ave at 30th St;431 3rd Ave;;;;;;Banc Café;Midtown East; 431 Third Ave-at 30th St;431 3rd Ave;New York;NY;French;;;(212-252-0146)
Blue Point;Midtown West;662 Ninth Ave at 46th St;662 9th Ave;;;;;;Blue Point Seafood;Midtown West;662 9th Ave-At 46th St;662 9th Ave;New York;NY;;;French;(212-247-8040)
Braeburn;Greenwich Village;117 Perry St btwn Greenwich and Hudson...;117 Perry St;;;;;;Braeburn Restaurant;Greenwich Village;117 Perry Street;117 Perry St;New York;NY;;;American;(212-255-0696)
Carbone;Midtown West;331 W 38th St btwn Eight and Ninth Aves;331 W 38th St;;;;;;Carbone Ristorante Italiano;Midtown West;331 W 38th St-Btwn 8th & 9th Ave;331 W 38th St;New York;NY;;;Italian;(212-290-2625)
Casablanca Tea Room;SoHo;164 Mercer St btwn Houston and Prince...;164 Mercer St btwn Houston and Prince...;;;;;;CasablancaTea Room;Soho;164 Mercer;164 Mercer St;New York;NY;;;Moroccan;(212-219-8441)
Da Andrea;W. Village;557 Hudson St;557 Hudson St;New York;NY;;$$;Italian;Da Andrea (CLOSED);West Village; 557 Hudson St-between Perry and W 11th Sts;557 Hudson St;New York;NY;Italian;;;(212-367-1979)
El Parador Cafe;Midtown East;;;;;;;;El Parador Cafe Inc;Midtown East;325 E 34th St;325 E 34th St;New York;NY;;;Mexican;(212-679-6812)
Friedman's Lunch;Chelsea;;;;;;;;Friedmans Lunch;Chelsea;75 9th Ave-;75 9th Ave;New York;NY;;;American;(212-929-7100)
Gazala Place;Midtown West;709 Ninth Ave at 49th St;709 9th Ave;;;;;;Gazala's Place;Midtown West;709 9th Ave-Btwn 48th & 49th St;709 9th Ave;New York;NY;;;Middle Eastern;(212-245-0709)
Indian Bread Co;Greenwich Village;194 Bleecker St btwn Sixth Ave and...;194 Bleecker St;;;;;;Indian Bread Co.;Greenwich Village; 194 Bleecker St-between Sixth Ave and MacDougal St;194 Bleecker St;New York;NY;Indian;;;(212-228-1909)
Philip Marie;W. Village;569 Hudson St;569 Hudson St;New York;NY;;$$$;American;Philip Marie Restaurant;West Village;569 Hudson St;569 Hudson St;New York;NY;;;American;(212-242-6200)
Red Bamboo;Greenwich Village;140 W 4th St btwn MacDougal St and...;140 West 4th Street;;;;;;Red Bamboo Vegetarian Soul Café;Greenwich Village;140 West 4th Street;140 West 4th Street;New York;NY;;;Vegetarian & Organic;(212-260-7049)
Sant Ambroeus;Upper East Side;73 W 71st St;73 W 71st St;New York;NY;;$$;Southwestern;Sant Ambroeus Ltd;Upper East Side;1000 Madison Ave;1000 Madison Ave;New York;NY;;;Italian;(212-570-2211)
Sant Ambroeus;Upper East Side;;nan;;;;;;Sant Ambroeus Ltd;Upper East Side;1000 Madison Ave;1000 Madison Ave;New York;NY;;;Italian;(212-570-2211)
Sant Ambroeus;Upper East Side;;nan;;;;;;Sant Ambroeus Ltd;Upper East Side;1000 Madison Ave;1000 Madison Ave;New York;NY;;;Italian;(212-570-2211)
Schnipper's Quality Kitchen;Midtown West;;;;;;;;Schnipper’s Quality Kitchen;Midtown West;The New York Times Building -620 Eighth Aveat 41st St;;New York;NY;American;;;(212-921-2400)
Spring Street Natural;SoHo;62 Spring St at Lafayette St;62 Spring St;;;;;;Spring Street Natural Restaurant;Soho;62 Spring St.;62 Spring St;New York;NY;;;Vegetarian & Organic;(212-966-0290)
Wogie's Bar and Grill;Greenwich Village;39 Greenwich Ave at Charles St;39 Greenwich Ave;;;;;;Wogies Bar & Grill;West Village;39 Greenwich Ave-At Charles St;39 Greenwich Ave;New York;NY;;;American;(212-229-2171)
Wogie's Bar and Grill;Greenwich Village;39 Greenwich Ave at Charles St;39 Greenwich Ave;;;;;;Wogies Bar & Grill;nan;39 Greenwich Ave-At Charles St;39 Greenwich Ave;New York;NY;;;nan;nan
Alias;Lower E. Side;76 Clinton St;76 Clinton St;New York;NY;;$$$;American;Alias Restaurant;Lower East Side;76 Clinton Street;76 Clinton St;New York;NY;;;American Creative;(212-505-5011)
Arte Cafe;Upper W. Side;106 W 73rd St;106 W 73rd St;New York;NY;;$$;Italian;Arte Café;nan;106 West 73rd Street;106 W 73rd St;New York;NY;;;nan;nan
Candle Cafe;Upper E. Side;;nan;;;;;;Candle Café;Upper East Side; 1307 Third Ave-between 74th and 75th Sts;1307 3rd Ave;New York;NY;Vegetarian & Organic;;;(212-472-0970)
Candle Cafe;Upper E. Side;1307 Third Avenue;1307 3rd Ave;New York;NY;;$;Vegetarian;Candle Café;Upper East Side; 1307 Third Ave-between 74th and 75th Sts;1307 3rd Ave;New York;NY;Vegetarian & Organic;;;(212-472-0970)
Candle Cafe;Upper E. Side;154 E 79 St;154 E 79th St;New York;NY;;$$;Vegetarian;Candle Café;Upper East Side; 1307 Third Ave-between 74th and 75th Sts;1307 3rd Ave;New York;NY;Vegetarian & Organic;;;(212-472-0970)
Candle Cafe;Upper East Side;154 E 79 St;1307 3rd Ave;New York;NY;;$$;Vegetarian;Candle Café;Upper East Side; 1307 Third Ave-between 74th and 75th Sts;1307 3rd Ave;New York;NY;Vegetarian & Organic;;;(212-472-0970)
Dok Suni;E. Village;;nan;;;;;;Dok Suni's;East Village;119 First Ave.;119 1st Avenue;New York;NY;;;nan;nan
Dok Suni;E. Village;;nan;;;;;;Dok Suni's;East Village;119 First Ave.;119 1st Avenue;New York;NY;;;nan;nan
Dok Suni;E. Village;119 First Ave;119 1st Avenue;New York;NY;;$$;Korean;Dok Suni's;East Village;119 First Ave.;119 1st Avenue;New York;NY;;;nan;nan
Dok Suni;E. Village;119 First Ave;119 1st Avenue;New York;NY;;$$;Korean;Dok Suni's;East Village;119 First Ave.;119 1st Avenue;New York;NY;;;nan;nan
Dok Suni's;East Village;119 First Ave;119 1st Avenue;New York;NY;;$$;Korean;Dok Sunis Restaurant;East Village;119 1st Ave;119 1st Avenue;New York;NY;;;Korean;(212-477-9506)
Good Enough To Eat;Upper W. Side;;nan;;;;;;Good Enough to Eat;Upper West Side; 483 Amsterdam Ave-between 83rd and 84th Sts;483 Amsterdam Ave;New York;NY;American;;;(212-496-0163)
Good Enough To Eat;Upper W. Side;483 West Amsterdam Avenue;483 Amsterdam Ave;New York;NY;;$;American;Good Enough to Eat;Upper West Side; 483 Amsterdam Ave-between 83rd and 84th Sts;483 Amsterdam Ave;New York;NY;American;;;(212-496-0163)
Heidelberg;Upper E. Side;1648 2nd Ave;1648 2nd Ave;New York;NY;;$$;German;Heidelberg Restaurant;Upper East Side;1648 2nd Ave;1648 2nd Ave;New York;NY;;;German;(212-628-2332)
La Paella;E. Village;214 E Ninth St;214 E 9th St;New York;NY;;$$;Spanish;La Paella East;East Village;214 E 9th St;214 E 9th St;New York;NY;;;Spanish;(212-598-4321)
Momofuku Noodle Bar;E. Village;207 2nd Ave;207 2nd Ave;New York;NY;;$$$;Asian;Momofuku Ssam Bar;East Village;207 2nd Ave-At 13th St;207 2nd Ave;New York;NY;;;Korean;(212-254-3500)
Momofuku Bakery and Milk Bar;East Village;163 First Ave;163 1st Avenue;New York;NY;;$$$$;Chinese;Momofuku Ko;East Village; 163 First Ave-at 10th St;163 1st Avenue;New York;NY;Japanese;;;(no phone)
Tabla;Gramercy / Flatiron;11 Madison Ave;11 Madison Ave;New York;NY;;$$$$;Indian;Tabla Bread Bar;Gramercy/Flatiron; 11 Madison Ave-at 25th St;11 Madison Ave;New York;NY;;;Indian;(212-889-0667)
Al Bustan;Midtown East;827 Third Ave;827 3rd Ave;New York;NY;;$$$;Middle Eastern;Al Bustan Restaurant;Midtown East;827 3rd Avenue;827 3rd Ave;New York;NY;;;Middle Eastern;(212-759-5933)
Brasserie 8 1/2;Midtown East;9 W 57th St;East River Realty Company;New York;NY;;$$$$;French;Brasserie 8½;Midtown West;9 West 57th Street;East River Realty Company;New York;NY;;;French;(212-829-0812)
Citrus;Upper West Side;320 Amsterdam Ave;320 Amsterdam Ave;New York;NY;;$$;Asian;Citrus Bar & Grill;Upper West Side; 320 Amsterdam Ave-at 75th St;320 Amsterdam Ave;New York;NY;Eclectic;;;(212-595-0500)
New Bo Ky Restaurant;Chinatown;80 Bayard St;80 Bayard St;New York;NY;;$;Asian;New Bo-Ky;Chinatown/Little Italy;80 Bayard Street;80 Bayard St;New York;NY;;;Chinese;(212-406-2292)
Pasha - NYC;Upper West Side;70 W 71st St;70 W 71st St;New York;NY;;$$$;Middle Eastern;Pasha Restaurant;Upper West Side;70 W 71st St;70 W 71st St;New York;NY;;;Turkish;(212-579-8751)
