;0_restaurant;0_address;0_country
553;Arcadia Deli;110 West End Avenue Ofc;New York
554;Archer's;1643 1st Avenue Frnt;New York
555;Archway;116 Pinehurst Avenue;New York
556;Arezzo Ristorante;46 West 22nd St;New York
557;Argentine Pavillion Inc;32 W 46th St;New York
558;Aria Restaurant;253 E 52nd St;New York
559;Ariana Afghan Kebab Restaurant;787 9th Avenue Apt 3N;New York
560;Ariose Cafe;193 2nd Avenue;New York
561;Arioso;120 W 23rd St;New York
562;Aris' Gourmet Delicatessen;2566 Amsterdam Av;New York
563;Aristocratic Deli;208 West 23rd Street;New York
564;Aristotle Coffee Shop;350 Park Ave S;New York
565;Ariyoshi Japanese Restaurants;226 East 53rd Street Apt 2B;New York
566;Ariyoshi Japanese Restaurants;Japanese;
567;Arizona 206 Restaurant;206 East 60th Street;New York
568;Ark Restaurant;25 W 40th St;New York
569;Ark Restaurant Corporation;19 Fulton Street;New York
570;Ark Restaurant Corporation;85 5th Avenue Floor 14;New York
571;Ark Resturants Corporation;625 Broadway;
572;Arlecchino Ristorante Italiano;192 Bleecker St;New York
573;Arlette Restaurant;206 Dyckman Street;New York
574;Armstrongs Saloon;875 10th Ave # 1;New York
575;Arno;141 W 38th St;New York
576;Aroma;28 West 46th Street Frnt;New York
577;Aroma Chinese Restaurant;465 West 125th Street Apt 12;New York
578;Aroma Kitchen & Wine Bar;36 East 4;New York
579;Aron's Restaurant;60 West 48;New York
580;Arons Restaurant;15 W 47th St;New York
581;Around the Clock 24 Hour Restaurant;8 Stuyvesant Street;New York
582;Around the Clock Inc;484 9th Avenue;New York
583;Arqua Restaurant;281 Church Street;New York
584;Arriba Arriba Mexican Restaurant Inc;762 9th Ave;New York
585;Arriba Arriba!;1463 Third Avenue;
586;Arrow Seafood;22 Fulton Market;New York
587;Arsenal Cafe;830 5th Avenue;New York
588;Arshad AZAD;342 East 6th Street;New York
589;Arshile;166 1 Av;New York
590;Art Bar;52 8 Av;New York
591;Art Cafe;1657 Broadway;New York
592;Art Cafe Restaurant;1657 Broadway;New York
593;Art Crafters Inc;524 East 5th Street Frnt;New York
594;Arte Cafe;106 W 73rd St;New York
595;Arte Restaurant Corp;21 East 9;New York
596;Artepasta;81 Greenwich Avenue;New York
597;Arthur Tracher Fish & Chips;901 Avenue Of The Americas;New York
598;Arthur's Tavern;57 Grove Street;New York
599;Arties Delicatessen and Caterers;2290 Broadway;New York
600;Artos Restaurant;307 E 53rd St;New York
601;Arturo's;1617 York Avenue;New York
602;Arturo's Pizza;1610 York Avenue;New York
603;Arturos Restaurant;106 West Houston Street;New York
604;Asahi Japanese Restaurant;311 West 48th Street;New York
605;Asgbc;125 Canal St;New York
606;Ashton's Bar & Restaurant;805 3rd Avenue;
607;Asia Culture Inc;10 East 39;New York
608;Asia Roma;40 Mulberry St;New York
609;Asiana;120 East 34th St.;New York
610;Asiana On Avenue A Corp;172 E 4th St;New York
611;Askew Restaurant LLC;504 Laguardia Pl;New York
612;Aspen;30 West 22;New York
613;Asti Restaurant Inc;13 E 12th St;New York
614;Astor's Inc;428 Lafayette Street;New York
615;Astro Restaurant;1361 Avenue Of The Americ;New York
616;Astrons;3795 Broadway;New York
617;Asylum;149 Bleecker Street;New York
618;Ate & Ate at Columbus;574 Columbus Avenue;New York
619;Atlantis Seafood Wholesale Corporation;62 Allen Street;New York
620;Atlas Restaurant;40 Central Park South;New York
621;Atomic Wings;175 West 4th Street;New York
622;Atomic Wings;1770 2nd Ave;New York
623;Atomic Wings;184 1st Avenue;New York
624;Atomic Wings;528 9th Avenue Apt 4R;New York
625;Atomic Wings;1495 1st Avenue;New York
626;Atomic Wings;2180 Broadway;New York
627;Atomic Wings;1140 2 Av;New York
628;Atrium Cafe;485 7 Av;New York
629;Atrium Delicatessen;485 Fashion Avenue Frnt 1;New York
630;Au Bon Croissant Inc;125 Fulton St;New York
631;Au Bon Pain;125 West 55th Street;New York
632;Au Bon Pain;1 State Street Plz;New York
633;Au Bon Pain;425 Lexington Ave;New York
634;Au Bon Pain;150 Nassau Street;New York
635;Au Bon Pain;80 Pine Street;New York
636;Au Bon Pain;16 E 44th St;New York
637;Au Bon Pain;684 Broadway;New York
638;Au Bon Pain;420 5th Ave;New York
639;Au Bon Pain;22 W 52nd St;New York
640;Au Bon Pain;1211 Avenue Of The Americ;New York
641;Au Bon Pain;101 E 52nd St;New York
642;Au Bon Pain;10 Union Square East;New York
643;Au Bon Pain;222 Broadway;New York
644;Au Bon Pain;901 Avenue Of Americas # 3;New York
645;Au Bon Pain;French;
646;Au Bon Pain;95 Wall St;New York
647;Au Bon Pain;1250 Avenue Of The Americas;New York
648;Au Bon Pain Co Inc;350 5th Ave;New York
649;Au Bon Pain Inc;444 Madison Avenue;New York
650;Au Bon Pain Restaurant;444 Madison Avenue;New York
651;Au Bon Pain Restaurant;625 8th Avenue;New York
652;Au Bon Pain Restaurant;220 E 42nd St;New York
653;Au Cafe;1700 Broadway # 1;New York
654;Au Mandarin Restaurant;200 Vesey Street;
655;Au Troquet;328 W 12th St;New York
656;Au-Bon Pain;60 Broad Street;New York
657;Au-Bon Pain Inc;625 8th Avenue;New York
658;Au-Bon Pain Restaurant;200 Liberty Street;New York
659;Au-Bon Pain Restaurant;58 East 8th Street;New York
660;Au-bon Pain Restaurant;350 5th Ave;New York
661;Aucanari D'Or;134 East 61st Street;New York
662;Auction House;300 E 89th St;New York
663;Audubon Bar & Grill;3956 Broadway;New York
664;Audubon Restaurant Inc;300 Audubon Avenue;New York
665;Augusta Japanese Restaurant Associated I;18 East 16th Street Frnt;New York
666;Aunt Bs Restaurant;186 Avenue B;New York
667;Aura Thai;462 9th Avenue;New York
668;Aureole Restaurant;34 East 61st Street;New York
669;Aussie Grilled Chicken;1343 2nd Ave;New York
670;Austin's Cafe;1385 Broadway;New York
671;Automatic Slims Inc;733 Washington Street;New York
672;Aux Pains Perdus Inc;26 Broadway # 1;New York
673;Ava Lounge;210 West 55th Street;New York
674;Avenue A Japanese Restaurant;105 Avenue A;
675;Awash;338 East 6;New York
676;Awash;947 Amsterdam Ave;New York
677;Axum Cafe;324 W 49th St;New York
678;Aya International LLC;576 5th Avenue Lbby;New York
679;Ayurveda Cafe;706 Amsterdam Avenue Frnt;New York
680;Ayyy Restaurant Corporation;600 Columbus Avenue;New York
681;Ayza Bar Wine And Chocolate;11 West 31st Street;
682;Ayza Wine And Chocolate Bar;11 West 31st;
683;Azafran;77 Warren Street Frnt;New York
684;Azafran;77 Warren Street;New York
685;Azalea Ristorante;224 West 51st Street;New York
686;Azaza Restaurant;891 1st Avenue @ 50th Street;New York
687;Azukar Deli;66 Avenue C;New York
688;Azuki Japanese Restaurant;239 Park Av;New York
689;Azuki Japanese Restaurant;Japanese;
690;Azure;830 3rd Avenue;New York
691;Azure;484 Amsterdam Ave;New York
692;Azuri Cafe;465 W 51st St;New York
693;Azusa of Japan;3 East 44th Street Frnt;New York
694;B & R Snack Bar;40 E 132nd St;New York
695;B & T Supreme Pizza Inc;1276 Lexington Avenue;New York
696;B 3;33 Avenue B;New York
697;B 52 Clam Bar;27 Park Place;New York
698;B B Q Restaurant;132 2nd Avenue;New York
699;B R Guest Inc;225 Park Ave S # 205;New York
700;B Side;204 Avenue B;New York
701;B Smith's Restaurant;320 West 46th Street Frnt;New York
702;B-Bar & Grill- a.k.a. Bowery Bar;40 E 4th St;New York
703;BAEZ Deli;45 East 1st Street;New York
704;BAMA Fish N Chips Inc;1944 Amsterdam Avenue;New York
705;BB Sandwich Bar;120 West 3rd Street Bsmt;New York
706;BBQ;27 West 72nd Street;New York
707;BBQ Restaurant;21 University Pl;New York
708;BCS Sushi;601 West 26th Street;New York
709;BED New York;530 West 27;New York
710;BEM Bolado;2049 2nd Avenue Frnt;New York
711;BICE Restaurant;7 East 54th Street;New York
712;BLT Steak;106 East 57th Street;New York
713;BOI Restaurant Inc;246 East 44th Street;New York
714;BUA Thai Cafe;50 West Street;New York
715;BUEN Sabor;1093 Saint Nicholas Avenue;New York
716;BWAY Grocery;256 West 108th Street Apt 5W;New York
717;BXL Cafe;125 West 43;New York
718;Baba;53 Bayard Street;New York
719;Babalu Restaurant;327 West 44th Street;New York
720;Babbo;110 Waverly Place;New York
721;Babel Cafe;131 Avenue Centre Frnt;New York
722;Bablos;1584 2nd Ave;New York
723;Baby Bo's;627 2nd Avenue Frnt;New York
724;Baby Jupiter;170 Orchard St;New York
725;Baby Jupiter;170 Orchard Street;New York
726;Babylon Restaurant;76 Wooster St;New York
727;Baci Restaurant;412 Amsterdam Ave;New York
728;Back Fence Bar;155 Bleecker Street Frnt;New York
729;Back Porch;488 3rd Avenue;New York
730;Back Stage;807 Lexington Ave E;New York
731;Back Stage Eatery;3 East 47th Street;New York
732;Baden Baden NY;28 West 32nd Street;New York
733;Bagel 54;265 West 54th Street;New York
734;Bagel Bites Inc;22 W 8th St;New York
735;Bagel Cafe;850 8th Ave;New York
736;Bagel Deli Masters;275 Church Street;New York
737;Bagel Maven Cafe;77 Pearl St;New York
738;Bagel Mill Cafe;1461 3rd Avenue Frnt;New York
739;Bagel Restaurant;170 W 4th St;New York
740;Bagelfeller Cafe Inc;36 West 48th Street;New York
741;Baggot Inn;82 West 3rd Street;New York
742;Bahamas Restaurant;1490 Saint Nicholas Ave;New York
743;Bahar Food Corporation;256 West 116th Street;New York
744;Baileys Pub;1607 York Avenue;New York
745;Baker Street;1152 First Avenue;New York
746;Balcony Cafe;1605 Broadway;New York
747;Baldo VINO;126 East 7th Street Frnt;New York
748;Baldoria;249 West 49th Street;New York
749;Bali Nusa Indah Restaurant Inc;651 9th Avenue Frnt;New York
750;Ballato's Restaurant Inc;55 East Houston Street;New York
751;Balthazar Restaurant Reservations;599 Broadway;New York
752;Baltic Restaurant;15 E 31st St;New York
753;Baluchi's;283 Columbus Avenue;New York
754;Baluchi's;90 West 3rd Street;New York
755;Baluchis;240 West 56th Street;New York
756;Baluchis;1724 2nd Avenue Frnt;New York
757;Baluchis;1565 2 Av;New York
758;Baluchis;193 Spring Stfrnt;New York
759;Baluchis;111 East 29th Street;New York
760;Baluchis;104 2 Av;New York
761;Baluchis;1149 1 Av;New York
762;Baluchis Indian Cuisine;224 East 53rd Street;
763;Baluchis Restaurant;1431 1 Av;New York
764;Baluchis Restaurant;361 Avenue Of The Americ;New York
765;Bamboo 52;344 West 52nd Street;New York
766;Bamboo Garden Restaurant;22 Broadway;New York
767;Bamboo House;104 2nd Avenue;New York
768;Bambou Restaurant;243 E 14thst Frrnt;New York
769;Bamiyan Inc;157 East 26th Street;New York
770;Banco Popular;90 West 96th Street;New York
771;Bandito;153 2nd Ave;New York
772;Bandito West;33 Greenwich Ave;New York
773;Bangal Curry;27 Nassau Street;New York
774;Bangkok Cafe;27 East 20th Street;New York
775;Bangkok Cuisine;885 8th Ave;New York
776;Bangkok Express;349 1st Avenue;New York
777;Bangkok Grand Palace Restaurant;882 1st Avenue;New York
778;Bangkok House Thai Restaurant;1485 1st Ave;
779;Bangkok Restaurant Call Little Bangkok R;261 West 54th Street Frnt;
780;Banjara Indian Restaurant;97 1st Ave;New York
781;Banjara Indian Restaurant;97 1st Avenue;New York
782;Bank Cafe;431 3rd Ave;New York
783;Bank Street Cafe & Caterers;610 W 112th St;New York
784;Bann Restaurant;350 West 50;New York
785;Banoa Restaurant;202 Rivington St;New York
786;Banshee Pub;Brewery/Pub/Tavern;
787;Banshee Pub;1373 1st Avenue Frnt;New York
788;Bao Noodles;391 2nd Avenue;New York
789;Bar 10 Lounge & Sushi Bar;270 West 43rd Street;New York
790;Bar 12;206 E 34th Street;New York
791;Bar 89;89 Mercer Street;New York
792;Bar 9 Inc;807 9 Av;New York
793;Bar Americain;152 West 52;New York
794;Bar Cichetti;220 W Houston St;New York
795;Bar East;1733 1st Avenue;New York
796;Bar Italia;1477 Second Ave;
797;Bar Pitti;268 Avenue Of The Americ;New York
798;Bar Veloce;175 2nd Avenue;New York
799;Bar Vetro;222 East 58th Street;New York
800;Barandbeer.com;Bowling Green Station P.O. Box 131;New York
801;Baraonda Restaurant Inc;1439 2nd Avenue;New York
802;Baraza;133 Avenue Centre Frnt;New York
803;Barbaluc Inc;135 E 65th St;New York
804;Barbara Irene Cafe Inc;2210 Broadway;New York
805;Barbaresco Restaurant;843 Lexington Avenue;New York
806;Barbeque King;2480 8th Ave;New York
807;Barbes Restaurant;21 East 36;New York
808;Barbetta Restaurant;321 West 46th Street;New York
809;Barbone;186 Avenue B;New York
810;Barbossa;232 Elizabeth;New York
811;Barclay Bar & Grill;111 East 48th Street;New York
812;Barclay Restaurant;111 E 48th St;New York
813;Bardolino Restaurant;1496 2nd Avenue;New York
814;Barfly Inc;244 3rd Avenue;New York
815;Bari's Pizza;2 Rector Street;New York
816;Barking Dog Luncheonette;1678 3rd Ave;
817;Barking Dog Luncheonette The;1453 York Av;New York
818;Barna;365 Park Av;New York
819;Barney Greengrass Inc;541 Amsterdam Ave;New York
820;Barnwell Hervys;2729 8th Ave;New York
821;Barocco Kitchen;42 Union Square East;New York
822;Barolo;398 West Broadway;New York
823;Barolo Warehouse;174 Perry Street;New York
824;Baron Leather Fashion;125 Orchard Street;New York
825;Barracuda Bistro;151 2nd Avenue Frnt;New York
826;Barrow Street Ale House;15 Barrow Street Frnt;New York
827;Barrow's Pub;463 Hudson;New York
828;Barrymore's Restaurant;267 West 45th Street;New York
829;Basal Deli Grocery Basal Deli Grocery;495 2nd Avenue;New York
830;Basement Pizza & Restaurant;1343 Amsterdam Ave;New York
831;Basera Northern Indian Cuisine;357 E 50th St # 1;New York
832;Basilico Restaurant;676 9th Avenue;New York
833;Baskin Robbins;355 Grand Street;New York
834;Baskin Robbins;Pennsylvania Station;New York
835;Bassets Coffee & Tea Company Inc;123 West Broadway;New York
836;Basta Pasta;37 W 17th St;New York
837;Bat-yam Food Svc;97 Saint Marks Pl;New York
838;Bateaux New York;62 N River;New York
839;Baton Rouge;458 West 145th Street;
840;Battery Gardens;1 Battery Park Plaza;New York
841;Battery Place Car Park;50 Battery Place;New York
842;Bay Deli Inc;96 Bayard;New York
843;Bay Leaf;49 W 56th St;New York
844;Bayamo;704 Broadway;New York
845;Bayards;1 Hanover Square;New York
846;Bayou;308 Lenox Ave;New York
847;Bbq;117 Avenue D;New York
848;Bea Test;Long island;New york
849;Bea Test;Long island100;new york
850;Bea Test Ads;Long island;New york
851;Beach Cafe;1326 2nd Avenue;New York
852;Beacon Hill Ale House;1470 1st Ave # 1;New York
853;Beacon Restaurant;25 West 56th St;New York
854;Beanocchio's Cafe;1413 York Av;New York
855;Bear Restaurant Group;525 Broome St;New York
856;Beard Papa;2167 Broadway;New York
857;Beatrice Inn Inc;285 West 12th Street Frnt;New York
858;Beauty Bar;231 East 14th Street Frnt;New York
859;Bebe Rosso;110 Saint Marks Pl;New York
860;Becco Restaurant Inc;355 West 46th Street;
861;Becketts Bar & Grill;78 Pearl St;New York
862;Becky's;1156 1st Avenue;New York
863;Becky's;American;
864;Beco Restaurant Inc;416 8th Ave;New York
865;Beef Steak Charlies;64 West 52nd Street;New York
866;Beefsteak Charleys;713 8th Ave;New York
867;Beefsteak Charlies;851 8th Ave;New York
868;Beefsteak Charlies;1500 Broadway;New York
869;Beekman Bar And Books;889 1st Ave;New York
870;Beekman Gourmet Deli Inc;140 Nassau Street;New York
871;Beema Grill;1 Pennsylvania Plaza;New York
872;Beezee Deli Ltd;1490 Madison Ave;New York
873;Beijing Pavilion Restrnt;220 East 46;New York
874;Belame Restaurant Corporation;148 West 4th Street;New York
875;Belgo Nieuw York;415 Lafayette Street;New York
876;Bella BLU Restaurant;967 Lexington Avenue;New York
877;Bella Delia Italian Pizzaria;582 W 207th St;New York
878;Bella Luna;584 Columbus Av;New York
879;Bella Napoli;150 West 49th Street Frnt;New York
880;Bella Napoli;130 Mad Avenue;New York
881;Bella Vita Pizzeria;158 West 58;New York
882;Belladonna Restaurant;18 E 23rd St # 1;New York
883;Belladonna Restaurant;307 E 77th St;New York
884;Belladonna Restaurant II;1663 1st Avenue;New York
885;Belle Vie;184 8th Avenue Frnt;New York
886;Bellini Restaurant;208 E 52nd St;New York
887;Bellissima Ii Restaurant;1409 2nd Ave;New York
888;Bellizzi's;120 West 44th Street;New York
889;Bello Giardino;71 West 71st Street;New York
890;Bello Restaurant;863 9th Avenue;New York
891;Bello's Italian Restaurant;130 Saint Marks Place;New York
892;Belluno Ristorante;340 Lexington Avenue;New York
893;Belly;155 Rivington Street;New York
894;Belly Delly Deli Corporation;1625 Broadway;New York
895;Belmora Pizza & Restaurant;139 East 57th Street Frnt;New York
896;Belzebu Restaurant;115 E 60th St;New York
897;Ben & Jerry's Homemade Ice Cream;41 3rd Avenue;New York
898;Ben & Jerrys;222 East 86th Street;New York
899;Ben & Santos Dying Inc;555 8th Avenue;New York
900;Ben Benson's Steak House;123 W 52nd St;New York
901;Ben's Kosher Delicatessen Restaurants &;Kosher;
902;Ben's Kosher Delicatessen Restaurants &;209 West 38th Street Lbby;New York
903;Ben's Pizza;177 Spring Street;New York
904;Ben's Pizzeria;123 Macdougal Street;New York
905;Benash Delicatessen;857 7th Avenue;New York
906;Bendix Diner;219 8th Ave;New York
907;Bendix Diner East;167 1st Ave # 1;New York
908;Bengal Cafe Inc;1028 Amsterdam Avenue;New York
909;Bengal Express;789 9 Av;New York
910;Benihana East;120 E 56th St;New York
911;Benihana of Tokyo;47 West 56th Street;New York
912;Benito's II Restaurant Inc;163 Mulberry Street Frnt;New York
913;Benitos 1 the Original;174 Mulberry Street;New York
914;Benjamin Restaurant & Bar;603 2 Av;New York
915;Bennie's Thai Cafe;88 Fulton Street;New York
916;Bennigans Restaurant;771 8th Avenue;New York
917;Benny's Burritos - Benny's Burritos Aven;93 Avenue A;New York
918;Benny's Burritos - Benny's Burritos Gree;113 Greenwich Avenue;New York
919;Benny's NY;321 Amsterdam Avenue;New York
920;Bentleys Restaurant;25 E 40th St;New York
921;Benvenuti Ristorante;15 Penn Plz;New York
922;Benvenuto Cafe;2 E 23rd St;New York
923;Benvenuto Cafe;2 East 23rd Street;New York
924;Beppe Restaurant;45 East 22nd Street;New York
925;Bereket Turkish Kebab House;187 East Houston Street;New York
926;Berger's Delicatessen Restaurant;44 West 47th Street;New York
927;Berkeley Bar and Grill;550 Madison Avenue;New York
928;Berkshire Coal Corp;150 E 58th St # 3400;New York
929;Besito;357 West Broadway;New York
930;Best Choice Chinese Kitchen;1053 Saint Nicholas Ave;New York
931;Best Health Deli;140 Centre Street;New York
932;Best Natural Food & Deli;1665 1st Avenue;New York
933;Best Of The West Gourmet Deli & Pizzeria;369 West 34;New York
934;Best Ray Pizza Inc;58 West 31st Street;New York
935;Best Subway Inc;1440 Broadway;New York
936;Best Taste Restaurant;3609 Broadway;New York
937;Best West Market;325 Madison Avenue;New York
938;Best Wingers Inc;711 2 Avenue;New York
939;Best of Lex Deli;1291 Lexington Avenue;
940;Best of New York Food;150 Water Street;New York
941;Betancourt Milceo;2351 2nd Avenue;New York
942;Bethel Gourmet Food;79 Greenwich Avenue;New York
943;Better Burger;561 3rd Avenue;New York
