;restaurant;address;country;addressGoogle
2955;Sheridan Square (CLOSED);134 7th Ave. South (@ West 10th St.);New York, NY, 10014;134 7th Ave S
2956;Shih Lee;311 East 45th Street;New York, NY, 10017;311 E 45th St
2957;Shilla;37 West 32nd Street;New York, NY, 10001;37 W 32nd St
2958;Shima;188-190 2nd Avenue;New York, NY, 10003;188 2nd Ave # 190
2959;Shimizu Sushi Restaurant;318 West 51st Street;New York, NY, 10019;318 W 51st St
2960;Shin Lin;325 East 6th Street;New York, NY, 10003;325 E 6th St
2961;Shining Star Diner;377 Amsterdam Avenue;New York, NY, 10024;377 Amsterdam Ave
2962;Shoebox Chicken;187 Grand Street;New York, NY,;187 Grand St
2963;Shopsin's;54 Carmine Street;New York, NY, 10014;54 Carmine St
2964;Shorty's.32;199 Prince St.;New York, NY, 10012;199 Prince St
2965;Shula's Steak House;Westin New York at Times Square;New York, NY, 10036;270 W 43rd St
2966;Shun Lee Cafe;43 West 65th Street;New York, NY, 10023;43 W 65th St
2967;Shun Lee Palace;155 East 55th Street;New York, NY, 10022;157 E 55th St
2968;Shun Lee West;43 West 65th Street;New York, NY, 10023;43 W 65th St
2969;Siam Inn;854 8th Avenue;New York, NY, 10019;854 8th Ave
2970;Siam Inn Cuisine Inc;854 8TH Avenue;New York, NY, 10019;854 8th Ave
2971;Sichuan Palace;310 East 44TH Street;New York, NY, 10017;310 E 44th St
2972;Sido Falafel;403 Amsterdam Avenue at 79th Street;New York, NY, 10024;403 Amsterdam Ave
2973;Sido Falafel;267 Columbus Avenue;New York, NY, 10023;267 Columbus Ave
2974;Siegel's Kosher Delicatessen;1646 2nd Avenue;New York, NY, 10028;1646 2nd Ave
2975;Sigiri;91 1st Avenue;New York, NY, 10003;91 1st Avenue
2976;Silk Road Palace;447 Amsterdam Avenue Streete B;New York, NY, 10024;447-B Amsterdam Ave
2977;Silver Moon Bakery;2740 Broadway at 105th Street;New York, NY, 10025;2740 Broadway
2978;Silver Spurs;771 Broadway;New York, NY, 10003;771 Broadway
2979;Silver Swan;41 East 20th Street;New York, NY, 10003;41 E 20th St
2980;Sim's;235 Lexington Avenue;New York, NY, 10016;235 Lexington Ave
2981;Simply Pasta;120 West 41st Street;New York, NY, 10036;120 W 41st St
2982;Singapore Cafe;69 Mott Street at Canal Street;New York, NY, 10013;69 Mott St
2983;Singapore Cafe Incorporated;69 Mott Street;New York, NY, 10013;69 Mott St
2984;Singas Famous Pizza;176 2nd Avenue;New York, NY, 10003;176 2nd Ave
2985;Sipan;702 Amsterdam Avenue;New York, NY, 10025;702 Amsterdam Ave
2986;Sirtaj;36 West 26th Street;New York, NY, 10010;36 W 26th St
2987;Sisters Caribbean Cuisine;1931 Madison Avenue;New York, NY, 10035;1931 Madison Ave
2988;Sistina;1555 2nd Avenue;New York, NY, 10028;1555 2nd Ave
2989;Sitar Indian Cuisine Inc;58 West 56TH Street Streete 2;New York, NY, 10019;58 W 56th St
2990;Six Happiness Chinese Restaurant;711 2ND Avenue;New York, NY, 10016;711 2nd Ave
2991;Skylight Diner;402 West 34th Street;New York, NY, 10001;402 W 34th St
2992;Slice;1413 2nd Avenue;New York, NY, 10021;1413 2nd Ave
2993;Slice Of Harlem II;308 Lenox Avenue;New York, NY, 10027;308 Lenox Ave
2994;Slice Of Harlem II;2527 8th Avenue;New York, NY, 10030;2527 Frederick Douglass Blvd
2995;Smiler's;532 Madison Avenue;New York, NY, 10022;532 Madison Ave
2996;Smith's;79 Macdougal Street;New York, NY, 10012;79 MacDougal St
2997;Smorgas Chef;53 Streetone Street;New York, NY, 10004;100 E 53rd St
2998;Snack;105 Thompson Street;New York, NY, 10012;105 Thompson St
2999;Snack Taverna;63 Bedford Street;New York, NY, 10014;63 Bedford St
3000;Snackbar;111 West 17th Street;New York, NY, 10011;111 W 17th St
3001;Snice;45 8th Avenue;New York, NY, 10014;45 8th Ave
3002;SoHo Park;62 Prince Street;New York, NY, 10012;62 Prince St
3003;Soba Nippon;19 West 52nd Street;New York, NY, 10019;19 W 52nd St
3004;Soba-Ya;229 East 9th Street;New York, NY, 10003;229 E 9th St
3005;SobaKoh;309 East 5th Street;New York, NY, 10003;309 E 5th St
3006;Socarrat Paella Bar;259 W. 19th St. nr. Seventh Ave;New York, NY, 10011;259 W 19th St
3007;Socialista;505 West Street;New York, NY, 10014;505 West St
3008;Society Coffee Juice Incorporated;2104 Frederick Douglass Blvd;New York, NY, 10026;2104 Frederick Douglass Blvd
3009;Soda Shop;Cosmopolitan Hotel;New York, NY, 10007;95 W Broadway
3010;Sofrito;400 East 57th Street;New York, NY, 10022;400 E 57th St
3011;Soho Cantina;199 Prince Street;New York, NY, 10012;199 Prince St
3012;Soho Made Soups;170 Varick Street;New York, NY, 10013;170 Varick St
3013;Soho Steak;90 Thompson Street;New York, NY, 10012;90 Thompson St
3014;Sol Y Sombra;462 Amsterdam Avenue;New York, NY, 10024;462 Amsterdam Ave
3015;Solar Gardens Health Foods;18 East 125th Street;New York, NY, 10035;18 E 125th St
3016;Solera;216 East 53rd Street;New York, NY, 10022;216 E 53rd St
3017;Solo;Sony Plaza Atrium;New York, NY, 10022;25 Madison Ave
3018;Solo Pizza;27 Avenue B;New York, NY, 10009;27 Avenue B
3019;Soly Sombra;462 Amsterdam Avenue;New York, NY, 10024;462 Amsterdam Ave
3020;Son Cubano;405 West 14th Street;New York, NY, 10014;405 W 14th St
3021;Sonali Indian Restaurant;326 East 5th Street,;New York, NY, 10003;326 E 5th St
3022;Song Kran;330 8th Avenue;New York, NY, 10001;330 8th Ave
3023;Sonia Rose;150 East 34th Street;New York, NY, 10016;150 E 34th St
3024;Sophie's;509 5th Street;New York, NY, 10009;509 5th Ave
3025;Sophie's;96 Chambers Street;New York, NY, 10007;96 Chambers St
3026;Sophie's Restaurant;179 Madison Avenue;New York, NY, 10016;179 Madison Ave
3027;Sophie's Restaurant;73 New Street;New York, NY, 10004;73 New St
3028;Sophie's Restaurant;205 Pearl Street;New York, NY, 10038;205 Pearl St
3029;Soprano's;30 Water Street;New York, NY, 10004;30 Water St
3030;Sotto Cinque Restaurant;417 3rd Avenue Fl 1;New York, NY, 10016;417 3rd Ave Fl 1
3031;Souen;210 6th Avenue;New York, NY, 10014;210 6th Ave
3032;Souen;28 East 13th Street;New York, NY, 10003;28 E 13th St
3033;Soul Fixins;371 West 34th Street;New York, NY, 10001;371 W 34th St
3034;Soul Food & Salad Bar Restaurant;486 Lenox Avenue;New York, NY, 10037;486 Malcolm X Blvd
3035;Soulfully Good;East 85th Street;New York, NY, 10028;E 85th St
3036;Soup And Smoothie Heaven;316 5th Avenue;New York, NY, 10001;316 5th Ave
3037;Soup Burg;922 Madison Avenue;New York, NY, 10021;922 Madison Ave
3038;Soup Burg;1095 Lexington Avenue;New York, NY, 10021;1095 Lexington Ave
3039;Soup Burg;1150 Lexington Avenue;New York, NY, 10021;1150 Lexington Ave
3040;Soup Kitchen International;259A West 55th Street;New York, NY, 10019;259 W 55th St
3041;Soup Stop;517 Columbus Avenue;New York, NY, 10024;517 Columbus Ave
3042;South Side Cafe;252 West 47th Street;New York, NY, 10036;252 W 47th St
3043;South's;273 Church Street;New York, NY, 10013;273 Church St
3044;Soutine;104 West 70th Street;New York, NY, 10023;104 W 70th St
3045;Soy;102 Suffolk Street;New York, NY, 10002;102 Suffolk St
3046;Soy Luck Club;115 Greenwich Avenue;New York, NY, 10014;115 Greenwich Ave
3047;Space Market;1 University Place;New York, NY, 10003;1 University Pl
3048;Spaghetti Western;59 Reade Street;New York, NY, 10007;59 Reade St
3049;Spanish American Food;351 East 13th Street;New York, NY,;351 E 13th St
3050;Spanish Tavern;203 West 38th Street;New York, NY, 10018;203 W 38th St
3051;Spanky's Bbq;127 West 43rd Street;New York, NY, 10036;127 W 43rd St
3052;Sparks Steakhouse;210 East 46th Street;New York, NY, 10017;210 E 46th St
3053;Spice;60 University Place;New York, NY, 10003;60 University Pl
3054;Spice;199 8th Avenue;New York, NY, 10011;199 8th Ave
3055;Spice;1411 2nd Avenue;New York, NY, 10021;1411 2nd Ave
3056;Spice Cove;326 East 6th Street;New York, NY, 10003;326 E 6th St
3057;Spice Market;403 West 13th Street;New York, NY, 10014;403 W 13th St
3058;Spiga;200 West 84th Street;New York, NY, 10024;200 W 84th St
3059;Spigolo;1561 2nd Avenue;New York, NY, 10028;1561 2nd Ave
3060;Spitzer's Corner;101 Rivington Street;New York, NY, 10002;101 Rivington St
3061;Spoon;141 First Avenue;New York, NY, 10003;141 1st Avenue
3062;Spoons Squared Inc;235 East 53RD Street;New York, NY, 10022;235 E 53rd St
3063;Spring Street Natural;62 Spring Street;New York, NY, 10012;62 Spring St
3064;St Marks Pizza;23 3RD Avenue;New York, NY, 10003;23 3rd Ave
3065;St. Andrews Restaurant and Bar;120 West 44th Street;New York, NY, 10036;120 W 44th St
3066;St. Dymphna's;118 St. Marks Place;New York, NY, 10017;118 St Marks Pl
3067;Stage Restaurant;128 2nd Avenue;New York, NY,;128 2nd Ave
3068;Stand;24 East 12th Street;New York, NY, 10003;24 E 12th St
3069;Stanton Social;99 Stanton Street;New York, NY, 10002;99 Stanton St
3070;Star Deli and Grocery;325 2nd Avenue;New York, NY, 10003;325 2nd Ave
3071;Starbucks;13-25 Astor Place;New York, NY, 10003;1 Astor Place
3072;Starbucks;150 Varick Street;New York, NY, 10013;150 Varick St
3073;Starbucks;255 8th Avenue;New York, NY, 10011;255 8th Ave
3074;Starbucks;241 Canal Street;New York, NY, 10013;241 Canal St
3075;Starbucks;141-143 2nd Avenue;New York, NY, 10003;141 2nd Ave #143
3076;Steak Frites;9 East 16th Street;New York, NY, 10003;9 E 16th St
3077;Stella Del Mare;346 Lexington Avenue;New York, NY, 10016;346 Lexington Ave
3078;Stepmama;199 East 3rd Street;New York, NY,;199 E 3rd St
3079;Steve's Pizza;110 Trinity Place;New York, NY, 10006;110 Trinity Pl
3080;Sticky Rice;85 Orchard Street;New York, NY, 10002;85 Orchard St
3081;Stk;26 Little West 12th Street;New York, NY, 10014;26 Little W 12th St
3082;Stone Street Tavern;52 Stone Street;New York, NY, 10004;52 Stone St
3083;Strada 57 Ristorante;315 West 57th Street;New York, NY, 10019;315 W 57th St
3084;Strand Diner;208 West 96th Street;New York, NY, 10025;208 W 96th St
3085;Strictly Roots;2058 Adam Clayton Powell Jr.Boulevard 7th Avenue;New York, NY, 10027;2058 Adam Clayton Powell Jr Blvd
3086;Strip House;13 East 12th Street;New York, NY, 10003;13 E 12th St
3087;Stromboli Pizzeria;112 University Place;New York, NY, 10003;112 University Pl
3088;Strombolis;83 St Marks Place;New York, NY, 10003;83 St Marks Pl
3089;Suba;109 Ludlow Street;New York, NY, 10002;109 Ludlow St
3090;Sucelt Coffee Shop (CLOSED);200 West 14th Street;New York, NY, 10011;200 W 14th St
3091;Sueños;311 West 17th Street;New York, NY, 10011;311 W 17th St
3092;Sugar Cafe;200 Allen Street;New York, NY, 10002;200 Allen St
3093;Sugar Sweet Sunshine;126 Rivington Street;New York, NY, 10002;126 Rivington St
3094;Sugarcane;243 Park Avenue South;New York, NY, 10003;243 Park Ave S
3095;Sugarplum Bakery;Delivery in NYC;;Delivery in NYC
3096;Sugo! e Basilico (CLOSED);545 5th Avenue;New York, NY, 10017;545 5th Ave
3097;Suibi Japanese Restaurant;232 East 53RD Street;New York, NY, 10022;232 E 53rd St
3098;Sullivan Diner;169 Sullivan Street;New York, NY, 10012;169 Sullivan St
3099;Sullivan Street Bakery;533 West 47th Street;New York, NY, 10036;533 W 47th St
3100;Sultana Cafe;128 East 4th Street;New York, NY, 10003;128 E 4th St
3101;Sumile;154 West 13th Street;New York, NY, 10011;154 W 13th St
3102;Summers Restaurant & Bar;49 Clinton Street;New York, NY, 10002;49 Clinton St
3103;Sumo;273 Mott Street;New York, NY, 10012;273 Mott St
3104;Sumou Japanese Restaurant Inc;104 John Street;New York, NY, 10038;104 John St
3105;Sun Dou Dumpling Shop;214-216 Grand Street;New York, NY,;214 Grand St #216
3106;Sunagawa;343 Lexington Avenue;New York, NY, 10016;343 Lexington Ave
3107;Sunrise 27;27 Division Street;New York, NY, 10002;27 Division St
3108;Sunrise Market;4 Stuyvesant Street;New York, NY, 10003;4 Stuyvesant St
3109;Super Tacos;Corner of 96th Street;New York, NY,;W 96th St
3110;Supermac;348 7th Avenue;New York, NY, 10001;348 7th Ave
3111;Supper;156 East 2nd Street;New York, NY, 10009;156 E 2nd St
3112;Sura;105 East 9th Street;New York, NY, 10003;105 E 9th St
3113;Sushi A Go Go;1900 Broadway;New York, NY, 10023;1900 Broadway
3114;Sushi Ann;38 East 51st Street;New York, NY, 10022;38 E 51st St
3115;Sushi Damo Damo;330 West 58TH Street;New York, NY, 10019;330 W 58th St
3116;Sushi Hana;1501 2nd Avenue;New York, NY, 10021;1501 2nd Ave
3117;Sushi Hana;466 Amsterdam Avenue;New York, NY, 10024;466 Amsterdam Ave
3118;Sushi Samba on 7th Ave;87 7th Avenue South;New York, NY, 10014;87 7th Ave S
3119;Sushi Samba on Park;245 Park Avenue South;New York, NY, 10003;245 Park Ave S
3120;Sushi Seki;1143 1st Avenue;New York, NY, 10021;1143 1st Avenue
3121;Sushi Sen-Nin;30 East 33rd Street;New York, NY, 10016;Crystal building
3122;Sushi Sen-Nin;1420 3rd Avenue;New York, NY, 10028;1420 3rd Ave
3123;Sushi Suki;1577 York Avenue;New York, NY, 10028;1577 York Ave
3124;Sushi Taro;154 West 26th Street;New York, NY, 10001;154 W 26th St
3125;Sushi Time;821 2nd Avenue;New York, NY, 10017;821 2nd Ave
3126;Sushi Twist;66 Madison Avenue;New York, NY, 10016;66 Madison Ave
3127;Sushi Yasuda;204 East 43rd Street;New York, NY, 10017;204 E 43rd St
3128;Sushi Zen;57 West 46th Street;New York, NY, 10036;57 W 46th St
3129;Sushi of Gari 46;402 East 78th Street;New York, NY, 10021;402 E 78th St
3130;SushiSamba;245 Park Avenue South;New York, NY, 10003;245 Park Ave S
3131;SushiSamba;87 7th Avenue S;New York, NY, 10014;87 7th Ave S
3132;Sushiya;28 West 56th Street;New York, NY, 10019;28 W 56th St
3133;Suteishi;24 Peck Slip;New York, NY, 10038;24 Peck Slip
3134;Sutton Cafe;1026-28 1st Avenue;New York, NY, 10022;1026-28 1st Avenue
3135;Sutton Place;1015 2nd Avenue;New York, NY, 10022;1015 2nd Ave
3136;Suzie's;162 Bleecker Street;New York, NY, 10012;162 Bleecker St
3137;Suzu Sushi;1075 1st Avenue;New York, NY, 10022;1075 1st Avenue
3138;Swagat Indian Cuisine;411A Amsterdam Avenue;New York, NY, 10024;411A Amsterdam Ave
3139;Sweet Life Cafe;147 Christopher Street;New York, NY, 10014;147 Christopher St
3140;Sweet Melissa;75 West Houston Street;New York, NY, 10012;75 W Houston St
3141;Sweet- N -Tart Cafe;76 Mott ST at Canal Street;New York, NY,;76 Mott St
3142;Sweet-N-Tart Restaurant;20 Mott Street;New York, NY, 10013;20 Mott St
3143;Swich;104 8th Avenue;New York, NY, 10011;104 8th Ave
3144;Swizz Restaurant Wine Bar;310 West 53rd Street;New York, NY, 10019;310 W 53rd St
3145;Sylvia's Restaurant;328 Lenox Avenue;New York, NY, 10027;328 Malcolm X Blvd
3146;Symposium;544 West 113th Street;New York, NY, 10025;544 W 113th St
3147;T Salon;75 9th Avenue;New York, NY, 10011;75 9th Ave
3148;T Salon T Emporium;11 East 20th Street;New York, NY, 10003;11 E 20th St
3149;T-Bar;1278 3rd Avenue;New York, NY, 10021;1278 3rd Ave
3150;T.J. O'Brien;461 Columbus Avenue;New York, NY, 10024;461 Columbus Ave
3151;Tabla Bread Bar;11 Madison Avenue;New York, NY, 10010;11 Madison Ave
3152;Tabla Street Cart;11 Madison Ave. at 25th St;New York, NY, 10010;11 Madison Ave
3153;Table Xii (Fka Etoile);Lombardy Hotel;New York, NY, 10022;111 E 56th St
3154;Table d'Hôte;44 East 92nd Street;New York, NY, 10128;44 E 92nd St
3155;Taboon;773 10th Avenue;New York, NY, 10019;773 10th Ave
3156;Taco Taco;1726 2nd Avenue;New York, NY, 10128;1726 2nd Ave
3157;Tacocina;714 9th Avenue;New York, NY, 10019;714 9th Ave
3158;Tagine Dining Gallery and Lounge;537 9th Avenue;New York, NY, 10018;537 9th Ave
3159;Tai Hong Lau;70 Mott Street;New York, NY, 10013;70 Mott St
3160;Tailor;525 Broome Street;New York, NY, 10013;525 Broome St
3161;Taim;222 Waverly Place;New York, NY, 10014;222 Waverly Pl
3162;Taj;48 West 21st Street;New York, NY, 10010;DEZER BUILDING
3163;Taj Mahal Indian Restaurant;318 East 5th Street,;New York, NY, 10003;318 E 5th St
3164;Taj Mahal Of Agra;328 East 6TH Street;New York, NY, 10003;328 E 6th St
3165;Taj-Almoulouk;125th East 4th Street;New York, NY, 10003;125th East 4th Street
3166;Tajin Restaurant;85 Greenwich Street;New York, NY, 10006;85 Greenwich St
3167;Taka;61 Grove Street;New York, NY, 10014;61 Grove St
3168;Takahachi Tribeca Restaurant;145 Duane Street;New York, NY, 10013;145 Duane St
3169;Taksim;1030 2nd Avenue;New York, NY, 10022;1030 2nd Ave
3170;Tal Bagels;977 1st Ave;New York, NY, 10022;977 1st Avenue
3171;Tal Bagels;2446 Broadway;New York, NY, 10024;2446 Broadway
3172;Tal Bagels;333 East 86th Street;New York, NY, 10028;333 East 86th St
3173;Talay;701 W. 135th St., at Twelfth Ave.;The Bronx, NY, 10454;701 W 135th St
3174;Tamarind;1679 3rd Avenue at 94th Street;New York, NY, 10128;1679 3rd Ave
3175;Tamarind;41-43 East 22nd Street;New York, NY, 10010;41 E 22nd St #43
3176;Tandoori North;762 Columbus Avenue;New York, NY, 10025;762 Columbus Ave
3177;Tang Pavilion;65 West 55th Street;New York, NY, 10019;65 W 55th St
3178;Tang S Restaurant;306 Street Nicholas Avenue;New York, NY, 10027;306 St Nicholas Ave
3179;Tang Tang;1328 3rd Avenue;New York, NY, 10021;1328 3rd Ave
3180;Tanti Baci Caffe;163 West 10th Street;New York, NY, 10014;163 W 10th St
3181;Tao;42 East 58th Street;New York, NY, 10022;42 E 58th St
3182;Taormina;147 Mulberry Street;New York, NY, 10013;147 Mulberry St
3183;Tara Thai Cuisine;137 1ST Avenue Streete 1;New York, NY, 10003;137 1ST Avenue Streete 1
3184;Tarabia;1071 1st Avenue;New York, NY, 10022;1071 1st Avenue
3185;Tarallucci E Vino;163 1st Avenue at 10th Street;New York, NY, 10003;163 1st Avenue at 10th Street
3186;Tarallucci E Vino;15 East 18th Street;New York, NY, 10003;15 E 18th St
3187;Tartine;253 West 11th Street at West 4th Street;New York, NY, 10014;253 W 11th St
3188;Tasca;130 7th Avenue South;New York, NY, 10011;130 7th Ave S
3189;Taste Restaurant Wine Bar;1413 3rd Avenue;New York, NY, 10028;1413 3rd Ave
3190;Tasty Dumpling;54 Mulberry Street;New York, NY, 10013;54 Mulberry St
3191;Tataki;3 Lispenard Street;New York, NY, 10013;3 Lispenard St
3192;Tatany Japanese Restaurant;207 East 26TH Street;New York, NY, 10010;207 E 26th St
3193;Tavalon Tea Bar;22 East 14th Street;New York, NY, 10003;22 E 14th St
3194;Tavern On Jane;31 8th Avenue at Jane Street;New York, NY, 10014;31 8th Ave
3195;Tavern Room at Gramercy Tavern;42 East 20th Street;New York, NY, 10003;42 E 20th St
3196;Tazza Restaurant Bar;196 8TH Avenue;New York, NY, 10011;196 8th Ave
3197;Tea Box;Takashimaya;New York, NY, 10022;693 5th Ave
3198;Tea Den Chinese Restaurant In;940 8TH Avenue;New York, NY, 10019;940 8th Ave
3199;Tea Spot;127 Macdougal Street;New York, NY, 10012;127 MacDougal St
3200;Teany Cafe;90 Rivington Street;New York, NY, 10002;90 Rivington St
3201;Tehuitzingo;695 10th Avenue;New York, NY, 10036;695 10th Ave
3202;Tello's;263 West 19th Street;New York, NY, 10011;263 W 19th St
3203;Temduang (CLOSED);644 10th Avenue;New York, NY, 10036;644 10th Ave
3204;Temple;81 St. Marks Place;New York, NY, 10003;81 St Marks Pl
3205;Temple in the Village;74 West 3rd Street,;New York, NY, 10012;74 W 3rd St
3206;Ten Ren;75 Mott Street;New York, NY, 10013;75 Mott St
3207;Teodora;141 East 57th Street;New York, NY, 10022;141 E 57th St
3208;Teriyaki Boy;885 9th Avenue;New York, NY, 10019;885 9th Ave
3209;Teriyaki Boy;150 East 46th Street;New York, NY, 10017;150 E 46th St
3210;Teriyaki Boy;22 Maiden Lane;New York, NY, 10038;22 Maiden Ln
3211;Teriyaki Boy;18 Lexington Avenue;New York, NY, 10010;18 Lexington Ave
3212;Teriyaki Boy;1380 1st Avenue;New York, NY, 10021;1380 1st Avenue
3213;Teriyaki Boy;1640 3rd Avenue;New York, NY, 10128;1640 3rd Ave
3214;Teriyaki Boy;106 West 43rd Street;New York, NY, 10036;106 W 43rd St
3215;Terrace Fish & Chip;77 Pearl Street;New York, NY, 10004;77 Pearl St
3216;Terrace in the Sky;400 West 119th Street;New York, NY, 10027;Butler Hall
3217;Terramare Cafe;22 East 65th Street;New York, NY, 10021;22 E 65th St
3218;Terrance Brennan's Seafood and Chophouse;Benjamin Hote, 565 Lexington Avenue near 50th Street;New York, NY, 10001;565 Lexington Ave
3219;Texas Rotisserie Grill;94 Fulton Street;New York, NY, 10038;94 Fulton St
3220;Thai 51;224 E 51st St;;224 E 51st St
3221;Thai Angel;141 Grand Street;New York, NY, 10013;141 Grand St
3222;Thai Basil;860 9th Avenue;New York, NY, 10019;860 9th Ave
3223;Thai Chai Yo;233 9th Avenue;New York, NY, 10001;233 9th Ave
3224;Thai House Café;151 Hudson Street;New York, NY, 10013;151 Hudson St
3225;Thai On Clinton;6 Clinton Street;New York, NY, 10002;6 Clinton St
3226;Thai Son Restaurant;89 Baxter Street;New York, NY, 10013;89 Baxter St
3227;Thai Village;133 West 3RD Street;New York, NY, 10012;133 W 3rd St
3228;Thai on Two;180 2nd Avenue;New York, NY, 10003;180 2nd Ave
3229;ThaiI-Nam;137 East 45th Street;New York, NY, 10017;137 E 45th St
3230;Thailand Cafe;95 2nd Avenue;New York, NY, 10003;95 2nd Ave
3231;Thali;28 Greenwich Avenue;New York, NY, 10011;28 Greenwich Ave
3232;Thalia;828 8th Avenue;New York, NY, 10019;828 8th Ave
3233;That Little Cafe;147 East Houston Street;New York, NY,;147 E Houston St
3234;The Alamo;304 East 48th Street;New York, NY, 10017;304 E 48th St
3235;The Algonquin;59 West 44th Street;New York, NY, 10036;59 W 44th St
3236;The American;235 Mulberry Street;New York, NY, 10012;235 Mulberry St
3237;The Australian;20 West 38th Street;New York, NY, 10017;20 W 38th St
3238;The Back Page;1472 3rd Avenue at 83rd Street;New York, NY, 10028;1472 Third Ave.
3239;The Bar @ Etats-Unis;242 East 81st Street;New York, NY, 10028;242 E 81st St
3240;The Belgian Room;121 St. Marks Place;New York City, NY, 10009;121 St Marks Pl
3241;The Blue Seats;157 Ludlow Street;New York, NY, 10002;157 Ludlow St
3242;The Break;232 8th Avenue;New York, NY, 10011;232 8th Ave
3243;The Cake Atelier Llc;32 Union Square East Streete 310;New York, NY, 10003;32 Union Square E
3244;The Central Park Boathouse;119 Central Park West;New York, NY, 10021;119 Central Park West
3245;The Chirping Chicken;1260 Lexington Avenue at 85th Street;New York, NY, 10028;1260 Lexington Ave
3246;The Chirping Chicken;350 Amsterdam Avenue at 77th Street;New York, NY, 10024;350 Amsterdam Ave
3247;The Coliseum;312 West 58TH Street Streete 1;New York, NY, 10019;312 West 58TH Street Streete 1
3248;The Collins Bar (CLOSED);735 8th Avenue;New York, NY, 10036;735 8th Ave
3249;The Comfert Diner;142 East 86th Street;New York, NY, 10028;142 East 86th St
3250;The Comfort Diner;214 East 45th Street;New York, NY, 10017;214 E 45th St
3251;The Cottage;1034 Amsterdam Avenue at 111th Street;New York, NY, 10025;1034 Amsterdam Ave
3252;The Cottage;360 Amsterdam Avenue at 77th Street;New York, NY, 10024;360 Amsterdam Ave
3253;The Cottage;33 Irving Place;New York, NY, 10003;33 Irving Pl
3254;The Country Kebab;76 Fulton Street at Gold Street;New York, NY, 10038;76 Fulton St
3255;The Diner;44 9th Avenue;New York, NY, 10011;44 9th Ave
3256;The Dining Room At Country;90 Madison Avenue;New York, NY, 10016;90 Madison Ave
3257;The Doughnut Plant;379 Grand Street;New York, NY, 10002;379 Grand St
3258;The EU;235 East 4th Street;New York, NY, 10009;235 E 4th St
3259;The Elephant;58 East 1st Street;New York, NY, 10003;58 E 1st St
3260;The Golden Unicorn;18 East Broadway at Catherine Street;New York, NY, 10002;18 E Broadway
3261;The Great Burrito;405 Amsterdam Avenue;New York, NY, 10024;405 Amsterdam Ave
3262;The Greek Kitchen;889 10th Avenue;New York, NY, 10019;889 10th Ave
3263;The Green Table;Chelsea Market Building;New York, IN, 10011;75 9th Ave
3264;The Half King;505 West 23rd Street;New York, NY, 10011;505 W 23rd St
3265;The Harrison;355 Greenwich Street;New York, NY, 10013;355 Greenwich St
3266;The Health Food Café & Luncheonette (Village Yogurt);547 5th Avenue;New York, NY, 10011;547 5th Ave
3267;The House;121 East 17th Street;New York, NY, 10003;121 E 17th St
3268;The House Of Brews;363 West 46th Street;New York, NY, 10036;363 W 46th St
3269;The House of Brews;302 West 51st Street;New York, NY, 10009;302 W 51st St
3270;The Inn LW12;7 9th Avenue;New York, NY, 10014;7 9th Ave
3271;The Irish Rogue;356 West 44th Street;New York, NY, 10036;356 W 44th St
3272;The Kitchen Club;30 Prince Street;New York, NY, 10012;Little Cupcake Bakeshop (Meeting Place)
3273;The Leopard Restaurant;253 East 50th Street;New York, NY, 10022;253 E 50th St
3274;The Little Owl;90 Bedford Street;New York, NY, 10014;Apartment Building from the TV Show Friends
3275;The Little Place;73 West Broadway at Warren Street;New York, NY, 10007;73 W Broadway
3276;The Little Place;61 Warren Street at West Broadway;New York, NY, 10007;61 Warren St
3277;The Lobster Place;436 West 16th Street;New York, NY, 10011;436 W 16th St
3278;The Manhattan Club;800 7th Avenue;New York, NY, 10019;800 7th Ave
3279;The Mill;2895 Broadway;New York, NY, 10025;2895 Broadway
3280;The Modern;Museum of Modern Art;New York, NY, 10019;11 W 53rd St
3281;The Morgan;225 Madison Avenue Between 36th and 37th Streets;New York, NY, 10016;225 Madison Ave
3282;The Orchard;162 Orchard Street;New York, NY, 10002;WASSAIL
3283;The Organic Grill;123 1st Avenue;New York, NY, 10003;123 1st Avenue
3284;The Park;118 10th Avenue;New York, NY, 10011;118 10th Ave
3285;The Place on West 10th (CLOSED);142 West 10th Street;New York, NY, 10014;142 W 10th St
3286;The Randolph;349 Broome Street;New York, NY, 10013;349 Broome St
3287;The Red Cat;227 10th Avenue;New York, NY, 10011;227 10th Ave
3288;The Sanctuary;25 1st Avenue;New York, NY, 10003;25 1st Avenue
3289;The Stanton Social;99 Stanton Street;New York, NY, 10002;99 Stanton St
3290;The Steakhouse Mortons;551 5th Avenue;New York, NY, 10036;551 5th Ave
3291;The Sweet Life;63 Hester Street at Ludlow Street;New York, NY, 10002;63 Hester St
3292;The Tasting Room;72 East 1st Street;New York, NY, 10012;72 E 1st St
3293;The Tasting Room (CLOSED);264 Elizabeth Street;New York, NY, 10012;264 Elizabeth St
3294;The Temple In The Village;74 West 3rd Street;New York, NY, 10012;74 W 3rd St
3295;The Ultimate Pasta;401 East 57th Street;New York, NY, 10022;401 E 57th St
3296;The Ultimate Pizza;401 East 57th Street;New York, NY, 10022;401 E 57th St
3297;The Upstairs At;21 West 52nd Street;New York, NY, 10019;21 W 52nd St
3298;The Viceroy;160 8th Avenue;New York, NY, 10003;160 8th Ave
3299;The Vietnamese Sandwich;Banh Mi Saigon - under the Manhattan Bridge;New York, NY,;198 Grand St
