;restaurant;address;country;country_code;neighborhood;type;cost;addressGoogle
902;Slane;102 MacDougal St;New York;NY;West Village;Irish;$$;102 MacDougal St
903;Smith & Wollensky;797 Third Ave;New York;NY;Midtown East;Steakhouse;$$$;797 3rd Ave
904;Smorgas Chef;283 W. 12th St.;New York;NY;;Scandinavian;;283 W 12th St
905;Snack;105 Thompson St;New York;NY;SOHO;Greek;$;105 Thompson St
906;Snack Taverna;63 Bedford St;New York;NY;West Village;Greek;$$;63 Bedford St
907;Soba-Ya;229 E Ninth St;New York;NY;East Village;Asian;$;229 E 9th St
908;Sofrito;400 E. 57th St.;New York;NY;;Nuevo Latino;$$;400 E 57th St
909;Sol Y Sombra;462 Amsterdam Ave;New York;NY;Upper West Side;Spanish;$;462 Amsterdam Ave
910;Solera;216 E 53rd St;New York;NY;Midtown East;Spanish;$$$;216 E 53rd St
911;Son Cubano;361 Greenwich St;New York;NY;Meatpacking District;Cuban;$$$;361 Greenwich St
912;Soto;357 Sixth;New York;NY;Greenwich Village;Sushi;$$$;357 6th Ave
913;Soto;357 Sixth Avenue;New York;NY;Greenwich Village;Sushi;$$$$;357 6th Ave
914;Southside Cafe;252 W 47th Street;New York;NY;Theater;Italian;$$;252 W 47th St
915;Sparks Steak House;210 E 46th Street;New York;NY;Midtown East;Steakhouse;$$$;210 E 46th St
916;Spice;1411 Second Ave;New York;NY;Upper East Side;Asian;$;1411 2nd Ave
917;Spice;104 Second Ave.;New York;NY;East Village;Thai;$$;104 2nd Ave
918;Spice Market;403 W 13th St;New York;NY;Meatpacking District;Malaysian;$$$;403 W 13th St
919;Spigolo;1561 Second Ave;New York;NY;Upper East Side;Italian;$$$;1561 2nd Ave
920;Spotlight Live;1604 Broadway;New York;NY;Theater;American;$$$$;1604 Broadway
921;Spotted Pig;The, 314 W 11th St;New York;NY;West Village;British;$$$;314 W 11th St
922;Spring St Natural Restaurant;62 Spring St;New York;NY;NoLita;Vegetarian;$;62 Spring St
923;Stage Deli;834 Seventh Avenue;New York;NY;Midtown West;Deli;$;834 7th Ave
924;Stand;24 E. 12th Street;New York;NY;Greenwich Village;American;$;24 E 12th St
925;Stanton Social;99 Stanton St;New York;NY;Lower East Side;International;$$$;99 Stanton St
926;Stanton Social Club;99 Stanton Street;New York;NY;;Small Plates;$$$;99 Stanton St
927;Steak Frites;9 East 16th Street;New York;NY;Union Square;French;$$;9 E 16th St
928;Stella Di Mare;346 Lexington Avenue;New York;NY;Murray Hill;Italian;$$$;346 Lexington Ave
929;Stella Maris;213 Front St.;New York;NY;Financial District;European;$$;213 Front St
930;Strip House;13 E 12th St;New York;NY;Greenwich Village;Steakhouse;$$$;13 E 12th St
931;Suba;109 Ludlow St;New York;NY;Lower East Side;Spanish;$$$;109 Ludlow St
932;Suenos;311 W 17th St;New York;NY;Chelsea;Mexican;$$$;311 W 17th St
933;Sugiyama;251 W 55th St;New York;NY;Midtown West;Japanese;$$$$;251 W 55th St
934;Sui;54 Spring Street;New York;NY;Lower East Side;Japanese;$$$;54 Spring St
935;Supper;156 E Second St;New York;NY;East Village;Italian;$$;156 E 2nd St
936;Surya;302 Bleecker St;New York;NY;West Village;Indian;$$;302 Bleecker St
937;Sushi Of Gari;402 E 78th St;New York;NY;Upper East Side;Sushi;$$$$;402 E 78th St
938;Sushi Samba;245 Park Ave South;New York;NY;Flatiron;Sushi;$$$;245 Park Ave S
939;Sushi Seki;1143 1st Ave;New York;NY;Upper East Side;Sushi;$$$;1143 1st Avenue
940;Sushi Yasuda;204 E 43rd St;New York;NY;Midtown East;Japanese;$$$$$;204 E 43rd St
941;Sushi Zen;108 W 44th St;New York;NY;Midtown West;Sushi;$$$;108 W 44th St
942;Sushisamba 7;87 Seventh Ave South;New York;NY;Greenwich Village;Sushi;$$$;87 7th Ave S
943;Swagat Indian Cuisine;411a Amsterdam Ave;New York;NY;;;;411A Amsterdam Ave
944;Swing 46;349 W. 46 St;New York;NY;Theater;American;$$$;349 W 46th St
945;Swizz;310 W 53rd St;New York;NY;Midtown West;Swiss;$$;310 W 53rd St
946;Tabla;11 Madison Ave;New York;NY;Gramercy Park;Indian;$$$$;11 Madison Ave
947;Taboon;773 10th Ave;New York;NY;Midtown West;Mediterranean;$$$;773 10th Ave
948;Tailor;525 Broome St.;New York;NY;;;;525 Broome St
949;Takahachi Tribeca;145 Duane St;New York;NY;TriBeCa;Japanese;$$;145 Duane St
950;Talay;701 W 135th St;New York;NY;Harlem;Thai;$$$;701 W 135th St
951;Tamarind;41-43 E 22nd St;New York;NY;Flatiron;Indian;$$$;41 E 22nd St #43
952;Tang Pavilion;65 W 55th St;New York;NY;Midtown West;Chinese;$$;65 W 55th St
953;Tao;42 E 58th Street;New York;NY;Midtown East;Asian;$$$;42 E 58th St
954;Taormina;147 Mulberry St;New York;NY;Little Italy;Italian;$$;147 Mulberry St
955;Tartine;253 W 11th St;New York;NY;West Village;French;$;253 W 11th St
956;Tasting Room;72 E First St;New York;NY;East Village;American;$$$;72 E 1st St
957;Tavern on the Green;Central Park W.;New York;NY;;;;Central Park West
958;Tea & Sympathy;108 Greenwich Ave;New York;NY;West Village;British;$;108 Greenwich Ave
959;Telepan;72 West 69th Street;New York;NY;Midtown West;American;$$$$;72 W 69th St
960;Tello's;263 W 19th St;New York;NY;Chelsea;Italian;$$;263 W 19th St
961;Tenzan;285 Columbus Ave;New York;NY;Upper West Side;Japanese;$$;285 Columbus Ave
962;Tenzan;988 Second Avenue;New York;NY;Midtown East;Sushi;$$$$;988 2nd Ave
963;Tequila's Chito's Mexican Bar & Grill;358 W 23rd St;New York;NY;Chelsea;Mexican;$$;358 W 23rd St
964;Teresa's;103 1st Ave;New York;NY;East Village;Polish;$;103 1st Avenue
965;Terrace In The Sky;400 West 119th Street;New York;NY;Upper West Side;French;$$;Butler Hall
966;The American;235 Mulberry St.;New York;NY;NoLita;American;$;235 Mulberry St
967;The Cafe Carlyle;35 E 76 St;New York;NY;;;;35 E 76th St
968;The Cupping Room Cafe;359 West Broadway;New York;NY;;;;359 W Broadway
969;The Four Seasons;99 E 52nd St;New York;NY;Midtown East;Continental;$$$$;99 E 52nd St
970;The Harrison;355 Greenwich St;New York;NY;TriBeCa;American;$$$;355 Greenwich St
971;The House;121 E. 17th Street;New York;NY;Gramercy Park;Mediterranean;$$$$;121 E 17th St
972;The Mezzanine Restaurant;235 W 46th Street;New York;NY;Theater;Mediterranean;$$;235 W 46th St
973;The Modern;9 W 53rd St;New York;NY;Midtown West;American;$$$$;9 W 53rd St
974;The New French;522 Hudson St;New York;NY;Greenwich Village;French;$$$;522 Hudson St
975;The Pink Tea Cup;42 Grove St;New York;NY;West Village;Southern;$;42 Grove St
976;The Place;310 W Fourth St;New York;NY;West Village;American;$$$;310 West 4th Street
977;The Place on West 10th;142 W 10th St;New York;NY;Greenwich Village;American;$$$;142 W 10th St
978;The Pump Energy Food;275 Madison Ave.;New York;NY;;;;275 Madison Ave
979;The Redhead;349 E. 13th Street;New York;NY;East Village;American;$$$;349 E 13th St
980;The Sunburnt Cow;137 Avenue C;New York;NY;East Village;Australian;$;137 Loisaida Ave
981;Thor;Hotel on Rivington;New York;NY;Lower East Side;American;$$$$;107 Rivington St
982;Three Of Cups;83 First Ave;New York;NY;East Village;Italian;$;83 1st Avenue
983;Tia Pol;205 Tenth Ave;New York;NY;Chelsea;Spanish;$$;205 Amsterdam Ave
984;Tocqueville;1 E 15th St;New York;NY;Union Square;American;$$$$;1 E 15th St
985;Tomo;2850 Broadway;New York;NY;Harlem;Sushi;$;2850 Broadway
986;Tomoe Sushi;172 Thompson St;New York;NY;Greenwich Village;Sushi;$$;172 Thompson St
987;Tong;39 E. 13th St.;New York;NY;;Thai;$$$;39 E 13th St
988;Tony's Di Napoli;1606 2nd Avenue;New York;NY;;;;1606 2nd Ave
989;Town;Chambers Hotel, 15 West 56th St;New York;NY;Midtown West;American;$$$$;15 W 56th St
990;Trattoria Dell'Arte;900 Seventh Ave;New York;NY;Midtown West;Italian;$$$;900 7th Ave
991;Tribeca Grill;375 Greenwich St;New York;NY;TriBeCa;American;$$$;375 Greenwich St
992;Triomphe;49 West 44th Street;New York;NY;Midtown West;French;$$$$;49 W 44th St
993;Troy Turkish Grill;539 9th Ave;New York;NY;Midtown West;Turkish;$;539 9th Ave
994;Tsampa;212 E Ninth St;New York;NY;East Village;Southeast Asian;$;212 E 9th St
995;Tse Yang;34 East 51st Street;New York;NY;Midtown East;Chinese;$$$;34 E 51st St
996;Turkish Cuisine;631 9th Ave;New York;NY;Midtown West;Middle Eastern;$$;631 9th Ave
997;Turkish Kitchen;386 Third Ave;New York;NY;Midtown East;Turkish;$$$$;386 3rd Ave
998;Turkuaz;2637 Broadway;New York;NY;Harlem;Middle Eastern;$$;2637 Broadway
999;Tuscan Square;16 W 51st St;New York;NY;Midtown West;Italian;$$$;16 W 51st St
1000;Two Boots Lower East Side;384 Grand Street;New York;NY;Lower East Side;Pizza;$;384 Grand St
1001;Two Boots Rock Center;30 Rockefeller Plaza;New York;NY;Midtown West;Pizza;$;30 Rockefeller Plaza
1002;Two Boots To Go;42 Avenue A;New York;NY;East Village;Pizza;$;42 Avenue A
1003;Two Boots To Go Go;74 Bleecker Street;New York;NY;SOHO;Pizza;$;74 Bleecker St
1004;Two Boots To Go West;201 West 11th Street;New York;NY;West Village;Pizza;$;201 W 11th St
1005;Una Pizza Napoletana;349 E 12th St;New York;NY;East Village;Pizza;$;349 E 12th St
1006;Uncle Jack's Steakhouse-Nyc;440 9th Avenue;New York;NY;Midtown East;Steakhouse;$$$;440 9th Ave
1007;Uncle Nick's;747 9th Ave;New York;NY;Midtown West;Greek;$$;747 9th Ave
1008;Union Square Cafe;21 E 16th St;New York;NY;Union Square;American;$$$$;21 E 16th St
1009;Upstairs;130 W Broadway, 2nd Fl;New York;NY;TriBeCa;International;$$$;130 W Broadway 2nd Fl
1010;Urena;37 E 28th St;New York;NY;Gramercy Park;Spanish;$$$;37 E 28th St
1011;Uskudar Turkish Restaurantt;1405 Second Ave;New York;NY;Upper East Side;Middle Eastern;$$;1405 2nd Ave
1012;Utsav;1185 Sixth Ave, 2nd Fl;New York;NY;Midtown West;Indian;$$$;1185 6th Ave 2nd Fl
1013;Varietal;138 W. 25th Street;New York;NY;Chelsea;American;$$$$;138 W 25th St
1014;Vatan;409 Third Ave;New York;NY;Gramercy Park;Indian;$$;409 3rd Ave
1015;Veniero's;342 E 11th St;New York;NY;East Village;American;$;342 E 11th St
1016;Vento;675 Hudson St;New York;NY;Meatpacking District;Italian;$$$;675 Hudson St
1017;Veritas;43 E 20th St;New York;NY;Union Square;American;$$$$;43 E 20th St
1018;Veselka Restaurant;144 2nd Ave;New York;NY;East Village;American;$;144 2nd Ave
1019;Vespa Cibobouno;1625 Second Ave;New York;NY;;;;1625 2nd Ave
1020;Via Brasil;34 W 46 St;New York;NY;Midtown West;South American;$$;34 W 46th St
1021;Viceversa;325 W 51st St;New York;NY;Midtown West;Italian;$$$$;325 W 51st St
1022;Vico Ristorante;1302 Madison Ave;New York;NY;Upper East Side;Italian;$$$;1302 Madison Ave
1023;Victor's Cafe;236 West 52 St;New York;NY;Midtown West;Cuban;$$$;236 W 52nd St
1024;Villa Mosconi Restaurant;69 Macdougal St;New York;NY;Greenwich Village;Italian;$$$;69 MacDougal St
1025;Village;62 W Ninth St;New York;NY;Greenwich Village;French;$$$;62 W 9th St
1026;Vincent's Restaurant;119 Mott St;New York;NY;Little Italy;Italian;$$;119 Mott St
1027;Vintage Irving;118A E. 15th St.;New York;NY;Union Square;Small Plates;$$$;118A E 15th St
1028;Vong;200 East 54th St;New York;NY;Midtown East;Thai;$$$$;200 E 54th St
1029;Waikiki Wally's;101 East 2nd Street;New York;NY;East Village;Hawaiian;$$$;101 E 2nd St
1030;Walker's;16 N Moore St;New York;NY;TriBeCa;American;$;16 N Moore St
1031;Wallse;344 W 11th St;New York;NY;West Village;Austrian;$$$$;344 W 11th St
1032;Wd-50;50 Clinton St;New York;NY;Murray Hill;American;$$$$;50 Clinton St
1033;Westville;210 W 10th St;New York;NY;West Village;American;$;210 W 10th St
1034;Westville East;173 Ave. A;New York;NY;East Village;American;$;173 Avenue A
1035;Whym;889 Ninth Ave.;New York;NY;;;;889 9th Ave
1036;Wichcraft;397 Greenwich St;New York;NY;TriBeCa;American;$;397 Greenwich St
1037;Wild Ginger;51 Grove St.;New York;NY;;Thai;$$$;51 Grove St
1038;Wildwood BBQ;225 Park Avenue South;New York;NY;Gramercy Park;Barbecue;$$$;AMERICAN WOOLEN BUILDING
1039;Wo Hop Restaurant;17 Mott St;New York;NY;;;;17 Mott St
1040;Wogies Restaurant;39 Greenwich Ave;New York;NY;West Village;American;$;39 Greenwich Ave
1041;Wolfgang's Steakhouse;4 Park Avenue;New York;NY;Murray Hill;Steakhouse;$$$$;Park Ave
1042;Wollensky's Grill;205 East 49th Street;New York;NY;Midtown East;American;$$$;205 E 49th St
1043;Won Jo;23 W 32nd St;New York;NY;Midtown West;Korean;$$;23 W 32nd St
1044;Woo Lae Oak;148 Mercer St;New York;NY;SOHO;Korean;$$$;148 Mercer St
1045;Xing;785 Ninth Ave;New York;NY;Midtown West;Asian;$$$;785 9th Ave
1046;Xunta;174 First Ave;New York;NY;East Village;Spanish;$;174 1st Avenue
1047;Yakitori Totto;251 W. 55th St., 2nd fl;New York;NY;Midtown West;Japanese;$$$;251 W 55th St 2nd fl
1048;Yama;38-40 Carmine St;New York;NY;Midtown East;Sushi;$$;38-40 Carmine St
1049;Yozakura Kushiyaki Bar;168 Ludlow St;New York;NY;Lower East Side;Japanese;$;168 Ludlow St
1050;Yuca Bar;111 Ave A;New York;NY;East Village;Nuevo Latino;$;111 Avenue A
1051;Yuka;1557 2nd Ave;New York;NY;;;;1557 2nd Ave
1052;Yuki Sushi;656 Amsterdam Ave;New York;NY;Upper West Side;Sushi;$;656 Amsterdam Ave
1053;Za3calo;174 E 82nd St;New York;NY;Upper East Side;Mexican;$$;174 E 82nd St
1054;Zabar's Cafe;2245 Broadway;New York;NY;Upper West Side;Deli;$;2245 Broadway
1055;Zarela's;953 Second Ave;New York;NY;Midtown East;Mexican;$$$;953 2nd Ave
1056;Zebu Grill;305 E 92nd St;New York;NY;Upper East Side;South American;$$;305 E 92nd St
1057;Zen Palate;34 East Union Sq;New York;NY;Union Square;Vegetarian;$;34 Union Square E
1058;Zerza;304 E Sixth St;New York;NY;East Village;Moroccan;$$;304 E 6th St
1059;Zeytin;519 Columbus Ave;New York;NY;Upper West Side;Turkish;$$;519 Columbus Ave
1060;Zoe;90 Prince St;New York;NY;SOHO;American;$$$;90 Prince St
1061;Zoma;2084 Frederick Douglass Blvd.;New York;NY;Harlem;Ethiopian;$$;2084 Frederick Douglass Blvd
1062;Zona Rosa;40 W 56th St;New York;NY;;;;40 W 56th St
1063;Zum Schneider;107 Ave C;New York;NY;East Village;German;$;107 Loisaida Ave
1064;Zuni;598 Ninth Ave;New York;NY;Theater;American;$$;598 9th Ave
1065;Zutto;77 Hudson Street;New York;NY;TriBeCa;Sushi;$$;77 Hudson St
1066;db Bistro Moderne;55 W 44th Street;New York;NY;Midtown West;French;$$$$;55 W 44th St
1067;earth NYC;116a 10th Avenue;New York;NY;Chelsea;Asian;$$;116A 10th Ave
1068;p*ong;150 W. 10th Street;New York;NY;Greenwich Village;Dessert;$$;150 W 10th St
