;restaurant;address;neighborhood;addressGoogle
1239;Sokobolie;2529 8th Ave.;Harlem;2529 Frederick Douglass Blvd
1240;Sophie's Cuban Cuisine;96 Chambers St.;Financial District;96 Chambers St
1241;Sorella;95 Allen St.;East Village;95 Allen St
1242;Soto;357 Sixth Ave.;West Village;357 6th Ave
1243;Soul Fixins';371 W 34th St.;Chelsea;371 W 34th St
1244;Southern Hospitality;1460 Second Ave.;East 70s;1460 2nd Ave
1245;Soy;102 Suffolk St.;Lower East Side;102 Suffolk St
1246;Spain;113 W 13th St.;West Village;113 W 13th St
1247;Spice;104 2nd Ave.;East Village;104 2nd Ave
1248;Spice;60 University Place;Greenwich Village;60 University Pl
1249;Spice;199 8th Ave.;Chelsea;199 8th Ave
1250;Spice;1411 2nd Ave.;East 70s;1411 2nd Ave
1251;Spice Market;403 W 13th St.;West Village;403 W 13th St
1252;Spiga;200 West 84th St.;West 80s;200 W 84th St
1253;Spitzer's Corner;101 Rivington St.;Lower East Side;101 Rivington St
1254;Spotted Pig;314 W 11th St.;West Village;314 W 11th St
1255;Spring Street Natural Restaurant;62 Spring St.;Soho;62 Spring St
1256;St. Andrews;120 W 44th St.;West 40s;120 W 44th St
1257;St. Marks Ale House;2 St. Marks Pl.;East Village;2 St Marks Pl
1258;Stand;24 E 12th St.;East Village;24 E 12th St
1259;Steak Frites;225 Varick St.;Greenwich Village;225 Varick St
1260;Stout NYC;133 W 33rd St.;Chelsea;133 W 33rd St
1261;Strange Taste;20 Henry St.;Chinatown;20 Henry St
1262;Strip House;13 E 12th St.;East Village;13 E 12th St
1263;Suba;109 Ludlow St.;Lower East Side;109 Ludlow St
1264;Sueños;311 W 17th St.;Chelsea;311 W 17th St
1265;Sugar Sweet Sunshine Bakery;126 Rivington St.;Lower East Side;126 Rivington St
1266;Sukhadia's Gokul Indian Gourmet;17 W 45th St.;West 40s;17 W 45th St
1267;Sumile;154 W 13th St.;West Village;154 W 13th St
1268;Sun Dou;214 Grand St.;Soho;214 Grand St
1269;Sunburnt Cow;137 Ave. C;East Village;137 Loisaida Ave
1270;Sunrise Cuisine;2317 First Ave.;East Harlem;2317 1st Avenue
1271;Sunrise Mart;4 Stuyvesant St.;East Village;4 Stuyvesant St
1272;Super Taste;26 Eldridge St.;Chinatown;26 Eldridge St
1273;Supermac;348 Seventh Ave.;Chelsea;348 7th Ave
1274;Supper Restaurant;156 E. 2nd Street;East Village;156 E 2nd St
1275;Sushi A la Kawa;22 Maiden Ln.;Financial District;22 Maiden Ln
1276;Sushi Samba;245 Park Ave. South;Gramercy Park;245 Park Ave S
1277;Sushi Seki;1143 First Ave.;East 60s;1143 1st Avenue
1278;Sushi Yasuda;204 E 43rd St.;East 40s;204 E 43rd St
1279;Sushi Zen;108 W 44th St.;West 40s;108 W 44th St
1280;Sushisay;38 E 51st St.;East 50s;38 E 51st St
1281;Suteishi;24 Peck Slip;South Street Seaport;24 Peck Slip
1282;Sweetiepie;19 Greenwich Ave.;Greenwich Village;19 Greenwich Ave
1283;TOMO;2850 Broadway;West 100s;2850 Broadway
1284;Taam Tov;46 West 47th St.;West 40s;46 W 47th St
1285;Tabla Frankie Cart;11 Madison Ave.;Flatiron;11 Madison Ave
1286;Tacocina;714 Ninth Ave.;West 40s;714 9th Ave
1287;Tahini;23 3rd Ave.;East Village;23 3rd Ave
1288;Tailor;525 Broome St.;Soho;525 Broome St
1289;Taim;222 Waverly Pl.;West Village;222 Waverly Pl
1290;Takahatchi;85 Ave. A;East Village;85 Avenue A
1291;Taksim;1030 Second Ave.;East 50s;1030 2nd Ave
1292;Tamarind;41-43 E. 22nd St.;Flatiron;41 E 22nd St #43
1293;Tamil Nadu Bhavan;102 Lexington Ave.;Murray Hill;102 Lexington Ave
1294;Tang Pavilion;65 W 55th St.;West 50s;65 W 55th St
1295;Taqueria y Fonda;968 Amsterdam Ave.;West 100s;968 Amsterdam Ave
1296;Tartine;253 W 11th St.;West Village;253 W 11th St
1297;Tavern on Jane;31 8th Ave.;West Village;31 8th Ave
1298;Tavern on the Green;67 Central Park W;West 60s;67 Central Park West
1299;Tebaya;144 W 19th St.;Chelsea;144 W 19th St
1300;Telepan;72 W 69th St.;West 60s;72 W 69th St
1301;Telephone;149 2nd Ave.;East Village;149 2nd Ave
1302;Tello's Ristorante;263 W 19th St.;Chelsea;263 W 19th St
1303;Temple in the Village;74 W 3rd St.;Greenwich Village;74 W 3rd St
1304;Terry's Gourmet;575 Sixth Ave.;Chelsea;575 6th Ave
1305;Tet;83 Ave. A;East Village;83 Avenue A
1306;Texas Smokehouse BBQ;637 2nd Ave.;Murray Hill;637 2nd Ave
1307;Thai Market;960 Amsterdam Ave.;West 100s;960 Amsterdam Ave
1308;Thai So'n;89 Baxter St.;Chinatown;89 Baxter St
1309;Thalassa Restuarant;179 Franklin St.;Tribeca;179 Franklin St
1310;The Country Kebab;76 Fulton St.;Financial District;76 Fulton St
1311;The Crooked Knife;29 e. 30th St.;Murray Hill;29 E 30th St
1312;The Cupping Room Cafe, Inc.;359 W. Broadway;Soho;359 W Broadway
1313;The E.U.;235 E. Fourth St.;East Village;235 E 4th St
1314;The Elephant;58 E. First St.;East Village;58 E 1st St
1315;The Grey Dog's Coffee;33 Carmine St.;West Village;33 Carmine St
1316;The Harrison;355 Greenwich St.;Tribeca;355 Greenwich St
1317;The Irish Punt;40 Exchange Place;Financial District;40 Exchange Pl
1318;The John Dory;85 Tenth Ave, New York;Chelsea;US-NYC-8510
1319;The Mill;2895 Broadway;West 100s;2895 Broadway
1320;The Modern;11 W 53rd St.;West 50s;11 W 53rd St
1321;The New French;522 Hudson St.;West Village;522 Hudson St
1322;The Oak Room;59 W 44th St.;West 40s;59 W 44th St
1323;The Orchard;162 Orchard St.;Lower East Side;WASSAIL
1324;The Palm;837 2nd Ave.;East 40s;837 2nd Ave
1325;The Park;118 10th Ave.;Chelsea;118 10th Ave
1326;The Red Cat;227 10th Ave.;Chelsea;227 10th Ave
1327;The Silver Swan;41 E 20th St.;Flatiron;41 E 20th St
1328;The Smith;55 3rd Ave.;East Village;55 3rd Ave
1329;The Stanton Social;99 Stanton St.;Lower East Side;99 Stanton St
1330;The Tasting Room;72 E. First St.;East Village;72 E 1st St
1331;The Trailer Park Lounge;271 W 23rd St.;Chelsea;271 W 23rd St
1332;The Water Club;500 E 30th St.;Murray Hill;500 E 30th St
1333;Thor;107 Rivington St.;Lower East Side;107 Rivington St
1334;Three of Cups;83 First Ave.;East Village;83 1st Avenue
1335;Tia Pol;205 10th Ave.;Chelsea;205 10th Ave
1336;Tiffin Wallah;127 East 28th Street;Murray Hill;127 E 28th St
1337;Times Square Brewery;210 W 42nd St.;East 40s;210 W 42nd St
1338;Tiny's Giant Sandwich Shop;129 Rivington St.;Lower East Side;129 Rivington St
1339;Todai;6 E 32nd St.;Murray Hill;6 E 32nd St
1340;Tokyo La Men;90 University Pl.;Greenwich Village;90 University Pl
1341;Tokyo Lunch;10 John St.;Financial District;10 John St
1342;Toloache;251 W 50th St.;West 50s;251 W 50th St
1343;Tomoe Sushi;172 Thompson St.;Greenwich Village;172 Thompson St
1344;Totally Baked;8 W 18th St.;Chelsea;8 W 18th St
1345;Totonno's;462 Second Ave.;Murray Hill;462 2nd Ave
1346;Tout Va Bien;311 W 51st St.;West 50s;311 W 51st St
1347;Trattoria Spaghetto;232 Bleecker St.;West Village;232 Bleecker St
1348;Treichville;339 E 118th St.;East Harlem;339 E 118th St
1349;Trestle on Tenth;242 10th Ave.;Chelsea;242 10th Ave
1350;Tribeca Grill;375 Greenwich Street;Tribeca;375 Greenwich St
1351;Trigo;268 W. Broadway;Tribeca;268 W Broadway
1352;Troy;539 9th Ave.;West 40s;539 9th Ave
1353;Tu Quynh Center;230 Grand St.;Chinatown;230 Grand St
1354;Tulcingo Del Valle Grocery;665 Tenth Ave.;West 40s;665 Amsterdam Ave
1355;Turkuaz;2637 Broadway;West 100s;2637 Broadway
1356;Two Boots;201 W 11th St.;West Village;201 W 11th St
1357;Two Boots;30 Rockefeller Plz.;West 40s;30 Rockefeller Plaza
1358;Two Boots;42 Ave. A;East Village;42 Avenue A
1359;Two Boots;Grand Central Station;East 40s;89 E 42nd St
1360;Two Boots;74 Bleecker St.;Greenwich Village;74 Bleecker St
1361;Two Boots Tavern;;;
1362;Two Times Square;714 Seventh Ave.;West 40s;714 7th Ave
1363;Txikito;240 Ninth Ave.;Chelsea;240 9th Ave
1364;Udon West;150 E 46th St.;East 40s;150 E 46th St
1365;Udon West;11 St. Marks Place;East Village;11 St Marks Pl
1366;Ulysses;93 Pearl St.;Financial District;93 Pearl St
1367;Una Pizza Napoletana;349 E 12th St.;East Village;349 E 12th St
1368;Uncle Nick's;747 Ninth Ave.;West 50s;747 9th Ave
1369;Union Prime;9 E 16th St, New York;East Village;9 E 16th St
1370;Union Square Cafe;21 E 16th St.;Union Square;21 E 16th St
1371;Ureña;37 E 28th St.;Murray Hill;37 E 28th St
1372;Ushiwakamaru;136 W Houston St.;Greenwich Village;136 W Houston St
1373;Vanessa's Dumplings;220 E. 14th St.;East Village;220 E 14th St
1374;Vegetarian Dim Sum House;24 Pell St.;Chinatown;24 Pell St
1375;Vento;between W. 13th and W. 14th St.;West Village;between W. 13th and W. 14th St.
1376;Veritas;43 E 20th St.;Flatiron;43 E 20th St
1377;Veselka;144 2nd Ave.;East Village;144 2nd Ave
1378;Via Emilia;47 E 21st St.;Flatiron;47 E 21st St
1379;Viceroy;160 8th Ave.;Chelsea;160 8th Ave
1380;Viet Café;345 Greenwich St.;Tribeca;345 Greenwich St
1381;Village Mingala;21 E 7th St.;East Village;21 E 7th St
1382;Village Yokocho;8 Stuyvesant St.;East Village;8 Stuyvesant St
1383;Vintage Irving;120 E15th St.;Union Square;120 E 15th St
1384;Virage;118 Second Ave.;East Village;118 2nd Ave
1385;Virgil's Real Barbecue;152 W 44th St.;West 40s;152 W 44th St
1386;Viva Herbal;179 Second Ave.;East Village;179 2nd Ave
1387;Vynl;507 Columbus Ave.;West 80s;507 Columbus Ave
1388;Vynl;824 9th Ave.;West 40s;824 9th Ave
1389;Vynl;754 9th Ave.;West 50s;754 9th Ave
1390;Vynl;1491 2nd Ave.;West 50s;1491 2nd Ave
1391;Vynl;102 8th Ave.;Chelsea;102 8th Ave
1392;Wa Ji Pork Chip Fast Food;7 Allen St.;Chinatown;7 Allen St
1393;WaWa Canteen;289 Mercer St.;Greenwich Village;289 Mercer St
1394;Wah Fung No. 1 Fast Food;79 Chrystie St.;Chinatown;79 Chrystie St
1395;Waldy's Wood-Fired Pizza & Penne;800 6th Ave.;Chelsea;800 6th Ave
1396;Wall Street Burger Shoppe;30 Water St.;Financial District;30 Water St
1397;Waverly Inn;16 Bank St.;West Village;16 Bank St
1398;Waverly Restaurant;385 6th Ave.;West Village;385 6th Ave
1399;Westville;210 W 10th St.;West Village;210 W 10th St
1400;Westville East;173 Ave. A;East Village;173 Avenue A
1401;Wing Shoon;165 E Broadway;Lower East Side;165 E Broadway
1402;Wok to Walk;106 University Place;Union Square;106 University Pl
1403;Won Jo;23 W 32nd St.;Chelsea;23 W 32nd St
1404;Wondee Siam;813 9th Ave.;West 50s;813 9th Ave
1405;Wonton Garden;56 Mott St.;Chinatown;56 Mott St
1406;Woorijip;12 W 32nd St.;Chelsea;12 W 32nd St
1407;Wu Liang Ye;338 Lexington Ave.;Murray Hill;338 Lexington Ave
1408;XO Kitchen;148 Hester St.;Soho;148 Hester St
1409;Xai Xai;365 W. 51st St.;West 50s;365 W 51st St
1410;Xunta;174 First Ave.;East Village;174 1st Avenue
1411;Yaffa Cafe;97 St. Marks Place;East Village;97 St Marks Pl
1412;Yaffa Café;97 St. Marks Pl.;East Village;97 St Marks Pl
1413;Yakiniku West;218 E 9th St.;East Village;218 E 9th St
1414;Yakitori Taisho;5 Saint Marks Pl.;East Village;5 St Marks Pl
1415;Yakitori Totto;251 W 55th St.;West 50s;251 W 55th St
1416;Yama;122 E 17th St.;Flatiron;122 E 17th St
1417;Yama;92 W Houston St.;Greenwich Village;92 W Houston St
1418;Yama;38-40 Carmine St.;West Village;38-40 Carmine St
1419;Yeah Shanghai Deluxe;65 Bayard St.;Chinatown;65 Bayard St
1420;Yoghurt Place II;71 Sullivan St.;Soho;71 Sullivan St
1421;Yoshi;201 E Houston St.;Lower East Side;201 E Houston St
1422;Yoshinoya;255 W 42nd St.;West 40s;255 W 42nd St
1423;Young City Fish Balls;21 Eldridge St.;Chinatown;21 Eldridge St
1424;Yuca Bar & Restaurant;111 Avenue A;East Village;111 Avenue A
1425;Yum Thai;129 West 44th St.;West 40s;129 W 44th St
1426;Yushi;245 Park Avenue;East 40s;245 Park Avenue
1427;Zabar's Deli & Gourmet Foods;2245 Boradway;West 80s;2245 Broadway
1428;Zabb City;244 E. 13th St.;East Village;244 E 13th St
1429;Zaitzeff;72 Nassau St.;Financial District;72 Nassau St
1430;Zaragoza Grocery;215 Ave. A;East Village;215 Avenue A
1431;Zemi;130 Ninth Ave.;Chelsea;130 9th Ave
1432;Zen Palate;663 9th Ave.;West 40s;663 9th Ave
1433;Zen Palate;104 John St.;Financial District;104 John St
1434;Zip Burger;300 1/2 E 52nd;East 50s;300 1/2 E 52nd St
1435;Zoma;2084 Frederick Douglass Blvd.;Harlem;2084 Frederick Douglass Blvd
1436;Zorzi;1 E 35th St.;Gramercy Park;1 E 35th St
1437;Zum Schneider;107 Ave. C;East Village;107 Loisaida Ave
1438;eleven B.;174 Ave. B.;East Village;174 Avenue B
1439;etcetera etcetera;352 W. 44th St.;West 40s;352 W 44th St
1440;la Focaccia;51 Bank St.;West Village;51 Bank St
1441;wd-50;50 Clinton St.;Lower East Side;50 Clinton St
1442;Ñ;33 Crosby St.;Tribeca;33 Crosby St
