level_0;level_1;ristorante;indirizzoOriginale;indirizzoGoogle;Score;0_restaurant;0_address;0_addressFix;1_restaurant;1_address;1_neighborhood;1_type;1_cost;1_addressFix
;589,000;;;;;;;;Le Pere Pinard;175 Ludlow St;Lower East Side;French;$$;175 Ludlow St, New York, NY 10002, USA
;590,000;;;;;;;;Le Perigord;405 E 52nd St (Between Fdr Dr & 1st Avenue);Midtown East;French;$$$;405 E 52nd St (Between Fdr Dr & 1st Avenue)
;592,000;;;;;;;;Le Zie 2000;172 Seventh Ave;Chelsea;Italian;$$;172 7th Ave, New York, NY 10011, USA
;593,000;;;;;;;;Leela Lounge;1 W. Third St.;Indian;$$;;1 W 3rd St, Media, PA 19063, USA
;594,000;;;;;;;;Les Enfants Terribles;37 Canal St;Lower East Side;African;$$;37 Canal St, New York, NY 10002, USA
;595,000;;;;;;;;Les Halles;411 Park Ave S;Gramercy Park;French;$$$;411 Park Ave S, New York, NY 10016, USA
;596,000;;;;;;;;Les Halles;15 John St;Financial District;French;$$$;15 John St, Selden, NY 11784, USA
;597,000;;;;;;;;Lima's Taste;122 Christopher St;West Village;South American;$;122 Christopher St, New York, NY 10014, USA
;598,000;;;;;;;;Lime Leaf;2799 Broadway;;;;2799 Broadway, San Francisco, CA 94115, USA
;599,000;;;;;;;;Lisca;660 Amsterdam Ave;;;;660 Amsterdam Ave, New York, NY 10025, USA
;600,000;;;;;;;;Little Giant;85 Orchard St;Lower East Side;American;$$$$;85 Orchard St
;601,000;;;;;;;;Little Owl;90 Bedford Street;West Village;American;$$$;Apartment Building from the TV Show Friends, 90 Bedford St, New York, NY 10014, USA
;602,000;;;;;;;;Little Pie Company;Grand Central Station;Midtown East;Bakery;$;Grand Central Station
;603,000;;;;;;;;Loft;505 Columbus Ave;Upper West Side;Mediterranean;$$;505 Columbus Ave, New York, NY 10024, USA
;604,000;;;;;;;;Lombardi's;32 Spring St;NoLita;Pizza;$;32 Spring St, New York, NY 10012, USA
;606,000;;;;;;;;Londel's Supper Club;2620 Frederick Douglas Blvd;Harlem;Southern;$$;2620 Frederick Douglass Blvd, New York, NY 10030, USA
;607,000;;;;;;;;London Bar;151 W. 54th Street;Midtown West;French;$$$$;151 W 54th St, New York, NY 10019, USA
;608,000;;;;;;;;Loreley;7 Rivington St.;German;;;7 Rivington St, New York, NY 10002, USA
;609,000;;;;;;;;Los Dos Molinos;119 E 18th St;Gramercy Park;Southwestern;$$;119 E 18th St, Chicago, IL 60616, USA
;610,000;;;;;;;;Loside;157 E Houston Street;Lower East Side;American;$;157 E Houston St, New York, NY 10002, USA
;611,000;;;;;;;;LuLu;235 Mulberry Street;;;;235 Mulberry St, New York, NY 10012, USA
;612,000;;;;;;;;Lucien;14 1st Ave;East Village;French;$$;14 1st Avenue, New York, NY 10009, USA
;615,000;;;;;;;;Lure;142 Mercer St, Downstairs;SOHO;Seafood;$$$$;142 Mercer St, New York, NY 10012, USA
;616,000;;;;;;;;Lusardi's;1494 Second Ave;Upper East Side;Italian;$$$$;1494 2nd Ave, New York, NY 10075, USA
;617,000;;;;;;;;Luzia's;429 Amsterdam Ave.;;;;429 Amsterdam Ave, New York, NY 10024, USA
;618,000;;;;;;;;Macelleria;48 Gansevoort St;Meatpacking District;Italian;$$$;48 Gansevoort St, New York, NY 10014, USA
;619,000;;;;;;;;Madison Bistro;238 Madison Ave;Murray Hill;French;$$$;238 Madison Ave, New York, NY 10016, USA
;620,000;;;;;;;;Mai House;186 Franklin Street;TriBeCa;Vietnamese;$$$;186 Franklin St, New York, NY 10013, USA
;621,000;;;;;;;;Malatesta Trattoria;649 Washington St;West Village;Italian;$$;649 Washington St, New York, NY 10014, USA
;623,000;;;;;;;;Mama Mexico;214 E. 49th St.;;;;214 E 49th St, New York, NY 10017, USA
;624,000;;;;;;;;Mama! Mexico;2672 Broadway;Midtown East;Mexican;$$;2672 Broadway, New York, NY 10025, USA
;625,000;;;;;;;;Mama's Food Shop;200 E Third St;East Village;American;$;200 E Third St
;626,000;;;;;;;;Mamlouk;211 East 4th St;East Village;Middle Eastern;$$$;211 E 4th St, New York, NY 10009, USA
;627,000;;;;;;;;Mamoun's Falafel Restaurant;119 MacDougal St.;;;;119 MacDougal St, New York, NY 10012, USA
;628,000;;;;;;;;Mandarin Court;61 Mott St;Chinatown;Chinese;$;61 Mott St, New York, NY 10013, USA
;629,000;;;;;;;;Mandoo Bar;2 W 32nd St;Midtown West;Korean;$;2 W 32nd St, New York, NY 10001, USA
;630,000;;;;;;;;Mangia;50 W 57th St Fl 1;Midtown East;Italian;$;50 W 57th St Fl 1, New York, NY 10019, USA
;632,000;;;;;;;;Mare;198 Eighth Ave;Chelsea;Seafood;$$;198 8th Ave, New York, NY 10011, USA
;633,000;;;;;;;;Maremma;228 W 10th St;West Village;Italian;$$$;228 W 10th St, New York, NY 10014, USA
;634,000;;;;;;;;MarkJoseph Steakhouse;261 Water St;Financial District;Steakhouse;$$$$;261 Water St, Augusta, ME 04330, USA
;635,000;;;;;;;;Market Table;54 Carmine St;American;$$$$;;54 Carmine St, New York, NY 10014, USA
;636,000;;;;;;;;Markt;676 6th Avenue;Flatiron;Belgian;$$$;676 6th Ave, New York, NY 10010, USA
;637,000;;;;;;;;Maroons;244 W 16th St;Chelsea;Southern;$$;244 W 16th St, New York, NY 10011, USA
;638,000;;;;;;;;Marseille;630 Ninth Ave;Midtown West;French;$$$;630 9th Ave, New York, NY 10036, USA
;639,000;;;;;;;;Mary Anns Mexican Restaurant;1503 2nd Ave;;;;1503 2nd Ave, New York, NY 10075, USA
;641,000;;;;;;;;Mas (farmhouse);39 Downing St;Greenwich Village;American;$$$$;39 Downing St, New York, NY 10014, USA
;642,000;;;;;;;;Masa;10 Columbus Circle;Upper West Side;Japanese;$$$$$;10 Columbus Cir, New York, NY 10019, USA
;643,000;;;;;;;;Matsuri;369 W 16th St;;;;369 W 16th St, New York, NY 10011, USA
;644,000;;;;;;;;Max;1274 Amsterdam Ave;East Village;Italian;$;1274 Amsterdam Ave, New York, NY 10027, USA
;645,000;;;;;;;;Maya;1191 First Avenue;Midtown East;Mexican;$$$$;1191 First Avenue
;646,000;;;;;;;;Mccormick & Schmick's;1285 Sixth Ave;Midtown West;Seafood;$$$;1285 6th Ave, New York, NY 10019, USA
;647,000;;;;;;;;Mediterraneo;1260 Second Ave;Upper East Side;Italian;$$;1260 2nd Ave, New York, NY 10065, USA
;648,000;;;;;;;;Megu;62 Thomas St;TriBeCa;Japanese;$$$$$;62 Thomas St
;649,000;;;;;;;;Megu Midtown;845 United Nations Plaza;Midtown East;Japanese;$$$$$;845 United Nations Plaza, New York, NY 10017, USA
;650,000;;;;;;;;Meltemi;905 First Ave;Midtown East;Greek;$$$;905 1st Avenue, New York, NY 10022, USA
;651,000;;;;;;;;Mercadito;179 Ave B;East Village;Mexican;$$;179 Avenue B, New York, NY 10009, USA
;652,000;;;;;;;;Mercadito Grove;100 Seventh Ave S;West Village;Mexican;$$;100 Seventh Ave S
;653,000;;;;;;;;Mercat;45 Bond Street;SOHO;Spanish;$$$$;45 Bond St, New York, NY 10012, USA
;655,000;;;;;;;;Mermaid Inn;96 Second Ave;East Village;Seafood;$$$;96 2nd Ave, New York, NY 10003, USA
;656,000;;;;;;;;Mesa Grill;102 5th Ave;Flatiron;Southwestern;$$$$;102 5th Ave, New York, NY 10011, USA
;657,000;;;;;;;;Meskerem;468 W. 47th St.;Ethiopian;;;468 W 47th St, New York, NY 10036, USA
;658,000;;;;;;;;Metisse;239 W 105th St;Upper West Side;French;$$$;239 W 105th St, New York, NY 10025, USA
;659,000;;;;;;;;Metropol;234 W Fourth St;Greenwich Village;French;$$$;234 W Fourth St
;660,000;;;;;;;;Mexican Radio;250 Mulberry St;NoLita;Mexican;$$;250 Mulberry St, New York, NY 10012, USA
;661,000;;;;;;;;Mexicana Mama;525 Hudson St;West Village;Mexican;$$;525 Hudson St, New York, NY 10014, USA
;663,000;;;;;;;;Mi Cocina;57 Jane St;West Village;Mexican;$$$;57 Jane St, New York, NY 10014, USA
;664,000;;;;;;;;Michael Jordan's The Steakhouse N.Y.C.;23 Vanderbilt Ave - Grand Central Staion;Midtown East;Steakhouse;$$$;23 Vanderbilt Ave - Grand Central Staion
;666,000;;;;;;;;Mickey Mantle's;42 Central Park South;Midtown East;American;$$$;42 Central Park S, New York, NY 10019, USA
;667,000;;;;;;;;Midtown;155 E 55th Street;Midtown East;American;$;157 E 55th St, New York, NY 10022, United States
;668,000;;;;;;;;Mill Korean;2895 Broadway;Harlem;Korean;$;2895 Broadway, New York, NY 10025, USA
;669,000;;;;;;;;Minetta Tavern;113 Macdougal Street;Greenwich Village;Italian;$$$;113 MacDougal St, New York, NY 10012, USA
;670,000;;;;;;;;Mingala Burmese;21-23 E Seventh St;East Village;Southeast Asian;$;21 E 7th St #23, New York, NY 10003, USA
;671,000;;;;;;;;Miracle Bar & Grill;415 Bleecker St;West Village;Southwestern;$$;415 Bleecker St, New York, NY 10014, USA
;672,000;;;;;;;;Miss Maude's Spoonbread Too;547 Lenox Ave;Harlem;Southern;$;547 Lenox Ave, New York, NY 10037, USA
;673,000;;;;;;;;Mo Pitkin's;34 Ave A;East Village;Jewish;$$;34 Avenue A, New York, NY 10009, USA
;674,000;;;;;;;;Mobay Uptown Restaurant & Barbecue;17 W 125th St;Harlem;Caribbean;$;17 W 125th St, New York, NY 10027, USA
;675,000;;;;;;;;Mofongo Depot;931 Amsterdam Ave;Upper West Side;Nuevo Latino;$$;931 Amsterdam Ave, New York, NY 10025, USA
;677,000;;;;;;;;Momofuku Ko;163 First Ave;East Village;Chinese;$$$$;163 1st Avenue, New York, NY 10003, USA
;678,000;;;;;;;;Momofuku Noodle Bar;171 First Ave.;East Village;Chinese;$$$;171 1st Avenue, New York, NY 10003, USA
;679,000;;;;;;;;Momofuku Ssam Bar;207 2nd Ave;East Village;Asian;$$$;207 2nd Ave, New York, NY 10003, USA
;680,000;;;;;;;;Momoya;185 Seventh Ave;;;;185 Seventh Ave, Inglewood WA 6052, Australia
;681,000;;;;;;;;Mon Petit Cafe;801 Lexington Ave;Upper East Side;French;$$;801 Lexington Ave, New York, NY 10065, USA
;682,000;;;;;;;;Monkey Bar;60 E 54th Street;Midtown East;American;$$$$;60 E 54th St, New York, NY 10022, USA
;683,000;;;;;;;;Monster Sushi;158 West 23rd St;;;;158 W 23rd St, New York, NY 10011, USA
;684,000;;;;;;;;Montebello;120 E 56th St;Midtown East;Italian;$$$;120 E 56th St, New York, NY 10022, USA
;685,000;;;;;;;;Montrachet - CLOSED;239 W Broadway;West Village;French;$$$$;239 W Broadway, Granville, OH 43023, USA
;686,000;;;;;;;;Moran's;146 Tenth Ave;Chelsea;Seafood;$$$;146 Amsterdam Ave, New York, NY 10023, USA
;687,000;;;;;;;;Morandi;211 Waverly Place;Greenwich Village;Italian;$$$;211 Waverly Pl, New York, NY 10014, USA
;688,000;;;;;;;;Morimoto;88 10th Ave;Chelsea;Japanese;$$$$;88 10th Ave, New York, NY 10011, USA
;689,000;;;;;;;;Morrell Wine Bar & Cafe;1 Rockefeller Plaza;Midtown West;American;$$$;1 Rockefeller Plaza 48Th and, W 49th St, New York, NY 10020, United States
;690,000;;;;;;;;Morton's;The Steakhouse, 551 Fifth Ave;Midtown East;Seafood;$$$$;551 5th Ave, New York, NY 10017, United States
;691,000;;;;;;;;Moustache;90 Bedford Street;West Village;Middle Eastern;$;Apartment Building from the TV Show Friends, 90 Bedford St, New York, NY 10014, USA
;692,000;;;;;;;;Mr. Chow;324 E 57th St;Midtown East;Chinese;$$$$;324 E 57th St, New York, NY 10022, USA
;693,000;;;;;;;;Mr. K's;570 Lexington Ave;Midtown East;Chinese;$$$;570 Lexington Ave
;694,000;;;;;;;;Mrs Lee & Shabu Shabu Wok;121 University Pl;West Village;Asian;$;121 University Pl, New York, NY 10003, USA
;695,000;;;;;;;;Mughlai;320 Columbus Ave;Upper West Side;Indian;$$;320 Columbus Ave, New York, NY 10023, USA
;696,000;;;;;;;;Mustang Sally's;324 Seventh Avenue;Chelsea;American;$$;324 7th Ave, New York, NY 10001, USA
;697,000;;;;;;;;Nebraska Beef;15 Stone St;Wall Street;Steakhouse;$$$$;15 Stone St, New York, NY 10004, USA
;698,000;;;;;;;;Nelson Blue;233 Front Street;Financial District;British;$$;233 Front Street
;701,000;;;;;;;;Nero;46 Gansevoort St;Meatpacking District;Italian;$$$;46 Gansevoort St, New York, NY 10014, USA
;702,000;;;;;;;;New Bo-Ky;80 Bayard St;Chinatown;Asian;$;80 Bayard St, New York, NY 10013, USA
;703,000;;;;;;;;New York Noodle Town;28 Bowery at Bayard Street;SOHO;Asian;$;28 Bowery, New York, NY 10013, USA
;704,000;;;;;;;;Nha Trang;87 Baxter St;Chinatown;Asian;$;87 Baxter St, New York, NY 10013, USA
;705,000;;;;;;;;Nice;35 E Broadway;Chinatown;Chinese;$;35 E Broadway, New York, NY 10002, USA
;706,000;;;;;;;;Nick's;1814 Second Ave;Upper East Side;Italian;$;1814 2nd Ave, New York, NY 10128, USA
;707,000;;;;;;;;Nicky's Vietnamese Sandwiches;150 E 2nd St;East Village;American;$;150 E 2nd St, Brooklyn, NY 11218, USA
;708,000;;;;;;;;Nicole's;10 East 60th Street;Midtown East;British;$$;10 E 60th St, New York, NY 10022, USA
;709,000;;;;;;;;Niko's Mediterranean Grill;2161 Broadway;Upper West Side;Greek;$;2161 Broadway, New York, NY 10024, USA
;710,000;;;;;;;;Nino's Bellissima Pizza;890 Second Ave.;Midtown East;Italian;$$$;890 2nd Ave, New York, NY 10017, USA
;711,000;;;;;;;;Noble Food & Wine;7 Spring Street;NoLita;American;$$$;7 Spring St, New York, NY 10012, USA
;712,000;;;;;;;;Nobu Fifty Seven;40 W 57th St;Midtown West;Japanese;$$$$$;40 W 57th St, New York, NY 10019, USA
;713,000;;;;;;;;Nobu New York;105 Hudson St;TriBeCa;Japanese;$$$$;105 Hudson St, New York, NY 10013, USA
;714,000;;;;;;;;Nobu Next Door;105 Hudson St;TriBeCa;Sushi;$$$$;105 Hudson St, New York, NY 10013, USA
;717,000;;;;;;;;Nonna;520 Columbus Ave;;;;520 Columbus Ave, New York, NY 10024, USA
;718,000;;;;;;;;Norma's;118 West 57th Street;Midtown West;American;$$;118 W 57th St, New York, NY 10019, USA
;719,000;;;;;;;;North Square Restaurant and Lounge;103 Waverly Place;Greenwich Village;American;$$$$;103 Waverly Pl, New York, NY 10011, USA
;720,000;;;;;;;;Nougatine;1 Central Park West;American;$$$$;;1 Central Park West, New York, NY 10023, USA
;722,000;;;;;;;;Novita;102 E 22nd Street;Gramercy Park;Italian;$$$;102 E 22nd St, New York, NY 10010, USA
;723,000;;;;;;;;Nyonya;194 Grand Street;Little Italy;Malaysian;$;194 Grand St, New York, NY 10013, USA
;724,000;;;;;;;;Ocean Grill;384 Columbus Ave;Upper West Side;Seafood;$$$;384 Columbus Ave, New York, NY 10024, USA
;726,000;;;;;;;;Odeon;145 W Broadway;TriBeCa;French;$$$;145 W Broadway, New York, NY 10013, USA
;727,000;;;;;;;;Old Devil Moon;511 E 12th St;East Village;Southern;$;511 E 12th St, New York, NY 10009, USA
;728,000;;;;;;;;Old Homestead;56 9th Ave;Meatpacking District;Steakhouse;$$$$;56 9th Ave, New York, NY 10011, USA
;729,000;;;;;;;;Oliva;161 East Houston Street;Lower East Side;American;$$;161 E Houston St, New York, NY 10002, USA
;730,000;;;;;;;;Olives;201 Park Ave S - W Hotel;Union Square;Mediterranean;$$$;201 Park Ave S, New York, NY 10003, United States
;731,000;;;;;;;;Ollie's Restaurant;1991 Broadway;Upper West Side;Chinese;$;1991 Broadway, New York, NY 10023, USA
;732,000;;;;;;;;Omen;113 Thompson Street;SOHO;Japanese;$$$;113 Thompson St, New York, NY 10012, USA
;733,000;;;;;;;;Once Upon a Tart;135 Sullivan Street;SOHO;American;$;135 Sullivan St, New York, NY 10012, USA
;734,000;;;;;;;;One;1 Little West 12th St;Meatpacking District;American;$$$;1 Little W 12th St, New York, NY 10014, United States
;735,000;;;;;;;;One If by Land;Two If by Sea, 17 Barrow St;Greenwich Village;American;$$$$;17 Barrow St, New York, NY 10014, United States
;736,000;;;;;;;;One Little West 12;1 Little West 12th St.;Meatpacking District;American;$$;1 Little W 12th St, New York, NY 10014, United States
;737,000;;;;;;;;Onieal's Grand Street;174 Grand St;SOHO;American;$$$;174 Grand St, New York, NY 10013, USA
;738,000;;;;;;;;Ono;18 Ninth Ave;Meatpacking District;Sushi;$$$$;18 Ninth Ave, Railway Estate QLD 4810, Australia
;739,000;;;;;;;;Open the Sesame;198A Orchard St.;Lower East Side;Thai;$;198 Orchard St, New York, NY 10002, USA
;740,000;;;;;;;;Oriental Garden;14 Elizabeth St;Chinatown;Chinese;$;14 Elizabeth St, Charleston, SC 29403, USA
;741,000;;;;;;;;Osteria Al Doge;142 West 44th St;Midtown West;Italian;$$$;142 W 44th St, New York, NY 10036, USA
;742,000;;;;;;;;Osteria Del Circo;120 W 55th St;Midtown West;Italian;$$$$;120 W 55th St, New York, NY 10019, USA
;743,000;;;;;;;;Osteria Gelsi;507 Ninth Ave;Midtown West;Italian;$$$;507 Ninth Ave
;744,000;;;;;;;;Ostia Tapeo;113 Seventh Ave. S.;Greenwich Village;Small Plates;$$;113 7th Ave S, New York, NY 10014, USA
;745,000;;;;;;;;Otto;1 Fifth Ave;Greenwich Village;Italian;$$$$;1 5th Ave, New York, NY 10001, USA
;747,000;;;;;;;;Outback Steakhouse;60 W 23rd St;Flatiron;Steakhouse;$$;60 W 23rd St, New York, NY 10010, USA
;748,000;;;;;;;;P.J. Clarke's;915 Third Ave;;;;915 3rd Ave, New York, NY 10022, USA
;749,000;;;;;;;;P.J. Clarke's;44 W. 63rd Street;;;;44 W 63rd St., New York, NY 10023, USA
;750,000;;;;;;;;Paladar;161 Ludlow St;Lower East Side;Nuevo Latino;$$;161 Ludlow St, New York, NY 10002, USA
;751,000;;;;;;;;Pam Real Thai Food;404 W 49th St;Midtown West;Asian;$;404 W 49th St, New York, NY 10019, USA
;752,000;;;;;;;;Pampa;768 Amsterdam Avenue;Upper West Side;South American;$$;768 Amsterdam Ave, New York, NY 10025, USA
;753,000;;;;;;;;Pampano;209 E 49th St;Midtown East;Mexican;$$$;209 E 49th St, New York, NY 10017, USA
;754,000;;;;;;;;Paradou;8 Little W 12th St;Meatpacking District;French;$$;8 Little W 12th St, New York, NY 10014, USA
;755,000;;;;;;;;Paris Commune;99 Bank St;West Village;Continental;$$;99 Bank St, New York, NY 10014, USA
;756,000;;;;;;;;Park;The, 118 10th Ave;Chelsea;Mediterranean;$$$;118 10th Ave, New York, NY 10011, USA
;757,000;;;;;;;;Park Avenue Cafe;100 East 63rd St (@ Park Avenue);Upper East Side;American;$$$$;100 East 63rd St (@ Park Avenue)
;758,000;;;;;;;;Park Bistro;414 Park Ave South;SOHO;French;$$$;414 Park Ave S, New York, NY 10016, USA
;760,000;;;;;;;;Parlor Steakhouse;1600 3rd Ave;Upper East Side;Steakhouse;$$$$;1600 3rd Ave, New York, NY 10128, USA
;761,000;;;;;;;;Pasha;70 W 71st St;Upper West Side;Middle Eastern;$$$;70 W 71st St, New York, NY 10023, USA
;762,000;;;;;;;;Pastis;9 Ninth Ave;Meatpacking District;French;$$$;9 Ninth Ave
;763,000;;;;;;;;Patsy's;236 W 56th St;Midtown West;Italian;$$$;236 W 56th St, New York, NY 10019, USA
;764,000;;;;;;;;Paul's Da Burger Joint;131 2nd avenue;East Village;American;$$;131 2nd avenue
;765,000;;;;;;;;Payard Bistro;1032 Lexington Avenue;Upper East Side;French;$$$;1032 Lexington Ave, New York, NY 10021, USA
;766,000;;;;;;;;Peanut Butter & Co.;240 Sullivan St;;;;D'Agostino Hall, 240 Sullivan St, New York, NY 10012, USA
;768,000;;;;;;;;Peasant;194 Elizabeth St;NoLita;Italian;$$$;194 Elizabeth St, New York, NY 10012, USA
;769,000;;;;;;;;Peep;177 Prince St;SOHO;Asian;$$;LOFTS AT PRINCE (WEDDING), 177 Prince St, New York, NY 10012, USA
;770,000;;;;;;;;Penelope;159 Lexington Ave;Murray Hill;American;$;159 Lexington Ave, New York, NY 10016, USA
;771,000;;;;;;;;Pepe Giallo;253 10th Ave;;;;253 Tenth Ave, San Diego, CA 92101, USA
;772,000;;;;;;;;Pepe Rosso;149 Sullivan St;SOHO;Italian;$;149 Sullivan St, New York, NY 10012, USA
;773,000;;;;;;;;Per Se;10 Columbus Circle, 4th Fl (60th St);Upper West Side;American;$$$$$;10 Columbus Circle, 4th Fl (60th St)
;774,000;;;;;;;;Pera;303 Madison Avenue;Midtown East;Mediterranean;$$$$;303 Madison Ave, New York, NY 10017, USA
;775,000;;;;;;;;Perbacco;234 E Fourth St;East Village;Italian;$$$;234 E 4th St, New York, NY 10009, USA
;776,000;;;;;;;;Peri Ela;1361 Lexington Avenue;Upper East Side;Turkish;$$;1361 Lexington Ave, New York, NY 10128, USA
;777,000;;;;;;;;Perilla;9 Jones Street;Greenwich Village;American;$$$$;9 Jones St, New York, NY 10014, USA
;778,000;;;;;;;;Periyali;35 W 20th St;Flatiron;Greek;$$$$;35 W 20th St, New York, NY 10011, USA
;779,000;;;;;;;;Perry St.;176 Perry St;West Village;French;$$$$;176 Perry St, New York, NY 10014, USA
;780,000;;;;;;;;Persimmon;277 E 10th St;Korean;$$$$;;277 E 10th St, New York, NY 10009, USA
;781,000;;;;;;;;Pescatore;955-957 2nd Ave;Midtown East;Indian;$$$;955 2nd Ave, New York, NY 10022, USA
;782,000;;;;;;;;Petite Abeille;400 West 14th St;Chelsea;Belgian;$;400 W 14th St, New York, NY 10014, USA
;784,000;;;;;;;;Philip Marie;569 Hudson St;West Village;American;$$$;569 Hudson St, New York, NY 10014, USA
;785,000;;;;;;;;Pho Bang Restaurant Inc;St Pike St;Chinatown;Asian;$;St Pike St
;786,000;;;;;;;;Piadina;57 W 10th St;Greenwich Village;Italian;$$;57 W 10th St, New York, NY 10011, USA
;787,000;;;;;;;;Piano Due;151 W 51st St;Midtown West;Italian;$$$$;151 W 51st St, New York, NY 10019, USA
;788,000;;;;;;;;Piccolo Angolo;621 Hudson St;West Village;Italian;$$;621 Hudson St, New York, NY 10014, USA
;789,000;;;;;;;;Piccolo Ristorante;226 Third Ave;Chelsea;Mediterranean;$$;226 3rd Ave, New York, NY 10003, USA
;791,000;;;;;;;;Pig Heaven;1540 Second Ave;Midtown West;Chinese;$$;1540 2nd Ave, New York, NY 10028, USA
;792,000;;;;;;;;Pinch;416 Park Ave S;Gramercy Park;Pizza;$;416 Park Ave S, New York, NY 10016, USA
;793,000;;;;;;;;Ping's Seafood;22 Mott St;Chinatown;Chinese;$;22 Mott St, New York, NY 10013, USA
;794,000;;;;;;;;Pinkberry Frozen Yogurt;240 E 82nd St;Dessert;;;240 E 82nd St, New York, NY 10028, USA
;795,000;;;;;;;;Pipa;38 E 19th Street;Flatiron;$$$;;38 E 19th St, New York, NY 10003, United States
;796,000;;;;;;;;Pisticci;125 La Salle St;Harlem;Italian;$;125 La Salle St, New York, NY 10027, USA
;797,000;;;;;;;;Pizza 33;171 W 23rd St;Chelsea;Pizza;$;171 W 23rd St, New York, NY 10011, USA
;798,000;;;;;;;;Pizzeria de Santo;173 Ludlow St.;Lower East Side;Pizza;$;173 Ludlow St, New York, NY 10002, USA
;799,000;;;;;;;;Po;31 Cornelia St;Greenwich Village;Italian;$$$;31 Cornelia St, New York, NY 10014, USA
;800,000;;;;;;;;Poke;343 E. 85th St.;Sushi;$$;;343 E 85th St, New York, NY 10028, USA
;801,000;;;;;;;;Pomme Frites;123 2nd Ave;Belgian;$;;123 2nd Ave, New York, NY 10003, USA
;802,000;;;;;;;;Pongal;110 Lexington Ave.;Murray Hill;Indian;$$;Lexington Ave & E 110th St, New York, NY 10029, USA
;803,000;;;;;;;;Popover Cafe;551 Amsterdam Ave;Upper West Side;American;$;551 Amsterdam Ave, New York, NY 10024, USA
;804,000;;;;;;;;Porchetta;110 East 7th Street;East Village;Italian;$$$;110 E 7th St, New York, NY 10009, USA
;805,000;;;;;;;;Porters New York;216 Seventh Avenue;Chelsea;American;$$;216 7th Ave, New York, NY 10011, USA
;806,000;;;;;;;;Positano;122 Mulberry St;Little Italy;Italian;$$;122 Mulberry St, New York, NY 10013, USA
;807,000;;;;;;;;Post House;28 E 63rd St (Between Park Ave & Madison Ave);Upper East Side;Steakhouse;$$$$;28 E 63rd St, New York, NY 10065, United States
;808,000;;;;;;;;Prem-On Thai;138 W Houston St;Greenwich Village;Thai;$$;138 W Houston St, New York, NY 10012, USA
;809,000;;;;;;;;Prime Grill;60 E 49th St;Midtown East;Jewish;$$$$;60 E 49th St, New York, NY 10017, USA
;811,000;;;;;;;;Provence;38 Macdougal Street;SOHO;French;$$;38 MacDougal St, New York, NY 10012, USA
;812,000;;;;;;;;Prune;54 E First St;East Village;American;$$$;54 E 1st St, New York, NY 10003, USA
;813,000;;;;;;;;Public;210 Elizabeth St;NoLita;International;$$$;210 Elizabeth St, New York, NY 10012, USA
;814,000;;;;;;;;Pukk;71 First Ave;East Village;Thai;$;71 First Ave
;815,000;;;;;;;;Pump Energy Food;40 West 55th Street;Midtown West;International;$;40 W 55th St, New York, NY 10019, USA
;816,000;;;;;;;;Pure Food and Wine;54 Irving Pl;Gramercy Park;Vegetarian;$$$$;54 Irving Pl
;817,000;;;;;;;;Puttanesca;859 9th Avenue;Midtown West;Italian;$$;859 9th Ave, New York, NY 10019, USA
;818,000;;;;;;;;Pylos;128 E Seventh St;East Village;Greek;$$;128 E 7th St, New York, NY 10009, USA
;819,000;;;;;;;;P’ONG;150 W 10th St;Continental;$$$;;150 W 10th St, New York, NY 10014, USA
;820,000;;;;;;;;Quality Meats;57 W 58th St;Midtown West;Steakhouse;$$$$;57 W 58th St, New York, NY 10019, USA
;821,000;;;;;;;;Quartino;21 Peck Slip;;;;21 Peck Slip, New York, NY 10038, USA
;822,000;;;;;;;;Rack and Soul;2818 Broadway;Upper West Side;Barbecue;$$;2818 Broadway, New York, NY 10025, USA
;823,000;;;;;;;;Radio Perfecto;190 Ave B;East Village;American;$$;190 Avenue B, New York, NY 10009, USA
;824,000;;;;;;;;Rain West - CLOSED;100 West 82nd Street;Upper West Side;Asian;$$;100 W 82nd St, New York, NY 10024, USA
;825,000;;;;;;;;Rainbow Room;30 Rockefeller Plaza65th Floor;Midtown West;Italian;$$$$;30 Rockefeller Plaza 65th floor, New York, NY 10112, United States
;826,000;;;;;;;;Rao's;455 East 114th St;Harlem;Italian;$$$$;455 E 114th St, New York, NY 10029, USA
;827,000;;;;;;;;Raoul's;180 Prince St;SOHO;French;$$$;180 Prince St, New York, NY 10012, USA
;828,000;;;;;;;;Red Cat;227 Tenth Avenue;Chelsea;American;$$$;227 Amsterdam Ave, New York, NY 10023, USA
;829,000;;;;;;;;Redeye Grill;890 Seventh Ave;Midtown West;American;$$$;890 7th Ave, New York, NY 10106, USA
;830,000;;;;;;;;Remi;145 W 53rd St;Midtown West;Italian;$$$;145 W 53rd St, New York, NY 10019, USA
;831,000;;;;;;;;Republic;37 Union Square W;Union Square;Asian;$;37 Union Square W, New York, NY 10003, USA
;832,000;;;;;;;;Resto;111 E. 29th Street;Gramercy Park;Belgian;$$;111 E 29th St, New York, NY 10016, USA
;833,000;;;;;;;;Revel;10 Little W. 12th Street;Meatpacking District;International;$$$$;10 Little W 12th St, New York, NY 10014, USA
;834,000;;;;;;;;Revival;2367 Frederick Douglass Blvd;Harlem;Caribbean;$$;2367 Frederick Douglass Blvd, New York, NY 10027, USA
;835,000;;;;;;;;Ribot;780 Third Ave;;;;780 3rd Ave, New York, NY 10017, USA
