restaurant;address;country;neighborhood;type;phone
Pressure;110 University Pl-Btwn 12th & 13th St;;;;
Prey;4 W 22nd St-Btwn 5th & 6th Ave;;;;
Prey (CLOSED);4 W 22nd St-Btwn 5th & 6th Ave;;;;
Prime Burger at Old Homestead;56 9th Ave-Btwn 14th & 15th St;;;;
Prime Grill;60 E 49th St-Btwn Madison & Park Ave;;;;
Primeburger;5 E 51st St-Btwn Madison & 5th Ave;;;;
Primehouse New York;381 Park Ave S-At 27th St;;;;
Primitivo Osteria (CLOSED);202 W 14th St-;;;;
Primola;1226 2nd Ave-Btwn 64th & 65th St;;;;
Primola12;26 2nd Ave-;;;;
Prince;24 Prince St-Btwn Mott & Elizabeth St;;;;
Prince Chinese & Japanese;301 W 36th St-At 8th Ave;;;;
Prince Gourmet Deli;690 3rd Ave-Btwn 43rd & 44th St;;;;
Prince Street Cafe & Catering;26 Prince St-At Elizabeth St;;;;
Printon;5650 W 56th St-Btwn 5th & 6th Ave;;;;
Produce Cafe;765765 2nd Ave-Corner of 41st St;;;;
Professor Thom's;219 2nd Ave-Btwn 13th & 14th St;;;;
Profit;538 2nd Ave-Btwn 29th & 30th St;;;;
Profit538;2nd Ave-;;;;
Prohibition;503 Columbus Ave-At 84th St;;;;
Providence;311 W 57th St-Btwn 8th & 9th Ave;;;;
Prune54 E;1st St-;;;;
Puccini;826 9th Ave-Btwn 54th & 55th St;;;;
Puccini82;6 9th Ave-;;;;
Puck Fair;298 Lafayette St-Btwn Houston & Prince St;;;;
Pudding Stones;1457 3rd Ave-Btwn 82nd & 83rd St;;;;
Pudding Stones West;635 Amsterdam Ave-At 91st St;;;;
Puebla;47 1st Ave-Btwn 2nd & 3rd St;;;;
Puebla47;1st Ave-;;;;
Puffy's Tavern;81 Hudson St-At Harrison St;;;;
Puglia Ristorante;189 Hester St-Btwn Mott & Mulberry St;;;;
Punjabi Grocery & Deli;114 E 1st St-Btwn 1st Ave & Ave A;;;;
Punto De Sabor;1468 St. Nicholas Ave-Btwn 183rd & 194th St;;;;
Pure Juice and Take Away;125 E 17th St-Btwn 3rd Ave & Irving Pl;;;;
Purnima25;4 W 54th St-;;;;
Pylos128 E;7th St-;;;;
Q;2 Thai788 9th Ave-Btwn 52nd & 53rd St;;;;
Q & Q Taco;1049 St Nicholas Ave-Btwn 162nd & 163rd St;;;;
Q2 Thai78;8 9th Ave-;;;;
Qasim;338 9th Ave-Btwn 29th & 30th St;;;;
Qasim338;9th Ave-;;;;
Qdoba;135 W 50th St-Btwn 6th & 7th Ave;;;;
Qdoba135 W;50th St-;;;;
Qdoba208 E;34th St-;;;;
Qdoba216;8th Ave-;;;;
Qdoba875;3rd Ave-;;;;
Quadalupana;3825 Broadway-Btwn 159th & 160th St;;;;
Quan;375 Broome St-Btwn Mott & Mulberry St;;;;
Quantum Leap;203 1st Ave-Btwn 12th & 13th St;;;;
Quartino;11 Bleecker St-Btwn Lafayette St & Bowery;;;;
Quattro Gatti;205 E 81st St-Btwn 2nd & 3rd Ave;;;;
Quickly;237 Grand St-At Bowery;;;;
Quickly23;7 Grand St-;;;;
Quigley's;313 1st Ave-At 18th St;;;;
Quiznos Sub;498 7th Ave-Btwn 36th & 37th St;;;;
R & L Restaurant;69 Gansevoort St-Btwn Washington St & 9th Ave;;;;
R. Casa Nova;664 9th Ave-At 46th St;;;;
RIN;265 W 23rd St-;;;;
RUB - Righteous Urban BBQ;208 W 23rd St-Btwn 7th & 8th Ave;;;;
Rachel's;608 9th Ave-Btwn 43rd & 44th St;;;;
Rae's Delicatessen;28 W 33rd St-Btwn 5th & 6th Ave;;;;
Raffaele Ristorante;1055 1st Ave-Btwn 57th & 58th St;;;;
Raffles Cafe;511 Lexington Ave-At 48th St;;;;
Rafina Taverna;1481 York Ave-Btwn 78th & 79th St;;;;
Rainbow Gourmet;295 7th Ave-Btwn 26th & 27th St;;;;
Raku;57 W 76th St-At Columbus Ave;;;;
Raku57 W;76th St-;;;;
Ralph's;862 9th Ave-At 56th St;;;;
Ralph's86;2 9th Ave-;;;;
Ranchito;4129 Broadway Ave-Btwn 174th & 175th St;;;;
Raoul's;180 Prince St-Btwn Sullivan & Thompson St;;;;
Raoul's18;0 Prince St-;;;;
Rare Bar & Grill (CLOSED);228 Bleecker St-;;;;
Rathbone's;1702 2nd Ave-At 88th St;;;;
Rattle 'N' Hum;14 E 33rd St-Btwn Madison & 5th Ave;;;;
Ravagh;1237 1st Ave-At 67th St;;;;
Ravagh11 E;30th St-;;;;
Ravagh123;7 1st Ave-;;;;
Raw Soul;348 W 145th St-Btwn St Nicholas & Edgecombe Ave;;;;
Ray's;27 Prince St-Btwn Mott & Elizabeth St;;;;
Ray's Pizza;2345 Broadway-Btwn 85th & 86th St;;;;
Rayuela16;5 Allen St-;;;;
Reach House Restaurant;88 Division St-Btwn Allen & Eldridge St;;;;
Ready To Eat;525 Hudson St-At W 10th St;;;;
Real Pizza;3522 Broadway-At 144th St;;;;
Real Thai;1069 1st Ave-Btwn 58th & 59th St;;;;
Reboot;37 Avenue A-Btwn 2nd & 3rd St;;;;
Recharge;1452 2nd Ave-Btwn 75th & 76th St;;;;
Red;19 Fulton St-Btwn Front & Water St;;;;
Red Curry;339 Lexington Ave-Btwn 39th & 40th;;;;
Red Egg20;2 Centre St-;;;;
Red Lion;151 Bleecker St-At Thompson St;;;;
Red Star;2529 Adam Clayton-Btwn 146th & 147th St;;;;
Redemption;1003 2nd Ave-At 53rd St;;;;
Redstone Pizzeria;500 Lexington Ave-Btwn 47th & 48th St;;;;
Regional Thai Sa-Woy;1479 1st Ave-At 77th St;;;;
Relish Caterers;676 A 9th Ave-Btwn 46th & 47th St;;;;
Reme;4021 Broadway-At 169th St;;;;
Remi145 W;53rd St-;;;;
Reservoir;70 University Pl-Btwn 10th & 11th St;;;;
Restaurant;735 10th Ave-Btwn 50th & 51st St;;;;
Restaurant Forte Baden Baden;28 W 32nd St-Btwn Bway & 5th Ave;;;;
Restaurant Nippon;155 E 52nd St-Btwn Lexington & 3rd Ave;;;;
Restaurant ON;1026 2nd Ave-Btwn 54th & 55th St;;;;
Restaurant SEO;249 E 49th St-Btwn 2nd & 3rd Ave;;;;
Restaurante Ecuatoriano GNS II;511 W 181st St-At Amsterdam Ave;;;;
Restaurante El Mismo;1726 Amsterdam Ave-bwtn 145th & 146th St;;;;
Resto Leon;351 E 12th St-Btwn 1st & 2nd Ave;;;;
Resto111 E;29th St-;;;;
Revel;10 Little W 12th St-Btwn 9th Ave & Washington St;;;;
Revival23;67 8th Ave-;;;;
Rhong-Tiam Express;239 E 5th St-At 2nd Ave;;;;
Rice 'n' Beans;744 9th Ave-Btwn 50th & 51st St;;;;
Rick's Cabaret & Steakhouse;50 W 33rd St-Btwn 5th & 6th Ave;;;;
Rickshaw Dumpling Bar (CLOSED);53 E 8th St-;;;;
Rigoletto Pizza & Pasta;208 Columbus Ave-Btwn 69th & 70th St;;;;
Riingo205 E;45th St-;;;;
Riki;141 E 45th St-Btwn Lexington & 3rd Ave;;;;
Riki141 E;45th St-;;;;
Rink BarRockefeller Center;-5th Ave Btwn 49th & 50th St;;;;
Rio & You;328 W 45th St-Btwn 8th & 9th Ave;;;;
Rios Churrascaria;360 Park Ave S-At 26th St;;;;
Riposo;7250 W 72nd St-Btwn Columbus Ave & Central Park W;;;;
Riposo 46;667 9th Ave-;;;;
Riposo 72;50 W 72nd St-;;;;
Rise Bar;2 West St-At 1st Pl;;;;
Rising Dragon;316 W 36th St-At 8th Ave;;;;
Ristorante DeGrezia;231 E 50th St-Btwn 2nd & 3rd Ave;;;;
Ristorante Grifone;244 E 46th St-Btwn 2nd & 3rd Ave;;;;
Ristorante San Pietro;18 E 54th St-Btwn Madison & 5th Ave;;;;
Ritz Diner;1133 1st Ave-Btwn 62nd & 63rd St;;;;
Rive Gauche;336 E 86th St-Btwn 1st & 2nd Ave;;;;
Rivers;10 Murray St-Btwn Bway & Church St;;;;
Riviera Cafe & Sports Bar;225 W 4th St-At 7th Ave S;;;;
Rivoli Pizza;176 7th Ave S-At 11th St;;;;
Rivoli Pizza II;502 Hudson St-At Christopher St;;;;
Robert Emmett's;694 8th Ave-At 44th St;;;;
Robert's Steakhouse;603 W 45th St-At 11th Ave;;;;
Robongi Sushi;152 7th Ave S-Btwn Perry & Charles St;;;;
Rocco Ristorante;181 Thompson St-Btwn Houston & Bleecker St;;;;
Rocco's;243 Bleecker St-Btwn Carmine & Cornelia St;;;;
Rocco's Pizza Joint;162 7th Ave-Btwn 19th & 20th St;;;;
Rocco's24;3 Bleecker St-;;;;
Rocket Joe's East;61 Delancey St-Btwn Allen & Eldridge St;;;;
Rockwell's;105 Broad St-At Water St;;;;
Rocky's Italian Restaurant;45 Spring St-Btwn Mott & Mulberry St;;;;
Rocky's Number II;607 2nd Ave-Btwn 33rd & 34th St;;;;
Rodeo Bar;375 3rd Ave-At 27th St;;;;
Rogue;757 6th Ave-Btwn 25th & 26th;;;;
Rogue757;6th Ave-;;;;
Rohm;27 E 20th St-Btwn Bway & Park Ave S;;;;
Rohm27 E;20th St-;;;;
Roma's Pizza;1568 3rd Ave-At 88th St;;;;
Roni-Sue's Chocolates;120 Essex St-At Delancey St;;;;
Room;1818 Spring St-Btwn Elizabeth & Mott St;;;;
Room Service;166 8th Ave-Btwn 18th & 19th St;;;;
Roosevelt Gourmet Deli;460 W 57th St-At 10th Ave;;;;
Roppongi;434 Amsterdam Ave-At 81st St;;;;
Roppongi (CLOSED);434 Amsterdam Ave-At 81st St;;;;
Rosa's;1 Penn Plaza-Btwn 7th & 8th Ave;;;;
Rosa's Pizza;126 W 32nd St-Btwn 6th & 7th Ave;;;;
Rosa's Pizzeria;37 E 28th St-Btwn Madison & Park Ave;;;;
Rosario's Kitchen;227 W Broadway-At White St;;;;
Rosario's Pizza;173 Orchard St-At Stanton St;;;;
Rose Bar;2 Lexington Ave-At 21st St;;;;
Rose Restaurant;357 1st Ave-Btwn 20th & 21st St;;;;
Rose of Bombay;326 E 6th St-Btwn 1st & 2nd Ave;;;;
Rosella's Pizzeria;164 William St-Btwn Beekman & Ann St;;;;
Rosen's Delicatessen;23 E 51st St-Btwn 5th & Madison Ave;;;;
Rosie & Ting;85 4th Ave-At 11th St;;;;
Rossetti's Pizza;114 6th Ave-At Sullivan St;;;;
Rossini's;108 E 38th St-Btwn Park & Lexington Ave;;;;
Rothmann's Steakhouse & Grill;3 E 54th St-At 5th Ave;;;;
Roti Roll Bombay Frankie;994 Amsterdam Ave-At 109th St;;;;
Round Table Room;1at the Algonquin Hotel59 W 44th St 1 Btwn 5th & 6th Ave-;;;;
Round Table Room at the Algonquin Hotel;59 W 44th St-Btwn 5th & 6th Ave;;;;
Route;66 Cafe858 9th Ave-Btwn 55th & 56th St;;;;
Route 66 Cafe;858 9th Ave-;;;;
Roy's New York (CLOSED);130 Washington St-;;;;
Royal Bangladesh;93 1st Ave-Btwn E 5th & 6th St;;;;
Royal Deli;817 9th Ave-At 54th St;;;;
Royal Pizza;592 3rd Ave-Btwn 38th & 39th St;;;;
Royal Siam;240 8th Ave-Btwn 22nd & 23rd St;;;;
Royal Thai Cuisine II;318 W 36th St-Btwn 8th & 9th Ave;;;;
Royale Cafe & Pastry;461 6th Ave-;;;;
Ruben's Empanadas;505 Broome St-At Watts St;;;;
Ruby Foo's (CLOSED);2182 Broadway-Btwn 77th & 78th St;;;;
Ruby's;219 Mulberry St-Btwn Prince & Spring St;;;;
Ruby's259;1st Ave-;;;;
Rudy Pizza;174 Hester St-At Mott St;;;;
Rue;5760 W 57th St-At 6th Ave;;;;
Rue 5760 W;57th St-;;;;
Rue-B;188 Avenue B-Btwn 11th & 12th St;;;;
Rughetta Ristorante;347 E 85th St-Btwn 1st & 2nd Ave;;;;
Rush Hour;134 Ludlow St-Btwn Rivington & Stanton St;;;;
Russo's Steak & Pasta;790 7th Ave-At 51st St;;;;
Ruthy's Bakery & Cafe;75 9th Ave-At 15th St;;;;
Ruthy's Bakery & CafePier;62-At 21st St;;;;
Ryan Maguire's Ale House;28 Cliff St-Btwn Fulton & John St;;;;
S'Mac;345 E 12th St-Btwn 1st & 2nd Ave;;;;
S'Mac345 E;12th St-;;;;
S. Dynasty;511 Lexington Ave-At 48th St;;;;
S.O.B.'s;200 Varick St-Btwn Houston & King St;;;;
SALONTEA TeaBar;501 E 75th St-;;;;
SB;333 Avenue B-At 3rd St;;;;
SIP;998 Amsterdam Ave # 2-Btwn 109th & 110th St;;;;
SOY;102 Suffolk St-Btwn Delancey & Rivington St;;;;
Sabaa Deli;572 9th Ave-Btwn 42st & 43rd St;;;;
Sable's14;89 2nd Ave-;;;;
Sabor A Mexico;1744 1st Ave-Btwn 90th & 91st St;;;;
Sabor A Mexico II;233 E 77th St-Btwn 2nd & 3rd Ave;;;;
Saburi;168 Lexington Ave-Btwn 30th & 31st St;;;;
Sacco Pizza;819 9th Ave-At 54th St;;;;
Sachi;1350 Madison Ave-Btwn 94th & 95th Sts;;;;
Sachiko's on Clinton;25 Clinton St-Btwn Houston & Stanton St;;;;
Saffee Sandwich Bar & Deli;330 W 58th St-Btwn 8th & 9th Ave;;;;
Safran88;7th Ave-;;;;
Saga Grill;1268 Amsterdam Ave-Btwn 122nd & 123rd St;;;;
Saha Thai Cuisine;227 Centre St-Btwn Grand & Broome St;;;;
Sahara Grill (CLOSED);558 7th Ave-At 40th St;;;;
Sahara's;513 2nd Ave-Btwn 28th & 29th St;;;;
Saigon;48234 W 48th St-Btwn 8th Ave & Bway;;;;
Saji's;256 W 109th St-Btwn Bway & Amsterdam Ave;;;;
Saji's256 W;109th St-;;;;
Saju120 W;44th St-;;;;
Sakae Sushi;135 W 3rd St-Btwn Macdougal St & 6th Ave;;;;
Sake Bar Decibel;240 E 9th St-;;;;
Sake Bar Hagi;152 W 49th St-Btwn 6th & 7th Ave;;;;
Sake Bar Satsko;202 E 7th St-Btwn Ave B & Ave C;;;;
Sakura Hana;615 Hudson St-Btwn W 12th & Jane St;;;;
Sakura Sushi;273 Mott St-Btwn Houston & Prince St;;;;
Sal & Carmine's Pizza;2671 Broadway-Btwn 101st & 102nd St;;;;
Sal Anthony's City Gardener;119 E 17th St-Btwn Park Ave S & Irving Pl;;;;
Sal Anthony's City Gardener (CLOSED);119 E 17th St-;;;;
Sal Anthony's S.P.Q.R.;133 Mulberry St-Btwn Hester & Grand St;;;;
Sal Anthony's SPQR;133 Mulberry St-;;;;
Sal's;369 Broome St-At Mott St;;;;
Sal's Pizza;1375 Madison Ave-Btwn 95th & 96th St;;;;
Sala Thai;1718 2nd Ave-Btwn 89th & 90th St;;;;
Salam104 W;13th St-;;;;
Sale & Pepe;1 Exchange Plz-Btwn Trinity Pl & Bway;;;;
SallyD's Party Sandwiches;488 9th Ave-Btwn 37th & 38th St;;;;
Salon de Ning;700 5th Ave-;;;;
Salon de Tapas;190 Sullivan St-At Bleecker St;;;;
Salsa Y Salsa;206 7th Ave-At 22nd St;;;;
Salt & Battery;112 Greenwich Ave-;;;;
Salt & Pepper;239 1st Ave-At 14th St;;;;
Salud;142 Beekman St-Btwn Front & South St;;;;
Saluggi's;325 Church Street-Btwn Canal & Lispenard St;;;;
Salumeria Biellese;378 8th Ave-Btwn 28th & 29th St;;;;
Salute!27;0 Madison Ave-;;;;
Sam's Falafel House;231 Thompson St-Btwn W 3rd & Bleecker St;;;;
Sam's House Cafe;36 W 48th St-;;;;
Samalita's;1681 1st Ave-At 87th St;;;;
Samantha's Cafe;209 E 14th St-Btwn 2nd & 3rd Ave;;;;
Samantha's New York;235 S End Ave-Btwn Albany St & Rector Pl;;;;
Samba's Deli;201 2nd Ave-Btwn 12th & 13th St;;;;
Sambuca;20 W 72nd St-Btwn CPW & Columbus Ave;;;;
Sambuca20 W;72nd St-;;;;
Sammy's;461 6th Ave-At 11th St;;;;
Sammy's Gourmet;1404 Madison Ave-Btwn 97th & 98th St;;;;
Sammy's Noodle Shop & Grill;453 6th Ave-At 11th St;;;;
Sammy's Roumanian;157 Chrystie St-At Delancey St;;;;
Sammy's46;1 6th Ave-;;;;
Samurai Sam's Teriyaki Grill;165 Chambers St-Btwn Greenwich St & W Bway;;;;
Samurai Sam's Teriyaki Grill (CLOSED);165 Chambers St-Btwn Greenwich St & W Bway;;;;
San Francisco de Asis;1779 Lexington Ave-Btwn 110th & 111th St;;;;
San Loco Mexico;111 Stanton St-Btwn Essex & Ludlow St;;;;
San Marino Due;138 Lafayette St-At Howard St;;;;
San Marzano Brick Oven Pizzeria;71 Clinton St-Btwn Stanton & Rivington St;;;;
Sanctuary Tea;337B W Broadway-At Grand St;;;;
Sandro's;306 E 81st St-At 2nd Ave;;;;
Sandwich House;17 Ann St-Btwn Park Row & Theatre Alley;;;;
Sandwich Shoppe;58A Greenwich Ave-Btwn 6th & 7th Ave;;;;
Sandy;2261 2nd Ave-At 116th St;;;;
Sandy2261;2nd Ave-;;;;
Sangria;46338 W 46th St-Btwn 8th & 9th Ave;;;;
Sanmaroo;22 W 8th St-Btwn 5th & 6th Ave;;;;
Sanpanino;494 Hudson St-At Christopher St;;;;
Santa Fe;73 W 71st St-Btwn Columbus Ave & CPW;;;;
Sapporo15;2 W 49th St-;;;;
Sarabeth's;945 Madison Ave-At 75th St;;;;
Sarabeth's Bakery;75 9th Ave-At 15th St;;;;
Sarabeth's Central Park South;40 Central Park S-Btwn 5th & 6th Ave;;;;
Sarabeth's East;1295 Madison Ave-At 92nd St;;;;
Sardi's23;4 W 44th St-;;;;
Sarge's;548 3rd Ave-Btwn 36th & 37th St;;;;
Sarge's54;8 3rd Ave-;;;;
Sariku;174 Lexington Ave-Btwn 30th & 31st St;;;;
Sasabune;401 E 73rd St-Bten 73rd & 74th St;;;;
Sassy's Sliders;1530 3rd Ave-At 86th St;;;;
Sato;1395 2nd Ave-At 73rd St;;;;
Sato1395;2nd Ave-;;;;
Savarona;420 E 59th St-Btwn 1st Ave & Sutton Pl;;;;
Savor Catering;544 W 27th St-Btwn 10th & 11th Ave;;;;
Say Cheese;649 9th Ave-Btwn 45th & 46th St;;;;
Scaletta;50 W 77th St-Btwn Columbus Ave & CPW;;;;
Schiller's Liquor Bar;131 Rivington St-At Norfolk St;;;;
Schnipper's Quality Kitchen;620 8th Ave-;;;;
Scores East Side;333 E 60th St-Btwn 1st & 2nd Ave;;;;
Scores West Side;536 W 28th St-Btwn 10th & 11th Ave;;;;
Scotty's;336 Lexington Ave-Btwn 39th & 40th St;;;;
Se Ja Meh;114 Greenwich St-At Carlisle St;;;;
Sea King;219 E 23rd St-Btwn 2nd & 3rd Ave;;;;
Sea Thai Bistro;75 2nd Ave-Btwn 4th & 5th St;;;;
Seasonal;132 W 58th St-Btwn 6th & 7th Ave;;;;
Seasons Market;146 Allen St-Btwn Rivington & Delancey St;;;;
Seats;168 Avenue B-Btwn 10th & 11th St;;;;
Seattle Cafe;1411 Madison Ave-Btwn 97th & 98th St;;;;
Second on Second;27 2nd Ave-Btwn 1st & 2nd St;;;;
Seeda Thai II;309 W 50th St-Btwn 8th & 9th Ave;;;;
Sel & Poivre;853 Lexington Ave-Btwn 64th & 65th St;;;;
Selena;252 W 38th St-Btwn 7th & 8th Ave;;;;
Selena252 W;38th St-;;;;
Senor Swanky's;513 Columbus Ave-Btwn 84th & 85th St;;;;
Seppi's12;3 W 56th St-;;;;
Sequoia;0south street Seaport Pier 17 0-;;;;
SequoiaSouth Street Seaport Pier;17 0-;;;;
Serafina Broadway;210 W 55th St-At Broadway;;;;
Serafina Lafayette;393 Lafayette St-At 4th St;;;;
Serafina Osteria;38 E 58th St-Btwn Madison & Park Ave;;;;
Serafina at The Time;224 W 49th St-Btwn 8th Ave & Bway;;;;
Serendipity;3225 E 60th St-Btwn 2nd & 3rd Ave;;;;
Serge;165 Madison Ave-Btwn 32nd & 33rd St;;;;
Sergio Cafe;441 Park Ave S-At 30th St;;;;
Session;731359 1st Ave-At 73rd St;;;;
Seven's Turkish Grill;158 W 72nd St-Btwn Amsterdam & Columbus Ave;;;;
Seven350;7th Ave-;;;;
Sevilla;62 Charles St-At W 4th St;;;;
Sfoglia;1402 Lexington Ave-At 92nd St;;;;
Sfoglia14;02 Lexington Ave-;;;;
Sha-La Gourmet;1435 Broadway-Btwn 40th & 41st St;;;;
Shabu-Shabu;70314 E 70th St-Btwn 1st & 2nd Ave;;;;
Shaburi12;5 E 39th St-;;;;
Shades of Green Pub & Restaurant;125 E 15th St-At Irving Pl;;;;
Shaffer City;5 W 21st St-Btwn 5th & 6th Ave;;;;
Shake ShackMadison Square Park;0 At 23rd St & Madison Ave-;;;;
Shalom Chai Pizza;357 Grand St-Btwn Ludlow & Essex St;;;;
Shamrat;1365 1st Ave-Btwn 73rd & 74th St;;;;
Shamrat13;65 1st Ave-;;;;
Shanghai Garden;14 Elizabeth St-Btwn Bayard & Canal St;;;;
Shanghai Kitchen;67 Bayard St-;;;;
Shanghai Square;9 E 13th St-Btwn 5th & University Pl;;;;
Sharaku28;8 8th Ave-;;;;
Shark Bar Restaurant;307 Amsterdam Ave-Btwn 74th & 75th St;;;;
Sharz;435 E 86th St-Btwn 1st & York Ave;;;;
Sharz435 E;86th St-;;;;
Sheep Meadow;1CafeSheep Meadow, Central Park 1 At W 69th St-;;;;
Sheep Meadow Cafe;Sheep Meadow, Central Park-At W 69th St;;;;
Shelly's Trattoria La Tradizionale;41 W 57th St-Btwn 5th & 6th Ave;;;;
Sherman's Barbeque;2507 7th Ave-Btwn 145th & 146th St;;;;
Sherwood Fine Foods;684 Lexington Ave-Btwn 56th & 57th St;;;;
Shiki Kitchen;135 1st Ave-Btwn St Marks Pl & 9th St;;;;
Shilla37 W;32nd St-;;;;
Shima188;2nd Ave-;;;;
Shimizu31;8 W 51st St-;;;;
Shine Deli;922 Broadway-At 21st St;;;;
Shinju Sushi;164 Pearl St-Btwn Pine St & Wall St;;;;
Ship of Fools;1590 2nd Ave-Btwn 82nd & 83rd Sts;;;;
Shish;270 Greenwich St-Btwn Warren & Murray St;;;;
Shopsin's;120 Essex St-Btwn Rivington & Delancey St;;;;
Shorty's.;32199 Prince St-Btwn Sullivan & MacDougal St;;;;
Shrine Bar Restaurant;2271 7th Ave-Btwn 133rd & 134st St;;;;
Shun Lee;43 W 65th St-Btwn Columbus Ave & CPW;;;;
Shutters;433 W 34th St-Btwn 9th & 10th Ave;;;;
Siam Grill;592 9th Ave-Btwn 42nd & 43rd St;;;;
SideBAR;118 E 15th St-;;;;
SideBAR11;8 E 15th St-;;;;
SideBar;120 E 15th St-At Irving Pl;;;;
SideWalk;94 Avenue A-At 6th St;;;;
Sidecar At P.J. Clarke's;205 E 55th St-At 3rd Ave;;;;
Sido;403 Amsterdam Ave-At 79th St;;;;
Sido Gourmet;849 2nd Ave-;;;;
Siena Pizza;274 W 40th St-Btwn 7th & 8th Ave;;;;
Sigiri91;1st Ave-;;;;
Silk Road Palace;447 Amsterdam Ave-Btwn 81st & 82nd St;;;;
Silom Thai;150 8th Ave-Btwn 17th & 18th St;;;;
Silver Palace;3438 Broadway-Btwn 139th & 140th St;;;;
Silver Spurs;771 Broadway-At 9th St;;;;
Silver Star;1238 2nd Ave-At 65th St;;;;
Silver Star Deli;484 3rd Ave-Corner of 33rd St;;;;
Sim Cafe;85 Eldridge St-Btwn Grand & Hester St;;;;
Simla;304 E 78th St-Btwn 1st & 2nd Ave;;;;
Simla304 E;78th St-;;;;
Simple Kitchen;361 W 17th St-At 9th Ave;;;;
Sims On Park;7 Park Ave-Corner of 34th St;;;;
Sin Sin;85 2nd Ave-At 5th St;;;;
Sin Sin85;2nd Ave-;;;;
Sing Luck Garden;3470 Broadway-Btwn 141st & 142nd St;;;;
Sing Sing Karaoke;81 Avenue A-Btwn 5th & 6th St;;;;
Singas Pizza;176 2nd Ave-Btwn 11th & 12th St;;;;
Sinigual;150 E 42nd St-Btwn Lexington & 3rd Ave;;;;
Sip Sak92;8 2nd Ave-;;;;
Sirtaj36 W;26th St-;;;;
Sisters;47 E 124th St-Btwn Madison & Park Ave;;;;
Sisters47 E;124th St-;;;;
Sitar58 W;56th St-;;;;
Six Happiness;1413 2nd Ave-Btwn 73rd & 74th St;;;;
Six Happy Kitchen;213 E Broadway-Btwn Jefferson & Clinton St;;;;
Six-O;58 W 39th St-Btwn 5th & 6th Ave;;;;
Six-O58 W;39th St-;;;;
Sixth Avenue;761 6th Ave-Btwn 25th & 26th St;;;;
Sixth Avenue Cafe;1414 6th Ave-Btwn 57th & 58th St;;;;
Skyway Malaysian;11 Allen St-At Canal St;;;;
Slainte;304 Bowery-At 1st St;;;;
Slainte30;4 Bowery-;;;;
Slane;102 MacDougal St-At Bleecker St;;;;
Slate Plus;54 W 21st St-Btwn 5th & 6th Ave;;;;
Slice of New York;727 8th Ave-;;;;
Slice, The Perfect Food;1413 2nd Ave-Btwn 73rd & 74th St;;;;
Smiler's;532 Madison Ave-At 54th St;;;;
Smith's;79 MacDougal St-Btwn Bleecker & Houston St;;;;
Smith's Bar;701 8th Ave-At 44th St;;;;
Smoke;2751 Broadway-Btwn 105th & 106th St;;;;
Smokin' Q;206 E 63rd St-Btwn 2nd & 3rd Ave;;;;
Smokin' Q (CLOSED);206 E 63rd St-;;;;
Smoochies;60 W 23rd St-Btwn 5th & 6th Ave;;;;
SnAKS;611 5th Ave-Btwn 49th & 50th St;;;;
SnAKS611;5th Ave-;;;;
Snack Dragon Taco Shack;199 E 3rd St-At Ave B;;;;
Snacky's;117 Mulberry St-;;;;
Snooky's;792 Columbus Ave-Btwn 98th & 100th St;;;;
SoHo Made Soups;75 Varick St-At Grand St;;;;
SoHo Park;62 Prince St-At Lafayette St;;;;
Soba Nippon;19 W 52nd St-Btwn 5th & 6th Ave;;;;
Soba-ya22;9 E 9th St-;;;;
Sobakoh;309 E 5th St-At 2nd Ave;;;;
Sobakoh30;9 E 5th St-;;;;
Social;795 8th Ave-Btwn 48th & 49th St;;;;
Social795;8th Ave-;;;;
Society Coffee;2104 Frederick Douglass Blvd-Btwn 113th & 114th St;;;;
Sodi;105 Christopher St-;;;;
Sofia;221 W 46th St-Btwn 8th Ave & Broadway;;;;
Sofia Wine Bar & Cafe;242 E 50th St-;;;;
Sofia's Cucina;143 Mulberry St-Btwn Hester & Grand St;;;;
Sofia221 W;46th St-;;;;
Sofrito40;0 E 57th St-;;;;
Soho Grill;224 Lafayette St-At Spring St;;;;
SohoGrill;224 Lafayette St-;;;;
Sojourn;244 E 79th St-;;;;
Sokhna Restaurant;225 W 116th St-Btwn 7th & 8th Ave;;;;
Sol y Sombra;462 Amsterdam Ave-At 82nd St;;;;
Solace;406 E 64th St-At 1st Ave;;;;
Solera216 E;53rd St-;;;;
Solex103;1st Ave-;;;;
Solo Pizza;27 Avenue B-Btwn 2nd & 3rd St;;;;
Something Sweet;177 1st Ave-At 11th St;;;;
Sonar Gaow;328 E 6th St-Btwn 1st & 2nd Ave;;;;
Song;7.2117 2nd Ave-At 7th St;;;;
Song 7.21;17 2nd Ave-;;;;
Song Kran;330 8th Ave-Btwn 26th & 27th St;;;;
Sophie's;96 Chambers St-Btwn Church St & Bway;;;;
Souen210;6th Ave-;;;;
Souen28 E;13th St-;;;;
Soul Fixins';371 W 34th St-At 9th Ave;;;;
Soulfully GoodE;85th St-At 2nd Ave;;;;
Sounkyo Sushi;937 1st Ave-Btwn 51st & 52nd St;;;;
Soup & Smoothie Heaven;316 5th Ave-At 32nd St;;;;
Soup Man (CLOSED);708 3rd Ave-At 45th St;;;;
Soup Spot;220 W 31st St-Btwn 7th & 8th Ave;;;;
Soup Stop;517 Columbus Ave-Btwn 84th & 85th St;;;;
South Beach Cafe;100 W 124th St-At Lenox Ave;;;;
