TimeOut	#1 Farmer’s Market	1458 Second Ave,  at 76th St,  Upper East Side,  (212-396-2626) 
TimeOut	Q56 Restaurant & Cocktails   	Swissôtel The Drake, 65 E 56th St,  between Madison and Park Aves,  Midtown East,  (212-756-3925) 	 Seafood 
TimeOut	Quality Meats	57 W 58th St,  between Fifth and Sixth Aves ,  Midtown West,  (212-371-7777) 
TimeOut	Quality Meats	Steakhouses 	57 W 58th St,  between Fifth and Sixth Aves ,  Midtown West,  (212-371-7777) 
TimeOut	Quality Meats 	57 W 58th St,  between Fifth and Sixth Aves ,  Midtown West,  (212-371-7777) 
TimeOut	Quality Meats 	Steakhouses 	57 W 58th St,  between Fifth and Sixth Aves ,  Midtown West,  (212-371-7777) 
TimeOut	Quality Meats   	57 W 58th St,  between Fifth and Sixth Aves ,  Midtown West,  (212-371-7777) 	 Steakhouses 
TimeOut	Quatorze Bis	323 E 79th St,  between First and Second Aves,  Upper East Side,  (212-535-1414) 
TimeOut	Quatorze Bis	French 	323 E 79th St,  between First and Second Aves,  Upper East Side,  (212-535-1414) 
TimeOut	Quatorze Bis 	323 E 79th St,  between First and Second Aves,  Upper East Side,  (212-535-1414) 
TimeOut	Quatorze Bis 	French 	323 E 79th St,  between First and Second Aves,  Upper East Side,  (212-535-1414) 
TimeOut	Quatorze Bis   	323 E 79th St,  between First and Second Aves,  Upper East Side,  (212-535-1414) 	 French 
TimeOut	Queen of Sheba	650 Tenth Ave,  between 45th and 46th Sts,  Midtown West,  (212-397-0610) 
TimeOut	Queen of Sheba	African: Ethiopian 	650 Tenth Ave,  between 45th and 46th Sts,  Midtown West,  (212-397-0610) 
TimeOut	Queen of Sheba 	650 Tenth Ave,  between 45th and 46th Sts,  Midtown West,  (212-397-0610) 
TimeOut	Queen of Sheba 	African: Ethiopian 	650 Tenth Ave,  between 45th and 46th Sts,  Midtown West,  (212-397-0610) 
TimeOut	Queen of Sheba   	650 Tenth Ave,  between 45th and 46th Sts,  Midtown West,  (212-397-0610) 	 African: Ethiopian 
TimeOut	Quickly Shabu Shabu	237B Grand St,  between Bowery and Chrystie St,  Chinatown/Little Italy,  (212-431-0998) 
TimeOut	Quickly Shabu Shabu	Japanese 	237B Grand St,  between Bowery and Chrystie St,  Chinatown/Little Italy,  (212-431-0998) 
TimeOut	Quickly Shabu Shabu 	237B Grand St,  between Bowery and Chrystie St,  Chinatown/Little Italy,  (212-431-0998) 
TimeOut	Quickly Shabu Shabu 	Japanese 	237B Grand St,  between Bowery and Chrystie St,  Chinatown/Little Italy,  (212-431-0998) 
TimeOut	Quickly Shabu Shabu   	237B Grand St,  between Bowery and Chrystie St,  Chinatown/Little Italy,  (212-431-0998) 	 Japanese 
TimeOut	Quintessence	263 E 10th St,  between First Ave and Ave A,  East Village,  (646-654-1823) 
TimeOut	Quintessence	Vegetarian & Organic 	263 E 10th St,  between First Ave and Ave A,  East Village,  (646-654-1823) 
TimeOut	Quintessence 	263 E 10th St,  between First Ave and Ave A,  East Village,  (646-654-1823) 
TimeOut	Quintessence 	Vegetarian & Organic 	263 E 10th St,  between First Ave and Ave A,  East Village,  (646-654-1823) 
TimeOut	Quintessence (CLOSED)	566 Amsterdam Ave,  between 87th and 88th Sts,  Upper West Side,  (212-501-9700) 
TimeOut	Quintessence (CLOSED)	Vegetarian & Organic 	566 Amsterdam Ave,  between 87th and 88th Sts,  Upper West Side,  (212-501-9700) 
TimeOut	Quintessence (CLOSED) 	566 Amsterdam Ave,  between 87th and 88th Sts,  Upper West Side,  (212-501-9700) 
TimeOut	Quintessence (CLOSED) 	Vegetarian & Organic 	566 Amsterdam Ave,  between 87th and 88th Sts,  Upper West Side,  (212-501-9700) 
TimeOut	Quintessence (CLOSED)   	566 Amsterdam Ave,  between 87th and 88th Sts,  Upper West Side,  (212-501-9700) 	 Vegetarian & Organic 
TimeOut	Quintessence   	263 E 10th St,  between First Ave and Ave A,  East Village,  (646-654-1823) 	 Vegetarian & Organic 
TimeOut	R.U.B.	Barbeque 	208 W 23rd St,  between Seventh and Eighth Aves ,  Chelsea,  (212-524-4300) 
TimeOut	R.U.B. 	Barbeque 	208 W 23rd St,  between Seventh and Eighth Aves ,  Chelsea,  (212-524-4300) 
TimeOut	R.U.B. BBQ	208 W 23rd St,  between Seventh and Eighth Aves ,  Chelsea,  (212-524-4300) 
TimeOut	R.U.B. BBQ 	208 W 23rd St,  between Seventh and Eighth Aves ,  Chelsea,  (212-524-4300) 
TimeOut	R.U.B. BBQ 	Barbeque 	208 W 23rd St,  between Seventh and Eighth Aves ,  Chelsea,  (212-524-4300) 
TimeOut	R.U.B.   	208 W 23rd St,  between Seventh and Eighth Aves ,  Chelsea,  (212-524-4300) 	 Barbeque 
TimeOut	RB’s	207 W 94th St,  between Amsterdam Ave and Broadway,  Upper West Side,  (212-665-4500) 
TimeOut	RB’s	Mexican 	207 W 94th St,  between Amsterdam Ave and Broadway,  Upper West Side,  (212-665-4500) 
TimeOut	RB’s 	207 W 94th St,  between Amsterdam Ave and Broadway,  Upper West Side,  (212-665-4500) 
TimeOut	RB’s 	Mexican 	207 W 94th St,  between Amsterdam Ave and Broadway,  Upper West Side,  (212-665-4500) 
TimeOut	RB’s   	207 W 94th St,  between Amsterdam Ave and Broadway,  Upper West Side,  (212-665-4500) 	 Mexican 
TimeOut	RM (CLOSED)	33 E 60th St,  between Madison and Park Aves,  Upper East Side,  (212-319-3800) 
TimeOut	RM (CLOSED)	Seafood 	33 E 60th St,  between Madison and Park Aves,  Upper East Side,  (212-319-3800) 
TimeOut	RM (CLOSED) 	33 E 60th St,  between Madison and Park Aves,  Upper East Side,  (212-319-3800) 
TimeOut	RM (CLOSED) 	Seafood 	33 E 60th St,  between Madison and Park Aves,  Upper East Side,  (212-319-3800) 
TimeOut	RM (CLOSED)   	33 E 60th St,  between Madison and Park Aves,  Upper East Side,  (212-319-3800) 	 Seafood 
TimeOut	Rack & Soul	2818 Broadway,  at 109th St ,  Upper West Side,  (212-222-4800) 
TimeOut	Rack & Soul	American Regional 	2818 Broadway,  at 109th St ,  Upper West Side,  (212-222-4800) 
TimeOut	Rack & Soul 	2818 Broadway,  at 109th St ,  Upper West Side,  (212-222-4800) 
TimeOut	Rack & Soul 	American Regional 	2818 Broadway,  at 109th St ,  Upper West Side,  (212-222-4800) 
TimeOut	Rack & Soul   	2818 Broadway,  at 109th St ,  Upper West Side,  (212-222-4800) 	 American Regional 
TimeOut	Radha (CLOSED)	173 Ludlow St,  at Houston St,  Lower East Side,  (212-473-3374) 
TimeOut	Radha (CLOSED)	Vegetarian & Organic 	173 Ludlow St,  at Houston St,  Lower East Side,  (212-473-3374) 
TimeOut	Radha (CLOSED) 	173 Ludlow St,  at Houston St,  Lower East Side,  (212-473-3374) 
TimeOut	Radha (CLOSED) 	Vegetarian & Organic 	173 Ludlow St,  at Houston St,  Lower East Side,  (212-473-3374) 
TimeOut	Radha (CLOSED)   	173 Ludlow St,  at Houston St,  Lower East Side,  (212-473-3374) 	 Vegetarian & Organic 
TimeOut	Radio Perfecto	190 Ave B,  between 11th and 12th Sts,  East Village,  (212-477-3366) 
TimeOut	Radio Perfecto	American 	190 Ave B,  between 11th and 12th Sts,  East Village,  (212-477-3366) 
TimeOut	Radio Perfecto 	190 Ave B,  between 11th and 12th Sts,  East Village,  (212-477-3366) 
TimeOut	Radio Perfecto 	American 	190 Ave B,  between 11th and 12th Sts,  East Village,  (212-477-3366) 
TimeOut	Radio Perfecto Uptown	1187 Amsterdam Ave,  between 118th and 119th Sts,  Columbia University–City College,  (212-932-0707) 
TimeOut	Radio Perfecto Uptown	American 	1187 Amsterdam Ave,  between 118th and 119th Sts,  Columbia University–City College,  (212-932-0707) 
TimeOut	Radio Perfecto Uptown 	1187 Amsterdam Ave,  between 118th and 119th Sts,  Columbia University–City College,  (212-932-0707) 
TimeOut	Radio Perfecto Uptown 	American 	1187 Amsterdam Ave,  between 118th and 119th Sts,  Columbia University–City College,  (212-932-0707) 
TimeOut	Radio Perfecto Uptown 	American 	1187 Amsterdam Ave,  between 118th and 119th Sts,  Columbia University–City College,  (212-932-8555) 
TimeOut	Radio Perfecto Uptown   	1187 Amsterdam Ave,  between 118th and 119th Sts,  Columbia University–City College,  (212-932-8555) 	 American 
TimeOut	Radio Perfecto   	190 Ave B,  between 11th and 12th Sts,  East Village,  (212-477-3366) 	 American 
TimeOut	Rafaella on Ninth	178 Ninth Ave,  at 21st St,  Chelsea,  (212-741-3230) 
TimeOut	Rafaella on Ninth	Cafés 	178 Ninth Ave,  at 21st St,  Chelsea,  (212-741-3230) 
TimeOut	Rafaella on Ninth 	178 Ninth Ave,  at 21st St,  Chelsea,  (212-741-3230) 
TimeOut	Rafaella on Ninth 	Cafés 	178 Ninth Ave,  at 21st St,  Chelsea,  (212-741-3230) 
TimeOut	Rafaella on Ninth   	178 Ninth Ave,  at 21st St,  Chelsea,  (212-741-3230) 	 Cafés 
TimeOut	Raga	433 E 6th St,  between First Ave and Ave A,  East Village,  (212-388-0957) 
TimeOut	Raga	Indian 	433 E 6th St,  between First Ave and Ave A,  East Village,  (212-388-0957) 
TimeOut	Raga 	433 E 6th St,  between First Ave and Ave A,  East Village,  (212-388-0957) 
TimeOut	Raga 	Indian 	433 E 6th St,  between First Ave and Ave A,  East Village,  (212-388-0957) 
TimeOut	Raga   	433 E 6th St,  between First Ave and Ave A,  East Village,  (212-388-0957) 	 Indian 
TimeOut	Rai Rai Ken	214 E 10th St,  between First and Second Aves,  East Village,  (212-477-7030) 
TimeOut	Rai Rai Ken	Japanese 	214 E 10th St,  between First and Second Aves,  East Village,  (212-477-7030) 
TimeOut	Rai Rai Ken 	214 E 10th St,  between First and Second Aves,  East Village,  (212-477-7030) 
TimeOut	Rai Rai Ken 	Japanese 	214 E 10th St,  between First and Second Aves,  East Village,  (212-477-7030) 
TimeOut	Rai Rai Ken   	214 E 10th St,  between First and Second Aves,  East Village,  (212-477-7030) 	 Japanese 
TimeOut	Rainbow Falafel & Shawarma	26 E 17th St,  between Fifth Ave and Broadway,  Gramercy/Flatiron,  (212-691-8641) 
TimeOut	Rainbow Falafel & Shawarma	Middle Eastern 	26 E 17th St,  between Fifth Ave and Broadway,  Gramercy/Flatiron,  (212-691-8641) 
TimeOut	Rainbow Falafel & Shawarma 	26 E 17th St,  between Fifth Ave and Broadway,  Gramercy/Flatiron,  (212-691-8641) 
TimeOut	Rainbow Falafel & Shawarma 	Middle Eastern 	26 E 17th St,  between Fifth Ave and Broadway,  Gramercy/Flatiron,  (212-691-8641) 
TimeOut	Rainbow Falafel & Shawarma   	26 E 17th St,  between Fifth Ave and Broadway,  Gramercy/Flatiron,  (212-691-8641) 	 Middle Eastern 
TimeOut	Rainbow Room	30 Rockefeller Plaza,  between 49th and 50th Sts, 65th floor,  Midtown West,  (212-632-5100) 
TimeOut	Rainbow Room	Italian 	30 Rockefeller Plaza,  between 49th and 50th Sts, 65th floor,  Midtown West,  (212-632-5100) 
TimeOut	Rainbow Room 	30 Rockefeller Plaza,  between 49th and 50th Sts, 65th floor,  Midtown West,  (212-632-5100) 
TimeOut	Rainbow Room 	Italian 	30 Rockefeller Plaza,  between 49th and 50th Sts, 65th floor,  Midtown West,  (212-632-5000) 
TimeOut	Rainbow Room 	Italian 	30 Rockefeller Plaza,  between 49th and 50th Sts, 65th floor,  Midtown West,  (212-632-5100) 
TimeOut	Rainbow Room Grill (CLOSED)	30 Rockefeller Plaza,  between 49th and 50th Sts, 65th floor,  Midtown West,  (212-632-5100) 
TimeOut	Rainbow Room Grill (CLOSED)	Italian 	30 Rockefeller Plaza,  between 49th and 50th Sts, 65th floor,  Midtown West,  (212-632-5100) 
TimeOut	Rainbow Room Grill (CLOSED) 	30 Rockefeller Plaza,  between 49th and 50th Sts, 65th floor,  Midtown West,  (212-632-5100) 
TimeOut	Rainbow Room Grill (CLOSED) 	Italian 	30 Rockefeller Plaza,  between 49th and 50th Sts, 65th floor,  Midtown West,  (212-632-5100) 
TimeOut	Rainbow Room Grill (CLOSED)   	30 Rockefeller Plaza,  between 49th and 50th Sts, 65th floor,  Midtown West,  (212-632-5100) 	 Italian 
TimeOut	Rainbow Room   	30 Rockefeller Plaza,  between 49th and 50th Sts, 65th floor,  Midtown West,  (212-632-5000) 	 Italian 
TimeOut	Ramen Setagaya	141 First Ave,  between 9th St and St. Marks Pl,  East Village,  (212-529-2740) 
TimeOut	Ramen Setagaya	34A St. Marks Pl,  between Second and Third Aves,  East Village,  (212-387-7959) 
TimeOut	Ramen Setagaya	Japanese 	141 First Ave,  between 9th St and St. Marks Pl,  East Village,  (212-529-2740) 
TimeOut	Ramen Setagaya	Japanese 	34A St. Marks Pl,  between Second and Third Aves,  East Village,  (212-387-7959) 
TimeOut	Ramen Setagaya 	141 First Ave,  between 9th St and St. Marks Pl,  East Village,  (212-529-2740) 
TimeOut	Ramen Setagaya 	34A St. Marks Pl,  between Second and Third Aves,  East Village,  (212-387-7959) 
TimeOut	Ramen Setagaya 	Japanese 	141 First Ave,  between 9th St and St. Marks Pl,  East Village,  (212-529-2740) 
TimeOut	Ramen Setagaya 	Japanese 	34A St. Marks Pl,  between Second and Third Aves,  East Village,  (212-387-7959) 
TimeOut	Ramen Setagaya   	141 First Ave,  between 9th St and St. Marks Pl,  East Village,  (212-529-2740) 	 Japanese 
TimeOut	Ramen Setagaya   	34A St. Marks Pl,  between Second and Third Aves,  East Village,  (212-387-7959) 	 Japanese 
TimeOut	Rancho Jubilee	10 Hillside Ave,  between Nagle Ave and Bogardus Pl,  Washington Heights,  (212-304-0100) 
TimeOut	Rancho Jubilee	Caribbean: Dominican 	10 Hillside Ave,  between Nagle Ave and Bogardus Pl,  Washington Heights,  (212-304-0100) 
TimeOut	Rancho Jubilee 	10 Hillside Ave,  between Nagle Ave and Bogardus Pl,  Washington Heights,  (212-304-0100) 
TimeOut	Rancho Jubilee 	Caribbean: Dominican 	10 Hillside Ave,  between Nagle Ave and Bogardus Pl,  Washington Heights,  (212-304-0100) 
TimeOut	Rancho Jubilee   	10 Hillside Ave,  between Nagle Ave and Bogardus Pl,  Washington Heights,  (212-304-0100) 	 Caribbean: Dominican 
TimeOut	Rangole	41 W 46th St,  between Fifth and Sixth Aves,  Midtown West,  (212-719-3474) 
TimeOut	Rangole	Indian 	41 W 46th St,  between Fifth and Sixth Aves,  Midtown West,  (212-719-3474) 
TimeOut	Rangole 	41 W 46th St,  between Fifth and Sixth Aves,  Midtown West,  (212-719-3474) 
TimeOut	Rangole 	Indian 	41 W 46th St,  between Fifth and Sixth Aves,  Midtown West,  (212-719-3474) 
TimeOut	Rangole   	41 W 46th St,  between Fifth and Sixth Aves,  Midtown West,  (212-719-3474) 	 Indian 
TimeOut	Raoul’s	180 Prince St,  between Sullivan and Thompson Sts,  Soho,  (212-966-3518) 
TimeOut	Raoul’s	French 	180 Prince St,  between Sullivan and Thompson Sts,  Soho,  (212-966-3518) 
TimeOut	Raoul’s 	180 Prince St,  between Sullivan and Thompson Sts,  Soho,  (212-966-3518) 
TimeOut	Raoul’s 	French 	180 Prince St,  between Sullivan and Thompson Sts,  Soho,  (212-966-3518) 
TimeOut	Raoul’s   	180 Prince St,  between Sullivan and Thompson Sts,  Soho,  (212-966-3518) 	 French 
TimeOut	Rao’s	455 E 114th St,  at Pleasant Ave,  Upper East Side,  (212-722-6709) 
TimeOut	Rao’s	Italian 	455 E 114th St,  at Pleasant Ave,  Upper East Side,  (212-722-6709) 
TimeOut	Rao’s 	455 E 114th St,  at Pleasant Ave,  Upper East Side,  (212-722-6709) 
TimeOut	Rao’s 	Italian 	455 E 114th St,  at Pleasant Ave,  Upper East Side,  (212-722-6709) 
TimeOut	Rao’s   	455 E 114th St,  at Pleasant Ave,  Upper East Side,  (212-722-6709) 	 Italian 
TimeOut	Rare Bar & Grill	228 Bleecker St,  at Sixth Ave ,  West Village,  (212-691-7273) 
TimeOut	Rare Bar & Grill	American 	228 Bleecker St,  at Sixth Ave ,  West Village,  (212-691-7273) 
TimeOut	Rare Bar & Grill	American 	Shelburne Murray Hill, 303 Lexington Ave,  at 37th St,  Midtown East,  (212-481-1999) 
TimeOut	Rare Bar & Grill	Shelburne Murray Hill, 303 Lexington Ave,  at 37th St,  Midtown East,  (212-481-1999) 
TimeOut	Rare Bar & Grill 	228 Bleecker St,  at Sixth Ave ,  West Village,  (212-691-7273) 
TimeOut	Rare Bar & Grill 	American 	228 Bleecker St,  at Sixth Ave ,  West Village,  (212-691-7273) 
TimeOut	Rare Bar & Grill 	American 	Shelburne Murray Hill, 303 Lexington Ave,  at 37th St,  Midtown East,  (212-481-1999) 
TimeOut	Rare Bar & Grill 	Shelburne Murray Hill, 303 Lexington Ave,  at 37th St,  Midtown East,  (212-481-1999) 
TimeOut	Rare Bar & Grill   	228 Bleecker St,  at Sixth Ave ,  West Village,  (212-691-7273) 	 American 
TimeOut	Rare Bar & Grill   	Shelburne Murray Hill, 303 Lexington Ave,  at 37th St,  Midtown East,  (212-481-1999) 	 American 
TimeOut	Ravagh Persian Grill	11 E 30th St,  between Fifth and Madison Aves ,  Gramercy/Flatiron,  (212-696-0300) 
TimeOut	Ravagh Persian Grill	Middle Eastern: Persian 	11 E 30th St,  between Fifth and Madison Aves ,  Gramercy/Flatiron,  (212-696-0300) 
TimeOut	Ravagh Persian Grill 	11 E 30th St,  between Fifth and Madison Aves ,  Gramercy/Flatiron,  (212-696-0300) 
TimeOut	Ravagh Persian Grill 	Middle Eastern: Persian 	11 E 30th St,  between Fifth and Madison Aves ,  Gramercy/Flatiron,  (212-696-0300) 
TimeOut	Ravagh Persian Grill   	11 E 30th St,  between Fifth and Madison Aves ,  Gramercy/Flatiron,  (212-696-0300) 	 Middle Eastern: Persian 
TimeOut	Rayuela	165 Allen St,  between Rivington and Stanton Sts,  Lower East Side,  (212-253-8840) 
TimeOut	Rayuela	Latin American 	165 Allen St,  between Rivington and Stanton Sts,  Lower East Side,  (212-253-8840) 
TimeOut	Rayuela 	165 Allen St,  between Rivington and Stanton Sts,  Lower East Side,  (212-253-8840) 
TimeOut	Rayuela 	Latin American 	165 Allen St,  between Rivington and Stanton Sts,  Lower East Side,  (212-253-8840) 
TimeOut	Rayuela   	165 Allen St,  between Rivington and Stanton Sts,  Lower East Side,  (212-253-8840) 	 Latin American 
TimeOut	Re Sette	7 W 45th St,  between Fifth and Sixth Aves,  Midtown West,  (212-221-7530) 
TimeOut	Re Sette	Italian 	7 W 45th St,  between Fifth and Sixth Aves,  Midtown West,  (212-221-7530) 
TimeOut	Re Sette 	7 W 45th St,  between Fifth and Sixth Aves,  Midtown West,  (212-221-7530) 
TimeOut	Re Sette 	Italian 	7 W 45th St,  between Fifth and Sixth Aves,  Midtown West,  (212-221-7530) 
TimeOut	Re Sette   	7 W 45th St,  between Fifth and Sixth Aves,  Midtown West,  (212-221-7530) 	 Italian 
TimeOut	Ready to Eat	525 Hudson St,  between Charles and W 10th Sts,  West Village,  (212-229-1013) 
TimeOut	Ready to Eat	American 	525 Hudson St,  between Charles and W 10th Sts,  West Village,  (212-229-1013) 
TimeOut	Ready to Eat 	525 Hudson St,  between Charles and W 10th Sts,  West Village,  (212-229-1013) 
TimeOut	Ready to Eat 	American 	525 Hudson St,  between Charles and W 10th Sts,  West Village,  (212-229-1013) 
TimeOut	Ready to Eat   	525 Hudson St,  between Charles and W 10th Sts,  West Village,  (212-229-1013) 	 American 
TimeOut	Rectangles	1431 First Ave,  between 74th and 75th Sts,  Upper East Side,  (212-744-7470) 
TimeOut	Rectangles	Middle Eastern 	1431 First Ave,  between 74th and 75th Sts,  Upper East Side,  (212-744-7470) 
TimeOut	Rectangles 	1431 First Ave,  between 74th and 75th Sts,  Upper East Side,  (212-744-7470) 
TimeOut	Rectangles 	Middle Eastern 	1431 First Ave,  between 74th and 75th Sts,  Upper East Side,  (212-744-7470) 
TimeOut	Rectangles   	1431 First Ave,  between 74th and 75th Sts,  Upper East Side,  (212-744-7470) 	 Middle Eastern 
TimeOut	Red Bamboo	140 W 4th St,  between MacDougal St and Sixth Ave,  Greenwich Village,  (212-260-7049) 
TimeOut	Red Bamboo	Vegetarian & Organic 	140 W 4th St,  between MacDougal St and Sixth Ave,  Greenwich Village,  (212-260-7049) 
TimeOut	Red Bamboo 	140 W 4th St,  between MacDougal St and Sixth Ave,  Greenwich Village,  (212-260-7049) 
TimeOut	Red Bamboo 	Vegetarian & Organic 	140 W 4th St,  between MacDougal St and Sixth Ave,  Greenwich Village,  (212-260-7049) 
TimeOut	Red Bamboo   	140 W 4th St,  between MacDougal St and Sixth Ave,  Greenwich Village,  (212-260-7049) 	 Vegetarian & Organic 
TimeOut	Red Egg	202 Centre St,  at Howard St,  Chinatown/Little Italy,  (212-966-1123) 
TimeOut	Red Egg	Eclectic 	202 Centre St,  at Howard St,  Chinatown/Little Italy,  (212-966-1123) 
TimeOut	Red Egg 	202 Centre St,  at Howard St,  Chinatown/Little Italy,  (212-966-1123) 
TimeOut	Red Egg 	Eclectic 	202 Centre St,  at Howard St,  Chinatown/Little Italy,  (212-966-1123) 
TimeOut	Red Egg   	202 Centre St,  at Howard St,  Chinatown/Little Italy,  (212-966-1123) 	 Eclectic 
TimeOut	Red Mango	182 Bleecker St,  between MacDougal and Sullivan Sts,  West Village,  (212-777-2303) 
TimeOut	Red Mango	Food or Beverage Shop 	182 Bleecker St,  between MacDougal and Sullivan Sts,  West Village,  (212-777-2303) 
TimeOut	Red Mango 	182 Bleecker St,  between MacDougal and Sullivan Sts,  West Village,  (212-777-2303) 
TimeOut	Red Mango 	Food or Beverage Shop 	182 Bleecker St,  between MacDougal and Sullivan Sts,  West Village,  (212-777-2303) 
TimeOut	Red Mango   	182 Bleecker St,  between MacDougal and Sullivan Sts,  West Village,  (212-777-2303) 	 Food or Beverage Shop 
TimeOut	Redeye Grill	890 Seventh Ave,  at 56th St,  Midtown West,  (212-541-9000) 
TimeOut	Redeye Grill	Seafood 	890 Seventh Ave,  at 56th St,  Midtown West,  (212-541-9000) 
TimeOut	Redeye Grill 	890 Seventh Ave,  at 56th St,  Midtown West,  (212-541-9000) 
TimeOut	Redeye Grill 	Seafood 	890 Seventh Ave,  at 56th St,  Midtown West,  (212-541-9000) 
TimeOut	Redeye Grill   	890 Seventh Ave,  at 56th St,  Midtown West,  (212-541-9000) 	 Seafood 
TimeOut	Regional	2607 Broadway,  between 98th and 99th Sts ,  Upper West Side,  (212-666-1915) 
TimeOut	Regional	Italian 	2607 Broadway,  between 98th and 99th Sts ,  Upper West Side,  (212-666-1915) 
TimeOut	Regional 	2607 Broadway,  between 98th and 99th Sts ,  Upper West Side,  (212-666-1915) 
TimeOut	Regional 	Italian 	2607 Broadway,  between 98th and 99th Sts ,  Upper West Side,  (212-666-1915) 
TimeOut	Regional Thai Taste	208 Seventh Ave,  at 22nd St,  Chelsea,  (212-807-9872) 
TimeOut	Regional Thai Taste	Thai 	208 Seventh Ave,  at 22nd St,  Chelsea,  (212-807-9872) 
TimeOut	Regional Thai Taste 	208 Seventh Ave,  at 22nd St,  Chelsea,  (212-807-9872) 
TimeOut	Regional Thai Taste 	Thai 	208 Seventh Ave,  at 22nd St,  Chelsea,  (212-807-9872) 
TimeOut	Regional Thai Taste   	208 Seventh Ave,  at 22nd St,  Chelsea,  (212-807-9872) 	 Thai 
TimeOut	Regional   	2607 Broadway,  between 98th and 99th Sts ,  Upper West Side,  (212-666-1915) 	 Italian 
TimeOut	Remedy Diner	245 E Houston St,  at Norfolk St,  Lower East Side,  (212-677-5110) 
TimeOut	Remedy Diner	Cafés & diners 	245 E Houston St,  at Norfolk St,  Lower East Side,  (212-677-5110) 
TimeOut	Remedy Diner 	245 E Houston St,  at Norfolk St,  Lower East Side,  (212-677-5110) 
TimeOut	Remedy Diner 	Cafés & diners 	245 E Houston St,  at Norfolk St,  Lower East Side,  (212-677-5110) 
TimeOut	Remedy Diner   	245 E Houston St,  at Norfolk St,  Lower East Side,  (212-677-5110) 	 Cafés & diners 
TimeOut	Remi	145 W 53rd St,  between Sixth and Seventh Aves,  Midtown West,  (212-581-4242) 
TimeOut	Remi	Italian 	145 W 53rd St,  between Sixth and Seventh Aves,  Midtown West,  (212-581-4242) 
TimeOut	Remi 	145 W 53rd St,  between Sixth and Seventh Aves,  Midtown West,  (212-581-4242) 
TimeOut	Remi 	Italian 	145 W 53rd St,  between Sixth and Seventh Aves,  Midtown West,  (212-581-4242) 
TimeOut	Remi   	145 W 53rd St,  between Sixth and Seventh Aves,  Midtown West,  (212-581-4242) 	 Italian 
TimeOut	Republic	37 Union Sq West,  between 16th and 17th Sts,  Gramercy/Flatiron,  (212-627-7168) 
TimeOut	Republic	Asian: Pan-Asian 	37 Union Sq West,  between 16th and 17th Sts,  Gramercy/Flatiron,  (212-627-7168) 
TimeOut	Republic 	37 Union Sq West,  between 16th and 17th Sts,  Gramercy/Flatiron,  (212-627-7168) 
TimeOut	Republic 	Asian: Pan-Asian 	37 Union Sq West,  between 16th and 17th Sts,  Gramercy/Flatiron,  (212-627-7168) 
TimeOut	Republic   	37 Union Sq West,  between 16th and 17th Sts,  Gramercy/Flatiron,  (212-627-7168) 	 Asian: Pan-Asian 
TimeOut	Restaurant Ichimura	1026 Second Ave,  between 54th and 55th Sts,  Midtown East,  (212-355-3557) 
TimeOut	Restaurant Ichimura	Japanese 	1026 Second Ave,  between 54th and 55th Sts,  Midtown East,  (212-355-3557) 
TimeOut	Restaurant Ichimura 	1026 Second Ave,  between 54th and 55th Sts,  Midtown East,  (212-355-3557) 
TimeOut	Restaurant Ichimura 	Japanese 	1026 Second Ave,  between 54th and 55th Sts,  Midtown East,  (212-355-3557) 
TimeOut	Restaurant Ichimura   	1026 Second Ave,  between 54th and 55th Sts,  Midtown East,  (212-355-3557) 	 Japanese 
TimeOut	Resto	111 E 29th St,  between Park and Lexington Aves,  Gramercy/Flatiron,  (212-685-5585) 
TimeOut	Resto	Belgian 	111 E 29th St,  between Park and Lexington Aves,  Gramercy/Flatiron,  (212-685-5585) 
TimeOut	Resto 	111 E 29th St,  between Park and Lexington Aves,  Gramercy/Flatiron,  (212-685-5585) 
TimeOut	Resto 	Belgian 	111 E 29th St,  between Park and Lexington Aves,  Gramercy/Flatiron,  (212-685-5585) 
TimeOut	Resto Léon	351 E 12th St,  between First and Second Aves,  East Village,  (212-375-8483) 
TimeOut	Resto Léon	French 	351 E 12th St,  between First and Second Aves,  East Village,  (212-375-8483) 
TimeOut	Resto Léon 	351 E 12th St,  between First and Second Aves,  East Village,  (212-375-8483) 
TimeOut	Resto Léon 	French 	351 E 12th St,  between First and Second Aves,  East Village,  (212-375-8483) 
TimeOut	Resto Léon   	351 E 12th St,  between First and Second Aves,  East Village,  (212-375-8483) 	 French 
TimeOut	Resto   	111 E 29th St,  between Park and Lexington Aves,  Gramercy/Flatiron,  (212-685-5585) 	 Belgian 
TimeOut	Retsina	115 E 60th St,  between Lexington and Park Aves,  Midtown East,  (212-486-8826) 
TimeOut	Retsina	Greek 	115 E 60th St,  between Lexington and Park Aves,  Midtown East,  (212-486-8826) 
TimeOut	Retsina 	115 E 60th St,  between Lexington and Park Aves,  Midtown East,  (212-486-8826) 
TimeOut	Retsina 	Greek 	115 E 60th St,  between Lexington and Park Aves,  Midtown East,  (212-486-8826) 
TimeOut	Retsina   	115 E 60th St,  between Lexington and Park Aves,  Midtown East,  (212-486-8826) 	 Greek 
TimeOut	Revival	2367 Frederick Douglass Blvd (Eighth Ave),  at 127th St,  Harlem,  (212-222-8338) 
TimeOut	Revival	American 	2367 Frederick Douglass Blvd (Eighth Ave),  at 127th St,  Harlem,  (212-222-8338) 
